Tenor,OIS DF,LIBOR DF
0.5,0.9987515605493134,0.9876543209876544
1.0,0.9970089730807579,0.9725768302912439
1.5,0.9952698594970136,0.9573779178550954
2.0,0.9935307459132694,0.9421790054189471
2.5,0.9917729435657792,0.926330268664076
3.0,0.9900151412182888,0.910481531909205
3.5,0.9880658954667711,0.8947311053593976
4.0,0.9861166497152534,0.8789806788095903
4.5,0.9841503847242372,0.8639849837996789
5.0,0.9821841197332211,0.8489892887897675
5.5,0.9797395334484968,0.8327960142444633
6.0,0.9772949471637727,0.8166027396991591
6.5,0.9748503608790486,0.8004094651538548
7.0,0.9724057745943244,0.7842161906085505
7.5,0.9696676252496378,0.7689652147332668
8.0,0.9669294759049512,0.7537142388579833
8.5,0.9641913265602646,0.7384632629826996
9.0,0.961453177215578,0.7232122871074159
9.5,0.9587150278708914,0.7079613112321324
10.0,0.9559768785262047,0.6927103353568487
10.5,0.9531403386341173,0.6785473713677794
11.0,0.9503037987420297,0.6643844073787103
11.5,0.9474672588499423,0.650221443389641
12.0,0.9446307189578548,0.6360584794005719
12.5,0.9417941790657673,0.6218955154115027
13.0,0.9389576391736799,0.6077325514224334
13.5,0.9361210992815924,0.5935695874333643
14.0,0.9332845593895049,0.579406623444295
14.5,0.9304480194974174,0.5652436594552259
15.0,0.92761147960533,0.5510806954661567
15.5,0.9248579253489309,0.5367943843225661
16.0,0.9221043710925318,0.5225080731789755
16.5,0.9193508168361328,0.5082217620353848
17.0,0.9165972625797337,0.49393545089179425
17.5,0.9138437083233346,0.47964913974820367
18.0,0.9110901540669356,0.4653628286046131
18.5,0.9083365998105366,0.45107651746102245
19.0,0.9055830455541375,0.4367902063174319
19.5,0.9028294912977384,0.42250389517384124
20.0,0.9000759370413394,0.40821758403025066
20.5,0.8974424759760838,0.398989826261615
21.0,0.8948090149108282,0.3897620684929794
21.5,0.8921755538455727,0.38053431072434374
22.0,0.8895420927803172,0.3713065529557081
22.5,0.8869086317150615,0.3620787951870724
23.0,0.884275170649806,0.3528510374184368
23.5,0.8816417095845505,0.34362327964980116
24.0,0.8790082485192948,0.3343955218811655
24.5,0.8763747874540393,0.3251677641125299
25.0,0.8737413263887837,0.31594000634389424
25.5,0.8711078653235281,0.3067122485752586
26.0,0.8684744042582726,0.297484490806623
26.5,0.865840943193017,0.2882567330379873
27.0,0.8632074821277614,0.27902897526935166
27.5,0.8605740210625059,0.26980121750071606
28.0,0.8579405599972503,0.2605734597320804
28.5,0.8553070989319947,0.25134570196344475
29.0,0.8526736378667392,0.24211794419480911
29.5,0.8500401768014836,0.23289018642617348
30.0,0.8474067157362281,0.22366242865753783
