Expiry/Tenor,X 1y,X 2y,X 3y,X 5y,X 10y
1y,0.032006999121227814,0.03325922575031665,0.03401072632499137,0.03525547153260654,0.038427964224875245
2y,0.03451588336026193,0.03501806794824159,0.03501841734688776,0.037027437191978096,0.0396343767731699
5y,0.039274036967983476,0.04007486109395853,0.04007224645793262,0.041093228766576395,0.04363364552748309
8y,0.04173952305094323,0.042646072681572306,0.04249468094131507,0.043511568041533916,0.048711148942116526
10y,0.04218923714031636,0.04311573640314242,0.04409712498814056,0.04624901920952373,0.05345752914372168
