,number,value,datetime_start,datetime_complete,duration,params_DIAsynprice_DIA_beta_win,params_DIAsynprice_DIA_stop_loss,params_DIAsynprice_DIA_trade_freq,params_DIAsynprice_DIA_z_entry,params_DIAsynprice_DIA_z_exit,params_DIAsynprice_DIA_z_stop_scaler,params_DIAsynprice_DIA_z_win,params_QQQsynprice_QQQ_beta_win,params_QQQsynprice_QQQ_stop_loss,params_QQQsynprice_QQQ_trade_freq,params_QQQsynprice_QQQ_z_entry,params_QQQsynprice_QQQ_z_exit,params_QQQsynprice_QQQ_z_stop_scaler,params_QQQsynprice_QQQ_z_win,params_XLBsynprice_XLB_beta_win,params_XLBsynprice_XLB_stop_loss,params_XLBsynprice_XLB_trade_freq,params_XLBsynprice_XLB_z_entry,params_XLBsynprice_XLB_z_exit,params_XLBsynprice_XLB_z_stop_scaler,params_XLBsynprice_XLB_z_win,params_XLCsynprice_XLC_beta_win,params_XLCsynprice_XLC_stop_loss,params_XLCsynprice_XLC_trade_freq,params_XLCsynprice_XLC_z_entry,params_XLCsynprice_XLC_z_exit,params_XLCsynprice_XLC_z_stop_scaler,params_XLCsynprice_XLC_z_win,params_XLEsynprice_XLE_beta_win,params_XLEsynprice_XLE_stop_loss,params_XLEsynprice_XLE_trade_freq,params_XLEsynprice_XLE_z_entry,params_XLEsynprice_XLE_z_exit,params_XLEsynprice_XLE_z_stop_scaler,params_XLEsynprice_XLE_z_win,params_XLFsynprice_XLF_beta_win,params_XLFsynprice_XLF_stop_loss,params_XLFsynprice_XLF_trade_freq,params_XLFsynprice_XLF_z_entry,params_XLFsynprice_XLF_z_exit,params_XLFsynprice_XLF_z_stop_scaler,params_XLFsynprice_XLF_z_win,params_XLIsynprice_XLI_beta_win,params_XLIsynprice_XLI_stop_loss,params_XLIsynprice_XLI_trade_freq,params_XLIsynprice_XLI_z_entry,params_XLIsynprice_XLI_z_exit,params_XLIsynprice_XLI_z_stop_scaler,params_XLIsynprice_XLI_z_win,params_XLKsynprice_XLK_beta_win,params_XLKsynprice_XLK_stop_loss,params_XLKsynprice_XLK_trade_freq,params_XLKsynprice_XLK_z_entry,params_XLKsynprice_XLK_z_exit,params_XLKsynprice_XLK_z_stop_scaler,params_XLKsynprice_XLK_z_win,params_XLPsynprice_XLP_beta_win,params_XLPsynprice_XLP_stop_loss,params_XLPsynprice_XLP_trade_freq,params_XLPsynprice_XLP_z_entry,params_XLPsynprice_XLP_z_exit,params_XLPsynprice_XLP_z_stop_scaler,params_XLPsynprice_XLP_z_win,params_XLREsynprice_XLRE_beta_win,params_XLREsynprice_XLRE_stop_loss,params_XLREsynprice_XLRE_trade_freq,params_XLREsynprice_XLRE_z_entry,params_XLREsynprice_XLRE_z_exit,params_XLREsynprice_XLRE_z_stop_scaler,params_XLREsynprice_XLRE_z_win,params_XLUsynprice_XLU_beta_win,params_XLUsynprice_XLU_stop_loss,params_XLUsynprice_XLU_trade_freq,params_XLUsynprice_XLU_z_entry,params_XLUsynprice_XLU_z_exit,params_XLUsynprice_XLU_z_stop_scaler,params_XLUsynprice_XLU_z_win,params_XLVsynprice_XLV_beta_win,params_XLVsynprice_XLV_stop_loss,params_XLVsynprice_XLV_trade_freq,params_XLVsynprice_XLV_z_entry,params_XLVsynprice_XLV_z_exit,params_XLVsynprice_XLV_z_stop_scaler,params_XLVsynprice_XLV_z_win,params_XLYsynprice_XLY_beta_win,params_XLYsynprice_XLY_stop_loss,params_XLYsynprice_XLY_trade_freq,params_XLYsynprice_XLY_z_entry,params_XLYsynprice_XLY_z_exit,params_XLYsynprice_XLY_z_stop_scaler,params_XLYsynprice_XLY_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-12.695390308743114,2025-06-21 01:14:41.806680,2025-06-21 01:14:42.426376,0 days 00:00:00.619696,54.0,0.0225,4m,0.6,0.5,1.5,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,0.025,5m,0.9,0.7,1.5,36.0,12.0,0.0225,3m,0.7,0.6,2.5,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
1,1,-11.503330026904807,2025-06-21 01:14:42.450701,2025-06-21 01:14:44.176367,0 days 00:00:01.725666,18.0,0.04,3m,0.8,0.7,2.0,14.0,16.0,0.0325,4m,1.0,0.6,1.5,12.0,14.0,0.0125,2m,0.9,1.0,3.0,60.0,28.0,0.02,2m,1.0,1.0,2.0,42.0,62.0,0.03,2m,0.8,0.8,2.0,52.0,,,,,,,,54.0,0.027500000000000004,1m,1.0,0.8,2.5,38.0,,,,,,,,48.0,0.035,1m,0.7,1.0,3.0,48.0,52.0,0.0125,2m,0.6,0.8,2.5,10.0,,,,,,,,,,,,,,,38.0,0.0375,3m,0.6,0.9,3.0,38.0,0.5,9,COMPLETE
2,2,-7.189097648212404,2025-06-21 01:14:44.201972,2025-06-21 01:14:44.438305,0 days 00:00:00.236333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.015,2m,0.8,0.8,1.5,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
3,3,-7.413499455539331,2025-06-21 01:14:44.456919,2025-06-21 01:14:45.044984,0 days 00:00:00.588065,,,,,,,,56.0,0.027500000000000004,4m,0.7,0.7,3.0,16.0,,,,,,,,,,,,,,,,,,,,,,22.0,0.0225,2m,1.0,0.6,3.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.045000000000000005,3m,0.6,0.5,1.5,40.0,,,,,,,,0.35000000000000003,3,COMPLETE
4,4,-19.67506269536239,2025-06-21 01:14:45.085201,2025-06-21 01:14:47.007944,0 days 00:00:01.922743,50.0,0.025,2m,0.6,1.0,3.0,48.0,,,,,,,,12.0,0.05,3m,0.9,0.8,2.5,20.0,24.0,0.02,2m,1.0,0.6,1.5,38.0,10.0,0.045000000000000005,5m,1.0,0.9,1.5,32.0,22.0,0.0325,3m,0.5,0.6,2.5,38.0,,,,,,,,36.0,0.02,3m,1.0,0.8,2.5,46.0,48.0,0.0475,2m,0.9,0.8,2.0,16.0,,,,,,,,64.0,0.04,1m,0.7,0.6,3.0,44.0,56.0,0.015,3m,0.7,0.9,1.5,40.0,24.0,0.0325,2m,0.5,0.9,2.5,44.0,0.15000000000000002,10,COMPLETE
5,5,-25.177817395840755,2025-06-21 01:14:47.042447,2025-06-21 01:14:48.205542,0 days 00:00:01.163095,42.0,0.035,2m,0.8,0.6,2.5,34.0,,,,,,,,10.0,0.0475,5m,0.8,0.9,2.5,20.0,24.0,0.04,2m,0.6,0.9,3.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.02,5m,0.6,1.0,2.5,28.0,48.0,0.01,1m,0.8,0.6,1.5,60.0,40.0,0.02,1m,0.7,0.7,2.5,42.0,,,,,,,,0.25,6,COMPLETE
6,6,-9.904124624605902,2025-06-21 01:14:48.224160,2025-06-21 01:14:48.818605,0 days 00:00:00.594445,12.0,0.0425,2m,1.0,0.6,3.0,16.0,32.0,0.027500000000000004,3m,0.6,0.6,2.5,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,0.035,5m,0.9,0.5,1.5,30.0,,,,,,,,,,,,,,,0.25,3,COMPLETE
7,7,-16.39529291045739,2025-06-21 01:14:48.861962,2025-06-21 01:14:50.776050,0 days 00:00:01.914088,62.0,0.027500000000000004,1m,1.0,1.0,2.5,44.0,14.0,0.03,2m,0.9,0.5,2.0,56.0,50.0,0.05,4m,0.9,0.6,1.5,34.0,,,,,,,,16.0,0.02,3m,0.8,0.8,3.0,56.0,26.0,0.0375,2m,0.8,0.6,1.5,18.0,,,,,,,,16.0,0.0175,5m,0.5,1.0,1.5,54.0,62.0,0.015,3m,0.5,0.7,3.0,12.0,54.0,0.01,2m,0.8,0.7,3.0,16.0,62.0,0.0375,2m,0.9,1.0,1.5,14.0,,,,,,,,50.0,0.0325,1m,0.8,0.9,1.5,22.0,0.1,10,COMPLETE
8,8,-3.722096904560136,2025-06-21 01:14:50.798110,2025-06-21 01:14:51.418440,0 days 00:00:00.620330,,,,,,,,36.0,0.015,2m,0.7,0.8,3.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,0.0375,3m,0.5,0.6,2.5,28.0,,,,,,,,,,,,,,,30.0,0.0125,3m,0.5,0.9,2.5,50.0,,,,,,,,0.05,3,COMPLETE
9,9,-30.939326872856228,2025-06-21 01:14:51.439958,2025-06-21 01:14:51.864788,0 days 00:00:00.424830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0.04,1m,0.6,0.8,2.0,16.0,,,,,,,,,,,,,,,18.0,0.0225,4m,0.5,0.7,2.0,48.0,,,,,,,,,,,,,,,0.5,2,COMPLETE
10,10,-14.116188669874377,2025-06-21 01:14:51.884306,2025-06-21 01:14:53.118551,0 days 00:00:01.234245,,,,,,,,,,,,,,,,,,,,,,64.0,0.05,3m,0.5,0.5,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,62.0,0.0475,4m,0.7,0.5,3.0,12.0,64.0,0.0375,4m,0.5,0.5,2.0,30.0,14.0,0.05,1m,1.0,0.5,1.5,60.0,10.0,0.05,3m,0.6,1.0,3.0,10.0,,,,,,,,10.0,0.01,5m,1.0,0.5,1.5,60.0,0.05,6,COMPLETE
11,11,-6.000391823535263,2025-06-21 01:14:53.139380,2025-06-21 01:14:53.388125,0 days 00:00:00.248745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,0.05,4m,1.0,0.5,3.0,14.0,0.4,1,COMPLETE
12,12,-80.12925555538126,2025-06-21 01:14:53.406144,2025-06-21 01:14:53.658267,0 days 00:00:00.252123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.01,1m,0.5,0.5,3.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
13,13,-28.524818775420584,2025-06-21 01:14:53.677524,2025-06-21 01:14:54.699438,0 days 00:00:01.021914,30.0,0.01,5m,0.5,0.8,1.5,62.0,,,,,,,,,,,,,,,54.0,0.0125,5m,0.8,0.7,1.5,64.0,,,,,,,,62.0,0.05,1m,0.5,1.0,1.5,62.0,,,,,,,,58.0,0.01,2m,0.8,0.5,3.0,64.0,30.0,0.05,5m,1.0,0.5,2.5,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,5,COMPLETE
14,14,-10.935562911067574,2025-06-21 01:14:54.720980,2025-06-21 01:14:55.554506,0 days 00:00:00.833526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,0.045000000000000005,4m,0.5,0.5,1.5,10.0,,,,,,,,12.0,0.05,2m,0.5,0.5,1.5,12.0,,,,,,,,,,,,,,,32.0,0.0425,3m,1.0,1.0,1.5,62.0,28.0,0.01,5m,1.0,0.8,2.5,26.0,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
15,15,-7.785086505655587,2025-06-21 01:14:55.574001,2025-06-21 01:14:55.834829,0 days 00:00:00.260828,,,,,,,,,,,,,,,,,,,,,,10.0,0.0325,1m,0.8,0.8,2.5,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
16,16,-12.59275173206328,2025-06-21 01:14:55.854196,2025-06-21 01:14:57.305285,0 days 00:00:01.451089,30.0,0.05,4m,0.9,0.8,2.0,64.0,46.0,0.01,2m,0.5,1.0,3.0,64.0,,,,,,,,,,,,,,,,,,,,,,56.0,0.01,5m,1.0,1.0,3.0,12.0,64.0,0.01,5m,0.7,1.0,3.0,60.0,48.0,0.035,1m,1.0,1.0,2.5,32.0,32.0,0.027500000000000004,3m,0.6,1.0,1.5,24.0,,,,,,,,,,,,,,,,,,,,,,62.0,0.05,4m,1.0,0.5,3.0,10.0,0.05,7,COMPLETE
17,17,-11.611550876785257,2025-06-21 01:14:57.327849,2025-06-21 01:14:58.238477,0 days 00:00:00.910628,,,,,,,,36.0,0.01,1m,0.8,0.9,2.5,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0475,2m,0.5,0.7,2.0,24.0,46.0,0.04,1m,0.6,0.7,2.5,50.0,,,,,,,,,,,,,,,,,,,,,,62.0,0.05,4m,0.8,0.7,2.5,10.0,0.15000000000000002,4,COMPLETE
