,number,value,datetime_start,datetime_complete,duration,params_DIAsynprice_DIA_beta_win,params_DIAsynprice_DIA_stop_loss,params_DIAsynprice_DIA_trade_freq,params_DIAsynprice_DIA_z_entry,params_DIAsynprice_DIA_z_exit,params_DIAsynprice_DIA_z_stop_scaler,params_DIAsynprice_DIA_z_win,params_QQQsynprice_QQQ_beta_win,params_QQQsynprice_QQQ_stop_loss,params_QQQsynprice_QQQ_trade_freq,params_QQQsynprice_QQQ_z_entry,params_QQQsynprice_QQQ_z_exit,params_QQQsynprice_QQQ_z_stop_scaler,params_QQQsynprice_QQQ_z_win,params_XLBsynprice_XLB_beta_win,params_XLBsynprice_XLB_stop_loss,params_XLBsynprice_XLB_trade_freq,params_XLBsynprice_XLB_z_entry,params_XLBsynprice_XLB_z_exit,params_XLBsynprice_XLB_z_stop_scaler,params_XLBsynprice_XLB_z_win,params_XLCsynprice_XLC_beta_win,params_XLCsynprice_XLC_stop_loss,params_XLCsynprice_XLC_trade_freq,params_XLCsynprice_XLC_z_entry,params_XLCsynprice_XLC_z_exit,params_XLCsynprice_XLC_z_stop_scaler,params_XLCsynprice_XLC_z_win,params_XLEsynprice_XLE_beta_win,params_XLEsynprice_XLE_stop_loss,params_XLEsynprice_XLE_trade_freq,params_XLEsynprice_XLE_z_entry,params_XLEsynprice_XLE_z_exit,params_XLEsynprice_XLE_z_stop_scaler,params_XLEsynprice_XLE_z_win,params_XLFsynprice_XLF_beta_win,params_XLFsynprice_XLF_stop_loss,params_XLFsynprice_XLF_trade_freq,params_XLFsynprice_XLF_z_entry,params_XLFsynprice_XLF_z_exit,params_XLFsynprice_XLF_z_stop_scaler,params_XLFsynprice_XLF_z_win,params_XLIsynprice_XLI_beta_win,params_XLIsynprice_XLI_stop_loss,params_XLIsynprice_XLI_trade_freq,params_XLIsynprice_XLI_z_entry,params_XLIsynprice_XLI_z_exit,params_XLIsynprice_XLI_z_stop_scaler,params_XLIsynprice_XLI_z_win,params_XLKsynprice_XLK_beta_win,params_XLKsynprice_XLK_stop_loss,params_XLKsynprice_XLK_trade_freq,params_XLKsynprice_XLK_z_entry,params_XLKsynprice_XLK_z_exit,params_XLKsynprice_XLK_z_stop_scaler,params_XLKsynprice_XLK_z_win,params_XLPsynprice_XLP_beta_win,params_XLPsynprice_XLP_stop_loss,params_XLPsynprice_XLP_trade_freq,params_XLPsynprice_XLP_z_entry,params_XLPsynprice_XLP_z_exit,params_XLPsynprice_XLP_z_stop_scaler,params_XLPsynprice_XLP_z_win,params_XLREsynprice_XLRE_beta_win,params_XLREsynprice_XLRE_stop_loss,params_XLREsynprice_XLRE_trade_freq,params_XLREsynprice_XLRE_z_entry,params_XLREsynprice_XLRE_z_exit,params_XLREsynprice_XLRE_z_stop_scaler,params_XLREsynprice_XLRE_z_win,params_XLUsynprice_XLU_beta_win,params_XLUsynprice_XLU_stop_loss,params_XLUsynprice_XLU_trade_freq,params_XLUsynprice_XLU_z_entry,params_XLUsynprice_XLU_z_exit,params_XLUsynprice_XLU_z_stop_scaler,params_XLUsynprice_XLU_z_win,params_XLVsynprice_XLV_beta_win,params_XLVsynprice_XLV_stop_loss,params_XLVsynprice_XLV_trade_freq,params_XLVsynprice_XLV_z_entry,params_XLVsynprice_XLV_z_exit,params_XLVsynprice_XLV_z_stop_scaler,params_XLVsynprice_XLV_z_win,params_XLYsynprice_XLY_beta_win,params_XLYsynprice_XLY_stop_loss,params_XLYsynprice_XLY_trade_freq,params_XLYsynprice_XLY_z_entry,params_XLYsynprice_XLY_z_exit,params_XLYsynprice_XLY_z_stop_scaler,params_XLYsynprice_XLY_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-8.278430788048205,2025-06-21 01:29:08.653123,2025-06-21 01:29:09.342645,0 days 00:00:00.689522,,,,,,,,28.0,0.025,5m,0.9,0.7,1.5,36.0,,,,,,,,12.0,0.0225,3m,0.7,0.6,2.5,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,0.0225,4m,0.6,0.5,1.5,28.0,,,,,,,,,,,,,,,0.2,3,COMPLETE
1,1,-15.553940921103777,2025-06-21 01:29:09.364680,2025-06-21 01:29:11.151896,0 days 00:00:01.787216,28.0,0.02,2m,1.0,1.0,2.0,42.0,,,,,,,,,,,,,,,48.0,0.035,1m,0.7,1.0,3.0,48.0,14.0,0.0125,2m,0.9,1.0,3.0,60.0,16.0,0.0325,4m,1.0,0.6,1.5,12.0,52.0,0.0125,2m,0.6,0.8,2.5,10.0,,,,,,,,,,,,,,,62.0,0.03,2m,0.8,0.8,2.0,52.0,54.0,0.027500000000000004,1m,1.0,0.8,2.5,38.0,18.0,0.04,3m,0.8,0.7,2.0,14.0,38.0,0.0375,3m,0.6,0.9,3.0,38.0,0.5,9,COMPLETE
2,2,-11.876016406708953,2025-06-21 01:29:11.174928,2025-06-21 01:29:11.417922,0 days 00:00:00.242994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.015,2m,0.8,0.8,1.5,30.0,,,,,,,,,,,,,,,0.5,1,COMPLETE
3,3,-17.75886464129266,2025-06-21 01:29:11.437324,2025-06-21 01:29:12.045026,0 days 00:00:00.607702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,0.027500000000000004,4m,0.7,0.7,3.0,16.0,,,,,,,,,,,,,,,22.0,0.0225,2m,1.0,0.6,3.0,52.0,,,,,,,,,,,,,,,,,,,,,,50.0,0.045000000000000005,3m,0.6,0.5,1.5,40.0,,,,,,,,0.35000000000000003,3,COMPLETE
4,4,-10.303225559525531,2025-06-21 01:29:12.071961,2025-06-21 01:29:14.027881,0 days 00:00:01.955920,,,,,,,,56.0,0.015,3m,0.7,0.9,1.5,40.0,12.0,0.05,3m,0.9,0.8,2.5,20.0,22.0,0.0325,3m,0.5,0.6,2.5,38.0,50.0,0.025,2m,0.6,1.0,3.0,48.0,24.0,0.02,2m,1.0,0.6,1.5,38.0,10.0,0.045000000000000005,5m,1.0,0.9,1.5,32.0,48.0,0.0475,2m,0.9,0.8,2.0,16.0,64.0,0.04,1m,0.7,0.6,3.0,44.0,24.0,0.0325,2m,0.5,0.9,2.5,44.0,36.0,0.02,3m,1.0,0.8,2.5,46.0,,,,,,,,,,,,,,,0.15000000000000002,10,COMPLETE
5,5,-12.781915991942078,2025-06-21 01:29:14.049787,2025-06-21 01:29:15.235512,0 days 00:00:01.185725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0475,5m,0.8,0.9,2.5,20.0,,,,,,,,24.0,0.04,2m,0.6,0.9,3.0,26.0,42.0,0.035,2m,0.8,0.6,2.5,34.0,16.0,0.02,5m,0.6,1.0,2.5,28.0,48.0,0.01,1m,0.8,0.6,1.5,60.0,,,,,,,,40.0,0.02,1m,0.7,0.7,2.5,42.0,,,,,,,,0.25,6,COMPLETE
6,6,-7.720018194235005,2025-06-21 01:29:15.255344,2025-06-21 01:29:15.880661,0 days 00:00:00.625317,12.0,0.0425,2m,1.0,0.6,3.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,0.027500000000000004,3m,0.6,0.6,2.5,40.0,,,,,,,,46.0,0.035,5m,0.9,0.5,1.5,30.0,,,,,,,,0.25,3,COMPLETE
7,7,-14.79911133966807,2025-06-21 01:29:15.902195,2025-06-21 01:29:17.929328,0 days 00:00:02.027133,50.0,0.05,4m,0.9,0.6,1.5,34.0,54.0,0.01,2m,0.8,0.7,3.0,16.0,62.0,0.015,3m,0.5,0.7,3.0,12.0,16.0,0.02,3m,0.8,0.8,3.0,56.0,62.0,0.027500000000000004,1m,1.0,1.0,2.5,44.0,,,,,,,,62.0,0.0375,2m,0.9,1.0,1.5,14.0,,,,,,,,16.0,0.0175,5m,0.5,1.0,1.5,54.0,26.0,0.0375,2m,0.8,0.6,1.5,18.0,14.0,0.03,2m,0.9,0.5,2.0,56.0,50.0,0.0325,1m,0.8,0.9,1.5,22.0,,,,,,,,0.1,10,COMPLETE
8,8,-15.491217821565195,2025-06-21 01:29:17.951910,2025-06-21 01:29:18.570523,0 days 00:00:00.618613,58.0,0.0375,3m,0.5,0.6,2.5,28.0,,,,,,,,,,,,,,,,,,,,,,30.0,0.0125,3m,0.5,0.9,2.5,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,0.015,2m,0.7,0.8,3.0,46.0,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
9,9,-63.11509814233575,2025-06-21 01:29:18.589046,2025-06-21 01:29:19.017977,0 days 00:00:00.428931,,,,,,,,,,,,,,,,,,,,,,18.0,0.0225,4m,0.5,0.7,2.0,48.0,20.0,0.04,1m,0.6,0.8,2.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
10,10,-12.811250197344602,2025-06-21 01:29:19.038581,2025-06-21 01:29:20.297285,0 days 00:00:01.258704,10.0,0.04,5m,0.7,0.5,3.0,10.0,,,,,,,,36.0,0.04,4m,0.6,1.0,1.5,62.0,64.0,0.05,2m,1.0,1.0,1.5,10.0,,,,,,,,,,,,,,,40.0,0.0175,1m,0.8,0.5,3.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,0.01,5m,1.0,0.5,3.0,54.0,10.0,0.0125,4m,1.0,0.5,1.5,10.0,0.35000000000000003,6,COMPLETE
11,11,-14.48349823788119,2025-06-21 01:29:20.322837,2025-06-21 01:29:21.202785,0 days 00:00:00.879948,,,,,,,,14.0,0.0425,5m,1.0,0.5,1.5,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,0.025,4m,0.5,0.5,2.0,58.0,,,,,,,,,,,,,,,10.0,0.05,3m,0.5,0.5,3.0,26.0,,,,,,,,,,,,,,,62.0,0.05,1m,0.9,0.6,1.5,64.0,0.2,4,COMPLETE
12,12,-111.4421114084236,2025-06-21 01:29:21.223808,2025-06-21 01:29:22.339237,0 days 00:00:01.115429,10.0,0.01,2m,0.8,0.8,3.0,58.0,24.0,0.03,1m,1.0,0.7,2.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.05,5m,0.7,0.7,2.5,48.0,64.0,0.01,1m,0.5,1.0,1.5,10.0,,,,,,,,,,,,,,,64.0,0.05,4m,0.5,0.5,1.5,14.0,,,,,,,,,,,,,,,0.3,5,COMPLETE
13,13,-2.3208480500856385,2025-06-21 01:29:22.378328,2025-06-21 01:29:22.651263,0 days 00:00:00.272935,,,,,,,,,,,,,,,64.0,0.01,5m,1.0,0.5,1.5,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
