,number,value,datetime_start,datetime_complete,duration,params_DIAsynprice_DIA_beta_win,params_DIAsynprice_DIA_stop_loss,params_DIAsynprice_DIA_trade_freq,params_DIAsynprice_DIA_z_entry,params_DIAsynprice_DIA_z_exit,params_DIAsynprice_DIA_z_stop_scaler,params_DIAsynprice_DIA_z_win,params_QQQsynprice_QQQ_beta_win,params_QQQsynprice_QQQ_stop_loss,params_QQQsynprice_QQQ_trade_freq,params_QQQsynprice_QQQ_z_entry,params_QQQsynprice_QQQ_z_exit,params_QQQsynprice_QQQ_z_stop_scaler,params_QQQsynprice_QQQ_z_win,params_XLBsynprice_XLB_beta_win,params_XLBsynprice_XLB_stop_loss,params_XLBsynprice_XLB_trade_freq,params_XLBsynprice_XLB_z_entry,params_XLBsynprice_XLB_z_exit,params_XLBsynprice_XLB_z_stop_scaler,params_XLBsynprice_XLB_z_win,params_XLCsynprice_XLC_beta_win,params_XLCsynprice_XLC_stop_loss,params_XLCsynprice_XLC_trade_freq,params_XLCsynprice_XLC_z_entry,params_XLCsynprice_XLC_z_exit,params_XLCsynprice_XLC_z_stop_scaler,params_XLCsynprice_XLC_z_win,params_XLEsynprice_XLE_beta_win,params_XLEsynprice_XLE_stop_loss,params_XLEsynprice_XLE_trade_freq,params_XLEsynprice_XLE_z_entry,params_XLEsynprice_XLE_z_exit,params_XLEsynprice_XLE_z_stop_scaler,params_XLEsynprice_XLE_z_win,params_XLFsynprice_XLF_beta_win,params_XLFsynprice_XLF_stop_loss,params_XLFsynprice_XLF_trade_freq,params_XLFsynprice_XLF_z_entry,params_XLFsynprice_XLF_z_exit,params_XLFsynprice_XLF_z_stop_scaler,params_XLFsynprice_XLF_z_win,params_XLIsynprice_XLI_beta_win,params_XLIsynprice_XLI_stop_loss,params_XLIsynprice_XLI_trade_freq,params_XLIsynprice_XLI_z_entry,params_XLIsynprice_XLI_z_exit,params_XLIsynprice_XLI_z_stop_scaler,params_XLIsynprice_XLI_z_win,params_XLKsynprice_XLK_beta_win,params_XLKsynprice_XLK_stop_loss,params_XLKsynprice_XLK_trade_freq,params_XLKsynprice_XLK_z_entry,params_XLKsynprice_XLK_z_exit,params_XLKsynprice_XLK_z_stop_scaler,params_XLKsynprice_XLK_z_win,params_XLPsynprice_XLP_beta_win,params_XLPsynprice_XLP_stop_loss,params_XLPsynprice_XLP_trade_freq,params_XLPsynprice_XLP_z_entry,params_XLPsynprice_XLP_z_exit,params_XLPsynprice_XLP_z_stop_scaler,params_XLPsynprice_XLP_z_win,params_XLREsynprice_XLRE_beta_win,params_XLREsynprice_XLRE_stop_loss,params_XLREsynprice_XLRE_trade_freq,params_XLREsynprice_XLRE_z_entry,params_XLREsynprice_XLRE_z_exit,params_XLREsynprice_XLRE_z_stop_scaler,params_XLREsynprice_XLRE_z_win,params_XLUsynprice_XLU_beta_win,params_XLUsynprice_XLU_stop_loss,params_XLUsynprice_XLU_trade_freq,params_XLUsynprice_XLU_z_entry,params_XLUsynprice_XLU_z_exit,params_XLUsynprice_XLU_z_stop_scaler,params_XLUsynprice_XLU_z_win,params_XLVsynprice_XLV_beta_win,params_XLVsynprice_XLV_stop_loss,params_XLVsynprice_XLV_trade_freq,params_XLVsynprice_XLV_z_entry,params_XLVsynprice_XLV_z_exit,params_XLVsynprice_XLV_z_stop_scaler,params_XLVsynprice_XLV_z_win,params_XLYsynprice_XLY_beta_win,params_XLYsynprice_XLY_stop_loss,params_XLYsynprice_XLY_trade_freq,params_XLYsynprice_XLY_z_entry,params_XLYsynprice_XLY_z_exit,params_XLYsynprice_XLY_z_stop_scaler,params_XLYsynprice_XLY_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-1.0398611875369606,2025-06-21 01:01:04.705062,2025-06-21 01:01:05.182100,0 days 00:00:00.477038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.0,0.025,10m,1.0,0.7,2.5,248.0,,,,,,,,344.0,0.05,5m,0.9,0.7,1.5,504.0,,,,,,,,320.0,0.05,6m,1.0,0.5,1.5,320.0,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
1,1,-20.599289421820682,2025-06-21 01:01:05.203526,2025-06-21 01:01:06.673202,0 days 00:00:01.469676,216.0,0.025,8m,0.6,0.7,3.0,712.0,984.0,0.025,6m,0.8,0.9,2.5,592.0,40.0,0.05,1m,0.5,0.5,1.5,416.0,808.0,0.05,7m,1.0,0.6,2.5,1008.0,176.0,0.05,9m,0.7,0.7,2.5,464.0,,,,,,,,112.0,0.05,3m,0.9,0.9,2.0,288.0,488.0,0.05,7m,1.0,0.9,2.5,512.0,,,,,,,,152.0,0.025,9m,0.6,0.9,2.5,1016.0,,,,,,,,576.0,0.025,10m,0.6,0.9,1.5,384.0,,,,,,,,0.3,9,COMPLETE
2,2,-5.951843642931726,2025-06-21 01:01:06.699252,2025-06-21 01:01:08.331534,0 days 00:00:01.632282,,,,,,,,,,,,,,,432.0,0.05,3m,0.8,1.0,2.0,280.0,96.0,0.05,9m,0.6,0.8,1.5,560.0,888.0,0.05,5m,1.0,0.7,1.5,456.0,,,,,,,,496.0,0.05,7m,1.0,0.8,2.5,672.0,368.0,0.05,8m,0.6,0.8,3.0,376.0,,,,,,,,384.0,0.05,9m,0.9,0.8,2.0,384.0,920.0,0.025,9m,0.6,0.6,3.0,608.0,488.0,0.05,7m,0.5,1.0,2.0,352.0,584.0,0.025,8m,0.9,0.5,2.5,376.0,0.15000000000000002,9,COMPLETE
3,3,-5.588356035472061,2025-06-21 01:01:08.355557,2025-06-21 01:01:09.136241,0 days 00:00:00.780684,,,,,,,,,,,,,,,,,,,,,,264.0,0.05,10m,1.0,0.5,2.5,720.0,,,,,,,,600.0,0.05,10m,0.7,0.9,2.0,224.0,,,,,,,,144.0,0.05,4m,0.5,0.6,2.0,632.0,848.0,0.025,6m,0.7,0.9,1.5,672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
4,4,-3.9501702861438655,2025-06-21 01:01:09.156270,2025-06-21 01:01:10.521531,0 days 00:00:01.365261,864.0,0.05,2m,1.0,0.7,3.0,168.0,344.0,0.05,4m,0.5,0.7,3.0,600.0,,,,,,,,,,,,,,,392.0,0.025,5m,1.0,0.7,1.5,144.0,,,,,,,,,,,,,,,216.0,0.025,10m,0.9,0.6,2.5,480.0,,,,,,,,656.0,0.05,6m,0.5,0.8,3.0,208.0,112.0,0.025,3m,0.6,0.5,3.0,248.0,88.0,0.025,8m,1.0,0.6,2.0,848.0,816.0,0.05,7m,1.0,0.9,3.0,1008.0,0.4,8,COMPLETE
5,5,-10.346090246483953,2025-06-21 01:01:10.542549,2025-06-21 01:01:11.436088,0 days 00:00:00.893539,,,,,,,,800.0,0.025,10m,0.7,0.6,1.5,552.0,936.0,0.025,1m,0.5,0.9,2.5,976.0,224.0,0.025,8m,0.6,0.8,1.5,984.0,,,,,,,,1000.0,0.025,9m,1.0,0.5,2.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.0,0.025,5m,1.0,0.8,2.5,528.0,288.0,0.025,4m,0.7,0.6,2.0,912.0,0.35000000000000003,6,COMPLETE
6,6,-0.708804717795659,2025-06-21 01:01:11.456109,2025-06-21 01:01:12.090811,0 days 00:00:00.634702,,,,,,,,,,,,,,,720.0,0.025,4m,0.6,1.0,1.5,784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.0,0.025,2m,0.8,0.5,1.5,832.0,,,,,,,,672.0,0.05,4m,1.0,0.6,1.5,776.0,608.0,0.05,2m,0.9,1.0,1.5,472.0,0.4,4,COMPLETE
7,7,-9.846525480683347,2025-06-21 01:01:12.113836,2025-06-21 01:01:12.714616,0 days 00:00:00.600780,392.0,0.05,7m,0.5,0.9,1.5,104.0,,,,,,,,,,,,,,,,,,,,,,992.0,0.025,2m,0.9,0.9,1.5,720.0,,,,,,,,,,,,,,,,,,,,,,264.0,0.025,5m,0.9,0.5,2.0,240.0,624.0,0.025,8m,0.8,0.9,1.5,528.0,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
8,8,-0.3022192369015808,2025-06-21 01:01:12.733516,2025-06-21 01:01:13.054909,0 days 00:00:00.321393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.0,0.05,3m,1.0,0.9,2.0,960.0,,,,,,,,704.0,0.05,7m,0.5,0.7,3.0,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,-2.1263742871337366,2025-06-21 01:01:13.073922,2025-06-21 01:01:14.117344,0 days 00:00:01.043422,,,,,,,,,,,,,,,,,,,,,,976.0,0.05,10m,0.6,0.7,3.0,280.0,264.0,0.025,6m,0.6,0.7,1.5,536.0,584.0,0.025,1m,0.9,0.6,1.5,744.0,344.0,0.025,10m,0.6,0.7,2.0,40.0,,,,,,,,,,,,,,,952.0,0.05,1m,0.6,0.5,3.0,496.0,,,,,,,,560.0,0.025,4m,0.5,0.6,2.0,528.0,312.0,0.025,8m,0.8,0.6,2.5,792.0,0.1,7,COMPLETE
