date,time,PRICE_XLYsynprice_XLYsynprice_ON_XLY,PRICE_XLY_XLYsynprice_ON_XLY,BETA_XLYsynprice_ON_XLY,SPREAD_XLYsynprice_ON_XLY,Z_XLYsynprice_ON_XLY,Z_VOL_XLYsynprice_ON_XLY,market_close,SIGNAL_XLYsynprice_ON_XLY,POS_XLYsynprice_ON_XLY,POS_BETA_XLYsynprice_ON_XLY,PAIR_BASE_XLYsynprice_ON_XLY,PAIR_RET_XLYsynprice_ON_XLY,SL_XLYsynprice_ON_XLY,LOSS_XLYsynprice_ON_XLY,COOLDOWN_XLYsynprice_ON_XLY,CAPITAL_XLYsynprice_ON_XLY,REMAINING_CAPITAL,CAPITAL,PORT_RET
2024-01-26,14:30:00.000000000,396.17717068085136,171.55,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:31:00.000000000,397.0168650311171,171.6,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:32:00.000000000,396.92001951446383,171.8,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:33:00.000000000,396.82192885205484,171.89,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:34:00.000000000,397.05413727210646,171.74,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:35:00.000000000,395.7374964936438,171.86,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:36:00.000000000,394.44654565249874,171.8,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:37:00.000000000,394.6016026549143,171.82,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:38:00.000000000,394.2966201921081,171.87,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:39:00.000000000,394.6399978226057,171.91,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:40:00.000000000,395.27154230366557,171.67,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:41:00.000000000,395.23929669727414,171.68,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:42:00.000000000,395.3236845111036,171.64,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:43:00.000000000,395.31715948054284,171.68,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:44:00.000000000,396.1863360398883,171.92,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:45:00.000000000,396.2501279551015,171.79,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:46:00.000000000,396.1583130959068,171.87,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:47:00.000000000,396.27779696523976,171.8,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
