date,time,PRICE_XLYsynprice_XLYsynprice_ON_XLY,PRICE_XLY_XLYsynprice_ON_XLY,BETA_XLYsynprice_ON_XLY,SPREAD_XLYsynprice_ON_XLY,Z_XLYsynprice_ON_XLY,Z_VOL_XLYsynprice_ON_XLY,market_close,SIGNAL_XLYsynprice_ON_XLY,POS_XLYsynprice_ON_XLY,POS_BETA_XLYsynprice_ON_XLY,PAIR_BASE_XLYsynprice_ON_XLY,PAIR_RET_XLYsynprice_ON_XLY,SL_XLYsynprice_ON_XLY,LOSS_XLYsynprice_ON_XLY,COOLDOWN_XLYsynprice_ON_XLY,CAPITAL_XLYsynprice_ON_XLY,REMAINING_CAPITAL,CAPITAL,PORT_RET
2022-12-28,14:30:00.000000000,256.67690297937213,127.045,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:31:00.000000000,256.5294712618676,127.18,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:32:00.000000000,256.67498404991926,127.5782,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:33:00.000000000,257.6220246488694,127.91,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:34:00.000000000,257.30362678887406,127.95,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:35:00.000000000,257.3574982574755,128.35,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:36:00.000000000,258.2778040372384,128.24,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:37:00.000000000,258.1720233803262,128.12,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:38:00.000000000,258.03656709832677,128.06,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:39:00.000000000,258.2347171214401,128.2,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:40:00.000000000,258.4822252396556,128.32,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:41:00.000000000,258.5227301322369,128.3,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:42:00.000000000,258.7692001188267,128.48,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:43:00.000000000,258.61507314308926,128.37,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:44:00.000000000,258.4435370189101,128.12,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:45:00.000000000,258.5510997347694,128.27,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:46:00.000000000,258.2493604696918,128.32,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:47:00.000000000,258.5974073480203,128.29,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:48:00.000000000,258.4162634248743,128.48,1.5692420246047374,56.800048103657616,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:49:00.000000000,258.39737684591876,128.58,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:50:00.000000000,257.99274626061697,128.26,1.543869192963291,59.97608357114527,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
