,number,value,datetime_start,datetime_complete,duration,params_AAL_ADSK_beta_win,params_AAL_ADSK_trade_freq,params_AAL_ADSK_z_entry,params_AAL_ADSK_z_exit,params_AAL_ADSK_z_win,params_ATVI_SIRI_beta_win,params_ATVI_SIRI_trade_freq,params_ATVI_SIRI_z_entry,params_ATVI_SIRI_z_exit,params_ATVI_SIRI_z_win,params_BIDU_NTAP_beta_win,params_BIDU_NTAP_trade_freq,params_BIDU_NTAP_z_entry,params_BIDU_NTAP_z_exit,params_BIDU_NTAP_z_win,params_BMRN_WDAY_beta_win,params_BMRN_WDAY_trade_freq,params_BMRN_WDAY_z_entry,params_BMRN_WDAY_z_exit,params_BMRN_WDAY_z_win,params_CSCO_PAYX_beta_win,params_CSCO_PAYX_trade_freq,params_CSCO_PAYX_z_entry,params_CSCO_PAYX_z_exit,params_CSCO_PAYX_z_win,params_INTC_LULU_beta_win,params_INTC_LULU_trade_freq,params_INTC_LULU_z_entry,params_INTC_LULU_z_exit,params_INTC_LULU_z_win,params_MELI_ULTA_beta_win,params_MELI_ULTA_trade_freq,params_MELI_ULTA_z_entry,params_MELI_ULTA_z_exit,params_MELI_ULTA_z_win,params_NTES_SYMC_beta_win,params_NTES_SYMC_trade_freq,params_NTES_SYMC_z_entry,params_NTES_SYMC_z_exit,params_NTES_SYMC_z_win,params_NVDA_SIRI_beta_win,params_NVDA_SIRI_trade_freq,params_NVDA_SIRI_z_entry,params_NVDA_SIRI_z_exit,params_NVDA_SIRI_z_win,params_WDC_SIRI_beta_win,params_WDC_SIRI_trade_freq,params_WDC_SIRI_z_entry,params_WDC_SIRI_z_exit,params_WDC_SIRI_z_win,params_pairs_to_trade,state
190,190,,2025-05-29 23:41:46.098343,2025-05-29 23:41:46.487668,0 days 00:00:00.389325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,24m,1.4000000000000001,-1.2999999999999998,950,,,,,,940,22m,3.4000000000000004,-1.4,940,1,FAIL
191,191,,2025-05-29 23:41:46.487668,2025-05-29 23:41:46.883859,0 days 00:00:00.396191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,55m,0.2,-1.2999999999999998,960,,,,,,930,22m,3.4000000000000004,-1.4,470,1,FAIL
192,192,,2025-05-29 23:41:46.893835,2025-05-29 23:41:47.274473,0 days 00:00:00.380638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,42m,0.2,-0.7999999999999998,970,,,,,,940,58m,3.4000000000000004,-1.4,470,1,FAIL
193,193,,2025-05-29 23:41:47.284700,2025-05-29 23:41:47.665877,0 days 00:00:00.381177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,35m,0.2,-1.4,610,,,,,,300,58m,1.4000000000000001,-1.4,160,1,FAIL
194,194,,2025-05-29 23:41:47.665877,2025-05-29 23:41:48.066264,0 days 00:00:00.400387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,45m,0.2,-1.4,960,,,,,,350,58m,3.4000000000000004,-1.4,940,1,FAIL
195,195,,2025-05-29 23:41:48.066264,2025-05-29 23:41:48.478138,0 days 00:00:00.411874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,42m,1.4000000000000001,-1.5999999999999999,940,,,,,,940,58m,3.4000000000000004,-2.9,150,1,FAIL
196,196,,2025-05-29 23:41:48.484023,2025-05-29 23:41:48.868511,0 days 00:00:00.384488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,42m,0.5,-1.4,760,,,,,,360,35m,2.1,-1.0999999999999996,130,1,FAIL
197,197,,2025-05-29 23:41:48.876537,2025-05-29 23:41:49.254668,0 days 00:00:00.378131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,55m,1.4000000000000001,-0.2999999999999998,970,,,,,,350,43m,3.4000000000000004,-1.4,930,1,FAIL
198,198,,2025-05-29 23:41:49.265219,2025-05-29 23:41:49.690193,0 days 00:00:00.424974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,55m,1.4000000000000001,-1.2999999999999998,940,,,,,,940,42m,2.0,-1.4,730,1,FAIL
199,199,,2025-05-29 23:41:49.690193,2025-05-29 23:41:50.121163,0 days 00:00:00.430970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,24m,0.2,-1.4,610,,,,,,350,43m,1.9000000000000001,-1.4,940,1,FAIL
