,number,value,datetime_start,datetime_complete,duration,params_AAL_WBA_beta_win,params_AAL_WBA_trade_freq,params_AAL_WBA_z_entry,params_AAL_WBA_z_exit,params_AAL_WBA_z_win,params_ADI_WBA_beta_win,params_ADI_WBA_trade_freq,params_ADI_WBA_z_entry,params_ADI_WBA_z_exit,params_ADI_WBA_z_win,params_JD_WBA_beta_win,params_JD_WBA_trade_freq,params_JD_WBA_z_entry,params_JD_WBA_z_exit,params_JD_WBA_z_win,params_SIRI_WBA_beta_win,params_SIRI_WBA_trade_freq,params_SIRI_WBA_z_entry,params_SIRI_WBA_z_exit,params_SIRI_WBA_z_win,params_WYNN_WBA_beta_win,params_WYNN_WBA_trade_freq,params_WYNN_WBA_z_entry,params_WYNN_WBA_z_exit,params_WYNN_WBA_z_win,params_pairs_to_trade,state
159,159,,2025-05-29 23:39:26.291951,2025-05-29 23:39:26.597643,0 days 00:00:00.305692,540,32m,1.4000000000000001,-0.8999999999999999,420,,,,,,,,,,,,,,,,,,,,,1,FAIL
160,160,,2025-05-29 23:39:26.597643,2025-05-29 23:39:26.854234,0 days 00:00:00.256591,660,51m,1.4000000000000001,-0.8999999999999999,880,,,,,,,,,,,,,,,,,,,,,1,FAIL
161,161,,2025-05-29 23:39:26.854234,2025-05-29 23:39:27.110642,0 days 00:00:00.256408,620,51m,1.4000000000000001,-1.5,960,,,,,,,,,,,,,,,,,,,,,1,FAIL
162,162,,2025-05-29 23:39:27.110642,2025-05-29 23:39:27.398705,0 days 00:00:00.288063,630,40m,2.5,-1.5,780,,,,,,,,,,,,,,,,,,,,,1,FAIL
163,163,,2025-05-29 23:39:27.398705,2025-05-29 23:39:27.683518,0 days 00:00:00.284813,640,36m,1.4000000000000001,-0.8999999999999999,940,,,,,,,,,,,,,,,,,,,,,1,FAIL
164,164,,2025-05-29 23:39:27.683518,2025-05-29 23:39:27.956953,0 days 00:00:00.273435,630,36m,1.4000000000000001,-0.6999999999999997,950,,,,,,,,,,,,,,,,,,,,,1,FAIL
165,165,,2025-05-29 23:39:27.956953,2025-05-29 23:39:28.228922,0 days 00:00:00.271969,660,43m,1.4000000000000001,-0.8999999999999999,930,,,,,,,,,,,,,,,,,,,,,1,FAIL
166,166,,2025-05-29 23:39:28.228922,2025-05-29 23:39:28.503827,0 days 00:00:00.274905,630,57m,1.4000000000000001,-0.8999999999999999,940,,,,,,,,,,,,,,,,,,,,,1,FAIL
167,167,,2025-05-29 23:39:28.503827,2025-05-29 23:39:28.762139,0 days 00:00:00.258312,620,59m,1.6,-0.8999999999999999,90,,,,,,,,,,,,,,,,,,,,,1,FAIL
168,168,,2025-05-29 23:39:28.762139,2025-05-29 23:39:29.040058,0 days 00:00:00.277919,640,46m,1.4000000000000001,-0.8999999999999999,950,,,,,,,,,,,,,,,,,,,,,1,FAIL
169,169,,2025-05-29 23:39:29.040058,2025-05-29 23:39:29.307826,0 days 00:00:00.267768,660,32m,2.5,-1.5,910,,,,,,,,,,,,,,,,,,,,,1,FAIL
170,170,,2025-05-29 23:39:29.307826,2025-05-29 23:39:29.567760,0 days 00:00:00.259934,650,46m,1.4000000000000001,-0.8999999999999999,900,,,,,,,,,,,,,,,,,,,,,1,FAIL
171,171,,2025-05-29 23:39:29.567760,2025-05-29 23:39:29.834490,0 days 00:00:00.266730,660,19m,1.4000000000000001,-0.8999999999999999,910,,,,,,,,,,,,,,,,,,,,,1,FAIL
172,172,,2025-05-29 23:39:29.836727,2025-05-29 23:39:30.090252,0 days 00:00:00.253525,660,19m,2.5,-0.8999999999999999,950,,,,,,,,,,,,,,,,,,,,,1,FAIL
173,173,,2025-05-29 23:39:30.090252,2025-05-29 23:39:30.379885,0 days 00:00:00.289633,660,57m,1.4000000000000001,-0.8999999999999999,910,,,,,,,,,,,,,,,,,,,,,1,FAIL
174,174,,2025-05-29 23:39:30.379885,2025-05-29 23:39:30.647868,0 days 00:00:00.267983,620,57m,1.4000000000000001,-0.8999999999999999,90,,,,,,,,,,,,,,,,,,,,,1,FAIL
175,175,,2025-05-29 23:39:30.647868,2025-05-29 23:39:30.905051,0 days 00:00:00.257183,550,51m,1.4000000000000001,-0.8999999999999999,970,,,,,,,,,,,,,,,,,,,,,1,FAIL
176,176,,2025-05-29 23:39:30.921276,2025-05-29 23:39:31.179377,0 days 00:00:00.258101,630,43m,1.4000000000000001,-0.8999999999999999,870,,,,,,,,,,,,,,,,,,,,,1,FAIL
177,177,,2025-05-29 23:39:31.195927,2025-05-29 23:39:31.471947,0 days 00:00:00.276020,630,36m,1.4000000000000001,-0.8999999999999999,920,,,,,,,,,,,,,,,,,,,,,1,FAIL
178,178,,2025-05-29 23:39:31.471947,2025-05-29 23:39:31.732266,0 days 00:00:00.260319,620,53m,2.5,-1.5,1000,,,,,,,,,,,,,,,,,,,,,1,FAIL
179,179,,2025-05-29 23:39:31.732266,2025-05-29 23:39:32.039103,0 days 00:00:00.306837,630,43m,1.4000000000000001,-1.5,980,,,,,,,,,,,,,,,,,,,,,1,FAIL
180,180,,2025-05-29 23:39:32.039103,2025-05-29 23:39:32.316013,0 days 00:00:00.276910,660,31m,1.4000000000000001,-1.4,430,,,,,,,,,,,,,,,,,,,,,1,FAIL
181,181,,2025-05-29 23:39:32.316013,2025-05-29 23:39:32.585958,0 days 00:00:00.269945,640,40m,1.4000000000000001,-0.8999999999999999,930,,,,,,,,,,,,,,,,,,,,,1,FAIL
182,182,,2025-05-29 23:39:32.585958,2025-05-29 23:39:32.839641,0 days 00:00:00.253683,650,48m,1.4000000000000001,-0.8999999999999999,950,,,,,,,,,,,,,,,,,,,,,1,FAIL
183,183,,2025-05-29 23:39:32.855444,2025-05-29 23:39:33.118427,0 days 00:00:00.262983,660,48m,1.4000000000000001,-0.8999999999999999,1000,,,,,,,,,,,,,,,,,,,,,1,FAIL
184,184,,2025-05-29 23:39:33.134490,2025-05-29 23:39:33.401262,0 days 00:00:00.266772,540,51m,1.6,-0.6999999999999997,930,,,,,,,,,,,,,,,,,,,,,1,FAIL
185,185,-0.3589338743284102,2025-05-29 23:39:33.407354,2025-05-29 23:39:33.676600,0 days 00:00:00.269246,650,13m,2.5,-1.5999999999999999,420,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
186,186,,2025-05-29 23:39:33.676600,2025-05-29 23:39:33.977173,0 days 00:00:00.300573,560,48m,1.4000000000000001,-0.8999999999999999,940,,,,,,,,,,,,,,,,,,,,,1,FAIL
187,187,,2025-05-29 23:39:33.977173,2025-05-29 23:39:34.252384,0 days 00:00:00.275211,550,19m,1.6,-0.6999999999999997,870,,,,,,,,,,,,,,,,,,,,,1,FAIL
188,188,-2.165421528981823,2025-05-29 23:39:34.262769,2025-05-29 23:39:34.534165,0 days 00:00:00.271396,540,19m,1.6,-0.8999999999999999,30,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
189,189,,2025-05-29 23:39:34.544785,2025-05-29 23:39:34.818173,0 days 00:00:00.273388,490,53m,0.8,-2.0,910,,,,,,,,,,,,,,,,,,,,,1,FAIL
190,190,,2025-05-29 23:39:34.828266,2025-05-29 23:39:35.101895,0 days 00:00:00.273629,480,51m,1.0,-0.6999999999999997,910,,,,,,,,,,,,,,,,,,,,,1,FAIL
191,191,,2025-05-29 23:39:35.110091,2025-05-29 23:39:35.381840,0 days 00:00:00.271749,620,51m,1.4000000000000001,-2.0,950,,,,,,,,,,,,,,,,,,,,,1,FAIL
192,192,,2025-05-29 23:39:35.385701,2025-05-29 23:39:35.652934,0 days 00:00:00.267233,620,48m,1.4000000000000001,-0.6999999999999997,940,,,,,,,,,,,,,,,,,,,,,1,FAIL
193,193,,2025-05-29 23:39:35.652934,2025-05-29 23:39:35.922874,0 days 00:00:00.269940,620,53m,1.4000000000000001,-1.4,930,,,,,,,,,,,,,,,,,,,,,1,FAIL
194,194,,2025-05-29 23:39:35.922874,2025-05-29 23:39:36.190602,0 days 00:00:00.267728,620,32m,1.4000000000000001,-0.6999999999999997,1000,,,,,,,,,,,,,,,,,,,,,1,FAIL
195,195,,2025-05-29 23:39:36.190602,2025-05-29 23:39:36.469068,0 days 00:00:00.278466,490,48m,1.4000000000000001,-0.6999999999999997,870,,,,,,,,,,,,,,,,,,,,,1,FAIL
196,196,,2025-05-29 23:39:36.469068,2025-05-29 23:39:36.726825,0 days 00:00:00.257757,490,59m,1.4000000000000001,-0.6999999999999997,620,,,,,,,,,,,,,,,,,,,,,1,FAIL
197,197,,2025-05-29 23:39:36.740643,2025-05-29 23:39:36.987771,0 days 00:00:00.247128,620,31m,1.4000000000000001,-2.0,780,,,,,,,,,,,,,,,,,,,,,1,FAIL
198,198,,2025-05-29 23:39:36.997827,2025-05-29 23:39:37.256520,0 days 00:00:00.258693,620,43m,1.0,-0.6999999999999997,880,,,,,,,,,,,,,,,,,,,,,1,FAIL
199,199,,2025-05-29 23:39:37.256520,2025-05-29 23:39:37.515637,0 days 00:00:00.259117,620,59m,1.4000000000000001,-0.6999999999999997,940,,,,,,,,,,,,,,,,,,,,,1,FAIL
