,number,value,datetime_start,datetime_complete,duration,params_AAPL_TSLA_beta_win,params_AAPL_TSLA_trade_freq,params_AAPL_TSLA_z_entry,params_AAPL_TSLA_z_exit,params_AAPL_TSLA_z_win,params_AMAT_DXCM_beta_win,params_AMAT_DXCM_trade_freq,params_AMAT_DXCM_z_entry,params_AMAT_DXCM_z_exit,params_AMAT_DXCM_z_win,params_INTC_AMGN_beta_win,params_INTC_AMGN_trade_freq,params_INTC_AMGN_z_entry,params_INTC_AMGN_z_exit,params_INTC_AMGN_z_win,params_TTWO_AMGN_beta_win,params_TTWO_AMGN_trade_freq,params_TTWO_AMGN_z_entry,params_TTWO_AMGN_z_exit,params_TTWO_AMGN_z_win,params_VRTX_AMGN_beta_win,params_VRTX_AMGN_trade_freq,params_VRTX_AMGN_z_entry,params_VRTX_AMGN_z_exit,params_VRTX_AMGN_z_win,params_XEL_AMGN_beta_win,params_XEL_AMGN_trade_freq,params_XEL_AMGN_z_entry,params_XEL_AMGN_z_exit,params_XEL_AMGN_z_win,params_pairs_to_trade,state
0,0,-2.1128151789129115,2025-05-29 23:51:42.628784,2025-05-29 23:51:43.048066,0 days 00:00:00.419282,550,21m,1.8,-1.1999999999999997,780,,,,,,400,22m,0.2,-1.0999999999999996,640,990.0,24m,2.6,-1.9,690.0,,,,,,,,,,,2,COMPLETE
1,1,1.0042833967420004,2025-05-29 23:51:43.048066,2025-05-29 23:51:43.448237,0 days 00:00:00.400171,240,21m,2.7,-2.0999999999999996,630,,,,,,20,34m,1.0,-1.5,230,510.0,35m,3.0,-3.1,530.0,,,,,,,,,,,2,COMPLETE
2,2,1.2464968081844012,2025-05-29 23:51:43.464272,2025-05-29 23:51:44.040149,0 days 00:00:00.575877,390,41m,0.1,-1.0999999999999996,220,250.0,15m,0.4,-2.6,380.0,720,12m,2.3000000000000003,-2.3,430,90.0,16m,3.0,-1.5999999999999999,620.0,540.0,38m,0.6000000000000001,-1.7999999999999998,810.0,,,,,,4,COMPLETE
3,3,2.433687711492637,2025-05-29 23:51:44.040149,2025-05-29 23:51:44.712589,0 days 00:00:00.672440,10,23m,0.5,-1.0999999999999996,820,430.0,58m,1.7000000000000002,0.0,190.0,190,4m,0.9,-3.4,210,530.0,18m,1.6,-3.3,740.0,300.0,48m,2.0,-1.0,920.0,960.0,2m,3.1,-0.09999999999999964,190.0,5,COMPLETE
4,4,0.5845412041522385,2025-05-29 23:51:44.720047,2025-05-29 23:51:45.192337,0 days 00:00:00.472290,870,29m,1.6,-0.2999999999999998,570,740.0,11m,0.7000000000000001,-0.5999999999999996,290.0,120,15m,0.30000000000000004,-2.8,970,170.0,42m,2.1,-3.1,850.0,,,,,,,,,,,3,COMPLETE
5,5,0.22702413820390455,2025-05-29 23:51:45.192337,2025-05-29 23:51:45.522586,0 days 00:00:00.330249,20,8m,1.3,-2.7,790,,,,,,490,39m,0.5,-1.0,460,,,,,,,,,,,,,,,,1,COMPLETE
6,6,,2025-05-29 23:51:45.522586,2025-05-29 23:51:45.924171,0 days 00:00:00.401585,100,41m,1.5,-1.4,970,,,,,,760,40m,0.2,-1.9,770,540.0,41m,2.5,-0.5999999999999996,50.0,,,,,,,,,,,2,FAIL
7,7,2.0981920824699065,2025-05-29 23:51:45.930361,2025-05-29 23:51:46.487656,0 days 00:00:00.557295,960,44m,0.4,-1.7999999999999998,340,40.0,17m,1.7000000000000002,-3.0,590.0,620,35m,2.1,-3.1,910,490.0,5m,2.8000000000000003,-0.6999999999999997,490.0,440.0,26m,3.2,-0.7999999999999998,10.0,,,,,,4,COMPLETE
8,8,-2.4118509066782625,2025-05-29 23:51:46.487656,2025-05-29 23:51:47.063831,0 days 00:00:00.576175,200,37m,2.8000000000000003,-0.5999999999999996,510,70.0,48m,3.1,-0.2999999999999998,210.0,890,11m,1.6,-3.2,180,550.0,55m,1.3,-1.0,900.0,500.0,23m,0.30000000000000004,-2.3,980.0,,,,,,4,COMPLETE
9,9,,2025-05-29 23:51:47.063831,2025-05-29 23:51:47.384645,0 days 00:00:00.320814,580,49m,0.2,-1.0999999999999996,400,,,,,,380,21m,0.9,-0.19999999999999973,750,,,,,,,,,,,,,,,,1,FAIL
10,10,0.5498434649648134,2025-05-29 23:51:47.384645,2025-05-29 23:51:47.784614,0 days 00:00:00.399969,110,9m,1.8,-0.5999999999999996,380,,,,,,580,9m,0.5,-0.3999999999999999,510,890.0,26m,0.7000000000000001,-0.09999999999999964,970.0,,,,,,,,,,,2,COMPLETE
11,11,2.8798653236066736,2025-05-29 23:51:47.784614,2025-05-29 23:51:48.181812,0 days 00:00:00.397198,980,18m,0.6000000000000001,-2.0,990,,,,,,150,15m,1.4000000000000001,-1.7999999999999998,580,800.0,44m,1.9000000000000001,-1.5,410.0,,,,,,,,,,,2,COMPLETE
12,12,,2025-05-29 23:51:48.197659,2025-05-29 23:51:48.568399,0 days 00:00:00.370740,720,18m,1.0,-3.4,980,,,,,,290,20m,3.2,-2.0999999999999996,730,,,,,,,,,,,,,,,,1,FAIL
13,13,,2025-05-29 23:51:48.568399,2025-05-29 23:51:48.953715,0 days 00:00:00.385316,720,18m,1.0,-3.2,980,,,,,,330,28m,3.5,-2.2,720,,,,,,,,,,,,,,,,1,FAIL
14,14,2.154394445578935,2025-05-29 23:51:48.953715,2025-05-29 23:51:49.333142,0 days 00:00:00.379427,780,10m,3.5,-3.5,960,,,,,,280,6m,3.2,-2.0,740,,,,,,,,,,,,,,,,1,COMPLETE
15,15,-2.9770921383906734,2025-05-29 23:51:49.335808,2025-05-29 23:51:50.201079,0 days 00:00:00.865271,650,23m,0.7000000000000001,-2.2,1000,510.0,58m,2.4000000000000004,-1.4,910.0,230,4m,1.2000000000000002,-3.5,30,740.0,44m,1.5,-2.2,170.0,20.0,48m,2.2,0.0,460.0,1000.0,57m,3.3000000000000003,-0.19999999999999973,200.0,5,COMPLETE
16,16,-0.39215620270753,2025-05-29 23:51:50.205464,2025-05-29 23:51:51.081534,0 days 00:00:00.876070,380,39m,0.9,-1.1999999999999997,810,970.0,58m,1.5,-1.5999999999999999,10.0,280,29m,1.2000000000000002,-2.5,230,710.0,21m,0.0,-3.5,260.0,900.0,46m,1.8,-3.4,600.0,750.0,36m,2.5,-3.2,70.0,5,COMPLETE
17,17,-0.7691741753313811,2025-05-29 23:51:51.081534,2025-05-29 23:51:51.714006,0 days 00:00:00.632472,700,56m,0.0,-2.5,880,440.0,27m,3.4000000000000004,0.0,630.0,10,13m,2.7,-0.19999999999999973,670,350.0,18m,2.1,-2.5,350.0,,,,,,,,,,,3,COMPLETE
18,18,-1.1062425434940124,2025-05-29 23:51:51.714006,2025-05-29 23:51:52.237089,0 days 00:00:00.523083,990,18m,1.1,-1.5,10,,,,,,160,57m,1.7000000000000002,-1.5999999999999999,340,740.0,46m,0.9,-1.2999999999999998,740.0,,,,,,,,,,,2,COMPLETE
19,19,-2.2534843791955885,2025-05-29 23:51:52.237089,2025-05-29 23:51:53.135283,0 days 00:00:00.898194,470,22m,0.5,-3.1,680,560.0,40m,1.1,-0.8999999999999999,10.0,380,24m,1.0,-1.0,30,320.0,48m,2.0,-2.7,30.0,100.0,48m,2.9000000000000004,-0.7999999999999998,380.0,90.0,31m,0.5,-0.09999999999999964,920.0,5,COMPLETE
20,20,,2025-05-29 23:51:53.139861,2025-05-29 23:51:53.738660,0 days 00:00:00.598799,260,54m,2.4000000000000004,0.0,900,310.0,43m,2.3000000000000003,-2.3,820.0,130,49m,1.5,-2.2,570,640.0,20m,3.5,-0.3999999999999999,410.0,,,,,,,,,,,3,FAIL
21,21,1.0227691837647976,2025-05-29 23:51:53.748261,2025-05-29 23:51:54.373489,0 days 00:00:00.625228,280,2m,2.3000000000000003,-1.7999999999999998,910,340.0,12m,2.5,-2.3,820.0,120,21m,0.8,-2.2,800,630.0,7m,1.0,-1.7999999999999998,400.0,,,,,,,,,,,3,COMPLETE
22,22,,2025-05-29 23:51:54.377335,2025-05-29 23:51:55.106037,0 days 00:00:00.728702,540,25m,1.3,0.0,720,720.0,32m,2.3000000000000003,-3.3,180.0,380,59m,1.5,-2.7,560,850.0,30m,1.7000000000000002,-0.5,780.0,320.0,34m,1.1,-0.8999999999999999,1000.0,,,,,,4,FAIL
23,23,,2025-05-29 23:51:55.106037,2025-05-29 23:51:55.842974,0 days 00:00:00.736937,570,28m,0.4,-0.09999999999999964,700,700.0,54m,2.4000000000000004,-3.4,140.0,390,59m,1.4000000000000001,-2.7,580,880.0,52m,1.7000000000000002,-0.5,740.0,280.0,31m,1.1,-1.0,960.0,,,,,,4,FAIL
24,24,-1.1882723711489485,2025-05-29 23:51:55.842974,2025-05-29 23:51:56.563855,0 days 00:00:00.720881,560,58m,1.3,-0.7999999999999998,680,720.0,2m,0.0,-1.0999999999999996,200.0,430,3m,1.5,-2.7,590,850.0,47m,3.4000000000000004,0.0,800.0,280.0,2m,1.1,-1.1999999999999997,970.0,,,,,,4,COMPLETE
25,25,0.9022468283179561,2025-05-29 23:51:56.564422,2025-05-29 23:51:56.960340,0 days 00:00:00.395918,850,15m,0.4,0.0,870,,,,,,960,19m,0.0,-0.5,360,,,,,,,,,,,,,,,,1,COMPLETE
26,26,1.9756367682666056,2025-05-29 23:51:56.960340,2025-05-29 23:51:57.533209,0 days 00:00:00.572869,20,20m,0.8,-1.4,980,,,,,,300,41m,2.4000000000000004,-3.4,160,330.0,3m,1.6,-0.6999999999999997,600.0,,,,,,,,,,,2,COMPLETE
27,27,1.3559024174504968,2025-05-29 23:51:57.544395,2025-05-29 23:51:58.248998,0 days 00:00:00.704603,700,48m,0.0,-2.0999999999999996,730,200.0,53m,2.3000000000000003,-1.7999999999999998,460.0,190,48m,1.9000000000000001,-1.7999999999999998,550,1000.0,13m,2.4000000000000004,-2.2,440.0,,,,,,,,,,,3,COMPLETE
28,28,2.347417133616044,2025-05-29 23:51:58.248998,2025-05-29 23:51:58.644599,0 days 00:00:00.395601,840,19m,3.4000000000000004,-3.2,960,,,,,,350,6m,3.5,-2.0,720,,,,,,,,,,,,,,,,1,COMPLETE
29,29,,2025-05-29 23:51:58.656282,2025-05-29 23:51:59.045309,0 days 00:00:00.389027,920,19m,3.5,-2.9,880,,,,,,350,15m,3.4000000000000004,-1.4,830,,,,,,,,,,,,,,,,1,FAIL
30,30,2.153103297424127,2025-05-29 23:51:59.045309,2025-05-29 23:51:59.437341,0 days 00:00:00.392032,880,19m,3.5,-3.5,870,,,,,,350,6m,3.4000000000000004,-1.2999999999999998,830,,,,,,,,,,,,,,,,1,COMPLETE
31,31,,2025-05-29 23:51:59.446770,2025-05-29 23:51:59.822134,0 days 00:00:00.375364,780,18m,2.4000000000000004,-3.1,1000,,,,,,90,15m,2.9000000000000004,-1.9,730,,,,,,,,,,,,,,,,1,FAIL
32,32,2.863199666113283,2025-05-29 23:51:59.832574,2025-05-29 23:52:00.246436,0 days 00:00:00.413862,780,50m,2.4000000000000004,-3.0,1000,,,,,,100,7m,2.8000000000000003,-2.0,710,,,,,,,,,,,,,,,,1,COMPLETE
33,33,0.19677925508843785,2025-05-29 23:52:00.249085,2025-05-29 23:52:00.767836,0 days 00:00:00.518751,960,33m,2.2,-2.6,830,,,,,,70,5m,2.7,-2.9,370,410.0,10m,0.2,-1.4,280.0,,,,,,,,,,,2,COMPLETE
34,34,-1.7002664870842847,2025-05-29 23:52:00.778541,2025-05-29 23:52:01.188083,0 days 00:00:00.409542,750,18m,2.2,-3.1,1000,,,,,,200,7m,1.3,-2.3,610,,,,,,,,,,,,,,,,1,COMPLETE
35,35,0.4581236228906396,2025-05-29 23:52:01.193931,2025-05-29 23:52:01.738703,0 days 00:00:00.544772,910,50m,2.9000000000000004,-2.4,910,,,,,,70,15m,3.0,-0.6999999999999997,840,640.0,17m,0.5,-3.5,600.0,,,,,,,,,,,2,COMPLETE
36,36,-0.42517217441742566,2025-05-29 23:52:01.750340,2025-05-29 23:52:02.171264,0 days 00:00:00.420924,610,23m,1.6,-1.5,720,,,,,,90,4m,0.7000000000000001,-1.7999999999999998,700,,,,,,,,,,,,,,,,1,COMPLETE
37,37,0.43799367474788886,2025-05-29 23:52:02.171264,2025-05-29 23:52:03.017423,0 days 00:00:00.846159,450,36m,2.5,-0.8999999999999999,440,700.0,1m,1.1,-3.4,750.0,250,7m,2.0,0.0,530,850.0,45m,1.2000000000000002,-2.8,40.0,900.0,57m,2.3000000000000003,-2.6,680.0,420.0,2m,1.6,-1.7,490.0,5,COMPLETE
38,38,1.100276184778159,2025-05-29 23:52:03.017423,2025-05-29 23:52:03.655460,0 days 00:00:00.638037,750,11m,2.0,-1.7999999999999998,740,980.0,23m,2.0,0.0,160.0,460,45m,1.4000000000000001,-1.2999999999999998,610,220.0,41m,1.8,-2.0999999999999996,700.0,,,,,,,,,,,3,COMPLETE
39,39,-0.4341917449135109,2025-05-29 23:52:03.660519,2025-05-29 23:52:04.173330,0 days 00:00:00.512811,570,3m,3.2,-2.8,930,,,,,,160,17m,2.7,-2.5,430,620.0,44m,2.3000000000000003,-1.0,1000.0,,,,,,,,,,,2,COMPLETE
40,40,,2025-05-29 23:52:04.173330,2025-05-29 23:52:04.575285,0 days 00:00:00.401955,800,14m,3.2,-3.1,940,,,,,,350,42m,3.4000000000000004,-2.0,750,,,,,,,,,,,,,,,,1,FAIL
41,41,,2025-05-29 23:52:04.580748,2025-05-29 23:52:04.960075,0 days 00:00:00.379327,830,28m,3.1,-3.0,940,,,,,,350,42m,3.4000000000000004,-2.0,770,,,,,,,,,,,,,,,,1,FAIL
42,42,-0.942399764723923,2025-05-29 23:52:04.960075,2025-05-29 23:52:05.314605,0 days 00:00:00.354530,810,5m,3.0,-3.1,820,,,,,,330,26m,3.5,-2.0999999999999996,740,,,,,,,,,,,,,,,,1,COMPLETE
43,43,,2025-05-29 23:52:05.314605,2025-05-29 23:52:05.705538,0 days 00:00:00.390933,1000,55m,2.6,-3.0,940,,,,,,380,54m,3.1,-1.9,670,,,,,,,,,,,,,,,,1,FAIL
44,44,,2025-05-29 23:52:05.716520,2025-05-29 23:52:06.112090,0 days 00:00:00.395570,1000,38m,3.2,-3.3,930,,,,,,220,50m,3.1,-1.9,660,,,,,,,,,,,,,,,,1,FAIL
45,45,,2025-05-29 23:52:06.112090,2025-05-29 23:52:06.512195,0 days 00:00:00.400105,940,35m,3.2,-2.9,950,,,,,,390,42m,3.0,-1.9,670,,,,,,,,,,,,,,,,1,FAIL
46,46,,2025-05-29 23:52:06.512195,2025-05-29 23:52:06.906205,0 days 00:00:00.394010,1000,59m,3.2,-3.0,930,,,,,,210,56m,3.0,-1.9,670,,,,,,,,,,,,,,,,1,FAIL
47,47,,2025-05-29 23:52:06.916521,2025-05-29 23:52:07.314829,0 days 00:00:00.398308,930,49m,3.2,-3.2,910,,,,,,380,37m,3.1,-1.9,890,,,,,,,,,,,,,,,,1,FAIL
48,48,,2025-05-29 23:52:07.322170,2025-05-29 23:52:07.714054,0 days 00:00:00.391884,910,17m,3.2,-2.9,940,,,,,,380,40m,3.1,-1.9,670,,,,,,,,,,,,,,,,1,FAIL
49,49,,2025-05-29 23:52:07.724210,2025-05-29 23:52:08.122195,0 days 00:00:00.397985,1000,26m,3.2,-2.9,940,,,,,,220,52m,3.0,-1.5,670,,,,,,,,,,,,,,,,1,FAIL
50,50,,2025-05-29 23:52:08.126326,2025-05-29 23:52:08.494140,0 days 00:00:00.367814,920,17m,3.2,-2.9,940,,,,,,390,31m,3.0,-1.9,680,,,,,,,,,,,,,,,,1,FAIL
51,51,,2025-05-29 23:52:08.503266,2025-05-29 23:52:08.881885,0 days 00:00:00.378619,920,43m,2.5,-2.9,950,,,,,,390,52m,3.0,-1.9,750,,,,,,,,,,,,,,,,1,FAIL
52,52,,2025-05-29 23:52:08.886608,2025-05-29 23:52:09.265137,0 days 00:00:00.378529,920,30m,3.2,-3.3,930,,,,,,380,53m,3.1,-1.9,670,,,,,,,,,,,,,,,,1,FAIL
53,53,,2025-05-29 23:52:09.270051,2025-05-29 23:52:09.670081,0 days 00:00:00.400030,1000,31m,3.2,-3.3,940,,,,,,10,52m,3.0,-1.5999999999999999,700,,,,,,,,,,,,,,,,1,FAIL
54,54,,2025-05-29 23:52:09.674604,2025-05-29 23:52:10.057763,0 days 00:00:00.383159,910,54m,3.1,-2.9,950,,,,,,400,52m,3.1,-1.5999999999999999,670,,,,,,,,,,,,,,,,1,FAIL
55,55,-0.7292481209003483,2025-05-29 23:52:10.062099,2025-05-29 23:52:10.472139,0 days 00:00:00.410040,930,1m,3.2,-2.9,950,,,,,,210,20m,3.2,-1.5999999999999999,680,,,,,,,,,,,,,,,,1,COMPLETE
56,56,-0.5368320042846855,2025-05-29 23:52:10.478936,2025-05-29 23:52:10.968768,0 days 00:00:00.489832,1000,12m,0.30000000000000004,-3.2,1000,,,,,,400,58m,3.0,-1.9,760,20.0,23m,1.8,-2.5,140.0,,,,,,,,,,,2,COMPLETE
57,57,0.031886430403437305,2025-05-29 23:52:10.979338,2025-05-29 23:52:11.342063,0 days 00:00:00.362725,690,42m,2.6,-3.3,600,,,,,,20,2m,2.3000000000000003,-2.5,870,,,,,,,,,,,,,,,,1,COMPLETE
58,58,,2025-05-29 23:52:11.342063,2025-05-29 23:52:11.809439,0 days 00:00:00.467376,830,34m,1.4000000000000001,-2.3,850,,,,,,530,31m,1.0,-1.2999999999999998,950,800.0,27m,3.5,-0.5,500.0,,,,,,,,,,,2,FAIL
59,59,0.05035021403903745,2025-05-29 23:52:11.809439,2025-05-29 23:52:12.276022,0 days 00:00:00.466583,310,30m,1.1,-2.3,860,,,,,,530,51m,0.8,-1.4,940,450.0,19m,1.5,-0.2999999999999998,500.0,,,,,,,,,,,2,COMPLETE
60,60,1.121813553400866,2025-05-29 23:52:12.284358,2025-05-29 23:52:12.644721,0 days 00:00:00.360363,830,46m,0.6000000000000001,-2.9,180,,,,,,130,31m,1.1,-3.0,480,,,,,,,,,,,,,,,,1,COMPLETE
61,61,-1.8606879006133903,2025-05-29 23:52:12.653041,2025-05-29 23:52:13.116959,0 days 00:00:00.463918,170,26m,0.2,-2.0,760,,,,,,730,50m,1.8,-2.3,1000,800.0,8m,1.2000000000000002,-1.4,790.0,,,,,,,,,,,2,COMPLETE
62,62,,2025-05-29 23:52:13.116959,2025-05-29 23:52:13.819392,0 days 00:00:00.702433,930,57m,1.4000000000000001,-1.0999999999999996,930,620.0,56m,2.8000000000000003,-2.3,360.0,320,32m,2.5,-1.0999999999999996,640,920.0,50m,0.5,-3.2,330.0,720.0,49m,1.0,-0.19999999999999973,260.0,,,,,,4,FAIL
63,63,-0.40796251482370993,2025-05-29 23:52:13.819392,2025-05-29 23:52:14.513017,0 days 00:00:00.693625,110,43m,1.4000000000000001,-1.1999999999999997,930,370.0,50m,2.9000000000000004,-2.0999999999999996,370.0,330,30m,2.2,-1.1999999999999997,290,930.0,9m,3.5,-3.1,350.0,680.0,5m,1.2000000000000002,0.0,220.0,,,,,,4,COMPLETE
64,64,-0.7988866306600667,2025-05-29 23:52:14.528773,2025-05-29 23:52:15.109187,0 days 00:00:00.580414,890,59m,1.0,-0.5,530,600.0,57m,1.3,-1.1999999999999997,550.0,50,16m,2.5,-0.7999999999999998,570,550.0,15m,0.5,-1.0,900.0,,,,,,,,,,,3,COMPLETE
65,65,,2025-05-29 23:52:15.124022,2025-05-29 23:52:15.825176,0 days 00:00:00.701154,780,27m,1.6,-1.0,790,160.0,18m,2.0,-0.5,990.0,240,52m,0.30000000000000004,-1.5999999999999999,640,940.0,36m,2.4000000000000004,-2.0,670.0,250.0,18m,3.5,-1.5,770.0,,,,,,4,FAIL
66,66,1.6913072814744625,2025-05-29 23:52:15.833528,2025-05-29 23:52:16.544838,0 days 00:00:00.711310,800,54m,2.0,-1.0,790,860.0,38m,2.0,-0.5999999999999996,1000.0,250,14m,0.5,-2.7,120,940.0,14m,2.5,-1.5999999999999999,650.0,230.0,37m,2.6,-1.4,790.0,,,,,,4,COMPLETE
67,67,2.329570150765078,2025-05-29 23:52:16.553182,2025-05-29 23:52:16.925710,0 days 00:00:00.372528,770,10m,3.4000000000000004,-3.5,940,,,,,,280,6m,3.3000000000000003,-2.0999999999999996,740,,,,,,,,,,,,,,,,1,COMPLETE
68,68,,2025-05-29 23:52:16.925710,2025-05-29 23:52:17.327731,0 days 00:00:00.402021,940,51m,3.3000000000000003,-3.4,960,,,,,,160,52m,3.3000000000000003,-2.0,650,,,,,,,,,,,,,,,,1,FAIL
69,69,1.12003006078383,2025-05-29 23:52:17.327731,2025-05-29 23:52:17.708593,0 days 00:00:00.380862,760,7m,3.3000000000000003,-3.4,930,,,,,,140,18m,3.3000000000000003,-1.5999999999999999,770,,,,,,,,,,,,,,,,1,COMPLETE
70,70,2.030611243075277,2025-05-29 23:52:17.726487,2025-05-29 23:52:18.118762,0 days 00:00:00.392275,650,10m,3.1,-3.3,960,,,,,,280,6m,3.0,-2.0,730,,,,,,,,,,,,,,,,1,COMPLETE
71,71,,2025-05-29 23:52:18.123130,2025-05-29 23:52:18.502406,0 days 00:00:00.379276,940,32m,3.5,-2.7,890,,,,,,180,56m,3.5,-3.3,640,,,,,,,,,,,,,,,,1,FAIL
72,72,,2025-05-29 23:52:18.518873,2025-05-29 23:52:18.894257,0 days 00:00:00.375384,940,45m,2.8000000000000003,-2.7,880,,,,,,200,55m,3.5,-3.3,640,,,,,,,,,,,,,,,,1,FAIL
73,73,,2025-05-29 23:52:18.903274,2025-05-29 23:52:19.289503,0 days 00:00:00.386229,930,16m,2.7,-2.9,890,,,,,,180,55m,3.5,-2.0,650,,,,,,,,,,,,,,,,1,FAIL
74,74,,2025-05-29 23:52:19.289503,2025-05-29 23:52:19.668221,0 days 00:00:00.378718,940,27m,3.5,-2.7,850,,,,,,180,54m,3.5,-2.0999999999999996,650,,,,,,,,,,,,,,,,1,FAIL
75,75,,2025-05-29 23:52:19.684509,2025-05-29 23:52:20.056402,0 days 00:00:00.371893,940,34m,3.3000000000000003,-2.7,890,,,,,,180,25m,3.1,-3.3,660,,,,,,,,,,,,,,,,1,FAIL
76,76,1.3211492851223738,2025-05-29 23:52:20.056402,2025-05-29 23:52:20.446182,0 days 00:00:00.389780,850,6m,3.4000000000000004,-2.9,890,,,,,,180,1m,3.5,-1.7,890,,,,,,,,,,,,,,,,1,COMPLETE
77,77,,2025-05-29 23:52:20.446182,2025-05-29 23:52:20.831060,0 days 00:00:00.384878,920,52m,2.8000000000000003,-2.7,960,,,,,,240,44m,3.1,-2.0999999999999996,660,,,,,,,,,,,,,,,,1,FAIL
78,78,,2025-05-29 23:52:20.831060,2025-05-29 23:52:21.235445,0 days 00:00:00.404385,920,13m,2.4000000000000004,-3.5,840,,,,,,230,55m,3.1,-3.3,640,,,,,,,,,,,,,,,,1,FAIL
79,79,,2025-05-29 23:52:21.235445,2025-05-29 23:52:21.610701,0 days 00:00:00.375256,930,57m,2.8000000000000003,-2.7,830,,,,,,230,27m,3.1,-3.2,640,,,,,,,,,,,,,,,,1,FAIL
80,80,,2025-05-29 23:52:21.617864,2025-05-29 23:52:22.013002,0 days 00:00:00.395138,940,51m,2.8000000000000003,-3.5,960,,,,,,240,52m,3.1,-2.0999999999999996,640,,,,,,,,,,,,,,,,1,FAIL
