,number,value,datetime_start,datetime_complete,duration,params_ALGN_CELG_beta_win,params_ALGN_CELG_trade_freq,params_ALGN_CELG_z_entry,params_ALGN_CELG_z_exit,params_ALGN_CELG_z_win,params_ATVI_TTWO_beta_win,params_ATVI_TTWO_trade_freq,params_ATVI_TTWO_z_entry,params_ATVI_TTWO_z_exit,params_ATVI_TTWO_z_win,params_AVGO_CELG_beta_win,params_AVGO_CELG_trade_freq,params_AVGO_CELG_z_entry,params_AVGO_CELG_z_exit,params_AVGO_CELG_z_win,params_BIDU_CELG_beta_win,params_BIDU_CELG_trade_freq,params_BIDU_CELG_z_entry,params_BIDU_CELG_z_exit,params_BIDU_CELG_z_win,params_BIIB_FOXA_beta_win,params_BIIB_FOXA_trade_freq,params_BIIB_FOXA_z_entry,params_BIIB_FOXA_z_exit,params_BIIB_FOXA_z_win,params_FOX_BIIB_beta_win,params_FOX_BIIB_trade_freq,params_FOX_BIIB_z_entry,params_FOX_BIIB_z_exit,params_FOX_BIIB_z_win,params_FOX_FOXA_beta_win,params_FOX_FOXA_trade_freq,params_FOX_FOXA_z_entry,params_FOX_FOXA_z_exit,params_FOX_FOXA_z_win,params_NTES_CELG_beta_win,params_NTES_CELG_trade_freq,params_NTES_CELG_z_entry,params_NTES_CELG_z_exit,params_NTES_CELG_z_win,params_PEP_CELG_beta_win,params_PEP_CELG_trade_freq,params_PEP_CELG_z_entry,params_PEP_CELG_z_exit,params_PEP_CELG_z_win,params_TTWO_HSIC_beta_win,params_TTWO_HSIC_trade_freq,params_TTWO_HSIC_z_entry,params_TTWO_HSIC_z_exit,params_TTWO_HSIC_z_win,params_pairs_to_trade,state
11,11,-1.2266757352885853,2025-05-29 23:36:11.592818,2025-05-29 23:36:12.187716,0 days 00:00:00.594898,580.0,56m,2.7,-2.7,230.0,,,,,,990,18m,2.2,-1.0,390,,,,,,400.0,18m,2.2,-0.3999999999999999,620.0,130,24m,1.6,-0.6999999999999997,820,,,,,,,,,,,500.0,57m,0.6000000000000001,-3.0,700.0,280.0,19m,1.4000000000000001,-2.3,330.0,3,COMPLETE
12,12,,2025-05-29 23:36:12.187716,2025-05-29 23:36:12.530504,0 days 00:00:00.342788,,,,,,,,,,,200,22m,0.9,-2.3,910,,,,,,,,,,,650,21m,0.0,-1.5,980,,,,,,,,,,,,,,,,,,,,,1,FAIL
13,13,,2025-05-29 23:36:12.539307,2025-05-29 23:36:12.857758,0 days 00:00:00.318451,,,,,,,,,,,180,22m,0.9,-2.2,890,,,,,,,,,,,630,21m,0.2,-1.5,970,,,,,,,,,,,,,,,,,,,,,1,FAIL
14,14,,2025-05-29 23:36:12.860063,2025-05-29 23:36:13.230046,0 days 00:00:00.369983,,,,,,,,,,,180,22m,0.9,-2.0999999999999996,940,,,,,,,,,,,650,21m,0.0,-1.4,960,,,,,,,,,,,,,,,,,,,,,1,FAIL
15,15,,2025-05-29 23:36:13.240502,2025-05-29 23:36:13.568468,0 days 00:00:00.327966,,,,,,,,,,,230,22m,0.9,-2.3,930,,,,,,,,,,,650,21m,0.1,-1.5,970,,,,,,,,,,,,,,,,,,,,,1,FAIL
16,16,,2025-05-29 23:36:13.578964,2025-05-29 23:36:13.892710,0 days 00:00:00.313746,,,,,,,,,,,190,22m,0.9,-2.2,890,,,,,,,,,,,650,21m,0.4,-1.5,950,,,,,,,,,,,,,,,,,,,,,1,FAIL
17,17,2.2497444067577943,2025-05-29 23:36:13.903452,2025-05-29 23:36:14.223009,0 days 00:00:00.319557,,,,,,,,,,,180,22m,1.0,-2.2,860,,,,,,,,,,,620,8m,0.5,-1.4,980,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
18,18,1.4539034711599448,2025-05-29 23:36:14.227472,2025-05-29 23:36:14.741222,0 days 00:00:00.513750,,,,,,,,,,,410,35m,3.3000000000000003,-2.3,770,,,,,,680.0,16m,1.3,-3.1,10.0,320,21m,2.4000000000000004,-0.09999999999999964,70,,,,,,,,,,,20.0,24m,3.3000000000000003,-0.7999999999999998,480.0,,,,,,2,COMPLETE
19,19,-2.747032659738063,2025-05-29 23:36:14.751642,2025-05-29 23:36:15.675500,0 days 00:00:00.923858,1000.0,3m,0.4,-0.09999999999999964,960.0,930.0,43m,3.5,-3.5,960.0,620,50m,0.8,-2.9,690,,,,,,290.0,35m,1.3,-2.4,140.0,620,17m,2.2,-1.0999999999999996,700,,,,,,20.0,34m,3.5,-3.5,20.0,350.0,21m,2.6,-1.2999999999999998,350.0,110.0,54m,0.5,-3.5,660.0,4,COMPLETE
20,20,3.4485623867865294,2025-05-29 23:36:15.688874,2025-05-29 23:36:16.428520,0 days 00:00:00.739646,720.0,13m,3.5,-3.4,860.0,,,,,,270,44m,2.1,-2.0,420,,,,,,690.0,16m,0.4,-2.4,330.0,320,27m,2.1,-2.0,410,,,,,,,,,,,570.0,24m,1.5,-1.4,600.0,880.0,18m,3.4000000000000004,-1.5,940.0,3,COMPLETE
21,21,-2.5022845690481588,2025-05-29 23:36:16.437005,2025-05-29 23:36:16.993599,0 days 00:00:00.556594,,,,,,,,,,,260,17m,2.1,-1.9,960,,,,,,640.0,4m,0.0,-1.7999999999999998,390.0,260,6m,0.9,-2.0999999999999996,400,,,,,,,,,,,610.0,24m,1.4000000000000001,-1.1999999999999997,950.0,,,,,,2,COMPLETE
