,number,value,datetime_start,datetime_complete,duration,params_ALGN_CELG_beta_win,params_ALGN_CELG_trade_freq,params_ALGN_CELG_z_entry,params_ALGN_CELG_z_exit,params_ALGN_CELG_z_win,params_ATVI_TTWO_beta_win,params_ATVI_TTWO_trade_freq,params_ATVI_TTWO_z_entry,params_ATVI_TTWO_z_exit,params_ATVI_TTWO_z_win,params_AVGO_CELG_beta_win,params_AVGO_CELG_trade_freq,params_AVGO_CELG_z_entry,params_AVGO_CELG_z_exit,params_AVGO_CELG_z_win,params_BIDU_CELG_beta_win,params_BIDU_CELG_trade_freq,params_BIDU_CELG_z_entry,params_BIDU_CELG_z_exit,params_BIDU_CELG_z_win,params_BIIB_FOXA_beta_win,params_BIIB_FOXA_trade_freq,params_BIIB_FOXA_z_entry,params_BIIB_FOXA_z_exit,params_BIIB_FOXA_z_win,params_FOX_BIIB_beta_win,params_FOX_BIIB_trade_freq,params_FOX_BIIB_z_entry,params_FOX_BIIB_z_exit,params_FOX_BIIB_z_win,params_FOX_FOXA_beta_win,params_FOX_FOXA_trade_freq,params_FOX_FOXA_z_entry,params_FOX_FOXA_z_exit,params_FOX_FOXA_z_win,params_NTES_CELG_beta_win,params_NTES_CELG_trade_freq,params_NTES_CELG_z_entry,params_NTES_CELG_z_exit,params_NTES_CELG_z_win,params_PEP_CELG_beta_win,params_PEP_CELG_trade_freq,params_PEP_CELG_z_entry,params_PEP_CELG_z_exit,params_PEP_CELG_z_win,params_TTWO_HSIC_beta_win,params_TTWO_HSIC_trade_freq,params_TTWO_HSIC_z_entry,params_TTWO_HSIC_z_exit,params_TTWO_HSIC_z_win,params_pairs_to_trade,state
53,53,-0.4559002296775879,2025-05-29 23:36:33.760307,2025-05-29 23:36:34.551658,0 days 00:00:00.791351,680.0,17m,0.8,-2.0999999999999996,510.0,,,,,,360,5m,3.1,-1.1999999999999997,420,,,,,,570.0,25m,0.8,-2.0999999999999996,310.0,280,40m,2.4000000000000004,-2.0,30,,,,,,,,,,,990.0,26m,1.0,-2.3,540.0,290.0,23m,3.2,-2.5,710.0,3,COMPLETE
54,54,-0.7639101338755672,2025-05-29 23:36:34.555672,2025-05-29 23:36:35.731522,0 days 00:00:01.175850,200.0,53m,0.0,-1.2999999999999998,890.0,620.0,51m,2.5,-1.0,700.0,860,10m,2.4000000000000004,-2.3,510,930.0,48m,3.5,-3.4,960.0,1000.0,32m,0.30000000000000004,-3.3,460.0,410,32m,2.8000000000000003,-1.4,490,990.0,45m,3.4000000000000004,-1.5,920.0,670.0,3m,2.2,-1.0,270.0,250.0,39m,3.5,-1.1999999999999997,270.0,870.0,43m,1.8,-2.0999999999999996,850.0,5,COMPLETE
55,55,0.5671242922689639,2025-05-29 23:36:35.739900,2025-05-29 23:36:36.326455,0 days 00:00:00.586555,,,,,,,,,,,690,26m,1.5,-0.6999999999999997,600,,,,,,90.0,2m,0.7000000000000001,-2.7,990.0,10,46m,3.2,-3.2,580,,,,,,,,,,,900.0,23m,0.6000000000000001,-2.9,200.0,,,,,,2,COMPLETE
56,56,-3.426103163869811,2025-05-29 23:36:36.326455,2025-05-29 23:36:37.290917,0 days 00:00:00.964462,560.0,34m,1.8,-0.5999999999999996,620.0,270.0,30m,1.4000000000000001,-2.7,340.0,620,49m,2.7,-3.2,110,,,,,,510.0,24m,1.2000000000000002,-2.4,530.0,170,3m,1.3,-0.8999999999999999,270,,,,,,210.0,18m,1.2000000000000002,-2.4,990.0,440.0,54m,2.7,-2.6,10.0,20.0,15m,2.6,-2.9,600.0,4,COMPLETE
57,57,-1.541493582663742,2025-05-29 23:36:37.290917,2025-05-29 23:36:37.621945,0 days 00:00:00.331028,,,,,,,,,,,100,45m,0.0,-3.5,220,,,,,,,,,,,100,51m,1.7000000000000002,-0.5,760,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
58,58,,2025-05-29 23:36:37.623565,2025-05-29 23:36:38.161366,0 days 00:00:00.537801,,,,,,,,,,,930,46m,0.4,-1.1999999999999997,710,,,,,,840.0,50m,2.9000000000000004,-3.0,60.0,670,57m,1.0,-2.4,350,,,,,,,,,,,550.0,15m,1.5,-0.3999999999999999,1000.0,,,,,,2,FAIL
59,59,0.734605241557236,2025-05-29 23:36:38.161366,2025-05-29 23:36:38.744041,0 days 00:00:00.582675,,,,,,,,,,,280,33m,1.1,-0.3999999999999999,720,,,,,,240.0,55m,2.8000000000000003,-3.0,100.0,680,48m,1.0,-2.4,350,,,,,,,,,,,570.0,11m,1.8,-2.0999999999999996,690.0,,,,,,2,COMPLETE
60,60,1.859039040155474,2025-05-29 23:36:38.747493,2025-05-29 23:36:39.068327,0 days 00:00:00.320834,,,,,,,,,,,210,55m,1.9000000000000001,-2.8,180,,,,,,,,,,,500,26m,2.2,-3.3,290,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
61,61,,2025-05-29 23:36:39.068327,2025-05-29 23:36:39.387918,0 days 00:00:00.319591,,,,,,,,,,,180,55m,0.30000000000000004,-2.5,230,,,,,,,,,,,460,55m,2.2,-2.9,260,,,,,,,,,,,,,,,,,,,,,1,FAIL
62,62,0.8785782109963663,2025-05-29 23:36:39.387918,2025-05-29 23:36:39.708494,0 days 00:00:00.320576,,,,,,,,,,,220,19m,0.30000000000000004,-2.4,230,,,,,,,,,,,450,18m,2.0,-3.0,250,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
63,63,,2025-05-29 23:36:39.718854,2025-05-29 23:36:40.039699,0 days 00:00:00.320845,,,,,,,,,,,230,55m,1.8,-2.7,80,,,,,,,,,,,580,47m,2.6,-3.0,430,,,,,,,,,,,,,,,,,,,,,1,FAIL
64,64,,2025-05-29 23:36:40.039699,2025-05-29 23:36:40.364198,0 days 00:00:00.324499,,,,,,,,,,,240,55m,1.8,-2.7,340,,,,,,,,,,,590,58m,2.6,-2.9,410,,,,,,,,,,,,,,,,,,,,,1,FAIL
65,65,,2025-05-29 23:36:40.367049,2025-05-29 23:36:40.701608,0 days 00:00:00.334559,,,,,,,,,,,230,55m,2.3000000000000003,-2.7,340,,,,,,,,,,,580,44m,2.3000000000000003,-2.9,410,,,,,,,,,,,,,,,,,,,,,1,FAIL
66,66,,2025-05-29 23:36:40.712952,2025-05-29 23:36:41.023400,0 days 00:00:00.310448,,,,,,,,,,,930,55m,1.9000000000000001,-2.8,90,,,,,,,,,,,600,45m,2.2,-3.0,180,,,,,,,,,,,,,,,,,,,,,1,FAIL
67,67,,2025-05-29 23:36:41.032420,2025-05-29 23:36:41.369460,0 days 00:00:00.337040,,,,,,,,,,,240,55m,1.8,-2.7,340,,,,,,,,,,,580,54m,2.3000000000000003,-3.2,160,,,,,,,,,,,,,,,,,,,,,1,FAIL
68,68,0.8579632421538913,2025-05-29 23:36:41.369460,2025-05-29 23:36:41.719901,0 days 00:00:00.350441,,,,,,,,,,,220,55m,1.8,-2.7,70,,,,,,,,,,,580,20m,2.3000000000000003,-3.0,430,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
69,69,,2025-05-29 23:36:41.730235,2025-05-29 23:36:42.069677,0 days 00:00:00.339442,,,,,,,,,,,340,56m,2.2,-2.0999999999999996,360,,,,,,,,,,,490,45m,2.6,-3.3,910,,,,,,,,,,,,,,,,,,,,,1,FAIL
70,70,-2.9341034334561824,2025-05-29 23:36:42.076212,2025-05-29 23:36:42.424113,0 days 00:00:00.347901,,,,,,,,,,,330,54m,2.2,-1.9,330,,,,,,,,,,,480,15m,2.7,-3.3,160,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
71,71,1.967913594678007,2025-05-29 23:36:42.424113,2025-05-29 23:36:43.204408,0 days 00:00:00.780295,450.0,2m,3.0,-2.4,870.0,,,,,,380,52m,1.4000000000000001,-1.5,520,,,,,,650.0,28m,3.4000000000000004,-2.2,260.0,400,41m,1.9000000000000001,-3.5,100,,,,,,,,,,,840.0,58m,1.5,-3.4,1000.0,500.0,10m,3.1,-1.7,1000.0,3,COMPLETE
72,72,-2.4818795843712627,2025-05-29 23:36:43.204408,2025-05-29 23:36:43.764671,0 days 00:00:00.560263,,,,,,,,,,,900,9m,1.0,-3.2,880,,,,,,840.0,20m,3.1,-1.4,60.0,840,22m,2.6,-2.8,910,,,,,,,,,,,700.0,3m,0.9,-2.8,630.0,,,,,,2,COMPLETE
73,73,-0.40304038524824987,2025-05-29 23:36:43.772754,2025-05-29 23:36:44.357050,0 days 00:00:00.584296,,,,,,,,,,,70,36m,1.9000000000000001,-1.1999999999999997,340,,,,,,370.0,31m,1.9000000000000001,-3.2,170.0,660,4m,2.2,-0.8999999999999999,320,,,,,,,,,,,230.0,28m,1.4000000000000001,-1.9,520.0,,,,,,2,COMPLETE
74,74,,2025-05-29 23:36:44.365073,2025-05-29 23:36:44.702935,0 days 00:00:00.337862,,,,,,,,,,,950,20m,1.6,-2.0999999999999996,180,,,,,,,,,,,280,57m,1.6,-1.2999999999999998,380,,,,,,,,,,,,,,,,,,,,,1,FAIL
75,75,,2025-05-29 23:36:44.702935,2025-05-29 23:36:45.062050,0 days 00:00:00.359115,,,,,,,,,,,430,37m,2.6,-2.2,420,,,,,,,,,,,360,53m,1.5,-0.2999999999999998,370,,,,,,,,,,,,,,,,,,,,,1,FAIL
76,76,0.1685381303458015,2025-05-29 23:36:45.063462,2025-05-29 23:36:45.405127,0 days 00:00:00.341665,,,,,,,,,,,430,40m,2.6,-2.0999999999999996,410,,,,,,,,,,,290,42m,1.5,-0.19999999999999973,240,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
77,77,1.304269284144374,2025-05-29 23:36:45.411433,2025-05-29 23:36:46.177289,0 days 00:00:00.765856,870.0,13m,2.3000000000000003,-3.1,430.0,,,,,,250,28m,2.3000000000000003,-1.7,810,,,,,,900.0,1m,1.4000000000000001,-1.0999999999999996,710.0,370,25m,2.0,-1.1999999999999997,380,,,,,,,,,,,120.0,16m,0.2,-0.3999999999999999,460.0,620.0,48m,1.1,-1.0999999999999996,120.0,3,COMPLETE
78,78,-2.5833181053059917,2025-05-29 23:36:46.182311,2025-05-29 23:36:46.752836,0 days 00:00:00.570525,,,,,,,,,,,540,11m,2.0,-2.9,200,,,,,,140.0,36m,1.1,0.0,920.0,580,38m,2.9000000000000004,-0.5,480,,,,,,,,,,,950.0,6m,1.8,-1.0,870.0,,,,,,2,COMPLETE
79,79,1.97290227288592,2025-05-29 23:36:46.752836,2025-05-29 23:36:47.306580,0 days 00:00:00.553744,,,,,,,,,,,460,57m,1.7000000000000002,-2.7,560,,,,,,710.0,53m,1.6,-1.1999999999999997,220.0,460,30m,1.5,-1.7,190,,,,,,,,,,,60.0,48m,2.2,-0.09999999999999964,760.0,,,,,,2,COMPLETE
80,80,-1.809359977337186,2025-05-29 23:36:47.322840,2025-05-29 23:36:48.057509,0 days 00:00:00.734669,720.0,10m,3.1,-1.7,720.0,,,,,,410,2m,1.6,-2.6,670,,,,,,750.0,47m,2.2,-0.8999999999999999,200.0,440,7m,1.7000000000000002,-1.5999999999999999,220,,,,,,,,,,,90.0,22m,2.4000000000000004,-0.2999999999999998,780.0,480.0,4m,2.2,-3.2,490.0,3,COMPLETE
81,81,-0.2810205335130178,2025-05-29 23:36:48.057509,2025-05-29 23:36:49.033913,0 days 00:00:00.976404,610.0,20m,1.5,-1.0999999999999996,390.0,750.0,7m,2.8000000000000003,-0.6999999999999997,770.0,300,48m,1.8,-3.0,530,,,,,,620.0,37m,0.4,-1.7,300.0,490,45m,1.6,-2.2,20,,,,,,770.0,1m,0.0,-2.7,620.0,140.0,9m,2.1,-3.2,670.0,880.0,1m,3.5,-2.6,900.0,4,COMPLETE
82,82,,2025-05-29 23:36:49.042174,2025-05-29 23:36:49.363290,0 days 00:00:00.321116,,,,,,,,,,,450,56m,1.2000000000000002,-2.3,590,,,,,,,,,,,630,54m,2.3000000000000003,-1.4,550,,,,,,,,,,,,,,,,,,,,,1,FAIL
83,83,-0.3835131386445305,2025-05-29 23:36:49.382645,2025-05-29 23:36:49.714564,0 days 00:00:00.331919,,,,,,,,,,,450,14m,0.8,-2.4,370,,,,,,,,,,,510,55m,2.3000000000000003,-1.4,540,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
84,84,-0.010538330224416944,2025-05-29 23:36:49.714564,2025-05-29 23:36:50.282892,0 days 00:00:00.568328,,,,,,,,,,,350,21m,2.1,-2.8,590,,,,,,20.0,6m,1.5,-1.2999999999999998,360.0,190,37m,1.9000000000000001,-1.9,410,,,,,,,,,,,60.0,4m,2.5,-2.2,750.0,,,,,,2,COMPLETE
85,85,,2025-05-29 23:36:50.297666,2025-05-29 23:36:50.845769,0 days 00:00:00.548103,,,,,,,,,,,970,56m,1.3,-3.4,650,,,,,,730.0,30m,0.1,-2.3,40.0,300,47m,2.1,-2.6,350,,,,,,,,,,,360.0,19m,2.7,-1.5,570.0,,,,,,2,FAIL
86,86,-0.022931451207561283,2025-05-29 23:36:50.860400,2025-05-29 23:36:51.406451,0 days 00:00:00.546051,,,,,,,,,,,570,1m,1.3,-3.4,650,,,,,,710.0,57m,0.8,-0.5999999999999996,130.0,620,52m,2.5,-1.0,100,,,,,,,,,,,390.0,44m,3.1,-2.5,580.0,,,,,,2,COMPLETE
87,87,2.1067345074684654,2025-05-29 23:36:51.408112,2025-05-29 23:36:52.230913,0 days 00:00:00.822801,930.0,23m,1.0,-3.1,690.0,,,,,,950,56m,0.5,-2.6,250,,,,,,540.0,21m,0.1,-2.3,20.0,310,53m,1.3,-1.2999999999999998,350,,,,,,,,,,,190.0,35m,2.7,-1.5,810.0,310.0,57m,2.7,-0.6999999999999997,310.0,3,COMPLETE
88,88,,2025-05-29 23:36:52.230913,2025-05-29 23:36:52.588616,0 days 00:00:00.357703,,,,,,,,,,,170,37m,3.0,-1.7999999999999998,470,,,,,,,,,,,550,58m,0.7000000000000001,-2.6,1000,,,,,,,,,,,,,,,,,,,,,1,FAIL
89,89,,2025-05-29 23:36:52.588616,2025-05-29 23:36:52.921746,0 days 00:00:00.333130,,,,,,,,,,,520,32m,1.9000000000000001,0.0,480,,,,,,,,,,,350,39m,0.5,-2.5,270,,,,,,,,,,,,,,,,,,,,,1,FAIL
90,90,,2025-05-29 23:36:52.937474,2025-05-29 23:36:53.246496,0 days 00:00:00.309022,,,,,,,,,,,170,32m,3.0,-1.0,460,,,,,,,,,,,350,58m,0.4,-1.5999999999999999,280,,,,,,,,,,,,,,,,,,,,,1,FAIL
91,91,1.6591106357189322,2025-05-29 23:36:53.246496,2025-05-29 23:36:53.603894,0 days 00:00:00.357398,,,,,,,,,,,180,53m,3.0,-0.8999999999999999,480,,,,,,,,,,,360,19m,2.1,-2.5,280,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
92,92,-0.7670720959402202,2025-05-29 23:36:53.603894,2025-05-29 23:36:54.576158,0 days 00:00:00.972264,470.0,22m,2.4000000000000004,-0.5,550.0,230.0,40m,2.0,-2.5,390.0,630,37m,1.9000000000000001,-1.7999999999999998,440,,,,,,450.0,13m,2.1,-2.6,430.0,230,1m,0.1,-3.2,220,,,,,,210.0,15m,3.5,-0.6999999999999997,210.0,770.0,32m,1.9000000000000001,-0.5999999999999996,910.0,690.0,46m,3.1,-2.0999999999999996,750.0,4,COMPLETE
93,93,0.3526762801295658,2025-05-29 23:36:54.586448,2025-05-29 23:36:55.363581,0 days 00:00:00.777133,810.0,49m,1.8,0.0,940.0,,,,,,520,46m,2.2,-2.3,560,,,,,,960.0,44m,2.4000000000000004,-1.0,590.0,410,16m,2.3000000000000003,-1.5999999999999999,150,,,,,,,,,,,670.0,38m,1.6,-2.0,710.0,790.0,38m,2.2,-1.7,430.0,3,COMPLETE
94,94,,2025-05-29 23:36:55.370969,2025-05-29 23:36:55.728295,0 days 00:00:00.357326,,,,,,,,,,,150,22m,0.30000000000000004,-2.2,1000,,,,,,,,,,,770,59m,0.7000000000000001,-0.6999999999999997,1000,,,,,,,,,,,,,,,,,,,,,1,FAIL
95,95,,2025-05-29 23:36:55.728295,2025-05-29 23:36:56.085414,0 days 00:00:00.357119,,,,,,,,,,,110,22m,1.0,-2.2,990,,,,,,,,,,,760,44m,0.30000000000000004,-0.6999999999999997,920,,,,,,,,,,,,,,,,,,,,,1,FAIL
96,96,2.1291769156387614,2025-05-29 23:36:56.092075,2025-05-29 23:36:56.454232,0 days 00:00:00.362157,,,,,,,,,,,130,58m,0.5,-2.0999999999999996,920,,,,,,,,,,,540,8m,0.7000000000000001,-1.7999999999999998,660,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
97,97,,2025-05-29 23:36:56.463283,2025-05-29 23:36:56.813868,0 days 00:00:00.350585,,,,,,,,,,,180,22m,0.2,-2.5,860,,,,,,,,,,,740,54m,0.5,-1.5,950,,,,,,,,,,,,,,,,,,,,,1,FAIL
98,98,,2025-05-29 23:36:56.824182,2025-05-29 23:36:57.150231,0 days 00:00:00.326049,,,,,,,,,,,180,27m,0.30000000000000004,-2.5,1000,,,,,,,,,,,770,57m,0.30000000000000004,-1.5,880,,,,,,,,,,,,,,,,,,,,,1,FAIL
99,99,-0.6702540031013692,2025-05-29 23:36:57.150231,2025-05-29 23:36:57.509875,0 days 00:00:00.359644,,,,,,,,,,,170,20m,0.30000000000000004,-2.5,310,,,,,,,,,,,750,57m,0.7000000000000001,-1.5,980,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
100,100,,2025-05-29 23:36:57.516721,2025-05-29 23:36:57.875892,0 days 00:00:00.359171,,,,,,,,,,,400,22m,1.0,-2.2,990,,,,,,,,,,,650,44m,0.5,-0.7999999999999998,910,,,,,,,,,,,,,,,,,,,,,1,FAIL
101,101,,2025-05-29 23:36:57.875892,2025-05-29 23:36:58.226802,0 days 00:00:00.350910,,,,,,,,,,,10,22m,0.8,-2.2,830,,,,,,,,,,,630,47m,0.30000000000000004,-1.0999999999999996,900,,,,,,,,,,,,,,,,,,,,,1,FAIL
102,102,,2025-05-29 23:36:58.237181,2025-05-29 23:36:58.579141,0 days 00:00:00.341960,,,,,,,,,,,30,25m,1.0,-2.7,870,,,,,,,,,,,590,44m,0.4,-0.7999999999999998,890,,,,,,,,,,,,,,,,,,,,,1,FAIL
103,103,,2025-05-29 23:36:58.584410,2025-05-29 23:36:58.927439,0 days 00:00:00.343029,,,,,,,,,,,40,22m,0.9,-2.2,700,,,,,,,,,,,590,59m,1.8,-1.0999999999999996,800,,,,,,,,,,,,,,,,,,,,,1,FAIL
104,104,,2025-05-29 23:36:58.927439,2025-05-29 23:36:59.304172,0 days 00:00:00.376733,,,,,,,,,,,250,22m,1.0,-2.0999999999999996,1000,,,,,,,,,,,640,58m,0.30000000000000004,-0.7999999999999998,760,,,,,,,,,,,,,,,,,,,,,1,FAIL
105,105,,2025-05-29 23:36:59.304172,2025-05-29 23:36:59.675141,0 days 00:00:00.370969,,,,,,,,,,,260,22m,1.0,-2.7,830,,,,,,,,,,,650,54m,0.4,-0.7999999999999998,890,,,,,,,,,,,,,,,,,,,,,1,FAIL
106,106,,2025-05-29 23:36:59.675141,2025-05-29 23:37:00.064738,0 days 00:00:00.389597,,,,,,,,,,,260,22m,0.9,-2.0999999999999996,970,,,,,,,,,,,640,44m,0.1,-1.0999999999999996,890,,,,,,,,,,,,,,,,,,,,,1,FAIL
107,107,-0.2699095216235832,2025-05-29 23:37:00.069519,2025-05-29 23:37:00.423116,0 days 00:00:00.353597,,,,,,,,,,,250,22m,1.5,-2.2,140,,,,,,,,,,,600,59m,0.2,-0.7999999999999998,770,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
108,108,,2025-05-29 23:37:00.431755,2025-05-29 23:37:00.799784,0 days 00:00:00.368029,,,,,,,,,,,290,27m,1.0,-2.8,820,,,,,,,,,,,430,54m,0.4,-1.4,940,,,,,,,,,,,,,,,,,,,,,1,FAIL
109,109,,2025-05-29 23:37:00.804304,2025-05-29 23:37:01.182202,0 days 00:00:00.377898,,,,,,,,,,,20,39m,1.1,-2.8,820,,,,,,,,,,,920,54m,0.5,-1.0999999999999996,890,,,,,,,,,,,,,,,,,,,,,1,FAIL
110,110,,2025-05-29 23:37:01.182202,2025-05-29 23:37:01.546244,0 days 00:00:00.364042,,,,,,,,,,,10,34m,1.0,-2.8,700,,,,,,,,,,,640,54m,0.30000000000000004,-1.1999999999999997,790,,,,,,,,,,,,,,,,,,,,,1,FAIL
111,111,,2025-05-29 23:37:01.546244,2025-05-29 23:37:01.934920,0 days 00:00:00.388676,,,,,,,,,,,190,59m,1.0,-2.8,1000,,,,,,,,,,,660,54m,0.4,-1.0999999999999996,910,,,,,,,,,,,,,,,,,,,,,1,FAIL
112,112,,2025-05-29 23:37:01.936124,2025-05-29 23:37:02.312141,0 days 00:00:00.376017,,,,,,,,,,,400,25m,1.0,-2.8,980,,,,,,,,,,,640,39m,1.1,-1.0999999999999996,870,,,,,,,,,,,,,,,,,,,,,1,FAIL
113,113,1.4461216272104522,2025-05-29 23:37:02.318269,2025-05-29 23:37:02.707352,0 days 00:00:00.389083,,,,,,,,,,,40,34m,0.9,-2.8,370,,,,,,,,,,,660,47m,1.1,-1.1999999999999997,800,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
114,114,,2025-05-29 23:37:02.709918,2025-05-29 23:37:03.321877,0 days 00:00:00.611959,,,,,,,,,,,300,39m,1.2000000000000002,-3.0,890,,,,,,840.0,27m,1.3,-0.5999999999999996,160.0,550,44m,0.30000000000000004,-2.8,880,,,,,,,,,,,330.0,47m,2.6,-0.19999999999999973,430.0,,,,,,2,FAIL
115,115,2.8911295229113447,2025-05-29 23:37:03.323626,2025-05-29 23:37:03.908274,0 days 00:00:00.584648,,,,,,,,,,,400,27m,1.2000000000000002,-0.09999999999999964,990,,,,,,840.0,11m,1.3,-1.7999999999999998,280.0,550,44m,0.4,-2.8,900,,,,,,,,,,,860.0,36m,1.3,-1.0999999999999996,540.0,,,,,,2,COMPLETE
116,116,2.64592359178241,2025-05-29 23:37:03.913245,2025-05-29 23:37:04.469415,0 days 00:00:00.556170,,,,,,,,,,,490,27m,1.7000000000000002,0.0,1000,,,,,,840.0,11m,1.3,-1.7999999999999998,270.0,430,44m,0.5,-2.9,870,,,,,,,,,,,840.0,34m,1.3,-1.0999999999999996,440.0,,,,,,2,COMPLETE
117,117,2.7691387599981154,2025-05-29 23:37:04.469415,2025-05-29 23:37:05.037522,0 days 00:00:00.568107,,,,,,,,,,,400,27m,2.4000000000000004,-0.19999999999999973,1000,,,,,,860.0,11m,1.3,-1.7,280.0,430,44m,0.4,-2.9,930,,,,,,,,,,,850.0,36m,1.2000000000000002,-1.2999999999999998,370.0,,,,,,2,COMPLETE
118,118,2.1589062867053,2025-05-29 23:37:05.042796,2025-05-29 23:37:05.627754,0 days 00:00:00.584958,,,,,,,,,,,390,27m,2.4000000000000004,-0.09999999999999964,1000,,,,,,940.0,11m,1.0,-2.0,380.0,950,44m,0.4,-2.7,930,,,,,,,,,,,920.0,36m,0.9,-1.4,370.0,,,,,,2,COMPLETE
119,119,-0.9857341411804766,2025-05-29 23:37:05.627754,2025-05-29 23:37:06.466705,0 days 00:00:00.838951,50.0,16m,3.2,-1.7999999999999998,780.0,,,,,,310,39m,2.6,-0.2999999999999998,960,,,,,,800.0,5m,0.7000000000000001,-1.5999999999999999,320.0,560,23m,0.8,-3.1,980,,,,,,,,,,,880.0,52m,0.5,-1.7,270.0,150.0,26m,1.5,-0.19999999999999973,190.0,3,COMPLETE
120,120,-2.8170650546981295,2025-05-29 23:37:06.469118,2025-05-29 23:37:07.517865,0 days 00:00:01.048747,360.0,7m,2.5,-2.0999999999999996,570.0,550.0,8m,0.8,-2.9,800.0,840,32m,2.0,-0.5,930,,,,,,870.0,9m,0.5,-2.4,420.0,340,54m,0.30000000000000004,-2.8,880,,,,,,530.0,22m,2.8000000000000003,-2.5,540.0,830.0,36m,1.2000000000000002,-0.7999999999999998,530.0,920.0,3m,3.0,-3.2,90.0,4,COMPLETE
121,121,2.5397066026475223,2025-05-29 23:37:07.521653,2025-05-29 23:37:08.093047,0 days 00:00:00.571394,,,,,,,,,,,480,59m,2.3000000000000003,0.0,990,,,,,,850.0,11m,1.3,-1.9,270.0,430,44m,0.6000000000000001,-2.9,870,,,,,,,,,,,950.0,34m,1.4000000000000001,-1.0,440.0,,,,,,2,COMPLETE
122,122,-3.139652145263495,2025-05-29 23:37:08.093047,2025-05-29 23:37:08.676518,0 days 00:00:00.583471,,,,,,,,,,,500,27m,1.7000000000000002,-0.19999999999999973,840,,,,,,810.0,52m,1.2000000000000002,-1.7,280.0,490,44m,0.5,-2.6,860,,,,,,,,,,,740.0,19m,1.4000000000000001,-1.2999999999999998,350.0,,,,,,2,COMPLETE
123,123,,2025-05-29 23:37:08.679456,2025-05-29 23:37:09.245702,0 days 00:00:00.566246,,,,,,,,,,,410,25m,2.1,-0.19999999999999973,920,,,,,,660.0,49m,1.4000000000000001,-1.4,160.0,380,58m,0.0,-3.4,910,,,,,,,,,,,960.0,24m,1.2000000000000002,-1.2999999999999998,580.0,,,,,,2,FAIL
124,124,-0.2723712197705602,2025-05-29 23:37:09.245702,2025-05-29 23:37:09.822867,0 days 00:00:00.577165,,,,,,,,,,,400,27m,1.2000000000000002,-0.19999999999999973,900,,,,,,670.0,11m,1.4000000000000001,-1.7999999999999998,150.0,380,49m,0.0,-3.4,950,,,,,,,,,,,850.0,24m,1.3,-1.1999999999999997,570.0,,,,,,2,COMPLETE
125,125,-3.804499459329474,2025-05-29 23:37:09.830374,2025-05-29 23:37:10.406702,0 days 00:00:00.576328,,,,,,,,,,,350,35m,3.2,-0.8999999999999999,970,,,,,,920.0,19m,1.1,-2.0999999999999996,350.0,520,50m,0.2,-3.1,910,,,,,,,,,,,910.0,13m,1.6,-1.5999999999999999,480.0,,,,,,2,COMPLETE
126,126,,2025-05-29 23:37:10.411912,2025-05-29 23:37:11.216104,0 days 00:00:00.804192,740.0,31m,2.8000000000000003,-0.8999999999999999,470.0,,,,,,280,25m,2.2,0.0,940,,,,,,1000.0,15m,1.7000000000000002,-1.5,490.0,420,39m,1.8,-2.9,800,,,,,,,,,,,810.0,33m,0.8,-0.8999999999999999,310.0,820.0,58m,3.3000000000000003,-1.0999999999999996,900.0,3,FAIL
127,127,-2.5043576297613837,2025-05-29 23:37:11.218673,2025-05-29 23:37:12.008353,0 days 00:00:00.789680,140.0,21m,2.0,-1.5999999999999999,20.0,,,,,,660,41m,2.2,-0.09999999999999964,940,,,,,,770.0,54m,1.7000000000000002,-1.5,470.0,470,21m,0.4,-3.1,810,,,,,,,,,,,530.0,15m,0.8,-1.0999999999999996,390.0,590.0,44m,3.3000000000000003,-2.7,20.0,3,COMPLETE
128,128,-1.1927234272130807,2025-05-29 23:37:12.016920,2025-05-29 23:37:13.243959,0 days 00:00:01.227039,630.0,47m,0.5,-0.8999999999999999,860.0,980.0,9m,0.0,-1.0999999999999996,40.0,750,25m,2.1,-0.3999999999999999,850,790.0,5m,2.5,-0.19999999999999973,20.0,880.0,39m,0.9,-2.2,240.0,430,58m,2.2,-2.9,700,10.0,52m,0.0,-3.4,20.0,790.0,46m,0.8,-0.7999999999999998,880.0,950.0,53m,1.2000000000000002,-0.6999999999999997,610.0,390.0,29m,2.4000000000000004,-1.0999999999999996,620.0,5,COMPLETE
129,129,,2025-05-29 23:37:13.252110,2025-05-29 23:37:13.830252,0 days 00:00:00.578142,,,,,,,,,,,410,44m,2.4000000000000004,-0.09999999999999964,970,,,,,,990.0,34m,1.4000000000000001,-2.9,190.0,550,27m,1.8,-2.9,1000,,,,,,,,,,,800.0,49m,1.1,-1.5,320.0,,,,,,2,FAIL
