,number,value,datetime_start,datetime_complete,duration,params_AAL_MAR_beta_win,params_AAL_MAR_trade_freq,params_AAL_MAR_z_entry,params_AAL_MAR_z_exit,params_AAL_MAR_z_win,params_ADSK_CSX_beta_win,params_ADSK_CSX_trade_freq,params_ADSK_CSX_z_entry,params_ADSK_CSX_z_exit,params_ADSK_CSX_z_win,params_ALGN_MAR_beta_win,params_ALGN_MAR_trade_freq,params_ALGN_MAR_z_entry,params_ALGN_MAR_z_exit,params_ALGN_MAR_z_win,params_AMGN_NTAP_beta_win,params_AMGN_NTAP_trade_freq,params_AMGN_NTAP_z_entry,params_AMGN_NTAP_z_exit,params_AMGN_NTAP_z_win,params_BIDU_INCY_beta_win,params_BIDU_INCY_trade_freq,params_BIDU_INCY_z_entry,params_BIDU_INCY_z_exit,params_BIDU_INCY_z_win,params_INTU_MNST_beta_win,params_INTU_MNST_trade_freq,params_INTU_MNST_z_entry,params_INTU_MNST_z_exit,params_INTU_MNST_z_win,params_SBUX_EA_beta_win,params_SBUX_EA_trade_freq,params_SBUX_EA_z_entry,params_SBUX_EA_z_exit,params_SBUX_EA_z_win,params_UAL_ALGN_beta_win,params_UAL_ALGN_trade_freq,params_UAL_ALGN_z_entry,params_UAL_ALGN_z_exit,params_UAL_ALGN_z_win,params_UAL_MAR_beta_win,params_UAL_MAR_trade_freq,params_UAL_MAR_z_entry,params_UAL_MAR_z_exit,params_UAL_MAR_z_win,params_WDC_MAR_beta_win,params_WDC_MAR_trade_freq,params_WDC_MAR_z_entry,params_WDC_MAR_z_exit,params_WDC_MAR_z_win,params_pairs_to_trade,state
11,11,-0.28475321325868,2025-05-29 23:45:16.649368,2025-05-29 23:45:17.272129,0 days 00:00:00.622761,,,,,,580.0,56m,2.7,-2.7,230.0,400.0,18m,2.2,-0.3999999999999999,620.0,990,18m,2.2,-1.0,390,,,,,,500.0,57m,0.6000000000000001,-3.0,700.0,,,,,,130,24m,1.6,-0.6999999999999997,820,280.0,19m,1.4000000000000001,-2.3,330.0,,,,,,3,COMPLETE
12,12,-1.1236716301891005,2025-05-29 23:45:17.272129,2025-05-29 23:45:18.418428,0 days 00:00:01.146299,20.0,30m,3.2,-3.5,130.0,140.0,20m,0.2,0.0,1000.0,10.0,46m,3.5,-1.9,350.0,610,30m,1.0,-2.3,910,60.0,19m,2.0,-0.09999999999999964,820.0,640.0,42m,3.4000000000000004,-0.8999999999999999,30.0,70.0,23m,3.2,-3.3,970.0,320,28m,0.1,-3.5,990,40.0,14m,0.2,-0.09999999999999964,830.0,950.0,51m,2.9000000000000004,-3.5,160.0,5,COMPLETE
13,13,,2025-05-29 23:45:18.435362,2025-05-29 23:45:18.787154,0 days 00:00:00.351792,,,,,,,,,,,,,,,,720,42m,3.5,-1.9,750,,,,,,,,,,,,,,,,620,28m,0.7000000000000001,-3.4,570,,,,,,,,,,,1,FAIL
14,14,0.004988570367344908,2025-05-29 23:45:18.787154,2025-05-29 23:45:19.100951,0 days 00:00:00.313797,,,,,,,,,,,,,,,,720,48m,3.5,-1.7999999999999998,770,,,,,,,,,,,,,,,,220,12m,0.30000000000000004,-3.4,560,,,,,,,,,,,1,COMPLETE
15,15,,2025-05-29 23:45:19.100951,2025-05-29 23:45:19.425276,0 days 00:00:00.324325,,,,,,,,,,,,,,,,750,43m,0.8,-1.9,330,,,,,,,,,,,,,,,,610,59m,0.9,-2.7,450,,,,,,,,,,,1,FAIL
16,16,,2025-05-29 23:45:19.432938,2025-05-29 23:45:19.748938,0 days 00:00:00.316000,,,,,,,,,,,,,,,,770,38m,2.2,-1.9,330,,,,,,,,,,,,,,,,590,39m,0.8,-2.6,680,,,,,,,,,,,1,FAIL
17,17,-1.1845310799265152,2025-05-29 23:45:19.764252,2025-05-29 23:45:20.092223,0 days 00:00:00.327971,,,,,,,,,,,,,,,,750,16m,0.8,-1.7999999999999998,330,,,,,,,,,,,,,,,,600,53m,0.9,-2.7,440,,,,,,,,,,,1,COMPLETE
18,18,,2025-05-29 23:45:20.102658,2025-05-29 23:45:21.102988,0 days 00:00:01.000330,440.0,58m,2.2,-1.5,680.0,290.0,37m,3.5,0.0,730.0,220.0,46m,3.5,-1.7999999999999998,470.0,750,42m,2.1,-0.09999999999999964,260,,,,,,640.0,42m,3.5,-1.0999999999999996,320.0,960.0,46m,2.4000000000000004,0.0,180.0,990,18m,0.9,-2.9,710,970.0,26m,2.1,-1.1999999999999997,660.0,,,,,,4,FAIL
19,19,-0.5243712416994271,2025-05-29 23:45:21.113863,2025-05-29 23:45:22.177593,0 days 00:00:01.063730,410.0,58m,2.1,-1.5,990.0,320.0,37m,3.4000000000000004,-0.09999999999999964,710.0,240.0,46m,3.5,-1.7,460.0,740,42m,2.1,0.0,260,,,,,,600.0,42m,3.5,-1.0999999999999996,340.0,1000.0,7m,2.3000000000000003,-0.09999999999999964,20.0,1000,48m,0.9,-2.7,710,910.0,10m,2.1,-1.2999999999999998,610.0,,,,,,4,COMPLETE
20,20,-1.8095258881883123,2025-05-29 23:45:22.188092,2025-05-29 23:45:23.247092,0 days 00:00:01.059000,360.0,52m,0.1,-1.5999999999999999,490.0,1000.0,37m,0.6000000000000001,-3.5,500.0,610.0,33m,2.8000000000000003,-1.7,720.0,620,43m,2.9000000000000004,-2.5,430,,,,,,440.0,15m,1.3,-1.2999999999999998,30.0,600.0,16m,2.1,-2.0999999999999996,510.0,210,11m,0.9,-2.9,450,260.0,14m,0.6000000000000001,0.0,970.0,,,,,,4,COMPLETE
