,number,value,datetime_start,datetime_complete,duration,params_ASML_ISRG_beta_win,params_ASML_ISRG_trade_freq,params_ASML_ISRG_z_entry,params_ASML_ISRG_z_exit,params_ASML_ISRG_z_win,params_CELG_IDXX_beta_win,params_CELG_IDXX_trade_freq,params_CELG_IDXX_z_entry,params_CELG_IDXX_z_exit,params_CELG_IDXX_z_win,params_CSX_MAR_beta_win,params_CSX_MAR_trade_freq,params_CSX_MAR_z_entry,params_CSX_MAR_z_exit,params_CSX_MAR_z_win,params_ILMN_INCY_beta_win,params_ILMN_INCY_trade_freq,params_ILMN_INCY_z_entry,params_ILMN_INCY_z_exit,params_ILMN_INCY_z_win,params_LRCX_CHTR_beta_win,params_LRCX_CHTR_trade_freq,params_LRCX_CHTR_z_entry,params_LRCX_CHTR_z_exit,params_LRCX_CHTR_z_win,params_MSFT_VRTX_beta_win,params_MSFT_VRTX_trade_freq,params_MSFT_VRTX_z_entry,params_MSFT_VRTX_z_exit,params_MSFT_VRTX_z_win,params_NFLX_IDXX_beta_win,params_NFLX_IDXX_trade_freq,params_NFLX_IDXX_z_entry,params_NFLX_IDXX_z_exit,params_NFLX_IDXX_z_win,params_TTWO_SWKS_beta_win,params_TTWO_SWKS_trade_freq,params_TTWO_SWKS_z_entry,params_TTWO_SWKS_z_exit,params_TTWO_SWKS_z_win,params_WDC_CERN_beta_win,params_WDC_CERN_trade_freq,params_WDC_CERN_z_entry,params_WDC_CERN_z_exit,params_WDC_CERN_z_win,params_WYNN_ADSK_beta_win,params_WYNN_ADSK_trade_freq,params_WYNN_ADSK_z_entry,params_WYNN_ADSK_z_exit,params_WYNN_ADSK_z_win,params_pairs_to_trade,state
55,55,,2025-05-29 23:33:21.283219,2025-05-29 23:33:21.647261,0 days 00:00:00.364042,,,,,,,,,,,,,,,,460,35m,1.8,-0.5999999999999996,350,,,,,,,,,,,,,,,,,,,,,820,25m,0.6000000000000001,-1.1999999999999997,610,,,,,,1,FAIL
56,56,,2025-05-29 23:33:21.658528,2025-05-29 23:33:21.996437,0 days 00:00:00.337909,,,,,,,,,,,,,,,,590,40m,0.8,-3.1,350,,,,,,,,,,,,,,,,,,,,,830,26m,1.8,-1.1999999999999997,580,,,,,,1,FAIL
57,57,,2025-05-29 23:33:22.003667,2025-05-29 23:33:22.318402,0 days 00:00:00.314735,,,,,,,,,,,,,,,,450,26m,1.8,-1.1999999999999997,350,,,,,,,,,,,,,,,,,,,,,790,39m,1.8,-0.7999999999999998,600,,,,,,1,FAIL
58,58,-0.5813395554898262,2025-05-29 23:33:22.318402,2025-05-29 23:33:22.688667,0 days 00:00:00.370265,,,,,,,,,,,,,,,,700,2m,1.8,-3.2,340,,,,,,,,,,,,,,,,,,,,,550,55m,1.8,-0.7999999999999998,580,,,,,,1,COMPLETE
59,59,1.21892922512081,2025-05-29 23:33:22.705089,2025-05-29 23:33:23.485626,0 days 00:00:00.780537,140.0,33m,0.4,-2.8,210.0,70.0,59m,1.4000000000000001,-0.2999999999999998,160.0,180.0,38m,2.6,-0.8999999999999999,90.0,580,31m,1.1,-0.2999999999999998,570,,,,,,,,,,,,,,,,840.0,27m,3.1,-1.7,810.0,440,33m,0.7000000000000001,-2.0,710,,,,,,3,COMPLETE
60,60,-3.0029140370235803,2025-05-29 23:33:23.495695,2025-05-29 23:33:24.065431,0 days 00:00:00.569736,180.0,13m,0.30000000000000004,-2.2,160.0,,,,,,,,,,,440,14m,0.8,-0.5,530,,,,,,,,,,,,,,,,850.0,50m,2.9000000000000004,-1.4,710.0,350,42m,0.30000000000000004,-3.2,740,,,,,,2,COMPLETE
61,61,-2.119514082009534,2025-05-29 23:33:24.075795,2025-05-29 23:33:24.613388,0 days 00:00:00.537593,70.0,57m,0.5,-1.5999999999999999,290.0,,,,,,,,,,,800,10m,1.2000000000000002,-0.5999999999999996,430,,,,,,,,,,,,,,,,720.0,42m,3.2,-1.5999999999999999,660.0,460,32m,0.0,-1.1999999999999997,630,,,,,,2,COMPLETE
62,62,,2025-05-29 23:33:24.623643,2025-05-29 23:33:24.969126,0 days 00:00:00.345483,,,,,,,,,,,,,,,,730,37m,1.6,-0.19999999999999973,660,,,,,,,,,,,,,,,,,,,,,520,36m,0.6000000000000001,-3.0,880,,,,,,1,FAIL
63,63,-2.443001092397364,2025-05-29 23:33:24.979203,2025-05-29 23:33:25.312237,0 days 00:00:00.333034,,,,,,,,,,,,,,,,890,4m,1.6,-0.09999999999999964,690,,,,,,,,,,,,,,,,,,,,,530,38m,0.2,-3.1,830,,,,,,1,COMPLETE
64,64,0.4574636773825695,2025-05-29 23:33:25.312237,2025-05-29 23:33:25.891348,0 days 00:00:00.579111,290.0,41m,0.9,-2.8,130.0,,,,,,,,,,,360,55m,2.3000000000000003,-0.8999999999999999,790,,,,,,,,,,,,,,,,960.0,18m,2.5,-1.7999999999999998,830.0,420,36m,0.6000000000000001,-1.1999999999999997,660,,,,,,2,COMPLETE
65,65,1.6744932342297525,2025-05-29 23:33:25.905343,2025-05-29 23:33:26.916889,0 days 00:00:01.011546,100.0,52m,1.1,-2.0999999999999996,70.0,220.0,58m,3.1,-1.7,320.0,850.0,21m,2.0,-1.4,780.0,740,22m,1.0,-0.2999999999999998,90,950.0,40m,2.0,-1.1999999999999997,210.0,,,,,,,,,,,860.0,44m,2.7,-2.3,990.0,830,2m,1.3,-1.5999999999999999,510,950.0,38m,1.4000000000000001,-1.5,330.0,4,COMPLETE
66,66,0.6435237890344896,2025-05-29 23:33:26.927287,2025-05-29 23:33:27.749073,0 days 00:00:00.821786,20.0,43m,0.7000000000000001,-1.9,450.0,450.0,7m,2.4000000000000004,-0.3999999999999999,480.0,540.0,11m,0.7000000000000001,-0.2999999999999998,590.0,640,50m,0.7000000000000001,-1.1999999999999997,920,,,,,,,,,,,,,,,,1000.0,25m,2.8000000000000003,-1.9,720.0,930,14m,0.2,-0.8999999999999999,880,,,,,,3,COMPLETE
67,67,-0.2169978100636816,2025-05-29 23:33:27.765408,2025-05-29 23:33:28.373215,0 days 00:00:00.607807,190.0,20m,0.1,-2.4,210.0,,,,,,,,,,,820,30m,1.7000000000000002,-0.5,540,,,,,,,,,,,,,,,,930.0,37m,3.2,-1.4,650.0,670,3m,0.9,-1.9,590,,,,,,2,COMPLETE
68,68,-2.852763362236384,2025-05-29 23:33:28.383680,2025-05-29 23:33:29.178392,0 days 00:00:00.794712,830.0,19m,1.2000000000000002,-2.7,290.0,180.0,32m,0.0,-3.0,760.0,430.0,27m,1.7000000000000002,-2.0999999999999996,910.0,460,33m,1.1,-0.6999999999999997,840,,,,,,,,,,,,,,,,780.0,47m,2.4000000000000004,-2.8,90.0,320,16m,2.4000000000000004,-0.3999999999999999,750,,,,,,3,COMPLETE
69,69,-1.0417747267884458,2025-05-29 23:33:29.188835,2025-05-29 23:33:30.444813,0 days 00:00:01.255978,400.0,40m,0.2,-3.1,880.0,310.0,11m,2.0,-2.4,450.0,660.0,1m,1.3,-0.8999999999999999,280.0,930,48m,0.30000000000000004,-1.4,630,540.0,38m,2.9000000000000004,-0.5,490.0,790.0,3m,2.3000000000000003,-2.6,670.0,720.0,58m,0.9,-2.3,270.0,900.0,38m,2.8000000000000003,-2.4,890.0,140,11m,1.6,-2.4,80,880.0,47m,2.5,-0.6999999999999997,590.0,5,COMPLETE
70,70,1.446243959191738,2025-05-29 23:33:30.457090,2025-05-29 23:33:31.053677,0 days 00:00:00.596587,260.0,35m,0.8,-2.6,10.0,,,,,,,,,,,590,31m,1.5,-0.2999999999999998,750,,,,,,,,,,,,,,,,930.0,24m,2.5,-2.0,760.0,400,27m,0.2,-1.0999999999999996,690,,,,,,2,COMPLETE
71,71,-3.9865006880142535,2025-05-29 23:33:31.059252,2025-05-29 23:33:31.612307,0 days 00:00:00.553055,130.0,1m,0.6000000000000001,-2.3,70.0,,,,,,,,,,,540,59m,1.3,-0.8999999999999999,940,,,,,,,,,,,,,,,,830.0,34m,2.6,-2.0999999999999996,580.0,490,19m,0.4,-1.0,550,,,,,,2,COMPLETE
72,72,-3.2960281555248043,2025-05-29 23:33:31.612307,2025-05-29 23:33:32.366173,0 days 00:00:00.753866,40.0,49m,1.0,-2.0,590.0,620.0,35m,1.0,-1.0,940.0,960.0,12m,3.2,-0.2999999999999998,390.0,360,7m,2.5,-1.7999999999999998,810,,,,,,,,,,,,,,,,950.0,3m,2.2,-1.7999999999999998,650.0,220,34m,0.1,-0.6999999999999997,610,,,,,,3,COMPLETE
73,73,,2025-05-29 23:33:32.366173,2025-05-29 23:33:32.712394,0 days 00:00:00.346221,,,,,,,,,,,,,,,,700,23m,3.5,-2.0999999999999996,720,,,,,,,,,,,,,,,,,,,,,560,25m,0.7000000000000001,-3.0,520,,,,,,1,FAIL
74,74,,2025-05-29 23:33:32.722481,2025-05-29 23:33:33.075895,0 days 00:00:00.353414,,,,,,,,,,,,,,,,410,40m,1.9000000000000001,-2.3,760,,,,,,,,,,,,,,,,,,,,,560,25m,0.6000000000000001,-1.4,780,,,,,,1,FAIL
75,75,,2025-05-29 23:33:33.075895,2025-05-29 23:33:33.420187,0 days 00:00:00.344292,,,,,,,,,,,,,,,,400,26m,1.9000000000000001,-2.2,480,,,,,,,,,,,,,,,,,,,,,560,54m,0.6000000000000001,-2.9,500,,,,,,1,FAIL
76,76,,2025-05-29 23:33:33.420187,2025-05-29 23:33:33.752364,0 days 00:00:00.332177,,,,,,,,,,,,,,,,420,16m,1.9000000000000001,-2.2,450,,,,,,,,,,,,,,,,,,,,,560,44m,0.6000000000000001,-1.4,500,,,,,,1,FAIL
77,77,,2025-05-29 23:33:33.768339,2025-05-29 23:33:34.093818,0 days 00:00:00.325479,,,,,,,,,,,,,,,,210,42m,1.8,-0.5,720,,,,,,,,,,,,,,,,,,,,,550,56m,0.7000000000000001,-1.4,480,,,,,,1,FAIL
78,78,,2025-05-29 23:33:34.109912,2025-05-29 23:33:34.458258,0 days 00:00:00.348346,,,,,,,,,,,,,,,,420,58m,3.5,-2.0999999999999996,460,,,,,,,,,,,,,,,,,,,,,540,40m,0.6000000000000001,-1.4,480,,,,,,1,FAIL
79,79,,2025-05-29 23:33:34.458258,2025-05-29 23:33:34.790309,0 days 00:00:00.332051,,,,,,,,,,,,,,,,410,58m,2.0,-2.4,470,,,,,,,,,,,,,,,,,,,,,940,21m,0.7000000000000001,-1.4,500,,,,,,1,FAIL
80,80,,2025-05-29 23:33:34.806206,2025-05-29 23:33:35.141153,0 days 00:00:00.334947,,,,,,,,,,,,,,,,180,54m,1.9000000000000001,-2.2,740,,,,,,,,,,,,,,,,,,,,,560,31m,0.6000000000000001,-1.4,780,,,,,,1,FAIL
81,81,,2025-05-29 23:33:35.157226,2025-05-29 23:33:35.499830,0 days 00:00:00.342604,,,,,,,,,,,,,,,,410,58m,3.5,-2.3,720,,,,,,,,,,,,,,,,,,,,,560,26m,0.6000000000000001,-1.4,500,,,,,,1,FAIL
82,82,,2025-05-29 23:33:35.499830,2025-05-29 23:33:35.843804,0 days 00:00:00.343974,,,,,,,,,,,,,,,,420,38m,1.9000000000000001,-2.3,720,,,,,,,,,,,,,,,,,,,,,570,50m,0.6000000000000001,-1.2999999999999998,490,,,,,,1,FAIL
83,83,,2025-05-29 23:33:35.848201,2025-05-29 23:33:36.181428,0 days 00:00:00.333227,,,,,,,,,,,,,,,,400,40m,1.9000000000000001,-0.3999999999999999,750,,,,,,,,,,,,,,,,,,,,,560,58m,0.6000000000000001,-1.4,500,,,,,,1,FAIL
84,84,,2025-05-29 23:33:36.181428,2025-05-29 23:33:36.519045,0 days 00:00:00.337617,,,,,,,,,,,,,,,,760,25m,1.9000000000000001,-2.4,460,,,,,,,,,,,,,,,,,,,,,560,48m,0.6000000000000001,-1.4,520,,,,,,1,FAIL
85,85,,2025-05-29 23:33:36.519045,2025-05-29 23:33:36.849988,0 days 00:00:00.330943,,,,,,,,,,,,,,,,410,26m,1.9000000000000001,-2.2,730,,,,,,,,,,,,,,,,,,,,,550,58m,0.5,-1.4,480,,,,,,1,FAIL
86,86,,2025-05-29 23:33:36.864878,2025-05-29 23:33:37.192303,0 days 00:00:00.327425,,,,,,,,,,,,,,,,770,18m,1.9000000000000001,-2.5,760,,,,,,,,,,,,,,,,,,,,,550,46m,0.6000000000000001,-1.4,490,,,,,,1,FAIL
87,87,,2025-05-29 23:33:37.192303,2025-05-29 23:33:37.534897,0 days 00:00:00.342594,,,,,,,,,,,,,,,,420,26m,1.9000000000000001,-2.5,460,,,,,,,,,,,,,,,,,,,,,560,24m,0.6000000000000001,-1.4,490,,,,,,1,FAIL
88,88,,2025-05-29 23:33:37.550774,2025-05-29 23:33:37.867199,0 days 00:00:00.316425,,,,,,,,,,,,,,,,770,23m,1.9000000000000001,-2.3,740,,,,,,,,,,,,,,,,,,,,,480,39m,0.6000000000000001,-1.4,500,,,,,,1,FAIL
89,89,,2025-05-29 23:33:37.867199,2025-05-29 23:33:38.212433,0 days 00:00:00.345234,,,,,,,,,,,,,,,,400,26m,1.9000000000000001,-0.5,450,,,,,,,,,,,,,,,,,,,,,940,48m,0.6000000000000001,-1.4,500,,,,,,1,FAIL
90,90,,2025-05-29 23:33:38.216082,2025-05-29 23:33:38.534837,0 days 00:00:00.318755,,,,,,,,,,,,,,,,400,37m,1.9000000000000001,-2.2,710,,,,,,,,,,,,,,,,,,,,,570,53m,0.6000000000000001,-1.4,770,,,,,,1,FAIL
91,91,,2025-05-29 23:33:38.550462,2025-05-29 23:33:38.869184,0 days 00:00:00.318722,,,,,,,,,,,,,,,,400,38m,3.5,-2.4,470,,,,,,,,,,,,,,,,,,,,,570,37m,0.6000000000000001,-1.4,480,,,,,,1,FAIL
92,92,-3.1651787076660516,2025-05-29 23:33:38.888271,2025-05-29 23:33:39.210107,0 days 00:00:00.321836,,,,,,,,,,,,,,,,400,26m,1.9000000000000001,-2.2,460,,,,,,,,,,,,,,,,,,,,,560,17m,0.6000000000000001,-1.4,520,,,,,,1,COMPLETE
93,93,-2.289833414838317,2025-05-29 23:33:39.226159,2025-05-29 23:33:39.757971,0 days 00:00:00.531812,200.0,45m,0.6000000000000001,-3.0,220.0,,,,,,,,,,,690,15m,2.1,-0.5,710,,,,,,,,,,,,,,,,890.0,28m,2.0,-1.0999999999999996,780.0,480,45m,0.0,-2.9,780,,,,,,2,COMPLETE
94,94,,2025-05-29 23:33:39.757971,2025-05-29 23:33:40.289913,0 days 00:00:00.531942,90.0,34m,1.4000000000000001,-0.7999999999999998,710.0,,,,,,,,,,,190,58m,0.9,-0.7999999999999998,330,,,,,,,,,,,,,,,,650.0,42m,3.3000000000000003,-3.1,490.0,900,53m,1.2000000000000002,-1.0,670,,,,,,2,FAIL
95,95,,2025-05-29 23:33:40.305814,2025-05-29 23:33:40.835359,0 days 00:00:00.529545,90.0,58m,0.2,-1.5,920.0,,,,,,,,,,,220,37m,0.9,-1.0999999999999996,780,,,,,,,,,,,,,,,,660.0,42m,3.3000000000000003,-3.1,500.0,880,40m,2.8000000000000003,-0.8999999999999999,280,,,,,,2,FAIL
96,96,-1.8584453916529737,2025-05-29 23:33:40.839412,2025-05-29 23:33:41.376420,0 days 00:00:00.537008,100.0,22m,1.3,-1.5,920.0,,,,,,,,,,,770,37m,0.9,-0.7999999999999998,780,,,,,,,,,,,,,,,,800.0,31m,3.3000000000000003,-3.3,690.0,880,21m,2.8000000000000003,-0.8999999999999999,410,,,,,,2,COMPLETE
97,97,1.2177524705686105,2025-05-29 23:33:41.376420,2025-05-29 23:33:42.484567,0 days 00:00:01.108147,10.0,31m,2.4000000000000004,-0.6999999999999997,300.0,100.0,57m,1.6,-1.5999999999999999,630.0,760.0,33m,2.3000000000000003,-1.1999999999999997,760.0,160,11m,1.5,-1.0999999999999996,620,390.0,22m,0.4,-2.2,30.0,170.0,59m,3.5,-0.7999999999999998,230.0,200.0,17m,2.3000000000000003,-0.8999999999999999,960.0,220.0,42m,2.9000000000000004,-2.5,900.0,950,40m,1.2000000000000002,-2.0999999999999996,680,450.0,54m,1.0,-3.4,820.0,5,COMPLETE
98,98,-6.553171461286918,2025-05-29 23:33:42.484567,2025-05-29 23:33:43.247769,0 days 00:00:00.763202,570.0,39m,1.5,-1.7999999999999998,770.0,70.0,1m,0.6000000000000001,-1.9,150.0,390.0,53m,2.1,-1.9,620.0,850,40m,1.8,-0.09999999999999964,860,,,,,,,,,,,,,,,,680.0,14m,2.6,-2.2,480.0,740,25m,0.8,-1.0999999999999996,290,,,,,,3,COMPLETE
99,99,1.0902477934515138,2025-05-29 23:33:43.263752,2025-05-29 23:33:44.219016,0 days 00:00:00.955264,370.0,4m,3.3000000000000003,-3.4,650.0,740.0,4m,1.2000000000000002,-1.2999999999999998,720.0,480.0,3m,2.7,-0.7999999999999998,520.0,20,18m,3.1,-2.4,320,760.0,31m,1.9000000000000001,-1.5,700.0,,,,,,,,,,,540.0,53m,1.9000000000000001,-2.9,740.0,640,9m,0.5,-3.3,480,700.0,26m,1.9000000000000001,-2.5,60.0,4,COMPLETE
100,100,-2.8070309872840062,2025-05-29 23:33:44.226545,2025-05-29 23:33:45.372699,0 days 00:00:01.146154,270.0,38m,0.2,-1.0999999999999996,590.0,980.0,5m,3.1,-1.0999999999999996,320.0,200.0,56m,0.6000000000000001,-1.5,160.0,280,46m,1.3,-2.0,410,10.0,24m,2.7,-2.8,220.0,520.0,39m,0.8,-2.6,30.0,590.0,40m,0.8,-0.7999999999999998,220.0,1000.0,41m,3.2,-0.7999999999999998,330.0,410,46m,0.4,-2.5,730,590.0,56m,0.0,-3.0,730.0,5,COMPLETE
101,101,0.4651501750395835,2025-05-29 23:33:45.376529,2025-05-29 23:33:46.378873,0 days 00:00:01.002344,90.0,26m,0.9,-2.0999999999999996,80.0,220.0,58m,3.0,-1.7999999999999998,340.0,850.0,26m,1.9000000000000001,-1.4,780.0,760,16m,3.5,-0.2999999999999998,70,880.0,40m,1.8,-1.2999999999999998,150.0,,,,,,,,,,,860.0,7m,2.7,-1.5999999999999999,1000.0,830,57m,1.4000000000000001,-1.5999999999999999,530,940.0,38m,1.4000000000000001,-1.5,300.0,4,COMPLETE
102,102,2.415184220061923,2025-05-29 23:33:46.378873,2025-05-29 23:33:47.267395,0 days 00:00:00.888522,110.0,9m,0.5,-2.4,60.0,390.0,47m,2.5,-2.0999999999999996,290.0,870.0,21m,2.5,-1.0999999999999996,900.0,720,25m,1.0,-0.3999999999999999,100,950.0,37m,1.2000000000000002,-0.7999999999999998,220.0,,,,,,,,,,,430.0,51m,2.9000000000000004,-2.0,950.0,780,8m,1.3,-1.5,340,910.0,38m,1.6,-1.5999999999999999,390.0,4,COMPLETE
103,103,1.4481725922369002,2025-05-29 23:33:47.283113,2025-05-29 23:33:48.438977,0 days 00:00:01.155864,60.0,9m,0.4,-2.3,160.0,470.0,23m,2.5,-2.2,160.0,940.0,4m,3.1,-1.0999999999999996,900.0,660,25m,1.1,0.0,190,630.0,5m,1.1,-0.6999999999999997,280.0,860.0,55m,2.0,-0.6999999999999997,610.0,240.0,12m,0.5,-2.7,680.0,450.0,51m,3.5,-2.0,940.0,780,8m,1.6,-1.2999999999999998,20,780.0,11m,1.7000000000000002,-2.0999999999999996,430.0,5,COMPLETE
104,104,1.1288855115416254,2025-05-29 23:33:48.453865,2025-05-29 23:33:49.488704,0 days 00:00:01.034839,170.0,10m,0.6000000000000001,-2.6,10.0,400.0,47m,1.9000000000000001,-2.8,530.0,580.0,17m,2.9000000000000004,-0.2999999999999998,950.0,960,28m,0.9,-0.3999999999999999,60,910.0,37m,0.6000000000000001,-0.19999999999999973,440.0,,,,,,,,,,,340.0,6m,3.0,-1.4,810.0,960,44m,1.0,-0.6999999999999997,230,900.0,25m,2.9000000000000004,-1.5999999999999999,190.0,4,COMPLETE
105,105,-0.9740551108605353,2025-05-29 23:33:49.488704,2025-05-29 23:33:50.756305,0 days 00:00:01.267601,210.0,30m,0.0,-2.4,110.0,550.0,52m,1.6,-2.6,280.0,730.0,14m,2.5,-0.6999999999999997,700.0,730,38m,1.4000000000000001,-0.5999999999999996,130,740.0,37m,1.4000000000000001,-0.7999999999999998,50.0,620.0,11m,0.6000000000000001,-2.7,290.0,520.0,16m,1.6,-1.9,480.0,440.0,52m,2.9000000000000004,-1.7999999999999998,860.0,890,42m,0.6000000000000001,-1.5,330,880.0,30m,0.7000000000000001,-1.0,560.0,5,COMPLETE
106,106,0.6016465722926639,2025-05-29 23:33:50.769713,2025-05-29 23:33:52.015379,0 days 00:00:01.245666,130.0,27m,0.2,-2.6,50.0,370.0,54m,2.7,-2.0,260.0,910.0,15m,1.5,-2.8,850.0,550,35m,1.6,-0.19999999999999973,960,1000.0,6m,0.0,-2.0999999999999996,380.0,320.0,58m,1.7000000000000002,-0.8999999999999999,510.0,10.0,21m,2.6,-1.1999999999999997,310.0,600.0,46m,1.5,-2.0999999999999996,690.0,580,22m,0.2,-1.7999999999999998,140,1000.0,52m,1.2000000000000002,-1.9,410.0,5,COMPLETE
107,107,-1.0578101711200396,2025-05-29 23:33:52.025851,2025-05-29 23:33:52.662322,0 days 00:00:00.636471,230.0,7m,2.9000000000000004,-1.9,250.0,,,,,,,,,,,610,23m,0.7000000000000001,-1.5999999999999999,260,,,,,,,,,,,,,,,,360.0,20m,0.7000000000000001,-1.5999999999999999,180.0,760,54m,1.8,-0.19999999999999973,410,,,,,,2,COMPLETE
108,108,-0.23900700659764246,2025-05-29 23:33:52.672346,2025-05-29 23:33:53.719861,0 days 00:00:01.047515,50.0,46m,0.8,-0.5,700.0,270.0,38m,2.3000000000000003,-0.19999999999999973,210.0,800.0,5m,1.1,-2.5,720.0,880,3m,1.2000000000000002,-1.0999999999999996,490,860.0,58m,1.5,-1.5,250.0,,,,,,,,,,,290.0,59m,3.1,-1.2999999999999998,120.0,690,50m,0.9,-1.0,990,750.0,8m,2.2,-0.2999999999999998,620.0,4,COMPLETE
109,109,-3.2294777026040618,2025-05-29 23:33:53.719861,2025-05-29 23:33:54.928851,0 days 00:00:01.208990,730.0,44m,0.5,-2.3,550.0,620.0,55m,2.1,-1.4,450.0,520.0,25m,2.2,-1.0999999999999996,570.0,710,53m,1.6,-3.1,220,180.0,1m,1.0,-0.3999999999999999,140.0,120.0,12m,0.5,-2.2,950.0,160.0,5m,0.6000000000000001,-0.19999999999999973,800.0,740.0,51m,2.4000000000000004,-3.2,770.0,540,48m,0.4,-1.2999999999999998,600,660.0,2m,1.7000000000000002,-2.2,890.0,5,COMPLETE
110,110,-0.7308953753643961,2025-05-29 23:33:54.939530,2025-05-29 23:33:55.319876,0 days 00:00:00.380346,,,,,,,,,,,,,,,,820,42m,1.0,-0.5999999999999996,160,,,,,,,,,,,,,,,,,,,,,360,37m,0.1,-1.5,180,,,,,,1,COMPLETE
111,111,2.219969236020658,2025-05-29 23:33:55.319876,2025-05-29 23:33:56.346773,0 days 00:00:01.026897,120.0,37m,1.1,-2.0999999999999996,50.0,190.0,26m,3.2,-1.7,320.0,860.0,21m,1.8,-1.2999999999999998,790.0,750,1m,1.0,-0.3999999999999999,110,930.0,57m,2.1,-1.0999999999999996,200.0,,,,,,,,,,,810.0,44m,2.7,-2.3,990.0,840,2m,1.3,-1.5999999999999999,500,950.0,38m,1.4000000000000001,-1.5999999999999999,280.0,4,COMPLETE
112,112,-0.4118486546891961,2025-05-29 23:33:56.352319,2025-05-29 23:33:57.379720,0 days 00:00:01.027401,120.0,37m,2.4000000000000004,-2.0,180.0,170.0,26m,3.5,-1.7999999999999998,90.0,880.0,21m,1.8,-1.0,880.0,790,1m,0.6000000000000001,-0.3999999999999999,130,910.0,57m,1.3,-1.0999999999999996,80.0,,,,,,,,,,,680.0,4m,3.3000000000000003,-2.5,960.0,850,24m,1.4000000000000001,-2.2,640,920.0,27m,1.3,-1.7,190.0,4,COMPLETE
113,113,0.8045402366968796,2025-05-29 23:33:57.387391,2025-05-29 23:33:58.220978,0 days 00:00:00.833587,160.0,47m,0.5,-2.5,40.0,310.0,48m,2.8000000000000003,-2.4,600.0,810.0,34m,1.7000000000000002,-2.0,960.0,500,47m,1.4000000000000001,-0.09999999999999964,1000,,,,,,,,,,,,,,,,790.0,45m,2.8000000000000003,-1.9,920.0,990,58m,1.2000000000000002,-1.1999999999999997,560,,,,,,3,COMPLETE
114,114,-0.5010094311877012,2025-05-29 23:33:58.229517,2025-05-29 23:33:59.391901,0 days 00:00:01.162384,60.0,8m,1.9000000000000001,0.0,110.0,10.0,16m,3.3000000000000003,-2.0999999999999996,380.0,710.0,9m,1.5,-0.6999999999999997,800.0,670,54m,0.30000000000000004,-0.7999999999999998,10,800.0,13m,0.4,0.0,190.0,,,,,,,,,,,820.0,30m,2.6,-2.2,960.0,910,39m,2.1,-1.9,440,830.0,33m,0.8,-1.9,210.0,4,COMPLETE
115,115,-1.0781467000765914,2025-05-29 23:33:59.400286,2025-05-29 23:34:00.469062,0 days 00:00:01.068776,110.0,58m,0.30000000000000004,-2.2,430.0,490.0,49m,2.6,-0.7999999999999998,270.0,1000.0,8m,2.8000000000000003,-0.3999999999999999,640.0,430,45m,0.9,-0.3999999999999999,380,690.0,9m,1.7000000000000002,-0.8999999999999999,350.0,500.0,4m,1.5,-1.2999999999999998,500.0,430.0,20m,1.4000000000000001,-2.2,150.0,960.0,29m,2.3000000000000003,-2.7,840.0,790,26m,0.30000000000000004,-1.5999999999999999,480,920.0,55m,1.6,-1.0,350.0,5,COMPLETE
116,116,,2025-05-29 23:34:00.479564,2025-05-29 23:34:00.980232,0 days 00:00:00.500668,170.0,56m,0.8,-0.19999999999999973,820.0,,,,,,,,,,,770,13m,1.9000000000000001,-0.19999999999999973,570,,,,,,,,,,,,,,,,900.0,49m,0.4,-1.7,260.0,720,53m,0.7000000000000001,-3.0,350,,,,,,2,FAIL
117,117,-2.7807498450458237,2025-05-29 23:34:00.994364,2025-05-29 23:34:01.519607,0 days 00:00:00.525243,160.0,36m,0.8,-1.7999999999999998,40.0,,,,,,,,,,,900,13m,1.9000000000000001,-0.6999999999999997,550,,,,,,,,,,,,,,,,900.0,13m,3.0,-1.7,890.0,730,15m,0.7000000000000001,-3.0,340,,,,,,2,COMPLETE
118,118,0.16730107406744146,2025-05-29 23:34:01.524086,2025-05-29 23:34:02.550591,0 days 00:00:01.026505,290.0,56m,1.7000000000000002,-2.4,820.0,880.0,42m,2.5,-1.5,190.0,610.0,58m,2.5,-1.2999999999999998,740.0,850,6m,1.1,-1.0,250,600.0,55m,0.8,-1.5,140.0,,,,,,,,,,,510.0,49m,3.3000000000000003,-1.9,530.0,850,52m,1.9000000000000001,-1.4,770,50.0,57m,0.5,-1.5,420.0,4,COMPLETE
119,119,-3.730806328726776,2025-05-29 23:34:02.550591,2025-05-29 23:34:03.316509,0 days 00:00:00.765918,10.0,6m,1.1,-2.7,180.0,50.0,39m,3.3000000000000003,-1.1999999999999997,120.0,310.0,59m,1.2000000000000002,-0.19999999999999973,830.0,620,34m,1.3,-0.19999999999999973,110,,,,,,,,,,,,,,,,870.0,10m,2.5,-3.4,740.0,430,31m,1.1,-3.5,710,,,,,,3,COMPLETE
120,120,,2025-05-29 23:34:03.320660,2025-05-29 23:34:03.858436,0 days 00:00:00.537776,80.0,50m,0.7000000000000001,-2.0,380.0,,,,,,,,,,,760,19m,1.7000000000000002,-1.2999999999999998,900,,,,,,,,,,,,,,,,960.0,16m,2.9000000000000004,-1.5,620.0,630,53m,0.9,-0.7999999999999998,670,,,,,,2,FAIL
