,number,value,datetime_start,datetime_complete,duration,params_ASML_ISRG_beta_win,params_ASML_ISRG_trade_freq,params_ASML_ISRG_z_entry,params_ASML_ISRG_z_exit,params_ASML_ISRG_z_win,params_CELG_IDXX_beta_win,params_CELG_IDXX_trade_freq,params_CELG_IDXX_z_entry,params_CELG_IDXX_z_exit,params_CELG_IDXX_z_win,params_CSX_MAR_beta_win,params_CSX_MAR_trade_freq,params_CSX_MAR_z_entry,params_CSX_MAR_z_exit,params_CSX_MAR_z_win,params_ILMN_INCY_beta_win,params_ILMN_INCY_trade_freq,params_ILMN_INCY_z_entry,params_ILMN_INCY_z_exit,params_ILMN_INCY_z_win,params_LRCX_CHTR_beta_win,params_LRCX_CHTR_trade_freq,params_LRCX_CHTR_z_entry,params_LRCX_CHTR_z_exit,params_LRCX_CHTR_z_win,params_MSFT_VRTX_beta_win,params_MSFT_VRTX_trade_freq,params_MSFT_VRTX_z_entry,params_MSFT_VRTX_z_exit,params_MSFT_VRTX_z_win,params_NFLX_IDXX_beta_win,params_NFLX_IDXX_trade_freq,params_NFLX_IDXX_z_entry,params_NFLX_IDXX_z_exit,params_NFLX_IDXX_z_win,params_TTWO_SWKS_beta_win,params_TTWO_SWKS_trade_freq,params_TTWO_SWKS_z_entry,params_TTWO_SWKS_z_exit,params_TTWO_SWKS_z_win,params_WDC_CERN_beta_win,params_WDC_CERN_trade_freq,params_WDC_CERN_z_entry,params_WDC_CERN_z_exit,params_WDC_CERN_z_win,params_WYNN_ADSK_beta_win,params_WYNN_ADSK_trade_freq,params_WYNN_ADSK_z_entry,params_WYNN_ADSK_z_exit,params_WYNN_ADSK_z_win,params_pairs_to_trade,state
11,11,1.6649118490194263,2025-05-29 23:32:54.874480,2025-05-29 23:32:55.488815,0 days 00:00:00.614335,400.0,18m,2.2,-0.3999999999999999,620.0,580.0,56m,2.7,-2.7,230.0,280.0,19m,1.4000000000000001,-2.3,330.0,130,24m,1.6,-0.6999999999999997,820,,,,,,,,,,,,,,,,500.0,57m,0.6000000000000001,-3.0,700.0,990,18m,2.2,-1.0,390,,,,,,3,COMPLETE
12,12,-1.0604160080266367,2025-05-29 23:32:55.488815,2025-05-29 23:32:56.680366,0 days 00:00:01.191551,10.0,46m,3.5,-1.9,350.0,140.0,20m,0.2,0.0,1000.0,40.0,14m,0.2,-0.09999999999999964,830.0,320,28m,0.1,-3.5,990,20.0,30m,3.2,-3.5,130.0,950.0,51m,2.9000000000000004,-3.5,160.0,60.0,19m,2.0,-0.09999999999999964,820.0,640.0,42m,3.4000000000000004,-0.8999999999999999,30.0,610,30m,1.0,-2.3,910,70.0,23m,3.2,-3.3,970.0,5,COMPLETE
13,13,0.1976083835120957,2025-05-29 23:32:56.688566,2025-05-29 23:32:57.847427,0 days 00:00:01.158861,60.0,17m,3.5,-1.2999999999999998,760.0,10.0,38m,2.1,0.0,70.0,660.0,51m,1.5,-0.5999999999999996,930.0,640,28m,0.9,-2.2,390,830.0,16m,1.2000000000000002,-1.7999999999999998,100.0,240.0,31m,0.0,0.0,460.0,120.0,36m,0.1,-1.9,120.0,710.0,19m,3.4000000000000004,-1.1999999999999997,380.0,720,42m,0.5,-2.0999999999999996,800,990.0,17m,1.4000000000000001,-1.2999999999999998,780.0,5,COMPLETE
14,14,0.5365348225311087,2025-05-29 23:32:57.863557,2025-05-29 23:32:59.044182,0 days 00:00:01.180625,230.0,46m,0.1,-1.9,680.0,290.0,37m,3.5,-0.7999999999999998,530.0,350.0,50m,1.9000000000000001,-1.0999999999999996,690.0,920,8m,1.4000000000000001,-3.4,500,700.0,58m,1.7000000000000002,-1.5999999999999999,340.0,610.0,43m,1.3,-1.7,380.0,360.0,40m,0.2,-1.5,370.0,510.0,51m,3.1,-3.5,300.0,720,6m,0.8,-3.4,370,990.0,7m,2.0,-1.9,670.0,5,COMPLETE
15,15,-2.8633670892537655,2025-05-29 23:32:59.057799,2025-05-29 23:33:00.025261,0 days 00:00:00.967462,220.0,54m,2.7,-1.2999999999999998,520.0,210.0,15m,2.1,-3.2,820.0,780.0,22m,2.1,-1.2999999999999998,680.0,1000,43m,2.3000000000000003,-2.0,190,450.0,37m,0.8,-1.7999999999999998,970.0,,,,,,,,,,,810.0,12m,1.7000000000000002,-1.0,950.0,130,28m,0.1,-2.6,780,690.0,20m,1.6,-0.09999999999999964,40.0,4,COMPLETE
16,16,-3.207304889914535,2025-05-29 23:33:00.035169,2025-05-29 23:33:00.948086,0 days 00:00:00.912917,640.0,26m,1.4000000000000001,-2.4,430.0,10.0,45m,0.9,-2.0999999999999996,370.0,1000.0,55m,0.9,-0.09999999999999964,1000.0,680,27m,0.5,0.0,480,440.0,10m,2.4000000000000004,-1.1999999999999997,380.0,,,,,,,,,,,570.0,2m,2.1,-3.5,530.0,740,12m,0.8,-1.7,370,820.0,17m,0.5,-1.1999999999999997,510.0,4,COMPLETE
17,17,-2.210181602805509,2025-05-29 23:33:00.948086,2025-05-29 23:33:02.040028,0 days 00:00:01.091942,110.0,21m,0.0,-1.1999999999999997,800.0,340.0,37m,2.7,-0.6999999999999997,70.0,270.0,50m,2.3000000000000003,-0.8999999999999999,760.0,290,39m,1.2000000000000002,-2.7,660,980.0,35m,0.0,-2.6,10.0,430.0,26m,1.7000000000000002,-3.5,970.0,950.0,46m,0.0,-1.4,590.0,770.0,48m,3.0,-2.7,10.0,800,1m,2.0,-0.19999999999999973,700,420.0,6m,2.4000000000000004,-2.6,800.0,5,COMPLETE
18,18,0.05122866577003005,2025-05-29 23:33:02.040028,2025-05-29 23:33:02.977637,0 days 00:00:00.937609,350.0,23m,2.8000000000000003,-2.5,980.0,530.0,29m,1.8,-0.6999999999999997,690.0,470.0,41m,0.9,-1.7999999999999998,540.0,530,51m,2.0,-2.8,370,290.0,2m,1.5,-0.6999999999999997,310.0,,,,,,,,,,,900.0,43m,0.0,-1.4,170.0,590,4m,0.5,-2.7,190,350.0,36m,1.1,-0.6999999999999997,520.0,4,COMPLETE
19,19,0.3941305944729911,2025-05-29 23:33:02.977637,2025-05-29 23:33:04.074338,0 days 00:00:01.096701,160.0,29m,1.6,0.0,700.0,140.0,2m,3.3000000000000003,-2.3,400.0,650.0,40m,1.0,-0.5,450.0,640,41m,0.5,-1.4,150,650.0,19m,2.3000000000000003,-2.5,600.0,710.0,36m,0.1,0.0,120.0,350.0,42m,3.5,-2.6,20.0,400.0,8m,2.3000000000000003,0.0,860.0,290,51m,1.4000000000000001,-1.7999999999999998,450,800.0,40m,2.4000000000000004,-2.3,980.0,5,COMPLETE
20,20,0.7057781728722538,2025-05-29 23:33:04.090250,2025-05-29 23:33:05.043457,0 days 00:00:00.953207,330.0,5m,3.1,-0.8999999999999999,860.0,960.0,22m,1.4000000000000001,-1.2999999999999998,630.0,80.0,10m,2.4000000000000004,-1.5999999999999999,850.0,840,52m,2.6,-1.7999999999999998,440,240.0,20m,0.8,-2.4,270.0,,,,,,,,,,,680.0,15m,1.2000000000000002,-1.5999999999999999,450.0,600,13m,0.5,-0.5999999999999996,320,850.0,7m,0.1,-1.1999999999999997,700.0,4,COMPLETE
