,number,value,datetime_start,datetime_complete,duration,params_ADBE_VRSN_beta_win,params_ADBE_VRSN_trade_freq,params_ADBE_VRSN_z_entry,params_ADBE_VRSN_z_exit,params_ADBE_VRSN_z_win,params_ADSK_VRSN_beta_win,params_ADSK_VRSN_trade_freq,params_ADSK_VRSN_z_entry,params_ADSK_VRSN_z_exit,params_ADSK_VRSN_z_win,params_ANSS_VRSN_beta_win,params_ANSS_VRSN_trade_freq,params_ANSS_VRSN_z_entry,params_ANSS_VRSN_z_exit,params_ANSS_VRSN_z_win,params_ASML_BIIB_beta_win,params_ASML_BIIB_trade_freq,params_ASML_BIIB_z_entry,params_ASML_BIIB_z_exit,params_ASML_BIIB_z_win,params_BIIB_KLAC_beta_win,params_BIIB_KLAC_trade_freq,params_BIIB_KLAC_z_entry,params_BIIB_KLAC_z_exit,params_BIIB_KLAC_z_win,params_COST_VRSN_beta_win,params_COST_VRSN_trade_freq,params_COST_VRSN_z_entry,params_COST_VRSN_z_exit,params_COST_VRSN_z_win,params_EBAY_BIIB_beta_win,params_EBAY_BIIB_trade_freq,params_EBAY_BIIB_z_entry,params_EBAY_BIIB_z_exit,params_EBAY_BIIB_z_win,params_GOOGL_GOOG_beta_win,params_GOOGL_GOOG_trade_freq,params_GOOGL_GOOG_z_entry,params_GOOGL_GOOG_z_exit,params_GOOGL_GOOG_z_win,params_LRCX_BIIB_beta_win,params_LRCX_BIIB_trade_freq,params_LRCX_BIIB_z_entry,params_LRCX_BIIB_z_exit,params_LRCX_BIIB_z_win,params_PDD_TEAM_beta_win,params_PDD_TEAM_trade_freq,params_PDD_TEAM_z_entry,params_PDD_TEAM_z_exit,params_PDD_TEAM_z_win,params_PTON_SGEN_beta_win,params_PTON_SGEN_trade_freq,params_PTON_SGEN_z_entry,params_PTON_SGEN_z_exit,params_PTON_SGEN_z_win,params_PTON_TSLA_beta_win,params_PTON_TSLA_trade_freq,params_PTON_TSLA_z_entry,params_PTON_TSLA_z_exit,params_PTON_TSLA_z_win,params_SNPS_VRSN_beta_win,params_SNPS_VRSN_trade_freq,params_SNPS_VRSN_z_entry,params_SNPS_VRSN_z_exit,params_SNPS_VRSN_z_win,params_TSLA_AMD_beta_win,params_TSLA_AMD_trade_freq,params_TSLA_AMD_z_entry,params_TSLA_AMD_z_exit,params_TSLA_AMD_z_win,params_TSLA_XLNX_beta_win,params_TSLA_XLNX_trade_freq,params_TSLA_XLNX_z_entry,params_TSLA_XLNX_z_exit,params_TSLA_XLNX_z_win,params_pairs_to_trade,state
37,37,-0.7854727021146427,2025-05-29 23:56:31.669632,2025-05-29 23:56:33.599027,0 days 00:00:01.929395,180.0,5m,2.2,-1.7999999999999998,380.0,990.0,1m,0.0,0.0,40.0,630.0,3m,0.0,-3.5,310.0,240.0,49m,0.2,-3.4,720.0,20.0,20m,3.4000000000000004,-2.7,10.0,300.0,30m,3.1,-3.2,630.0,730.0,7m,2.8000000000000003,-2.4,360.0,530,58m,1.9000000000000001,-1.9,290,760.0,44m,0.5,-0.6999999999999997,660.0,20.0,25m,2.9000000000000004,-0.3999999999999999,930.0,580.0,15m,1.0,-1.5,370.0,870,47m,1.5,-1.7999999999999998,800,770,16m,1.8,-3.4,260,90.0,23m,0.0,0.0,1000.0,770.0,59m,2.4000000000000004,-2.5,250.0,5,COMPLETE
38,38,-1.352292215536898,2025-05-29 23:56:33.615049,2025-05-29 23:56:34.841379,0 days 00:00:01.226330,370.0,56m,1.5,-0.7999999999999998,670.0,,,,,,,,,,,170.0,31m,0.0,-1.0,300.0,,,,,,540.0,19m,2.6,-2.6,440.0,,,,,,1000,13m,2.7,-2.3,90,160.0,8m,2.7,-2.3,170.0,100.0,55m,2.2,-0.8999999999999999,500.0,860.0,27m,2.9000000000000004,-0.5,190.0,940,6m,2.2,-0.19999999999999973,670,830,28m,0.7000000000000001,-2.6,10,,,,,,,,,,,3,COMPLETE
39,39,-2.7417553365088225,2025-05-29 23:56:34.857721,2025-05-29 23:56:35.414352,0 days 00:00:00.556631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,10m,1.4000000000000001,-0.5999999999999996,210,,,,,,,,,,,,,,,,780,55m,0.9,-3.2,90,950,54m,1.8,-1.2999999999999998,100,,,,,,,,,,,1,COMPLETE
40,40,,2025-05-29 23:56:35.414352,2025-05-29 23:56:36.244025,0 days 00:00:00.829673,,,,,,,,,,,,,,,,70.0,51m,0.5,-3.0,900.0,,,,,,10.0,56m,1.1,-2.9,760.0,,,,,,530,30m,1.0,-2.5,360,,,,,,680.0,27m,0.5,-0.2999999999999998,700.0,,,,,,850,36m,1.1,-1.2999999999999998,750,670,50m,0.5,-1.7,400,,,,,,,,,,,2,FAIL
41,41,0.6058319236108689,2025-05-29 23:56:36.247846,2025-05-29 23:56:37.105938,0 days 00:00:00.858092,,,,,,,,,,,,,,,,80.0,23m,0.5,-2.9,790.0,,,,,,10.0,52m,2.9000000000000004,-2.9,770.0,,,,,,450,21m,1.1,-1.5,510,,,,,,610.0,51m,0.30000000000000004,-0.2999999999999998,690.0,,,,,,460,26m,1.2000000000000002,-1.4,520,660,56m,3.3000000000000003,-2.4,410,,,,,,,,,,,2,COMPLETE
42,42,-0.7562178597645791,2025-05-29 23:56:37.105938,2025-05-29 23:56:38.269917,0 days 00:00:01.163979,170.0,37m,0.5,-0.19999999999999973,890.0,,,,,,,,,,,360.0,16m,0.8,-2.2,540.0,,,,,,750.0,49m,1.2000000000000002,-3.3,530.0,,,,,,530,47m,0.2,-2.5,380,540.0,46m,2.0,-3.5,430.0,900.0,5m,0.5,-1.4,20.0,160.0,50m,1.6,-3.2,990.0,600,38m,1.9000000000000001,-1.0,750,940,52m,0.6000000000000001,-1.7,990,,,,,,,,,,,3,COMPLETE
43,43,-1.0868109459301827,2025-05-29 23:56:38.269917,2025-05-29 23:56:38.810663,0 days 00:00:00.540746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,16m,0.8,-3.0,590,,,,,,,,,,,,,,,,860,44m,0.2,-0.5,920,470,36m,1.5,-1.2999999999999998,540,,,,,,,,,,,1,COMPLETE
44,44,-1.055081128928379,2025-05-29 23:56:38.810663,2025-05-29 23:56:40.808909,0 days 00:00:01.998246,550.0,27m,3.5,-2.8,910.0,20.0,38m,3.4000000000000004,-3.5,990.0,210.0,32m,2.4000000000000004,-1.0999999999999996,810.0,260.0,9m,0.30000000000000004,-0.2999999999999998,460.0,980.0,17m,0.9,-0.09999999999999964,900.0,210.0,54m,1.9000000000000001,-1.9,880.0,310.0,57m,1.1,-0.09999999999999964,60.0,860,51m,0.6000000000000001,-3.5,670,380.0,40m,0.4,-0.7999999999999998,920.0,220.0,1m,1.7000000000000002,-1.0999999999999996,870.0,420.0,2m,2.3000000000000003,-2.4,20.0,960,49m,2.9000000000000004,0.0,590,1000,24m,1.1,-0.5999999999999996,180,870.0,15m,3.5,-0.8999999999999999,20.0,360.0,51m,1.2000000000000002,-0.7999999999999998,730.0,5,COMPLETE
45,45,1.8322225217324355,2025-05-29 23:56:40.816928,2025-05-29 23:56:41.668246,0 days 00:00:00.851318,,,,,,,,,,,,,,,,70.0,44m,1.6,-0.7999999999999998,920.0,,,,,,100.0,22m,0.9,-3.0,140.0,,,,,,660,22m,3.2,-0.7999999999999998,330,,,,,,270.0,16m,2.9000000000000004,-0.7999999999999998,790.0,,,,,,580,29m,0.0,-1.7,180,570,13m,2.1,-3.1,650,,,,,,,,,,,2,COMPLETE
46,46,2.5217607432277838,2025-05-29 23:56:41.682533,2025-05-29 23:56:42.922193,0 days 00:00:01.239660,430.0,30m,1.2000000000000002,-1.4,740.0,,,,,,,,,,,150.0,32m,0.0,-0.5999999999999996,190.0,,,,,,70.0,8m,0.4,-2.7,690.0,,,,,,720,41m,0.9,-1.9,160,250.0,29m,1.1,-1.1999999999999997,1000.0,100.0,41m,1.1,-1.2999999999999998,760.0,690.0,23m,3.1,-3.5,210.0,910,42m,3.1,0.0,260,890,42m,2.9000000000000004,-0.8999999999999999,150,,,,,,,,,,,3,COMPLETE
47,47,-1.5027499616020104,2025-05-29 23:56:42.932727,2025-05-29 23:56:44.260391,0 days 00:00:01.327664,440.0,9m,1.4000000000000001,-1.7,680.0,,,,,,,,,,,150.0,11m,0.0,-0.19999999999999973,160.0,,,,,,180.0,55m,0.0,-3.1,740.0,,,,,,810,44m,0.30000000000000004,-2.0999999999999996,180,340.0,43m,1.0,-0.3999999999999999,900.0,70.0,34m,1.2000000000000002,-1.1999999999999997,740.0,610.0,47m,2.6,-3.2,130.0,840,20m,3.4000000000000004,-0.19999999999999973,330,910,51m,3.5,-1.0,70,,,,,,,,,,,3,COMPLETE
48,48,2.185289808620761,2025-05-29 23:56:44.269064,2025-05-29 23:56:45.532409,0 days 00:00:01.263345,670.0,10m,2.0,-1.5999999999999999,790.0,,,,,,,,,,,60.0,1m,0.2,-1.1999999999999997,270.0,,,,,,80.0,6m,0.30000000000000004,-3.4,650.0,,,,,,770,50m,1.0,-2.2,110,180.0,43m,1.4000000000000001,-1.5,750.0,160.0,23m,0.7000000000000001,-1.7999999999999998,640.0,780.0,59m,3.2,-3.5,220.0,910,51m,0.6000000000000001,-0.6999999999999997,70,840,12m,2.7,-1.5,240,,,,,,,,,,,3,COMPLETE
49,49,-2.30451834122383,2025-05-29 23:56:45.540614,2025-05-29 23:56:46.502720,0 days 00:00:00.962106,,,,,,,,,,,,,,,,490.0,38m,2.8000000000000003,-0.5999999999999996,80.0,,,,,,160.0,25m,0.6000000000000001,0.0,870.0,,,,,,950,41m,1.3,-1.5,250,,,,,,330.0,3m,1.6,-0.19999999999999973,930.0,,,,,,1000,4m,3.1,-0.8999999999999999,630,760,18m,2.3000000000000003,-0.19999999999999973,150,,,,,,,,,,,2,COMPLETE
50,50,-2.146341389956026,2025-05-29 23:56:46.510103,2025-05-29 23:56:48.138228,0 days 00:00:01.628125,330.0,52m,0.5,-1.0,640.0,,,,,,980.0,20m,2.1,-2.6,330.0,230.0,3m,2.4000000000000004,-0.7999999999999998,340.0,,,,,,40.0,38m,0.2,-1.2999999999999998,270.0,50.0,32m,2.5,-2.3,860.0,330,31m,1.8,-1.1999999999999997,490,490.0,4m,0.8,-1.0,560.0,40.0,56m,2.4000000000000004,-0.7999999999999998,190.0,510.0,16m,2.4000000000000004,-2.8,410.0,190,57m,2.7,0.0,700,690,48m,3.2,-0.7999999999999998,450,,,,,,10.0,4m,2.7,-2.6,690.0,4,COMPLETE
51,51,1.4032188058647737,2025-05-29 23:56:48.146530,2025-05-29 23:56:49.129561,0 days 00:00:00.983031,,,,,,,,,,,,,,,,300.0,56m,1.3,-1.5,420.0,,,,,,840.0,14m,1.1,-2.4,30.0,,,,,,500,6m,2.3000000000000003,-2.5,410,,,,,,450.0,58m,2.7,-1.5999999999999999,570.0,,,,,,400,42m,2.1,-1.1999999999999997,540,800,15m,0.5,-1.2999999999999998,820,,,,,,,,,,,2,COMPLETE
52,52,2.460964377051003,2025-05-29 23:56:49.138098,2025-05-29 23:56:50.463498,0 days 00:00:01.325400,400.0,43m,1.0,-2.2,460.0,,,,,,,,,,,200.0,18m,0.8,-1.0999999999999996,230.0,,,,,,10.0,5m,1.5,-3.5,600.0,,,,,,360,7m,1.6,-1.7999999999999998,980,30.0,25m,0.30000000000000004,-2.3,930.0,950.0,48m,3.2,-0.5999999999999996,890.0,890.0,46m,3.0,-1.7999999999999998,130.0,790,22m,3.3000000000000003,-0.3999999999999999,240,960,39m,2.5,-1.1999999999999997,50,,,,,,,,,,,3,COMPLETE
53,53,3.0285594337129544,2025-05-29 23:56:50.477454,2025-05-29 23:56:51.456069,0 days 00:00:00.978615,,,,,,,,,,,,,,,,140.0,46m,0.2,-1.7999999999999998,320.0,,,,,,1000.0,31m,0.7000000000000001,-3.0,700.0,,,,,,770,23m,2.5,-1.0999999999999996,40,,,,,,730.0,36m,2.0,-2.4,380.0,,,,,,860,39m,1.1,-0.6999999999999997,370,590,55m,2.0,-0.5999999999999996,760,,,,,,,,,,,2,COMPLETE
54,54,-2.0999878280890645,2025-05-29 23:56:51.464064,2025-05-29 23:56:51.958347,0 days 00:00:00.494283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,12m,3.0,-0.5999999999999996,50,,,,,,,,,,,,,,,,960,27m,1.1,-0.6999999999999997,310,600,55m,1.9000000000000001,-0.6999999999999997,870,,,,,,,,,,,1,COMPLETE
55,55,-0.16815438362569252,2025-05-29 23:56:51.964336,2025-05-29 23:56:52.881843,0 days 00:00:00.917507,,,,,,,,,,,,,,,,850.0,46m,0.4,-1.9,320.0,,,,,,930.0,45m,0.8,-0.2999999999999998,560.0,,,,,,610,23m,2.6,-0.19999999999999973,40,,,,,,760.0,36m,1.9000000000000001,-2.4,370.0,,,,,,640,39m,1.3,-0.7999999999999998,800,480,7m,1.3,0.0,750,,,,,,,,,,,2,COMPLETE
56,56,2.345342636184364,2025-05-29 23:56:52.891099,2025-05-29 23:56:53.810862,0 days 00:00:00.919763,,,,,,,,,,,,,,,,130.0,22m,0.1,-2.7,180.0,,,,,,600.0,10m,0.6000000000000001,-3.0,700.0,,,,,,760,19m,2.4000000000000004,-1.0999999999999996,130,,,,,,730.0,26m,2.1,-2.6,120.0,,,,,,870,58m,1.7000000000000002,-0.19999999999999973,370,410,37m,1.6,-0.3999999999999999,770,,,,,,,,,,,2,COMPLETE
57,57,-1.3102918672985508,2025-05-29 23:56:53.810862,2025-05-29 23:56:54.760595,0 days 00:00:00.949733,,,,,,,,,,,,,,,,50.0,14m,0.4,-1.7,270.0,,,,,,480.0,31m,0.5,-2.8,760.0,,,,,,840,1m,2.1,-1.5999999999999999,70,,,,,,630.0,33m,1.5,-3.0,230.0,,,,,,830,54m,0.9,-0.5,170,670,32m,2.0,-0.8999999999999999,920,,,,,,,,,,,2,COMPLETE
58,58,-0.8229899475726755,2025-05-29 23:56:54.769177,2025-05-29 23:56:55.686270,0 days 00:00:00.917093,,,,,,,,,,,,,,,,130.0,25m,0.2,-3.2,440.0,,,,,,710.0,21m,1.2000000000000002,-3.2,660.0,,,,,,690,28m,2.8000000000000003,-1.0,10,,,,,,860.0,6m,2.0,-2.2,50.0,,,,,,730,25m,2.9000000000000004,-1.0999999999999996,440,880,8m,3.0,-0.5999999999999996,110,,,,,,,,,,,2,COMPLETE
59,59,0.6699596394163979,2025-05-29 23:56:55.692671,2025-05-29 23:56:57.017656,0 days 00:00:01.324985,240.0,30m,1.5,-0.3999999999999999,940.0,,,,,,,,,,,10.0,48m,2.2,-0.7999999999999998,380.0,,,,,,870.0,42m,0.9,-2.7,850.0,,,,,,900,43m,1.2000000000000002,-1.2999999999999998,150,570.0,57m,1.4000000000000001,0.0,690.0,540.0,50m,2.7,-2.2,460.0,630.0,32m,3.5,-3.1,580.0,940,50m,1.4000000000000001,-0.3999999999999999,290,570,14m,0.9,-1.0999999999999996,300,,,,,,,,,,,3,COMPLETE
60,60,1.3232336793938224,2025-05-29 23:56:57.027283,2025-05-29 23:56:57.993050,0 days 00:00:00.965767,,,,,,,,,,,,,,,,380.0,33m,0.0,-2.3,350.0,,,,,,340.0,7m,0.5,-2.5,740.0,,,,,,790,8m,2.0,-2.0,300,,,,,,950.0,20m,2.5,-3.2,960.0,,,,,,890,30m,0.7000000000000001,-0.5999999999999996,360,730,26m,2.6,-1.9,50,,,,,,,,,,,2,COMPLETE
61,61,-0.6589767790056542,2025-05-29 23:56:57.997673,2025-05-29 23:56:59.572017,0 days 00:00:01.574344,520.0,21m,2.5,-3.0,750.0,,,,,,680.0,33m,0.6000000000000001,-0.8999999999999999,760.0,480.0,35m,0.4,-1.4,560.0,,,,,,210.0,24m,0.7000000000000001,-3.0,490.0,720.0,40m,1.1,-0.8999999999999999,610.0,420,4m,2.5,-0.19999999999999973,230,350.0,36m,1.9000000000000001,-1.9,810.0,200.0,53m,1.3,-2.7,840.0,350.0,30m,1.8,-2.0999999999999996,270.0,300,24m,3.5,-0.8999999999999999,50,520,50m,3.4000000000000004,-1.5,650,,,,,,460.0,14m,1.0,-0.7999999999999998,320.0,4,COMPLETE
62,62,-0.6285161863594251,2025-05-29 23:56:59.578119,2025-05-29 23:57:00.974759,0 days 00:00:01.396640,680.0,3m,2.2,-1.9,810.0,,,,,,,,,,,180.0,19m,1.8,-2.0,90.0,,,,,,130.0,46m,0.1,-3.3,920.0,,,,,,560,30m,1.7000000000000002,-0.7999999999999998,350,160.0,59m,0.9,-1.2999999999999998,990.0,130.0,24m,0.30000000000000004,-2.4,720.0,780.0,35m,2.8000000000000003,-2.6,500.0,760,19m,1.6,-1.2999999999999998,160,180,19m,1.4000000000000001,-1.0,660,,,,,,,,,,,3,COMPLETE
63,63,-0.7130249728283463,2025-05-29 23:57:00.981646,2025-05-29 23:57:01.521163,0 days 00:00:00.539517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,37m,3.5,-0.5,270,,,,,,,,,,,,,,,,230,18m,2.5,-0.09999999999999964,220,910,1m,3.2,-0.6999999999999997,960,,,,,,,,,,,1,COMPLETE
64,64,-2.7320147498684455,2025-05-29 23:57:01.533497,2025-05-29 23:57:02.756944,0 days 00:00:01.223447,120.0,34m,0.30000000000000004,-1.5,550.0,,,,,,,,,,,290.0,13m,2.6,-0.5999999999999996,10.0,,,,,,270.0,50m,1.0,-2.8,400.0,,,,,,30,34m,0.4,-1.7999999999999998,520,450.0,13m,0.30000000000000004,-0.5999999999999996,850.0,50.0,9m,0.9,-1.9,140.0,770.0,37m,2.5,-3.3,10.0,400,32m,2.0,-1.0999999999999996,480,970,33m,2.3000000000000003,-0.5,170,,,,,,,,,,,3,COMPLETE
65,65,3.2772962381459263,2025-05-29 23:57:02.765241,2025-05-29 23:57:03.693396,0 days 00:00:00.928155,,,,,,,,,,,,,,,,100.0,34m,0.2,-1.0,210.0,,,,,,60.0,51m,1.8,-2.4,680.0,,,,,,740,32m,2.2,-1.5,470,,,,,,260.0,8m,1.8,-1.0999999999999996,800.0,,,,,,990,10m,1.0,-2.3,400,20,29m,2.9000000000000004,-2.3,870,,,,,,,,,,,2,COMPLETE
66,66,0.09316642582178537,2025-05-29 23:57:03.700765,2025-05-29 23:57:04.627236,0 days 00:00:00.926471,,,,,,,,,,,,,,,,50.0,34m,0.2,-1.0999999999999996,220.0,,,,,,1000.0,44m,2.4000000000000004,-2.2,620.0,,,,,,630,32m,2.2,-1.5999999999999999,440,,,,,,260.0,47m,1.9000000000000001,-1.0999999999999996,670.0,,,,,,980,23m,1.0,-2.5,390,20,29m,2.9000000000000004,-2.3,860,,,,,,,,,,,2,COMPLETE
67,67,0.2989965637612166,2025-05-29 23:57:04.634543,2025-05-29 23:57:05.541718,0 days 00:00:00.907175,,,,,,,,,,,,,,,,100.0,59m,0.5,-1.0,280.0,,,,,,70.0,51m,1.8,-2.4,680.0,,,,,,750,11m,2.4000000000000004,-1.4,480,,,,,,390.0,8m,1.5,-1.5,790.0,,,,,,920,10m,0.4,-2.8,410,140,35m,3.0,-3.5,790,,,,,,,,,,,2,COMPLETE
68,68,-2.0953357033170983,2025-05-29 23:57:05.541718,2025-05-29 23:57:06.431347,0 days 00:00:00.889629,,,,,,,,,,,,,,,,110.0,21m,0.1,-0.3999999999999999,140.0,,,,,,50.0,35m,1.3,-2.6,720.0,,,,,,830,27m,1.9000000000000001,-1.2999999999999998,370,,,,,,170.0,2m,1.8,-1.2999999999999998,840.0,,,,,,960,36m,1.1,-2.0,290,350,34m,2.7,-2.8,880,,,,,,,,,,,2,COMPLETE
69,69,2.7867568646230763,2025-05-29 23:57:06.439614,2025-05-29 23:57:07.355882,0 days 00:00:00.916268,,,,,,,,,,,,,,,,40.0,45m,0.30000000000000004,-0.8999999999999999,200.0,,,,,,140.0,11m,2.0,-3.0,560.0,,,,,,700,45m,2.2,-2.0,660,,,,,,470.0,23m,2.1,-0.6999999999999997,610.0,,,,,,890,8m,0.8,-2.3,570,320,20m,3.5,-2.5,730,,,,,,,,,,,2,COMPLETE
70,70,-0.29514483456449336,2025-05-29 23:57:07.366459,2025-05-29 23:57:08.296158,0 days 00:00:00.929699,,,,,,,,,,,,,,,,10.0,50m,0.30000000000000004,-0.8999999999999999,310.0,,,,,,150.0,16m,2.0,-2.9,510.0,,,,,,670,26m,2.2,-2.2,800,,,,,,460.0,59m,2.1,-0.5,510.0,,,,,,1000,35m,0.7000000000000001,-2.0999999999999996,570,100,20m,3.3000000000000003,-2.6,720,,,,,,,,,,,2,COMPLETE
71,71,1.0241243126224426,2025-05-29 23:57:08.302380,2025-05-29 23:57:08.840422,0 days 00:00:00.538042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,24m,2.6,-1.5999999999999999,730,,,,,,,,,,,,,,,,860,8m,1.3,-2.5,500,400,45m,3.5,-3.2,800,,,,,,,,,,,1,COMPLETE
72,72,2.573741362676973,2025-05-29 23:57:08.845274,2025-05-29 23:57:09.784674,0 days 00:00:00.939400,,,,,,,,,,,,,,,,50.0,20m,0.5,-1.1999999999999997,240.0,,,,,,230.0,33m,1.6,-2.2,570.0,,,,,,740,45m,2.0,0.0,870,,,,,,480.0,29m,2.5,-0.6999999999999997,600.0,,,,,,940,31m,0.9,-1.7999999999999998,450,290,46m,3.3000000000000003,-2.0,680,,,,,,,,,,,2,COMPLETE
73,73,1.2331822189642474,2025-05-29 23:57:09.793716,2025-05-29 23:57:10.692412,0 days 00:00:00.898696,,,,,,,,,,,,,,,,80.0,7m,2.1,-0.8999999999999999,400.0,,,,,,120.0,11m,2.3000000000000003,-2.5,630.0,,,,,,630,57m,2.3000000000000003,-3.2,690,,,,,,380.0,35m,2.3000000000000003,-0.8999999999999999,990.0,,,,,,360,21m,0.8,-2.2,630,310,59m,1.9000000000000001,-2.5,730,,,,,,,,,,,2,COMPLETE
74,74,-0.8851445127906415,2025-05-29 23:57:10.692412,2025-05-29 23:57:11.642190,0 days 00:00:00.949778,,,,,,,,,,,,,,,,40.0,57m,3.1,-1.5999999999999999,470.0,,,,,,190.0,32m,2.1,-2.8,440.0,,,,,,140,55m,2.5,-1.9,580,,,,,,990.0,18m,2.1,-0.2999999999999998,650.0,,,,,,440,7m,0.2,-1.5999999999999999,560,220,47m,1.7000000000000002,-2.8,610,,,,,,,,,,,2,COMPLETE
75,75,1.7049468338521192,2025-05-29 23:57:11.650330,2025-05-29 23:57:12.217876,0 days 00:00:00.567546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,46m,2.9000000000000004,-2.6,630,,,,,,,,,,,,,,,,520,16m,0.6000000000000001,-2.3,720,610,31m,3.1,-2.0999999999999996,960,,,,,,,,,,,1,COMPLETE
76,76,-1.0297418828136449,2025-05-29 23:57:12.225958,2025-05-29 23:57:13.546666,0 days 00:00:01.320708,850.0,50m,2.1,-1.1999999999999997,360.0,,,,,,,,,,,220.0,58m,0.1,-0.6999999999999997,190.0,,,,,,90.0,1m,2.9000000000000004,-3.1,820.0,,,,,,790,53m,2.7,-2.0,450,290.0,28m,1.6,-2.0,490.0,510.0,23m,1.8,-1.1999999999999997,740.0,480.0,9m,2.1,-0.7999999999999998,280.0,900,17m,3.1,-2.7,250,850,16m,3.5,-1.7,840,,,,,,,,,,,3,COMPLETE
77,77,0.5096993077683164,2025-05-29 23:57:13.557315,2025-05-29 23:57:14.513989,0 days 00:00:00.956674,,,,,,,,,,,,,,,,150.0,47m,0.30000000000000004,-0.5,200.0,,,,,,20.0,56m,0.7000000000000001,-3.1,580.0,,,,,,710,36m,2.1,-2.3,520,,,,,,10.0,21m,1.6,-1.0,700.0,,,,,,820,13m,3.4000000000000004,-0.2999999999999998,670,450,21m,2.8000000000000003,-2.3,480,,,,,,,,,,,2,COMPLETE
78,78,2.057200062788357,2025-05-29 23:57:14.513989,2025-05-29 23:57:15.554426,0 days 00:00:01.040437,,,,,,,,,,,,,,,,110.0,45m,0.7000000000000001,-0.6999999999999997,130.0,,,,,,130.0,43m,1.8,-3.3,660.0,,,,,,890,42m,1.7000000000000002,-2.0999999999999996,420,,,,,,300.0,22m,2.0,-0.6999999999999997,610.0,,,,,,940,45m,1.1,-3.1,350,750,43m,2.5,-1.1999999999999997,220,,,,,,,,,,,2,COMPLETE
79,79,-0.08123025125081837,2025-05-29 23:57:15.562845,2025-05-29 23:57:17.073822,0 days 00:00:01.510977,760.0,36m,1.7000000000000002,-2.3,480.0,,,,,,,,,,,200.0,53m,0.1,-1.1999999999999997,360.0,,,,,,300.0,13m,0.9,-2.9,770.0,,,,,,660,39m,0.8,-1.7,190,760.0,55m,1.3,-1.0,560.0,120.0,17m,2.3000000000000003,-1.0,800.0,530.0,43m,2.1,-1.5999999999999999,100.0,880,2m,1.5,-1.9,140,800,30m,3.1,-1.4,130,,,,,,,,,,,3,COMPLETE
80,80,,2025-05-29 23:57:17.079387,2025-05-29 23:57:18.080909,0 days 00:00:01.001522,,,,,,,,,,,,,,,,570.0,51m,0.0,-0.8999999999999999,260.0,,,,,,50.0,20m,2.7,-2.7,540.0,,,,,,810,41m,1.4000000000000001,-1.0,120,,,,,,390.0,23m,1.3,-1.5999999999999999,540.0,,,,,,980,37m,0.5,-2.4,750,930,9m,3.4000000000000004,-3.0,890,,,,,,,,,,,2,FAIL
81,81,2.533869415449546,2025-05-29 23:57:18.086635,2025-05-29 23:57:19.128104,0 days 00:00:01.041469,,,,,,,,,,,,,,,,260.0,15m,1.2000000000000002,-1.0,250.0,,,,,,50.0,41m,1.4000000000000001,-2.7,540.0,,,,,,810,41m,0.6000000000000001,-1.5,90,,,,,,400.0,23m,0.5,-2.8,540.0,,,,,,970,43m,1.2000000000000002,-1.5,760,930,40m,2.9000000000000004,-0.7999999999999998,350,,,,,,,,,,,2,COMPLETE
82,82,-0.3642627579727051,2025-05-29 23:57:19.135515,2025-05-29 23:57:20.117061,0 days 00:00:00.981546,,,,,,,,,,,,,,,,160.0,36m,0.6000000000000001,-0.5,310.0,,,,,,100.0,39m,2.7,-3.0,710.0,,,,,,450,23m,1.4000000000000001,-1.7999999999999998,540,,,,,,550.0,10m,1.2000000000000002,-2.0,860.0,,,,,,800,53m,0.1,-2.4,320,490,51m,3.4000000000000004,-1.0,890,,,,,,,,,,,2,COMPLETE
83,83,1.7857361171458328,2025-05-29 23:57:20.117061,2025-05-29 23:57:21.527846,0 days 00:00:01.410785,10.0,2m,2.5,-1.0,860.0,,,,,,,,,,,30.0,4m,0.0,-1.4,740.0,,,,,,740.0,15m,3.5,-3.4,620.0,,,,,,740,59m,1.9000000000000001,-2.0,470,240.0,53m,0.8,-0.2999999999999998,760.0,230.0,27m,0.1,-0.5,760.0,420.0,11m,3.3000000000000003,-2.3,350.0,850,37m,0.5,-1.2999999999999998,610,980,9m,2.2,-1.1999999999999997,260,,,,,,,,,,,3,COMPLETE
84,84,2.3265649167256854,2025-05-29 23:57:21.536409,2025-05-29 23:57:22.498204,0 days 00:00:00.961795,,,,,,,,,,,,,,,,100.0,10m,0.30000000000000004,-0.19999999999999973,100.0,,,,,,580.0,20m,1.1,-1.9,680.0,,,,,,560,40m,0.2,-2.2,670,,,,,,80.0,39m,0.7000000000000001,-1.5999999999999999,900.0,,,,,,930,8m,1.0,-0.09999999999999964,210,540,55m,0.1,-3.0,780,,,,,,,,,,,2,COMPLETE
