,number,value,datetime_start,datetime_complete,duration,params_AMZN_BIDU_beta_win,params_AMZN_BIDU_trade_freq,params_AMZN_BIDU_z_entry,params_AMZN_BIDU_z_exit,params_AMZN_BIDU_z_win,params_AMZN_PCAR_beta_win,params_AMZN_PCAR_trade_freq,params_AMZN_PCAR_z_entry,params_AMZN_PCAR_z_exit,params_AMZN_PCAR_z_win,params_MELI_WBA_beta_win,params_MELI_WBA_trade_freq,params_MELI_WBA_z_entry,params_MELI_WBA_z_exit,params_MELI_WBA_z_win,params_REGN_WBA_beta_win,params_REGN_WBA_trade_freq,params_REGN_WBA_z_entry,params_REGN_WBA_z_exit,params_REGN_WBA_z_win,params_SPLK_GOOG_beta_win,params_SPLK_GOOG_trade_freq,params_SPLK_GOOG_z_entry,params_SPLK_GOOG_z_exit,params_SPLK_GOOG_z_win,params_pairs_to_trade,state
118,118,2.4520675938358094,2025-05-30 00:01:50.454716,2025-05-30 00:01:50.609644,0 days 00:00:00.154928,,,,,,,,,,,910,5m,0.30000000000000004,-0.6999999999999997,440,,,,,,,,,,,1,COMPLETE
119,119,2.603759820255796,2025-05-30 00:01:50.612291,2025-05-30 00:01:50.772583,0 days 00:00:00.160292,,,,,,,,,,,880,5m,0.30000000000000004,-0.5,580,,,,,,,,,,,1,COMPLETE
120,120,,2025-05-30 00:01:50.775988,2025-05-30 00:01:51.008682,0 days 00:00:00.232694,,,,,,390.0,38m,1.7000000000000002,-1.1999999999999997,490.0,730,23m,0.8,-0.19999999999999973,600,,,,,,,,,,,2,FAIL
121,121,,2025-05-30 00:01:51.010671,2025-05-30 00:01:51.239631,0 days 00:00:00.228960,,,,,,400.0,26m,1.8,-1.0999999999999996,480.0,720,28m,0.8,-0.19999999999999973,590,,,,,,,,,,,2,FAIL
122,122,,2025-05-30 00:01:51.241630,2025-05-30 00:01:51.476023,0 days 00:00:00.234393,,,,,,390.0,36m,1.7000000000000002,-1.1999999999999997,460.0,730,56m,0.8,-0.3999999999999999,560,,,,,,,,,,,2,FAIL
123,123,,2025-05-30 00:01:51.479022,2025-05-30 00:01:51.712079,0 days 00:00:00.233057,,,,,,390.0,23m,1.8,-1.1999999999999997,490.0,730,33m,0.8,-0.3999999999999999,590,,,,,,,,,,,2,FAIL
124,124,0.9184798094464732,2025-05-30 00:01:51.714076,2025-05-30 00:01:51.935399,0 days 00:00:00.221323,,,,,,390.0,6m,1.9000000000000001,-1.0999999999999996,180.0,730,26m,0.9,-0.19999999999999973,610,,,,,,,,,,,2,COMPLETE
125,125,0.5068836520332333,2025-05-30 00:01:51.935399,2025-05-30 00:01:52.217398,0 days 00:00:00.281999,960.0,56m,3.5,-1.0999999999999996,620.0,190.0,12m,1.6,-2.9,480.0,870,33m,0.30000000000000004,-0.5,560,,,,,,,,,,,3,COMPLETE
126,126,,2025-05-30 00:01:52.224549,2025-05-30 00:01:52.372087,0 days 00:00:00.147538,,,,,,,,,,,800,31m,0.9,-1.1999999999999997,140,,,,,,,,,,,1,FAIL
127,127,,2025-05-30 00:01:52.374087,2025-05-30 00:01:52.521171,0 days 00:00:00.147084,,,,,,,,,,,820,14m,0.7000000000000001,-1.0999999999999996,150,,,,,,,,,,,1,FAIL
128,128,,2025-05-30 00:01:52.521171,2025-05-30 00:01:52.676948,0 days 00:00:00.155777,,,,,,,,,,,800,11m,0.8,-1.1999999999999997,130,,,,,,,,,,,1,FAIL
129,129,,2025-05-30 00:01:52.678949,2025-05-30 00:01:52.829922,0 days 00:00:00.150973,,,,,,,,,,,800,35m,0.8,-1.1999999999999997,180,,,,,,,,,,,1,FAIL
130,130,,2025-05-30 00:01:52.831923,2025-05-30 00:01:52.975538,0 days 00:00:00.143615,,,,,,,,,,,790,22m,0.7000000000000001,-1.1999999999999997,170,,,,,,,,,,,1,FAIL
131,131,,2025-05-30 00:01:52.981039,2025-05-30 00:01:53.128868,0 days 00:00:00.147829,,,,,,,,,,,810,20m,0.8,-1.0999999999999996,130,,,,,,,,,,,1,FAIL
132,132,,2025-05-30 00:01:53.130868,2025-05-30 00:01:53.273449,0 days 00:00:00.142581,,,,,,,,,,,780,47m,0.8,-1.1999999999999997,170,,,,,,,,,,,1,FAIL
133,133,,2025-05-30 00:01:53.275449,2025-05-30 00:01:53.427959,0 days 00:00:00.152510,,,,,,,,,,,820,45m,0.7000000000000001,-1.1999999999999997,160,,,,,,,,,,,1,FAIL
134,134,,2025-05-30 00:01:53.430958,2025-05-30 00:01:53.576309,0 days 00:00:00.145351,,,,,,,,,,,790,35m,0.9,-1.0999999999999996,880,,,,,,,,,,,1,FAIL
135,135,,2025-05-30 00:01:53.579316,2025-05-30 00:01:53.733631,0 days 00:00:00.154315,,,,,,,,,,,770,27m,0.8,-1.1999999999999997,140,,,,,,,,,,,1,FAIL
136,136,,2025-05-30 00:01:53.733631,2025-05-30 00:01:53.885231,0 days 00:00:00.151600,,,,,,,,,,,780,14m,0.8,-1.1999999999999997,150,,,,,,,,,,,1,FAIL
137,137,,2025-05-30 00:01:53.887230,2025-05-30 00:01:54.032702,0 days 00:00:00.145472,,,,,,,,,,,800,19m,0.8,-1.2999999999999998,140,,,,,,,,,,,1,FAIL
138,138,,2025-05-30 00:01:54.034095,2025-05-30 00:01:54.181034,0 days 00:00:00.146939,,,,,,,,,,,790,12m,0.7000000000000001,-1.0999999999999996,140,,,,,,,,,,,1,FAIL
139,139,,2025-05-30 00:01:54.181034,2025-05-30 00:01:54.329690,0 days 00:00:00.148656,,,,,,,,,,,750,45m,0.8,-1.1999999999999997,140,,,,,,,,,,,1,FAIL
140,140,,2025-05-30 00:01:54.331689,2025-05-30 00:01:54.474425,0 days 00:00:00.142736,,,,,,,,,,,800,51m,0.9,-1.0999999999999996,150,,,,,,,,,,,1,FAIL
141,141,,2025-05-30 00:01:54.476424,2025-05-30 00:01:54.627009,0 days 00:00:00.150585,,,,,,,,,,,810,57m,0.8,-1.1999999999999997,890,,,,,,,,,,,1,FAIL
142,142,,2025-05-30 00:01:54.630014,2025-05-30 00:01:54.771928,0 days 00:00:00.141914,,,,,,,,,,,790,47m,0.8,-1.1999999999999997,120,,,,,,,,,,,1,FAIL
143,143,,2025-05-30 00:01:54.772927,2025-05-30 00:01:54.918607,0 days 00:00:00.145680,,,,,,,,,,,790,27m,0.7000000000000001,-1.1999999999999997,130,,,,,,,,,,,1,FAIL
144,144,,2025-05-30 00:01:54.920608,2025-05-30 00:01:55.068909,0 days 00:00:00.148301,,,,,,,,,,,800,15m,0.7000000000000001,-1.1999999999999997,870,,,,,,,,,,,1,FAIL
145,145,,2025-05-30 00:01:55.070910,2025-05-30 00:01:55.218223,0 days 00:00:00.147313,,,,,,,,,,,810,58m,0.8,-1.0999999999999996,170,,,,,,,,,,,1,FAIL
146,146,,2025-05-30 00:01:55.224742,2025-05-30 00:01:55.369324,0 days 00:00:00.144582,,,,,,,,,,,810,35m,0.8,-1.1999999999999997,170,,,,,,,,,,,1,FAIL
147,147,,2025-05-30 00:01:55.369324,2025-05-30 00:01:55.521518,0 days 00:00:00.152194,,,,,,,,,,,780,15m,0.9,-1.1999999999999997,310,,,,,,,,,,,1,FAIL
148,148,,2025-05-30 00:01:55.526563,2025-05-30 00:01:55.675020,0 days 00:00:00.148457,,,,,,,,,,,790,51m,0.8,-1.1999999999999997,140,,,,,,,,,,,1,FAIL
149,149,,2025-05-30 00:01:55.677020,2025-05-30 00:01:55.826520,0 days 00:00:00.149500,,,,,,,,,,,790,28m,0.8,-1.1999999999999997,140,,,,,,,,,,,1,FAIL
150,150,,2025-05-30 00:01:55.828521,2025-05-30 00:01:55.977966,0 days 00:00:00.149445,,,,,,,,,,,800,45m,0.7000000000000001,-1.1999999999999997,150,,,,,,,,,,,1,FAIL
151,151,,2025-05-30 00:01:55.978964,2025-05-30 00:01:56.132437,0 days 00:00:00.153473,,,,,,,,,,,800,45m,0.8,-1.1999999999999997,190,,,,,,,,,,,1,FAIL
152,152,,2025-05-30 00:01:56.133437,2025-05-30 00:01:56.275524,0 days 00:00:00.142087,,,,,,,,,,,790,31m,0.8,-1.1999999999999997,140,,,,,,,,,,,1,FAIL
153,153,,2025-05-30 00:01:56.278070,2025-05-30 00:01:56.428672,0 days 00:00:00.150602,,,,,,,,,,,820,55m,0.8,-1.0999999999999996,170,,,,,,,,,,,1,FAIL
154,154,,2025-05-30 00:01:56.430674,2025-05-30 00:01:56.575878,0 days 00:00:00.145204,,,,,,,,,,,800,30m,0.9,-1.1999999999999997,180,,,,,,,,,,,1,FAIL
155,155,,2025-05-30 00:01:56.575878,2025-05-30 00:01:56.723724,0 days 00:00:00.147846,,,,,,,,,,,770,41m,0.7000000000000001,-1.1999999999999997,160,,,,,,,,,,,1,FAIL
156,156,,2025-05-30 00:01:56.727689,2025-05-30 00:01:56.877098,0 days 00:00:00.149409,,,,,,,,,,,810,35m,0.7000000000000001,-1.1999999999999997,180,,,,,,,,,,,1,FAIL
157,157,,2025-05-30 00:01:56.879098,2025-05-30 00:01:57.024945,0 days 00:00:00.145847,,,,,,,,,,,790,43m,0.8,-1.1999999999999997,150,,,,,,,,,,,1,FAIL
158,158,,2025-05-30 00:01:57.027943,2025-05-30 00:01:57.177813,0 days 00:00:00.149870,,,,,,,,,,,760,15m,0.8,-1.0,170,,,,,,,,,,,1,FAIL
159,159,,2025-05-30 00:01:57.181731,2025-05-30 00:01:57.331611,0 days 00:00:00.149880,,,,,,,,,,,780,43m,0.7000000000000001,-1.0999999999999996,140,,,,,,,,,,,1,FAIL
160,160,,2025-05-30 00:01:57.333614,2025-05-30 00:01:57.476838,0 days 00:00:00.143224,,,,,,,,,,,800,55m,0.8,-1.1999999999999997,140,,,,,,,,,,,1,FAIL
161,161,,2025-05-30 00:01:57.478840,2025-05-30 00:01:57.621462,0 days 00:00:00.142622,,,,,,,,,,,800,35m,0.8,-1.1999999999999997,150,,,,,,,,,,,1,FAIL
162,162,,2025-05-30 00:01:57.623593,2025-05-30 00:01:57.769476,0 days 00:00:00.145883,,,,,,,,,,,800,28m,0.8,-1.1999999999999997,150,,,,,,,,,,,1,FAIL
163,163,,2025-05-30 00:01:57.769476,2025-05-30 00:01:57.914822,0 days 00:00:00.145346,,,,,,,,,,,760,17m,0.8,-1.2999999999999998,120,,,,,,,,,,,1,FAIL
164,164,,2025-05-30 00:01:57.914822,2025-05-30 00:01:58.061846,0 days 00:00:00.147024,,,,,,,,,,,790,45m,0.8,-1.2999999999999998,320,,,,,,,,,,,1,FAIL
165,165,,2025-05-30 00:01:58.063843,2025-05-30 00:01:58.217520,0 days 00:00:00.153677,,,,,,,,,,,820,13m,0.8,-1.1999999999999997,160,,,,,,,,,,,1,FAIL
166,166,,2025-05-30 00:01:58.220184,2025-05-30 00:01:58.370159,0 days 00:00:00.149975,,,,,,,,,,,830,39m,0.8,-1.1999999999999997,130,,,,,,,,,,,1,FAIL
167,167,,2025-05-30 00:01:58.373419,2025-05-30 00:01:58.521570,0 days 00:00:00.148151,,,,,,,,,,,800,47m,0.8,-1.1999999999999997,120,,,,,,,,,,,1,FAIL
168,168,,2025-05-30 00:01:58.521570,2025-05-30 00:01:58.685246,0 days 00:00:00.163676,,,,,,,,,,,800,22m,0.8,-1.1999999999999997,130,,,,,,,,,,,1,FAIL
169,169,,2025-05-30 00:01:58.685246,2025-05-30 00:01:58.843677,0 days 00:00:00.158431,,,,,,,,,,,810,14m,0.8,-1.1999999999999997,910,,,,,,,,,,,1,FAIL
170,170,,2025-05-30 00:01:58.844675,2025-05-30 00:01:58.996941,0 days 00:00:00.152266,,,,,,,,,,,800,31m,0.8,-1.0999999999999996,890,,,,,,,,,,,1,FAIL
171,171,,2025-05-30 00:01:58.998944,2025-05-30 00:01:59.144172,0 days 00:00:00.145228,,,,,,,,,,,790,24m,0.8,-1.1999999999999997,150,,,,,,,,,,,1,FAIL
172,172,,2025-05-30 00:01:59.146173,2025-05-30 00:01:59.284670,0 days 00:00:00.138497,,,,,,,,,,,810,32m,0.7000000000000001,-1.0999999999999996,140,,,,,,,,,,,1,FAIL
173,173,,2025-05-30 00:01:59.284670,2025-05-30 00:01:59.444825,0 days 00:00:00.160155,,,,,,,,,,,830,16m,0.7000000000000001,-1.0999999999999996,150,,,,,,,,,,,1,FAIL
174,174,,2025-05-30 00:01:59.446824,2025-05-30 00:01:59.595186,0 days 00:00:00.148362,,,,,,,,,,,800,43m,0.8,-1.1999999999999997,140,,,,,,,,,,,1,FAIL
175,175,,2025-05-30 00:01:59.597186,2025-05-30 00:01:59.745929,0 days 00:00:00.148743,,,,,,,,,,,800,37m,0.8,-1.1999999999999997,160,,,,,,,,,,,1,FAIL
176,176,,2025-05-30 00:01:59.747928,2025-05-30 00:01:59.893241,0 days 00:00:00.145313,,,,,,,,,,,800,10m,0.9,-1.0999999999999996,150,,,,,,,,,,,1,FAIL
177,177,,2025-05-30 00:01:59.895305,2025-05-30 00:02:00.036254,0 days 00:00:00.140949,,,,,,,,,,,800,51m,0.7000000000000001,-1.0999999999999996,160,,,,,,,,,,,1,FAIL
178,178,,2025-05-30 00:02:00.036254,2025-05-30 00:02:00.182096,0 days 00:00:00.145842,,,,,,,,,,,800,47m,0.8,-1.1999999999999997,150,,,,,,,,,,,1,FAIL
179,179,,2025-05-30 00:02:00.182096,2025-05-30 00:02:00.333217,0 days 00:00:00.151121,,,,,,,,,,,800,22m,0.7000000000000001,-1.0999999999999996,150,,,,,,,,,,,1,FAIL
180,180,,2025-05-30 00:02:00.333217,2025-05-30 00:02:00.478078,0 days 00:00:00.144861,,,,,,,,,,,800,58m,0.8,-1.1999999999999997,170,,,,,,,,,,,1,FAIL
181,181,,2025-05-30 00:02:00.478679,2025-05-30 00:02:00.629663,0 days 00:00:00.150984,,,,,,,,,,,800,40m,0.6000000000000001,-1.0999999999999996,150,,,,,,,,,,,1,FAIL
182,182,,2025-05-30 00:02:00.632852,2025-05-30 00:02:00.769814,0 days 00:00:00.136962,,,,,,,,,,,790,18m,0.8,-1.1999999999999997,170,,,,,,,,,,,1,FAIL
183,183,,2025-05-30 00:02:00.769814,2025-05-30 00:02:00.922783,0 days 00:00:00.152969,,,,,,,,,,,800,10m,0.8,-1.1999999999999997,150,,,,,,,,,,,1,FAIL
184,184,,2025-05-30 00:02:00.923250,2025-05-30 00:02:01.066585,0 days 00:00:00.143335,,,,,,,,,,,780,22m,0.7000000000000001,-1.1999999999999997,130,,,,,,,,,,,1,FAIL
185,185,,2025-05-30 00:02:01.073245,2025-05-30 00:02:01.218541,0 days 00:00:00.145296,,,,,,,,,,,810,27m,0.7000000000000001,-1.0999999999999996,160,,,,,,,,,,,1,FAIL
186,186,,2025-05-30 00:02:01.220540,2025-05-30 00:02:01.365584,0 days 00:00:00.145044,,,,,,,,,,,810,10m,0.6000000000000001,-1.0999999999999996,140,,,,,,,,,,,1,FAIL
187,187,,2025-05-30 00:02:01.367585,2025-05-30 00:02:01.510718,0 days 00:00:00.143133,,,,,,,,,,,800,35m,0.8,-1.0999999999999996,310,,,,,,,,,,,1,FAIL
188,188,,2025-05-30 00:02:01.512717,2025-05-30 00:02:01.657193,0 days 00:00:00.144476,,,,,,,,,,,790,28m,0.8,-1.1999999999999997,170,,,,,,,,,,,1,FAIL
189,189,,2025-05-30 00:02:01.666027,2025-05-30 00:02:01.817840,0 days 00:00:00.151813,,,,,,,,,,,790,35m,0.8,-1.1999999999999997,140,,,,,,,,,,,1,FAIL
190,190,,2025-05-30 00:02:01.819083,2025-05-30 00:02:01.959080,0 days 00:00:00.139997,,,,,,,,,,,800,28m,0.8,-1.1999999999999997,140,,,,,,,,,,,1,FAIL
191,191,,2025-05-30 00:02:01.963064,2025-05-30 00:02:02.112747,0 days 00:00:00.149683,,,,,,,,,,,800,11m,0.6000000000000001,-1.1999999999999997,140,,,,,,,,,,,1,FAIL
192,192,,2025-05-30 00:02:02.114523,2025-05-30 00:02:02.261105,0 days 00:00:00.146582,,,,,,,,,,,790,14m,0.8,-1.2999999999999998,170,,,,,,,,,,,1,FAIL
193,193,,2025-05-30 00:02:02.266935,2025-05-30 00:02:02.417634,0 days 00:00:00.150699,,,,,,,,,,,790,43m,0.9,-1.1999999999999997,160,,,,,,,,,,,1,FAIL
194,194,,2025-05-30 00:02:02.420702,2025-05-30 00:02:02.570022,0 days 00:00:00.149320,,,,,,,,,,,780,47m,0.7000000000000001,-1.1999999999999997,150,,,,,,,,,,,1,FAIL
195,195,,2025-05-30 00:02:02.572023,2025-05-30 00:02:02.724128,0 days 00:00:00.152105,,,,,,,,,,,790,37m,0.8,-1.0999999999999996,160,,,,,,,,,,,1,FAIL
196,196,,2025-05-30 00:02:02.726739,2025-05-30 00:02:02.882403,0 days 00:00:00.155664,,,,,,,,,,,810,28m,0.8,-1.1999999999999997,130,,,,,,,,,,,1,FAIL
197,197,,2025-05-30 00:02:02.884324,2025-05-30 00:02:03.037542,0 days 00:00:00.153218,,,,,,,,,,,790,24m,0.9,-1.1999999999999997,120,,,,,,,,,,,1,FAIL
198,198,,2025-05-30 00:02:03.039637,2025-05-30 00:02:03.186460,0 days 00:00:00.146823,,,,,,,,,,,800,20m,0.8,-1.0999999999999996,150,,,,,,,,,,,1,FAIL
199,199,,2025-05-30 00:02:03.188393,2025-05-30 00:02:03.331361,0 days 00:00:00.142968,,,,,,,,,,,800,59m,0.8,-1.1999999999999997,130,,,,,,,,,,,1,FAIL
