,number,value,datetime_start,datetime_complete,duration,params_ASML_WDAY_beta_win,params_ASML_WDAY_trade_freq,params_ASML_WDAY_z_entry,params_ASML_WDAY_z_exit,params_ASML_WDAY_z_win,params_DOCU_ISRG_beta_win,params_DOCU_ISRG_trade_freq,params_DOCU_ISRG_z_entry,params_DOCU_ISRG_z_exit,params_DOCU_ISRG_z_win,params_EA_KHC_beta_win,params_EA_KHC_trade_freq,params_EA_KHC_z_entry,params_EA_KHC_z_exit,params_EA_KHC_z_win,params_KHC_MELI_beta_win,params_KHC_MELI_trade_freq,params_KHC_MELI_z_entry,params_KHC_MELI_z_exit,params_KHC_MELI_z_win,params_MCHP_ISRG_beta_win,params_MCHP_ISRG_trade_freq,params_MCHP_ISRG_z_entry,params_MCHP_ISRG_z_exit,params_MCHP_ISRG_z_win,params_MRNA_ISRG_beta_win,params_MRNA_ISRG_trade_freq,params_MRNA_ISRG_z_entry,params_MRNA_ISRG_z_exit,params_MRNA_ISRG_z_win,params_MSFT_REGN_beta_win,params_MSFT_REGN_trade_freq,params_MSFT_REGN_z_entry,params_MSFT_REGN_z_exit,params_MSFT_REGN_z_win,params_PDD_ISRG_beta_win,params_PDD_ISRG_trade_freq,params_PDD_ISRG_z_entry,params_PDD_ISRG_z_exit,params_PDD_ISRG_z_win,params_PTON_ISRG_beta_win,params_PTON_ISRG_trade_freq,params_PTON_ISRG_z_entry,params_PTON_ISRG_z_exit,params_PTON_ISRG_z_win,params_REGN_CTAS_beta_win,params_REGN_CTAS_trade_freq,params_REGN_CTAS_z_entry,params_REGN_CTAS_z_exit,params_REGN_CTAS_z_win,params_pairs_to_trade,state
170,170,2.759150389611272,2025-05-30 00:03:59.740466,2025-05-30 00:04:00.364834,0 days 00:00:00.624368,,,,,,230,37m,1.5,-3.2,460,840.0,45m,2.2,-2.3,800.0,,,,,,,,,,,,,,,,100,2m,3.2,-0.6999999999999997,140,640.0,10m,0.8,-2.6,560.0,340.0,32m,0.5,-1.7,910.0,450.0,16m,0.7000000000000001,-0.5999999999999996,750.0,3,COMPLETE
171,171,3.089005188083818,2025-05-30 00:04:00.367833,2025-05-30 00:04:00.944664,0 days 00:00:00.576831,,,,,,670,45m,0.8,-2.8,490,810.0,47m,0.0,-3.2,680.0,,,,,,,,,,,,,,,,10,40m,3.3000000000000003,-1.2999999999999998,100,360.0,5m,0.7000000000000001,-2.9,940.0,170.0,54m,1.6,-2.0999999999999996,810.0,350.0,14m,0.8,-0.2999999999999998,720.0,3,COMPLETE
172,172,4.13892852807147,2025-05-30 00:04:00.948497,2025-05-30 00:04:01.468519,0 days 00:00:00.520022,,,,,,920,6m,1.2000000000000002,-3.1,400,940.0,4m,1.5,-2.8,650.0,,,,,,,,,,,,,,,,30,2m,3.1,-1.0999999999999996,60,300.0,13m,1.0,-3.1,320.0,250.0,26m,1.8,-2.0,840.0,420.0,26m,1.2000000000000002,-0.5,850.0,3,COMPLETE
173,173,-0.1871666337604537,2025-05-30 00:04:01.471519,2025-05-30 00:04:01.995521,0 days 00:00:00.524002,,,,,,850,10m,1.1,-2.7,430,890.0,34m,1.9000000000000001,-2.7,540.0,,,,,,,,,,,,,,,,50,8m,3.5,-1.9,210,410.0,17m,0.9,-2.8,500.0,110.0,4m,1.4000000000000001,-1.7999999999999998,980.0,390.0,4m,1.0,-0.6999999999999997,760.0,3,COMPLETE
174,174,1.9354091551636385,2025-05-30 00:04:01.995946,2025-05-30 00:04:02.552717,0 days 00:00:00.556771,,,,,,830,54m,1.0,-2.9,370,110.0,16m,2.5,-3.3,470.0,,,,,,,,,,,,,,,,10,56m,3.2,-1.4,80,750.0,5m,1.0,-2.7,970.0,600.0,17m,2.0,-1.5999999999999999,880.0,500.0,1m,0.9,-0.5,700.0,3,COMPLETE
175,175,3.2388374672090205,2025-05-30 00:04:02.555624,2025-05-30 00:04:03.135547,0 days 00:00:00.579923,,,,,,800,32m,1.2000000000000002,-3.2,330,880.0,22m,2.4000000000000004,-3.3,500.0,,,,,,,,,,,,,,,,60,50m,2.8000000000000003,0.0,100,700.0,5m,1.1,-2.7,530.0,270.0,45m,1.6,-1.7,760.0,480.0,10m,0.8,-0.3999999999999999,790.0,3,COMPLETE
176,176,4.885462903378626,2025-05-30 00:04:03.137545,2025-05-30 00:04:03.688956,0 days 00:00:00.551411,,,,,,780,51m,1.1,-0.6999999999999997,220,860.0,25m,2.4000000000000004,-3.1,520.0,,,,,,,,,,,,,,,,40,36m,3.0,-3.2,10,670.0,5m,0.8,-3.2,440.0,210.0,49m,2.5,-1.9,500.0,440.0,43m,0.6000000000000001,-0.6999999999999997,160.0,3,COMPLETE
177,177,-2.703344040458527,2025-05-30 00:04:03.691954,2025-05-30 00:04:04.244871,0 days 00:00:00.552917,,,,,,870,5m,1.1,-0.5999999999999996,220,850.0,27m,2.3000000000000003,-3.1,520.0,,,,,,,,,,,,,,,,30,59m,3.0,-3.0,30,670.0,27m,0.7000000000000001,-3.2,440.0,220.0,31m,2.4000000000000004,-1.9,490.0,440.0,28m,0.6000000000000001,-0.7999999999999998,770.0,3,COMPLETE
178,178,-0.18926095548229305,2025-05-30 00:04:04.248820,2025-05-30 00:04:04.794019,0 days 00:00:00.545199,,,,,,740,58m,1.3,-0.8999999999999999,140,920.0,25m,2.1,-3.2,550.0,,,,,,,,,,,,,,,,80,36m,2.9000000000000004,-2.3,120,730.0,31m,0.8,-3.3,400.0,250.0,49m,2.5,-1.7999999999999998,940.0,420.0,43m,0.7000000000000001,-0.6999999999999997,110.0,3,COMPLETE
179,179,-0.7269131420283644,2025-05-30 00:04:04.797020,2025-05-30 00:04:05.352502,0 days 00:00:00.555482,,,,,,140,13m,0.4,-2.7,200,950.0,25m,2.0,-3.1,530.0,,,,,,,,,,,,,,,,50,34m,3.1,-3.1,20,650.0,52m,0.8,-3.2,470.0,200.0,49m,2.6,-2.0,270.0,460.0,32m,0.6000000000000001,-0.5999999999999996,210.0,3,COMPLETE
180,180,-0.30003542576465214,2025-05-30 00:04:05.355500,2025-05-30 00:04:05.927500,0 days 00:00:00.572000,,,,,,770,51m,1.1,-0.6999999999999997,260,860.0,28m,2.4000000000000004,-3.4,590.0,,,,,,,,,,,,,,,,30,57m,3.4000000000000004,-3.2,50,360.0,20m,0.6000000000000001,-3.0,910.0,170.0,40m,2.7,-1.9,790.0,520.0,19m,1.4000000000000001,-0.19999999999999973,60.0,3,COMPLETE
181,181,0.46291590783009373,2025-05-30 00:04:05.931550,2025-05-30 00:04:06.499082,0 days 00:00:00.567532,,,,,,850,51m,1.4000000000000001,-1.1999999999999997,230,870.0,29m,2.2,-2.5,560.0,,,,,,,,,,,,,,,,310,36m,3.1,-0.8999999999999999,90,680.0,41m,0.9,-3.1,510.0,230.0,37m,1.5,-2.0999999999999996,500.0,370.0,9m,0.5,-0.3999999999999999,150.0,3,COMPLETE
182,182,2.6857719760167473,2025-05-30 00:04:06.502172,2025-05-30 00:04:07.059005,0 days 00:00:00.556833,,,,,,180,23m,0.9,-0.8999999999999999,170,810.0,36m,2.6,-3.2,490.0,,,,,,,,,,,,,,,,10,25m,3.0,-3.2,70,810.0,5m,0.7000000000000001,-3.4,420.0,610.0,42m,1.3,-1.7,830.0,320.0,3m,0.7000000000000001,-0.8999999999999999,810.0,3,COMPLETE
183,183,1.319927923545647,2025-05-30 00:04:07.059005,2025-05-30 00:04:07.627824,0 days 00:00:00.568819,,,,,,820,56m,0.1,-1.0,500,80.0,48m,2.3000000000000003,-3.0,640.0,,,,,,,,,,,,,,,,480,12m,0.4,-2.8,10,270.0,30m,0.4,-3.0,390.0,640.0,13m,1.7000000000000002,-1.9,720.0,490.0,25m,1.6,-0.6999999999999997,740.0,3,COMPLETE
184,184,2.963249956216565,2025-05-30 00:04:07.630822,2025-05-30 00:04:08.191920,0 days 00:00:00.561098,,,,,,800,20m,1.2000000000000002,-0.7999999999999998,280,130.0,50m,2.5,-3.3,710.0,,,,,,,,,,,,,,,,790,29m,3.2,-3.2,160,580.0,5m,1.0,-2.8,490.0,570.0,38m,1.8,-1.5,360.0,430.0,43m,0.9,-0.5,580.0,3,COMPLETE
185,185,-1.0489321362323707,2025-05-30 00:04:08.194919,2025-05-30 00:04:08.783026,0 days 00:00:00.588107,,,,,,830,26m,1.0,-0.6999999999999997,210,780.0,35m,2.4000000000000004,-3.4,510.0,,,,,,,,,,,,,,,,430,7m,3.3000000000000003,-3.0,120,460.0,1m,0.9,-2.9,700.0,290.0,56m,1.1,-1.7,460.0,670.0,49m,0.8,-0.5999999999999996,610.0,3,COMPLETE
186,186,4.705667349201637,2025-05-30 00:04:08.788037,2025-05-30 00:04:09.344761,0 days 00:00:00.556724,,,,,,880,49m,1.1,-0.7999999999999998,440,100.0,51m,2.6,-3.5,460.0,,,,,,,,,,,,,,,,70,22m,1.4000000000000001,-3.3,230,420.0,5m,0.8,-3.0,460.0,260.0,6m,2.3000000000000003,-1.5999999999999999,410.0,730.0,36m,0.9,-0.2999999999999998,450.0,3,COMPLETE
187,187,0.571272480766818,2025-05-30 00:04:09.347761,2025-05-30 00:04:09.896731,0 days 00:00:00.548970,,,,,,790,57m,1.0,-0.5999999999999996,350,980.0,32m,2.3000000000000003,-3.3,580.0,,,,,,,,,,,,,,,,370,32m,3.2,-3.1,940,700.0,5m,1.1,-2.5,40.0,540.0,36m,1.9000000000000001,-1.7999999999999998,540.0,470.0,37m,1.0,-1.7,720.0,3,COMPLETE
188,188,4.708541242516692,2025-05-30 00:04:09.900735,2025-05-30 00:04:10.458875,0 days 00:00:00.558140,,,,,,910,21m,0.8,-3.0,310,150.0,41m,2.7,-3.1,530.0,,,,,,,,,,,,,,,,30,43m,3.1,-3.4,50,610.0,5m,1.0,-2.6,600.0,400.0,57m,1.2000000000000002,-1.7,810.0,400.0,29m,0.7000000000000001,-1.7999999999999998,820.0,3,COMPLETE
189,189,0.6754249012851278,2025-05-30 00:04:10.461231,2025-05-30 00:04:11.068755,0 days 00:00:00.607524,,,,,,820,42m,0.9,-1.0,240,910.0,17m,2.5,-3.2,480.0,,,,,,,,,,,,,,,,580,23m,2.3000000000000003,-2.9,960,330.0,34m,1.2000000000000002,-3.2,650.0,200.0,43m,1.7000000000000002,-1.4,510.0,200.0,4m,1.2000000000000002,-0.3999999999999999,550.0,3,COMPLETE
190,190,-1.240457681102045,2025-05-30 00:04:11.071757,2025-05-30 00:04:12.004449,0 days 00:00:00.932692,300.0,14m,0.9,-1.0,290.0,860,29m,1.3,-1.0999999999999996,260,60.0,12m,2.4000000000000004,-1.5999999999999999,610.0,710.0,6m,0.4,0.0,580.0,50.0,57m,2.6,-2.5,670.0,170.0,16m,0.0,-1.5,420.0,50,30m,2.7,-3.1,90,660.0,45m,0.2,-2.8,370.0,230.0,1m,1.5,-1.7999999999999998,590.0,590.0,17m,1.5,-0.7999999999999998,630.0,5,COMPLETE
191,191,-0.30169148375673627,2025-05-30 00:04:12.008650,2025-05-30 00:04:12.555664,0 days 00:00:00.547014,,,,,,840,59m,0.2,-0.6999999999999997,380,30.0,53m,2.2,-2.8,560.0,,,,,,,,,,,,,,,,110,41m,3.4000000000000004,-3.3,920,380.0,42m,0.9,-2.9,540.0,180.0,52m,2.4000000000000004,-1.5999999999999999,450.0,240.0,8m,0.8,-0.5999999999999996,780.0,3,COMPLETE
192,192,0.9953691477375307,2025-05-30 00:04:12.560674,2025-05-30 00:04:13.106983,0 days 00:00:00.546309,,,,,,600,50m,1.0,-2.8,280,180.0,47m,1.3,-2.7,540.0,,,,,,,,,,,,,,,,10,14m,3.2,-3.2,140,720.0,46m,2.7,-3.1,670.0,550.0,51m,2.0,-1.5999999999999999,770.0,340.0,44m,2.5,-1.5999999999999999,700.0,3,COMPLETE
193,193,4.540612686674408,2025-05-30 00:04:13.109576,2025-05-30 00:04:13.649993,0 days 00:00:00.540417,,,,,,780,24m,1.2000000000000002,-3.2,190,110.0,19m,1.7000000000000002,-2.9,510.0,,,,,,,,,,,,,,,,30,38m,2.9000000000000004,-3.0,10,770.0,5m,0.6000000000000001,-3.3,440.0,590.0,59m,0.4,-1.9,390.0,270.0,31m,1.3,-0.2999999999999998,750.0,3,COMPLETE
194,194,5.916107684641063,2025-05-30 00:04:13.652139,2025-05-30 00:04:14.220932,0 days 00:00:00.568793,,,,,,890,42m,0.8,-2.9,410,140.0,24m,2.8000000000000003,-3.1,520.0,,,,,,,,,,,,,,,,40,43m,3.1,-3.4,40,600.0,5m,0.9,-2.6,620.0,360.0,20m,1.2000000000000002,-1.7,810.0,390.0,38m,0.6000000000000001,-1.7999999999999998,820.0,3,COMPLETE
195,195,2.804436727655308,2025-05-30 00:04:14.225206,2025-05-30 00:04:14.816473,0 days 00:00:00.591267,,,,,,890,42m,0.8,-2.8,410,140.0,37m,2.9000000000000004,-3.1,500.0,,,,,,,,,,,,,,,,50,6m,3.0,-3.1,60,560.0,35m,0.8,-2.7,630.0,300.0,23m,1.4000000000000001,-1.7999999999999998,860.0,450.0,38m,0.6000000000000001,-1.9,830.0,3,COMPLETE
196,196,5.119914453933194,2025-05-30 00:04:14.820268,2025-05-30 00:04:15.378552,0 days 00:00:00.558284,,,,,,210,42m,0.7000000000000001,-2.7,460,80.0,2m,2.8000000000000003,-3.3,570.0,,,,,,,,,,,,,,,,90,43m,3.3000000000000003,-3.4,30,630.0,5m,0.9,-2.3,560.0,380.0,20m,2.5,-1.7,250.0,370.0,57m,0.5,-1.7,790.0,3,COMPLETE
197,197,1.1320644382322893,2025-05-30 00:04:15.380650,2025-05-30 00:04:15.956241,0 days 00:00:00.575591,,,,,,940,27m,0.7000000000000001,-2.7,450,70.0,7m,3.0,-3.0,570.0,,,,,,,,,,,,,,,,90,43m,3.3000000000000003,-3.5,30,640.0,8m,0.7000000000000001,-2.3,570.0,410.0,27m,2.6,-1.7,200.0,420.0,57m,0.5,-3.1,800.0,3,COMPLETE
198,198,3.7195098686656576,2025-05-30 00:04:15.961354,2025-05-30 00:04:16.517185,0 days 00:00:00.555831,,,,,,260,28m,0.5,-2.9,420,80.0,2m,2.9000000000000004,-2.6,590.0,,,,,,,,,,,,,,,,70,5m,3.3000000000000003,-3.4,40,610.0,3m,0.9,-2.2,480.0,370.0,20m,2.5,-2.0,740.0,380.0,57m,0.6000000000000001,-0.5,770.0,3,COMPLETE
199,199,1.0177889085676592,2025-05-30 00:04:16.520190,2025-05-30 00:04:17.117554,0 days 00:00:00.597364,,,,,,210,42m,0.8,-2.5,470,50.0,24m,2.8000000000000003,-3.4,630.0,,,,,,,,,,,,,,,,40,43m,3.5,-3.3,70,630.0,12m,0.5,-2.4,550.0,340.0,24m,2.8000000000000003,-1.7,260.0,360.0,38m,0.6000000000000001,-1.2999999999999998,810.0,3,COMPLETE
