,number,value,datetime_start,datetime_complete,duration,params_AAL_HAS_beta_win,params_AAL_HAS_trade_freq,params_AAL_HAS_z_entry,params_AAL_HAS_z_exit,params_AAL_HAS_z_win,params_BIDU_BIIB_beta_win,params_BIDU_BIIB_trade_freq,params_BIDU_BIIB_z_entry,params_BIDU_BIIB_z_exit,params_BIDU_BIIB_z_win,params_FB_BIIB_beta_win,params_FB_BIIB_trade_freq,params_FB_BIIB_z_entry,params_FB_BIIB_z_exit,params_FB_BIIB_z_win,params_ISRG_HAS_beta_win,params_ISRG_HAS_trade_freq,params_ISRG_HAS_z_entry,params_ISRG_HAS_z_exit,params_ISRG_HAS_z_win,params_KHC_HAS_beta_win,params_KHC_HAS_trade_freq,params_KHC_HAS_z_entry,params_KHC_HAS_z_exit,params_KHC_HAS_z_win,params_MELI_BIIB_beta_win,params_MELI_BIIB_trade_freq,params_MELI_BIIB_z_entry,params_MELI_BIIB_z_exit,params_MELI_BIIB_z_win,params_MSFT_HAS_beta_win,params_MSFT_HAS_trade_freq,params_MSFT_HAS_z_entry,params_MSFT_HAS_z_exit,params_MSFT_HAS_z_win,params_NTES_BIIB_beta_win,params_NTES_BIIB_trade_freq,params_NTES_BIIB_z_entry,params_NTES_BIIB_z_exit,params_NTES_BIIB_z_win,params_SBUX_HAS_beta_win,params_SBUX_HAS_trade_freq,params_SBUX_HAS_z_entry,params_SBUX_HAS_z_exit,params_SBUX_HAS_z_win,params_WYNN_BIIB_beta_win,params_WYNN_BIIB_trade_freq,params_WYNN_BIIB_z_entry,params_WYNN_BIIB_z_exit,params_WYNN_BIIB_z_win,params_pairs_to_trade,state
46,46,1.2617277800304376,2025-05-29 23:29:22.663613,2025-05-29 23:29:23.996789,0 days 00:00:01.333176,720.0,38m,1.4000000000000001,-0.09999999999999964,710.0,10.0,17m,1.4000000000000001,-1.0,470.0,850.0,56m,3.2,-2.0999999999999996,730.0,680.0,25m,2.7,-3.0,230.0,10.0,6m,0.9,0.0,300.0,1000,8m,0.2,-1.5,850,450,39m,1.7000000000000002,-0.3999999999999999,810,270.0,21m,1.6,-1.0999999999999996,630.0,610.0,14m,1.6,-0.6999999999999997,760.0,810.0,16m,2.1,-2.0999999999999996,710.0,5,COMPLETE
47,47,1.3445976489686418,2025-05-29 23:29:24.006654,2025-05-29 23:29:25.159390,0 days 00:00:01.152736,740.0,50m,1.4000000000000001,-0.5999999999999996,980.0,30.0,23m,1.4000000000000001,-1.0,460.0,220.0,4m,3.0,-1.7,730.0,,,,,,780.0,59m,0.6000000000000001,0.0,560.0,990,38m,1.5,-3.1,870,180,22m,3.0,-0.19999999999999973,820,,,,,,590.0,34m,1.6,-0.6999999999999997,800.0,660.0,16m,2.1,-1.5999999999999999,910.0,4,COMPLETE
48,48,1.3934899783343941,2025-05-29 23:29:25.166889,2025-05-29 23:29:26.549467,0 days 00:00:01.382578,770.0,32m,2.0,-0.09999999999999964,980.0,70.0,17m,1.4000000000000001,-0.7999999999999998,480.0,220.0,56m,3.1,-1.7999999999999998,730.0,810.0,25m,2.7,-2.0,120.0,790.0,59m,0.6000000000000001,0.0,610.0,980,8m,1.5,-3.2,860,130,22m,2.6,-0.2999999999999998,810,260.0,52m,1.7000000000000002,-0.09999999999999964,850.0,600.0,17m,1.6,-1.4,760.0,640.0,16m,2.1,-2.0999999999999996,930.0,5,COMPLETE
49,49,,2025-05-29 23:29:26.558862,2025-05-29 23:29:26.969929,0 days 00:00:00.411067,,,,,,,,,,,,,,,,,,,,,,,,,,950,38m,1.5,-3.0,930,110,22m,3.0,-0.19999999999999973,900,,,,,,,,,,,,,,,,1,FAIL
50,50,0.7966466312185304,2025-05-29 23:29:26.978575,2025-05-29 23:29:28.255794,0 days 00:00:01.277219,800.0,32m,2.0,-0.5999999999999996,990.0,90.0,18m,1.9000000000000001,-0.8999999999999999,470.0,90.0,4m,3.0,-1.5,770.0,840.0,23m,3.3000000000000003,-2.0,30.0,840.0,45m,0.4,-0.19999999999999973,630.0,950,38m,1.5,-3.1,990,90,38m,3.0,-0.19999999999999973,940,510.0,55m,2.3000000000000003,0.0,970.0,540.0,17m,1.3,-2.0999999999999996,830.0,630.0,37m,2.3000000000000003,-1.7,1000.0,5,COMPLETE
51,51,,2025-05-29 23:29:28.261042,2025-05-29 23:29:29.355116,0 days 00:00:01.094074,880.0,50m,0.0,-0.09999999999999964,910.0,150.0,59m,1.2000000000000002,-0.5,1000.0,250.0,35m,2.6,-1.7,680.0,,,,,,760.0,35m,0.6000000000000001,-0.5,780.0,870,49m,1.4000000000000001,-3.5,920,180,22m,2.9000000000000004,-0.8999999999999999,890,,,,,,690.0,34m,1.9000000000000001,-1.4,700.0,630.0,22m,2.2,-2.8,920.0,4,FAIL
52,52,0.8465107637374005,2025-05-29 23:29:29.363286,2025-05-29 23:29:30.407507,0 days 00:00:01.044221,900.0,8m,0.0,-0.2999999999999998,930.0,160.0,23m,1.5,-0.5,980.0,240.0,36m,2.6,-1.7999999999999998,930.0,,,,,,770.0,59m,0.6000000000000001,0.0,780.0,870,58m,1.9000000000000001,-3.5,910,150,30m,2.8000000000000003,-0.5999999999999996,870,,,,,,700.0,30m,1.7000000000000002,-1.4,680.0,630.0,16m,2.2,-1.5,930.0,4,COMPLETE
53,53,,2025-05-29 23:29:30.417705,2025-05-29 23:29:30.817580,0 days 00:00:00.399875,,,,,,,,,,,,,,,,,,,,,,,,,,970,17m,2.2,-3.3,930,210,52m,2.6,-0.19999999999999973,720,,,,,,,,,,,,,,,,1,FAIL
54,54,,2025-05-29 23:29:30.825370,2025-05-29 23:29:31.225505,0 days 00:00:00.400135,,,,,,,,,,,,,,,,,,,,,,,,,,910,48m,2.2,-2.9,930,230,26m,2.6,-0.2999999999999998,730,,,,,,,,,,,,,,,,1,FAIL
55,55,-0.04871190368305849,2025-05-29 23:29:31.234039,2025-05-29 23:29:32.096404,0 days 00:00:00.862365,580.0,58m,2.0,0.0,840.0,220.0,27m,1.2000000000000002,-0.09999999999999964,560.0,220.0,20m,2.9000000000000004,-1.7,680.0,,,,,,,,,,,1000,45m,2.2,-3.3,850,200,34m,2.5,-0.19999999999999973,1000,,,,,,580.0,48m,3.0,-1.0,730.0,,,,,,3,COMPLETE
56,56,-1.8335805141018295,2025-05-29 23:29:32.105683,2025-05-29 23:29:32.508309,0 days 00:00:00.402626,,,,,,,,,,,,,,,,,,,,,,,,,,920,2m,1.8,-2.9,750,90,42m,3.2,-0.8999999999999999,800,,,,,,,,,,,,,,,,1,COMPLETE
57,57,-2.5238372409264307,2025-05-29 23:29:32.516903,2025-05-29 23:29:33.853888,0 days 00:00:01.336985,730.0,50m,1.3,0.0,930.0,40.0,17m,1.4000000000000001,-1.0,500.0,310.0,13m,3.2,-2.0999999999999996,730.0,720.0,25m,2.7,-1.2999999999999998,180.0,670.0,6m,0.9,0.0,560.0,1000,8m,2.1,-3.2,850,250,22m,1.7000000000000002,-0.3999999999999999,830,270.0,48m,1.6,-0.5,810.0,620.0,37m,1.6,-0.6999999999999997,770.0,570.0,24m,1.9000000000000001,-2.0999999999999996,910.0,5,COMPLETE
58,58,-0.08047766212583302,2025-05-29 23:29:33.859603,2025-05-29 23:29:35.187671,0 days 00:00:01.328068,990.0,25m,1.6,-0.19999999999999973,730.0,60.0,54m,1.6,-1.4,460.0,900.0,17m,3.3000000000000003,-1.4,740.0,560.0,25m,2.6,-2.8,160.0,930.0,59m,0.1,-0.19999999999999973,530.0,960,46m,1.4000000000000001,-2.9,950,270,22m,2.7,-0.3999999999999999,720,250.0,52m,1.7000000000000002,-1.0999999999999996,710.0,600.0,14m,1.9000000000000001,-0.7999999999999998,940.0,670.0,16m,2.2,-2.0999999999999996,840.0,5,COMPLETE
59,59,-0.57911680981451,2025-05-29 23:29:35.191700,2025-05-29 23:29:36.534459,0 days 00:00:01.342759,740.0,11m,1.1,-0.5,790.0,120.0,17m,1.3,-0.7999999999999998,310.0,110.0,56m,3.1,-1.7999999999999998,850.0,870.0,25m,2.5,-2.0,820.0,750.0,51m,0.9,-0.5,610.0,890,54m,2.8000000000000003,-2.4,910,190,41m,2.2,-0.6999999999999997,780,430.0,21m,1.1,-0.2999999999999998,830.0,670.0,34m,1.5,-0.5,860.0,760.0,16m,1.5,-2.8,740.0,5,COMPLETE
60,60,-4.148944453267736,2025-05-29 23:29:36.544585,2025-05-29 23:29:37.863487,0 days 00:00:01.318902,670.0,30m,1.8,-0.6999999999999997,880.0,10.0,52m,1.8,-1.2999999999999998,380.0,210.0,38m,3.5,-1.0999999999999996,800.0,980.0,4m,3.0,-2.9,120.0,800.0,5m,0.30000000000000004,-0.19999999999999973,480.0,850,8m,1.6,-3.5,830,360,39m,3.2,-0.2999999999999998,940,180.0,52m,2.5,0.0,650.0,520.0,45m,1.1,-2.8,750.0,580.0,56m,2.0,-1.5,800.0,5,COMPLETE
61,61,-1.727805291438222,2025-05-29 23:29:37.873941,2025-05-29 23:29:38.978364,0 days 00:00:01.104423,830.0,38m,1.4000000000000001,-0.19999999999999973,710.0,50.0,16m,2.0,-0.6999999999999997,480.0,840.0,56m,0.5,-2.2,900.0,,,,,,590.0,4m,0.6000000000000001,-0.3999999999999999,820.0,910,55m,0.1,-1.5,740,960,57m,2.1,-1.5,890,,,,,,740.0,27m,1.9000000000000001,-1.1999999999999997,680.0,500.0,15m,2.6,-3.2,960.0,4,COMPLETE
62,62,-0.07734373166484285,2025-05-29 23:29:38.986515,2025-05-29 23:29:40.321589,0 days 00:00:01.335074,750.0,57m,2.6,-0.8999999999999999,990.0,190.0,31m,1.1,-1.0,550.0,370.0,43m,3.0,-0.7999999999999998,720.0,760.0,34m,1.6,-2.4,250.0,720.0,42m,0.6000000000000001,-0.09999999999999964,110.0,970,25m,1.0,-2.6,890,110,10m,3.0,-0.5,90,330.0,26m,1.9000000000000001,-0.5999999999999996,900.0,640.0,5m,3.5,-0.5999999999999996,820.0,100.0,51m,1.1,-1.9,910.0,5,COMPLETE
63,63,2.264160971465961,2025-05-29 23:29:40.329681,2025-05-29 23:29:41.405725,0 days 00:00:01.076044,880.0,19m,0.6000000000000001,-0.09999999999999964,940.0,550.0,44m,1.5,-0.5999999999999996,810.0,290.0,44m,2.7,-1.2999999999999998,600.0,,,,,,890.0,43m,1.1,0.0,320.0,1000,15m,3.5,-3.2,820,160,26m,2.8000000000000003,-0.09999999999999964,810,,,,,,580.0,11m,1.4000000000000001,-1.4,570.0,680.0,35m,1.7000000000000002,-2.3,820.0,4,COMPLETE
64,64,-0.5815489601078908,2025-05-29 23:29:41.417938,2025-05-29 23:29:42.501995,0 days 00:00:01.084057,890.0,31m,0.5,-0.3999999999999999,930.0,530.0,26m,1.6,-0.3999999999999999,800.0,290.0,18m,2.7,-0.6999999999999997,610.0,,,,,,900.0,43m,1.1,-0.5999999999999996,440.0,810,3m,3.0,-3.3,800,160,26m,2.5,-0.09999999999999964,750,,,,,,560.0,13m,2.2,-1.9,450.0,660.0,35m,1.8,-2.3,830.0,4,COMPLETE
65,65,-1.1804748553573607,2025-05-29 23:29:42.508651,2025-05-29 23:29:43.546922,0 days 00:00:01.038271,950.0,47m,0.30000000000000004,-1.1999999999999997,850.0,530.0,7m,2.1,-0.6999999999999997,840.0,250.0,26m,2.5,-1.1999999999999997,440.0,,,,,,960.0,9m,0.4,-3.1,670.0,930,36m,3.2,-3.1,650,60,52m,2.7,-2.0,860,,,,,,470.0,11m,1.7000000000000002,-1.4,560.0,950.0,36m,2.9000000000000004,-2.8,940.0,4,COMPLETE
66,66,,2025-05-29 23:29:43.555747,2025-05-29 23:29:44.154356,0 days 00:00:00.598609,790.0,19m,0.6000000000000001,-0.7999999999999998,960.0,,,,,,170.0,44m,2.8000000000000003,-0.2999999999999998,650.0,,,,,,,,,,,890,37m,2.4000000000000004,-2.9,940,240,16m,3.5,-1.7,910,,,,,,,,,,,,,,,,2,FAIL
67,67,,2025-05-29 23:29:44.156365,2025-05-29 23:29:44.735446,0 days 00:00:00.579081,800.0,19m,0.6000000000000001,-0.6999999999999997,960.0,,,,,,170.0,44m,2.9000000000000004,-1.5999999999999999,660.0,,,,,,,,,,,890,15m,2.0,-2.9,950,270,56m,2.9000000000000004,0.0,610,,,,,,,,,,,,,,,,2,FAIL
68,68,,2025-05-29 23:29:44.735446,2025-05-29 23:29:45.309852,0 days 00:00:00.574406,790.0,19m,0.6000000000000001,-0.6999999999999997,1000.0,,,,,,200.0,44m,2.8000000000000003,-1.5999999999999999,660.0,,,,,,,,,,,10,15m,2.5,-2.9,940,230,44m,3.0,0.0,910,,,,,,,,,,,,,,,,2,FAIL
69,69,,2025-05-29 23:29:45.320032,2025-05-29 23:29:45.903898,0 days 00:00:00.583866,630.0,19m,0.6000000000000001,-0.6999999999999997,950.0,,,,,,200.0,44m,2.8000000000000003,-1.5999999999999999,560.0,,,,,,,,,,,890,15m,3.3000000000000003,-2.8,950,290,16m,3.0,0.0,920,,,,,,,,,,,,,,,,2,FAIL
70,70,0.4479818860499881,2025-05-29 23:29:45.908011,2025-05-29 23:29:46.498593,0 days 00:00:00.590582,800.0,19m,0.30000000000000004,-0.6999999999999997,970.0,,,,,,190.0,58m,2.8000000000000003,-0.2999999999999998,650.0,,,,,,,,,,,900,49m,2.5,-2.9,940,290,5m,3.0,-1.7,630,,,,,,,,,,,,,,,,2,COMPLETE
71,71,-0.09014887508661512,2025-05-29 23:29:46.505666,2025-05-29 23:29:47.518903,0 days 00:00:01.013237,630.0,45m,0.9,-0.09999999999999964,910.0,740.0,44m,1.4000000000000001,-0.5,920.0,130.0,55m,3.1,-1.5999999999999999,690.0,,,,,,820.0,47m,0.8,0.0,310.0,1000,15m,1.3,-2.8,810,230,56m,3.5,-0.09999999999999964,810,,,,,,390.0,52m,1.5,-1.5,630.0,700.0,57m,1.6,-1.5,730.0,4,COMPLETE
72,72,-1.7405695211652927,2025-05-29 23:29:47.520712,2025-05-29 23:29:48.787774,0 days 00:00:01.267062,690.0,24m,0.6000000000000001,-0.19999999999999973,820.0,830.0,49m,1.2000000000000002,-0.8999999999999999,750.0,10.0,53m,3.3000000000000003,-1.2999999999999998,560.0,600.0,24m,2.2,-1.0,580.0,890.0,22m,1.1,-0.2999999999999998,170.0,970,48m,3.3000000000000003,-3.2,770,180,44m,2.4000000000000004,-0.2999999999999998,910,550.0,15m,1.5,-1.0,570.0,680.0,16m,1.3,-1.0,660.0,780.0,26m,2.1,-1.7999999999999998,890.0,5,COMPLETE
73,73,-1.358814698350139,2025-05-29 23:29:48.798977,2025-05-29 23:29:49.873821,0 days 00:00:01.074844,880.0,23m,1.5,0.0,1000.0,370.0,59m,1.0,-0.5999999999999996,930.0,320.0,44m,2.9000000000000004,-1.7,780.0,,,,,,80.0,14m,3.3000000000000003,-0.09999999999999964,240.0,970,34m,0.2,-3.3,720,330,33m,2.9000000000000004,-0.5,780,,,,,,600.0,28m,2.0,-2.0,710.0,860.0,2m,2.4000000000000004,-2.2,790.0,4,COMPLETE
74,74,1.6524435898556729,2025-05-29 23:29:49.883449,2025-05-29 23:29:51.226982,0 days 00:00:01.343533,780.0,59m,2.2,-0.5,610.0,640.0,55m,1.5,0.0,630.0,250.0,37m,3.3000000000000003,-2.0,820.0,890.0,52m,3.0,-3.1,480.0,680.0,3m,1.3,-0.3999999999999999,350.0,850,5m,1.7000000000000002,-2.2,880,50,20m,3.3000000000000003,0.0,840,820.0,54m,1.2000000000000002,-0.2999999999999998,420.0,530.0,10m,0.7000000000000001,-1.7,520.0,720.0,53m,2.1,-2.6,670.0,5,COMPLETE
75,75,1.0030018558651148,2025-05-29 23:29:51.232954,2025-05-29 23:29:52.266350,0 days 00:00:01.033396,770.0,59m,2.1,-0.5,780.0,620.0,55m,1.6,0.0,620.0,360.0,37m,0.9,-1.5,830.0,,,,,,690.0,33m,1.4000000000000001,-0.3999999999999999,350.0,710,5m,1.7000000000000002,-2.2,890,40,20m,3.4000000000000004,0.0,710,,,,,,510.0,15m,0.6000000000000001,-1.5999999999999999,530.0,540.0,53m,1.4000000000000001,-2.7,660.0,4,COMPLETE
76,76,-0.5066892046271002,2025-05-29 23:29:52.271261,2025-05-29 23:29:53.135181,0 days 00:00:00.863920,860.0,13m,2.9000000000000004,-0.5,610.0,600.0,21m,0.0,-0.19999999999999973,650.0,250.0,50m,3.3000000000000003,-1.9,880.0,,,,,,,,,,,830,27m,2.0,-2.4,950,130,50m,3.2,-1.1999999999999997,830,,,,,,410.0,10m,0.2,-1.7,460.0,,,,,,3,COMPLETE
77,77,-0.6890308690790908,2025-05-29 23:29:53.135181,2025-05-29 23:29:54.395460,0 days 00:00:01.260279,400.0,27m,2.2,-0.7999999999999998,540.0,680.0,43m,1.8,-0.19999999999999973,790.0,520.0,15m,3.0,-1.2999999999999998,950.0,900.0,32m,3.1,-2.6,740.0,780.0,3m,1.7000000000000002,-0.19999999999999973,400.0,850,31m,1.4000000000000001,-2.0,610,70,7m,3.3000000000000003,-0.09999999999999964,970,820.0,35m,0.5,-0.19999999999999973,400.0,560.0,54m,0.7000000000000001,-2.0999999999999996,580.0,720.0,28m,2.7,-2.6,980.0,5,COMPLETE
78,78,2.623029375663116,2025-05-29 23:29:54.402290,2025-05-29 23:29:55.542147,0 days 00:00:01.139857,920.0,37m,1.7000000000000002,-0.2999999999999998,570.0,670.0,3m,1.9000000000000001,-0.3999999999999999,840.0,410.0,39m,2.3000000000000003,-1.0999999999999996,810.0,,,,,,640.0,31m,1.1,-0.7999999999999998,580.0,780,26m,2.3000000000000003,-2.6,780,120,55m,2.7,-0.7999999999999998,670,,,,,,350.0,53m,1.1,-1.1999999999999997,520.0,430.0,19m,1.8,-2.4,810.0,4,COMPLETE
79,79,-2.4578033013411464,2025-05-29 23:29:55.552677,2025-05-29 23:29:56.719665,0 days 00:00:01.166988,930.0,20m,1.9000000000000001,-0.2999999999999998,410.0,750.0,3m,2.0,0.0,840.0,410.0,39m,2.3000000000000003,-1.0,470.0,,,,,,640.0,31m,1.1,-0.6999999999999997,510.0,780,26m,2.2,-2.6,690,110,55m,2.7,-0.8999999999999999,670,,,,,,370.0,1m,1.1,-1.2999999999999998,350.0,350.0,19m,1.8,-2.4,810.0,4,COMPLETE
80,80,-1.5321133832156517,2025-05-29 23:29:56.727820,2025-05-29 23:29:58.125520,0 days 00:00:01.397700,990.0,44m,2.3000000000000003,-1.4,600.0,690.0,22m,2.2,-0.3999999999999999,720.0,460.0,6m,1.8,-0.6999999999999997,820.0,900.0,2m,2.4000000000000004,-2.0999999999999996,500.0,580.0,26m,1.9000000000000001,-0.6999999999999997,430.0,730,40m,2.8000000000000003,-2.2,1000,230,16m,0.1,-1.0999999999999996,600,850.0,46m,1.2000000000000002,-0.5999999999999996,20.0,320.0,40m,0.4,-1.7999999999999998,530.0,230.0,48m,1.6,-3.4,760.0,5,COMPLETE
81,81,-3.0353691060379506,2025-05-29 23:29:58.137214,2025-05-29 23:29:59.293156,0 days 00:00:01.155942,810.0,37m,1.7000000000000002,-0.3999999999999999,490.0,540.0,25m,1.5,-0.5999999999999996,680.0,300.0,28m,2.4000000000000004,-1.0999999999999996,760.0,,,,,,700.0,36m,1.3,-0.3999999999999999,580.0,640,22m,3.5,-3.0,830,40,36m,3.1,-1.4,740,,,,,,460.0,4m,1.0,-1.1999999999999997,280.0,660.0,13m,2.0,-2.3,850.0,4,COMPLETE
82,82,-4.853019875982895,2025-05-29 23:29:59.301504,2025-05-29 23:30:00.443023,0 days 00:00:01.141519,770.0,33m,1.7000000000000002,-0.2999999999999998,570.0,660.0,39m,1.7000000000000002,-0.2999999999999998,870.0,400.0,16m,0.2,-1.5999999999999999,230.0,,,,,,480.0,34m,0.7000000000000001,-0.19999999999999973,660.0,880,59m,1.8,-2.5,780,10,23m,2.8000000000000003,-0.6999999999999997,840,,,,,,530.0,9m,1.4000000000000001,-1.5,500.0,410.0,11m,2.5,-2.6,880.0,4,COMPLETE
83,83,-0.9584207522520127,2025-05-29 23:30:00.449995,2025-05-29 23:30:01.330056,0 days 00:00:00.880061,520.0,2m,1.9000000000000001,-2.0,650.0,810.0,40m,1.9000000000000001,-2.6,770.0,270.0,35m,2.7,-3.0,910.0,,,,,,,,,,,800,10m,2.4000000000000004,-2.8,870,170,4m,2.9000000000000004,-0.19999999999999973,780,,,,,,220.0,53m,0.2,-1.0999999999999996,470.0,,,,,,3,COMPLETE
84,84,3.700767568481773,2025-05-29 23:30:01.336600,2025-05-29 23:30:02.413672,0 days 00:00:01.077072,930.0,41m,0.7000000000000001,-1.0,460.0,710.0,57m,1.3,-0.5,710.0,200.0,47m,2.5,-1.4,850.0,,,,,,620.0,23m,3.3000000000000003,-0.5,570.0,930,9m,1.1,-2.7,780,120,6m,2.6,-0.2999999999999998,650,,,,,,490.0,26m,1.4000000000000001,-0.2999999999999998,410.0,600.0,25m,1.9000000000000001,-1.9,960.0,4,COMPLETE
85,85,1.8498019143192599,2025-05-29 23:30:02.422004,2025-05-29 23:30:03.547959,0 days 00:00:01.125955,940.0,10m,0.4,-1.0,470.0,570.0,57m,0.7000000000000001,-0.2999999999999998,720.0,180.0,31m,2.0,-1.1999999999999997,850.0,,,,,,610.0,1m,3.0,-0.7999999999999998,720.0,930,9m,0.8,-2.5,720,130,17m,2.6,-0.7999999999999998,570,,,,,,420.0,33m,1.3,-0.19999999999999973,370.0,460.0,1m,1.8,-1.9,950.0,4,COMPLETE
86,86,1.6165977322388883,2025-05-29 23:30:03.552013,2025-05-29 23:30:04.689578,0 days 00:00:01.137565,960.0,10m,0.4,-0.8999999999999999,380.0,740.0,57m,0.4,-0.09999999999999964,750.0,80.0,47m,2.0,-1.0,850.0,,,,,,610.0,23m,3.3000000000000003,-0.8999999999999999,750.0,830,9m,0.8,-2.6,710,80,17m,2.4000000000000004,-1.2999999999999998,540,,,,,,420.0,26m,1.3,-0.09999999999999964,370.0,490.0,25m,1.8,-1.9,950.0,4,COMPLETE
87,87,0.8436192054546902,2025-05-29 23:30:04.695301,2025-05-29 23:30:05.806876,0 days 00:00:01.111575,960.0,10m,0.4,-1.0999999999999996,350.0,710.0,57m,0.6000000000000001,-0.09999999999999964,810.0,120.0,31m,2.0,-0.8999999999999999,850.0,,,,,,610.0,23m,3.3000000000000003,-0.8999999999999999,790.0,830,9m,0.8,-2.5,720,70,17m,2.3000000000000003,-0.7999999999999998,570,,,,,,340.0,26m,1.3,0.0,380.0,450.0,25m,1.8,-1.9,970.0,4,COMPLETE
88,88,1.5437301912916637,2025-05-29 23:30:05.806876,2025-05-29 23:30:06.934755,0 days 00:00:01.127879,910.0,41m,0.7000000000000001,-0.8999999999999999,250.0,580.0,57m,0.4,-0.09999999999999964,750.0,70.0,47m,2.2,-0.5,880.0,,,,,,640.0,55m,3.0,-1.1999999999999997,850.0,140,9m,1.0,-2.7,670,100,17m,2.3000000000000003,-1.0999999999999996,640,,,,,,420.0,33m,0.8,-0.2999999999999998,300.0,460.0,1m,1.5,-3.0,610.0,4,COMPLETE
89,89,0.5807836973876072,2025-05-29 23:30:06.937784,2025-05-29 23:30:08.057884,0 days 00:00:01.120100,960.0,10m,0.2,-0.8999999999999999,370.0,730.0,57m,0.7000000000000001,-2.9,860.0,160.0,54m,1.9000000000000001,-1.0999999999999996,940.0,,,,,,670.0,23m,3.4000000000000004,-0.7999999999999998,720.0,770,17m,1.1,-2.3,630,140,21m,2.6,-1.2999999999999998,540,,,,,,390.0,26m,1.1,-0.09999999999999964,250.0,380.0,25m,1.7000000000000002,-2.3,430.0,4,COMPLETE
90,90,-1.6791925946408064,2025-05-29 23:30:08.065900,2025-05-29 23:30:08.932043,0 days 00:00:00.866143,1000.0,41m,0.7000000000000001,-1.0,440.0,770.0,46m,0.2,-0.5,920.0,50.0,47m,1.6,-1.1999999999999997,990.0,,,,,,,,,,,820,9m,0.6000000000000001,-2.5,770,30,19m,2.0,-0.8999999999999999,440,,,,,,250.0,8m,1.4000000000000001,-0.5,420.0,,,,,,3,COMPLETE
91,91,-0.6026506966594598,2025-05-29 23:30:08.938059,2025-05-29 23:30:10.077654,0 days 00:00:01.139595,910.0,41m,0.7000000000000001,-0.8999999999999999,220.0,580.0,57m,0.4,-0.09999999999999964,760.0,80.0,47m,2.2,-0.2999999999999998,870.0,,,,,,630.0,55m,3.1,-1.0999999999999996,900.0,590,9m,0.9,-2.7,670,100,17m,2.2,-1.0999999999999996,640,,,,,,440.0,33m,0.7000000000000001,-0.2999999999999998,300.0,460.0,18m,1.4000000000000001,-3.0,680.0,4,COMPLETE
92,92,-0.20382100075699855,2025-05-29 23:30:10.077654,2025-05-29 23:30:11.266949,0 days 00:00:01.189295,930.0,55m,0.1,-1.1999999999999997,290.0,660.0,14m,0.4,0.0,740.0,150.0,47m,2.1,-0.5,800.0,,,,,,580.0,15m,3.0,-1.2999999999999998,880.0,150,9m,0.9,-2.7,570,70,17m,2.3000000000000003,-1.0999999999999996,580,,,,,,370.0,21m,1.0,-0.19999999999999973,360.0,530.0,1m,1.9000000000000001,-3.2,640.0,4,COMPLETE
93,93,3.0844901623729264,2025-05-29 23:30:11.273222,2025-05-29 23:30:12.448426,0 days 00:00:01.175204,870.0,15m,0.9,-0.6999999999999997,530.0,600.0,32m,0.1,-0.19999999999999973,690.0,60.0,10m,2.2,-1.4,890.0,,,,,,540.0,1m,2.8000000000000003,-1.5999999999999999,720.0,250,15m,0.7000000000000001,-2.2,710,120,12m,2.6,-1.0,610,,,,,,420.0,33m,0.9,-0.09999999999999964,430.0,470.0,32m,1.6,-1.9,580.0,4,COMPLETE
94,94,-1.0153298640778914,2025-05-29 23:30:12.456815,2025-05-29 23:30:13.589988,0 days 00:00:01.133173,870.0,15m,0.4,-0.6999999999999997,520.0,630.0,32m,0.2,-2.3,650.0,180.0,24m,2.5,-1.4,840.0,,,,,,510.0,1m,2.8000000000000003,-1.5,260.0,40,37m,0.7000000000000001,-2.0999999999999996,710,220,6m,2.5,-0.7999999999999998,530,,,,,,490.0,29m,1.2000000000000002,-0.09999999999999964,430.0,320.0,38m,1.2000000000000002,-2.0,20.0,4,COMPLETE
95,95,-0.6674955658877046,2025-05-29 23:30:13.604403,2025-05-29 23:30:14.727060,0 days 00:00:01.122657,830.0,3m,0.6000000000000001,-0.5999999999999996,320.0,550.0,30m,0.5,-0.2999999999999998,690.0,20.0,8m,2.2,-1.0,910.0,,,,,,540.0,1m,3.3000000000000003,-1.7,730.0,320,15m,0.5,-1.9,810,130,45m,2.6,-1.0,610,,,,,,320.0,49m,1.0,-0.3999999999999999,380.0,490.0,32m,1.9000000000000001,-1.9,530.0,4,COMPLETE
96,96,-0.6657779982604982,2025-05-29 23:30:14.737492,2025-05-29 23:30:15.858324,0 days 00:00:01.120832,940.0,42m,0.9,-0.7999999999999998,50.0,610.0,50m,0.8,-0.19999999999999973,710.0,50.0,10m,2.0,-1.2999999999999998,810.0,,,,,,370.0,29m,3.4000000000000004,-0.5999999999999996,750.0,530,35m,0.7000000000000001,-2.2,730,160,12m,2.4000000000000004,-0.5999999999999996,490,,,,,,410.0,47m,0.5,-0.09999999999999964,480.0,600.0,4m,1.7000000000000002,-2.4,1000.0,4,COMPLETE
97,97,2.658313803673644,2025-05-29 23:30:15.867096,2025-05-29 23:30:16.940018,0 days 00:00:01.072922,890.0,35m,1.1,-1.0999999999999996,540.0,490.0,41m,0.2,-3.4,820.0,620.0,3m,2.4000000000000004,-1.4,980.0,,,,,,600.0,49m,3.1,-0.8999999999999999,710.0,230,23m,0.5,-2.4,700,600,49m,2.8000000000000003,-1.2999999999999998,680,,,,,,480.0,32m,0.8,0.0,510.0,540.0,54m,2.3000000000000003,-1.7999999999999998,580.0,4,COMPLETE
