,number,value,datetime_start,datetime_complete,duration,params_AAL_HAS_beta_win,params_AAL_HAS_trade_freq,params_AAL_HAS_z_entry,params_AAL_HAS_z_exit,params_AAL_HAS_z_win,params_BIDU_BIIB_beta_win,params_BIDU_BIIB_trade_freq,params_BIDU_BIIB_z_entry,params_BIDU_BIIB_z_exit,params_BIDU_BIIB_z_win,params_FB_BIIB_beta_win,params_FB_BIIB_trade_freq,params_FB_BIIB_z_entry,params_FB_BIIB_z_exit,params_FB_BIIB_z_win,params_ISRG_HAS_beta_win,params_ISRG_HAS_trade_freq,params_ISRG_HAS_z_entry,params_ISRG_HAS_z_exit,params_ISRG_HAS_z_win,params_KHC_HAS_beta_win,params_KHC_HAS_trade_freq,params_KHC_HAS_z_entry,params_KHC_HAS_z_exit,params_KHC_HAS_z_win,params_MELI_BIIB_beta_win,params_MELI_BIIB_trade_freq,params_MELI_BIIB_z_entry,params_MELI_BIIB_z_exit,params_MELI_BIIB_z_win,params_MSFT_HAS_beta_win,params_MSFT_HAS_trade_freq,params_MSFT_HAS_z_entry,params_MSFT_HAS_z_exit,params_MSFT_HAS_z_win,params_NTES_BIIB_beta_win,params_NTES_BIIB_trade_freq,params_NTES_BIIB_z_entry,params_NTES_BIIB_z_exit,params_NTES_BIIB_z_win,params_SBUX_HAS_beta_win,params_SBUX_HAS_trade_freq,params_SBUX_HAS_z_entry,params_SBUX_HAS_z_exit,params_SBUX_HAS_z_win,params_WYNN_BIIB_beta_win,params_WYNN_BIIB_trade_freq,params_WYNN_BIIB_z_entry,params_WYNN_BIIB_z_exit,params_WYNN_BIIB_z_win,params_pairs_to_trade,state
11,11,0.0052675683100027485,2025-05-29 23:28:48.744288,2025-05-29 23:28:49.403998,0 days 00:00:00.659710,400.0,18m,2.2,-0.3999999999999999,620.0,580.0,56m,2.7,-2.7,230.0,500.0,57m,0.6000000000000001,-3.0,700.0,,,,,,,,,,,990,18m,2.2,-1.0,390,130,24m,1.6,-0.6999999999999997,820,,,,,,280.0,19m,1.4000000000000001,-2.3,330.0,,,,,,3,COMPLETE
12,12,-0.7006803534028339,2025-05-29 23:28:49.414470,2025-05-29 23:28:50.633125,0 days 00:00:01.218655,10.0,46m,3.5,-1.9,350.0,140.0,20m,0.2,0.0,1000.0,640.0,42m,3.4000000000000004,-0.8999999999999999,30.0,950.0,51m,2.9000000000000004,-3.5,160.0,20.0,30m,3.2,-3.5,130.0,610,30m,1.0,-2.3,910,320,28m,0.1,-3.5,990,60.0,19m,2.0,-0.09999999999999964,820.0,40.0,14m,0.2,-0.09999999999999964,830.0,70.0,23m,3.2,-3.3,970.0,5,COMPLETE
13,13,-0.7950960059173785,2025-05-29 23:28:50.643549,2025-05-29 23:28:51.874972,0 days 00:00:01.231423,60.0,17m,3.5,-1.2999999999999998,760.0,10.0,38m,2.1,0.0,70.0,710.0,19m,3.4000000000000004,-1.1999999999999997,380.0,240.0,31m,0.0,0.0,460.0,830.0,16m,1.2000000000000002,-1.7999999999999998,100.0,720,42m,0.5,-2.0999999999999996,800,640,28m,0.9,-2.2,390,120.0,36m,0.1,-1.9,120.0,660.0,51m,1.5,-0.5999999999999996,930.0,990.0,17m,1.4000000000000001,-1.2999999999999998,780.0,5,COMPLETE
14,14,0.1889495393793501,2025-05-29 23:28:51.874972,2025-05-29 23:28:53.136886,0 days 00:00:01.261914,230.0,46m,0.1,-1.9,680.0,290.0,37m,3.5,-0.7999999999999998,530.0,510.0,51m,3.1,-3.5,300.0,610.0,43m,1.3,-1.7,380.0,700.0,58m,1.7000000000000002,-1.5999999999999999,340.0,720,6m,0.8,-3.4,370,920,8m,1.4000000000000001,-3.4,500,360.0,40m,0.2,-1.5,370.0,350.0,50m,1.9000000000000001,-1.0999999999999996,690.0,990.0,7m,2.0,-1.9,670.0,5,COMPLETE
15,15,-4.162467334359178,2025-05-29 23:28:53.147258,2025-05-29 23:28:54.124735,0 days 00:00:00.977477,220.0,54m,2.7,-1.2999999999999998,520.0,210.0,15m,2.1,-3.2,820.0,810.0,12m,1.7000000000000002,-1.0,950.0,,,,,,450.0,37m,0.8,-1.7999999999999998,970.0,130,28m,0.1,-2.6,780,1000,43m,2.3000000000000003,-2.0,190,,,,,,780.0,22m,2.1,-1.2999999999999998,680.0,690.0,20m,1.6,-0.09999999999999964,40.0,4,COMPLETE
16,16,1.2271416072167656,2025-05-29 23:28:54.124735,2025-05-29 23:28:55.157278,0 days 00:00:01.032543,640.0,26m,1.4000000000000001,-2.4,430.0,10.0,45m,0.9,-2.0999999999999996,370.0,570.0,2m,2.1,-3.5,530.0,,,,,,440.0,10m,2.4000000000000004,-1.1999999999999997,380.0,740,12m,0.8,-1.7,370,680,27m,0.5,0.0,480,,,,,,1000.0,55m,0.9,-0.09999999999999964,1000.0,820.0,17m,0.5,-1.1999999999999997,510.0,4,COMPLETE
17,17,-6.73563503853567,2025-05-29 23:28:55.167737,2025-05-29 23:28:56.231748,0 days 00:00:01.064011,630.0,39m,1.5,-2.4,400.0,350.0,37m,0.6000000000000001,-2.4,410.0,510.0,2m,0.0,-0.09999999999999964,10.0,,,,,,340.0,10m,2.7,-0.6999999999999997,500.0,750,12m,0.7000000000000001,-1.7999999999999998,370,670,27m,0.1,0.0,540,,,,,,1000.0,55m,0.4,0.0,980.0,740.0,6m,0.1,-0.6999999999999997,410.0,4,COMPLETE
18,18,0.7374150617724995,2025-05-29 23:28:56.243503,2025-05-29 23:28:57.315404,0 days 00:00:01.071901,660.0,36m,2.8000000000000003,-2.5,430.0,570.0,45m,1.1,-2.2,660.0,650.0,25m,1.2000000000000002,-2.6,510.0,,,,,,280.0,20m,2.3000000000000003,-0.7999999999999998,420.0,560,11m,1.2000000000000002,-0.19999999999999973,680,510,59m,0.8,-2.4,420,,,,,,180.0,56m,0.8,-1.5999999999999999,490.0,430.0,43m,2.6,-2.5,540.0,4,COMPLETE
19,19,-4.495937956544095,2025-05-29 23:28:57.323857,2025-05-29 23:28:58.386897,0 days 00:00:01.063040,590.0,40m,2.2,-2.7,110.0,180.0,51m,0.7000000000000001,-0.6999999999999997,430.0,390.0,29m,2.1,-1.2999999999999998,170.0,,,,,,1000.0,41m,2.1,-2.6,680.0,240,51m,1.9000000000000001,-1.5,440,250,2m,0.4,-2.9,630,,,,,,420.0,42m,3.5,-0.5999999999999996,720.0,420.0,12m,0.8,-0.7999999999999998,290.0,4,COMPLETE
20,20,0.31852217732846394,2025-05-29 23:28:58.394532,2025-05-29 23:28:59.662706,0 days 00:00:01.268174,370.0,22m,1.3,-2.0999999999999996,510.0,990.0,48m,1.5,-3.4,650.0,590.0,46m,3.0,-0.5,510.0,680.0,5m,2.6,-3.3,940.0,210.0,58m,0.0,-1.0999999999999996,270.0,780,4m,0.5,-1.7999999999999998,250,630,15m,0.6000000000000001,-1.5999999999999999,420,770.0,47m,3.3000000000000003,-3.0,720.0,710.0,6m,0.9,-3.5,500.0,830.0,8m,2.3000000000000003,-2.5,620.0,5,COMPLETE
