,number,value,datetime_start,datetime_complete,duration,params_AMAT_LRCX_beta_win,params_AMAT_LRCX_trade_freq,params_AMAT_LRCX_z_entry,params_AMAT_LRCX_z_exit,params_AMAT_LRCX_z_win,params_ASML_GOOGL_beta_win,params_ASML_GOOGL_trade_freq,params_ASML_GOOGL_z_entry,params_ASML_GOOGL_z_exit,params_ASML_GOOGL_z_win,params_COST_MAR_beta_win,params_COST_MAR_trade_freq,params_COST_MAR_z_entry,params_COST_MAR_z_exit,params_COST_MAR_z_win,params_FISV_TMUS_beta_win,params_FISV_TMUS_trade_freq,params_FISV_TMUS_z_entry,params_FISV_TMUS_z_exit,params_FISV_TMUS_z_win,params_OKTA_CDW_beta_win,params_OKTA_CDW_trade_freq,params_OKTA_CDW_z_entry,params_OKTA_CDW_z_exit,params_OKTA_CDW_z_win,params_pairs_to_trade,state
184,184,,2025-05-30 00:00:49.365905,2025-05-30 00:00:49.790431,0 days 00:00:00.424526,520.0,17m,3.5,-0.6999999999999997,990.0,360.0,48m,2.7,-3.2,380.0,670.0,31m,1.5,-1.7999999999999998,400.0,720,54m,2.5,-2.2,370,620.0,50m,1.5,-0.5,450.0,5,FAIL
185,185,,2025-05-30 00:00:49.792435,2025-05-30 00:00:50.233496,0 days 00:00:00.441061,490.0,27m,3.1,-0.6999999999999997,980.0,290.0,45m,2.7,-3.2,370.0,620.0,38m,1.5,-1.7999999999999998,370.0,750,20m,2.5,-2.2,370,610.0,50m,1.7000000000000002,-0.5,460.0,5,FAIL
186,186,,2025-05-30 00:00:50.235329,2025-05-30 00:00:50.671226,0 days 00:00:00.435897,510.0,32m,3.1,-1.1999999999999997,990.0,410.0,48m,2.7,-3.2,330.0,620.0,48m,1.5,-1.7999999999999998,380.0,900,20m,2.5,-2.2,350,650.0,50m,1.7000000000000002,-0.5,450.0,5,FAIL
187,187,-2.5020371069780776,2025-05-30 00:00:50.676939,2025-05-30 00:00:51.127565,0 days 00:00:00.450626,490.0,50m,3.1,-0.6999999999999997,750.0,410.0,48m,3.1,-3.2,830.0,620.0,5m,1.5,-1.7999999999999998,400.0,750,20m,2.5,-2.2,220,670.0,50m,1.7000000000000002,-0.3999999999999999,460.0,5,COMPLETE
188,188,,2025-05-30 00:00:51.129565,2025-05-30 00:00:51.585720,0 days 00:00:00.456155,250.0,17m,3.5,0.0,850.0,360.0,45m,2.6,-3.4,760.0,730.0,30m,1.0,-2.4,760.0,790,54m,2.1,-1.5999999999999999,370,510.0,45m,0.0,-1.5,620.0,5,FAIL
189,189,,2025-05-30 00:00:51.587720,2025-05-30 00:00:52.016529,0 days 00:00:00.428809,530.0,17m,3.5,-0.09999999999999964,960.0,360.0,45m,2.7,-3.4,380.0,380.0,48m,1.1,-2.3,780.0,910,20m,2.4000000000000004,-1.5999999999999999,370,870.0,46m,0.0,-1.5,870.0,5,FAIL
190,190,0.6128784869406927,2025-05-30 00:00:52.019043,2025-05-30 00:00:52.465097,0 days 00:00:00.446054,250.0,17m,3.5,0.0,1000.0,290.0,23m,2.7,-3.4,320.0,730.0,47m,1.1,-2.2,760.0,700,15m,2.4000000000000004,-1.5999999999999999,370,900.0,45m,0.0,-1.4,590.0,5,COMPLETE
191,191,,2025-05-30 00:00:52.467093,2025-05-30 00:00:52.912197,0 days 00:00:00.445104,530.0,45m,3.3000000000000003,-1.1999999999999997,900.0,200.0,59m,1.8,-2.9,370.0,380.0,32m,2.8000000000000003,-1.1999999999999997,390.0,910,27m,3.2,-1.4,340,490.0,41m,2.0,-2.0999999999999996,850.0,5,FAIL
192,192,-0.43164677538928325,2025-05-30 00:00:52.915197,2025-05-30 00:00:53.365865,0 days 00:00:00.450668,520.0,44m,3.3000000000000003,-1.1999999999999997,860.0,360.0,45m,1.8,-2.8,380.0,400.0,28m,2.2,-1.1999999999999997,450.0,800,54m,2.2,-3.2,170,550.0,54m,1.5,-1.4,850.0,5,COMPLETE
193,193,,2025-05-30 00:00:53.368478,2025-05-30 00:00:53.591843,0 days 00:00:00.223365,,,,,,210.0,32m,2.6,-3.3,770.0,,,,,,890,38m,2.1,-2.8,290,,,,,,2,FAIL
194,194,,2025-05-30 00:00:53.593916,2025-05-30 00:00:53.830542,0 days 00:00:00.236626,,,,,,210.0,46m,2.6,-3.2,760.0,,,,,,890,34m,1.8,-1.2999999999999998,330,,,,,,2,FAIL
195,195,,2025-05-30 00:00:53.832542,2025-05-30 00:00:54.068362,0 days 00:00:00.235820,,,,,,250.0,29m,3.0,-2.6,530.0,,,,,,890,38m,2.1,-2.8,340,,,,,,2,FAIL
196,196,,2025-05-30 00:00:54.069360,2025-05-30 00:00:54.294957,0 days 00:00:00.225597,,,,,,250.0,54m,2.6,-3.2,760.0,,,,,,630,38m,1.8,-1.4,340,,,,,,2,FAIL
197,197,,2025-05-30 00:00:54.294957,2025-05-30 00:00:54.533841,0 days 00:00:00.238884,,,,,,200.0,55m,2.6,-2.6,760.0,,,,,,880,20m,2.7,-1.2999999999999998,960,,,,,,2,FAIL
198,198,-0.8965638759529247,2025-05-30 00:00:54.535837,2025-05-30 00:00:54.766006,0 days 00:00:00.230169,,,,,,220.0,55m,2.6,-3.2,520.0,,,,,,900,2m,2.1,-1.9,330,,,,,,2,COMPLETE
199,199,,2025-05-30 00:00:54.767006,2025-05-30 00:00:54.916842,0 days 00:00:00.149836,,,,,,,,,,,,,,,,890,34m,3.2,-1.4,260,,,,,,1,FAIL
