,number,value,datetime_start,datetime_complete,duration,params_ALGN_CTAS_beta_win,params_ALGN_CTAS_trade_freq,params_ALGN_CTAS_z_entry,params_ALGN_CTAS_z_exit,params_ALGN_CTAS_z_win,params_BKNG_FOXA_beta_win,params_BKNG_FOXA_trade_freq,params_BKNG_FOXA_z_entry,params_BKNG_FOXA_z_exit,params_BKNG_FOXA_z_win,params_BKNG_FOX_beta_win,params_BKNG_FOX_trade_freq,params_BKNG_FOX_z_entry,params_BKNG_FOX_z_exit,params_BKNG_FOX_z_win,params_CDNS_ANSS_beta_win,params_CDNS_ANSS_trade_freq,params_CDNS_ANSS_z_entry,params_CDNS_ANSS_z_exit,params_CDNS_ANSS_z_win,params_CSX_NTAP_beta_win,params_CSX_NTAP_trade_freq,params_CSX_NTAP_z_entry,params_CSX_NTAP_z_exit,params_CSX_NTAP_z_win,params_ISRG_PCAR_beta_win,params_ISRG_PCAR_trade_freq,params_ISRG_PCAR_z_entry,params_ISRG_PCAR_z_exit,params_ISRG_PCAR_z_win,params_LULU_ALGN_beta_win,params_LULU_ALGN_trade_freq,params_LULU_ALGN_z_entry,params_LULU_ALGN_z_exit,params_LULU_ALGN_z_win,params_MAR_FOXA_beta_win,params_MAR_FOXA_trade_freq,params_MAR_FOXA_z_entry,params_MAR_FOXA_z_exit,params_MAR_FOXA_z_win,params_MAR_FOX_beta_win,params_MAR_FOX_trade_freq,params_MAR_FOX_z_entry,params_MAR_FOX_z_exit,params_MAR_FOX_z_win,params_MCHP_ALGN_beta_win,params_MCHP_ALGN_trade_freq,params_MCHP_ALGN_z_entry,params_MCHP_ALGN_z_exit,params_MCHP_ALGN_z_win,params_PYPL_MELI_beta_win,params_PYPL_MELI_trade_freq,params_PYPL_MELI_z_entry,params_PYPL_MELI_z_exit,params_PYPL_MELI_z_win,params_SWKS_CTAS_beta_win,params_SWKS_CTAS_trade_freq,params_SWKS_CTAS_z_entry,params_SWKS_CTAS_z_exit,params_SWKS_CTAS_z_win,params_TMUS_NTES_beta_win,params_TMUS_NTES_trade_freq,params_TMUS_NTES_z_entry,params_TMUS_NTES_z_exit,params_TMUS_NTES_z_win,params_ULTA_ROST_beta_win,params_ULTA_ROST_trade_freq,params_ULTA_ROST_z_entry,params_ULTA_ROST_z_exit,params_ULTA_ROST_z_win,params_WBA_XEL_beta_win,params_WBA_XEL_trade_freq,params_WBA_XEL_z_entry,params_WBA_XEL_z_exit,params_WBA_XEL_z_win,params_pairs_to_trade,state
0,0,0.7759580974397744,2025-05-29 23:48:49.170283,2025-05-29 23:48:49.864083,0 days 00:00:00.693800,250.0,35m,0.8,-2.5,20.0,360.0,22m,2.2,-0.7999999999999998,240.0,,,,,,990.0,24m,2.6,-1.9,690.0,,,,,,,,,,,,,,,,470,36m,1.8,-0.5,510,,,,,,,,,,,550,21m,1.8,-1.1999999999999997,780,,,,,,,,,,,,,,,,400,22m,0.2,-1.0999999999999996,640,2,COMPLETE
1,1,0.676252329861082,2025-05-29 23:48:49.874330,2025-05-29 23:48:50.546330,0 days 00:00:00.672000,480.0,39m,2.8000000000000003,-2.9,540.0,220.0,6m,0.6000000000000001,-2.8,920.0,,,,,,380.0,17m,2.2,-0.5,90.0,,,,,,,,,,,,,,,,680,42m,0.7000000000000001,-3.4,390,,,,,,,,,,,770,16m,1.3,-3.1,250,,,,,,,,,,,,,,,,790,13m,1.5,-1.1999999999999997,720,2,COMPLETE
2,2,1.7973438112877451,2025-05-29 23:48:50.551003,2025-05-29 23:48:50.947868,0 days 00:00:00.396865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,49m,3.3000000000000003,-1.5,300,,,,,,,,,,,620,59m,0.6000000000000001,-1.7999999999999998,430,,,,,,,,,,,,,,,,420,19m,2.6,-1.9,530,1,COMPLETE
3,3,0.0591769427490553,2025-05-29 23:48:50.952185,2025-05-29 23:48:51.844194,0 days 00:00:00.892009,140.0,12m,1.0,-2.8,740.0,40.0,10m,0.0,-0.6999999999999997,410.0,,,,,,10.0,23m,0.5,-1.0999999999999996,820.0,570.0,16m,3.4000000000000004,-3.2,120.0,,,,,,,,,,,720,41m,1.7000000000000002,-1.9,140,460.0,43m,0.8,-0.7999999999999998,920.0,400.0,30m,2.0,-1.9,870.0,900,43m,3.0,-1.4,170,,,,,,,,,,,,,,,,960,2m,3.1,-0.09999999999999964,190,3,COMPLETE
4,4,-1.3787245042486904,2025-05-29 23:48:51.849945,2025-05-29 23:48:53.265112,0 days 00:00:01.415167,720.0,47m,1.9000000000000001,-0.09999999999999964,140.0,770.0,41m,2.4000000000000004,-0.09999999999999964,870.0,870.0,54m,2.2,-0.6999999999999997,330.0,580.0,43m,0.30000000000000004,-0.09999999999999964,700.0,470.0,38m,2.1,-1.2999999999999998,280.0,380.0,20m,2.0,-3.4,70.0,410.0,52m,1.0,-1.5999999999999999,680.0,920,27m,2.8000000000000003,-0.5,130,280.0,26m,1.6,-0.2999999999999998,480.0,860.0,15m,2.2,-1.2999999999999998,430.0,790,29m,1.8,-2.0,460,40.0,59m,1.0,-2.3,30.0,250.0,8m,2.4000000000000004,-1.7999999999999998,930.0,370.0,15m,2.7,-0.6999999999999997,400.0,830,43m,1.9000000000000001,-3.4,680,5,COMPLETE
5,5,0.8387287091685313,2025-05-29 23:48:53.269484,2025-05-29 23:48:54.439880,0 days 00:00:01.170396,180.0,34m,1.9000000000000001,-0.7999999999999998,110.0,860.0,55m,2.7,-2.0999999999999996,250.0,50.0,11m,1.8,-1.5999999999999999,230.0,260.0,14m,3.3000000000000003,-0.5,900.0,10.0,21m,1.9000000000000001,-2.7,330.0,,,,,,,,,,,970,41m,2.0,-2.4,540,840.0,26m,0.7000000000000001,-0.2999999999999998,730.0,80.0,51m,0.1,-0.09999999999999964,530.0,480,4m,0.9,-2.4,930,370.0,4m,1.5,-2.5,600.0,570.0,50m,1.1,-3.4,40.0,,,,,,410,31m,0.1,-2.6,140,4,COMPLETE
6,6,0.22211825688828646,2025-05-29 23:48:54.450371,2025-05-29 23:48:55.118322,0 days 00:00:00.667951,720.0,44m,1.0,-1.0,20.0,430.0,30m,0.9,-1.0,470.0,,,,,,170.0,42m,0.0,-3.4,530.0,,,,,,,,,,,,,,,,750,35m,2.9000000000000004,-1.5999999999999999,110,,,,,,,,,,,860,21m,3.2,-2.8,140,,,,,,,,,,,,,,,,260,55m,0.2,-2.7,930,2,COMPLETE
7,7,-1.9850470592600438,2025-05-29 23:48:55.124326,2025-05-29 23:48:56.532028,0 days 00:00:01.407702,940.0,28m,0.1,-1.0,200.0,920.0,54m,1.6,-1.7999999999999998,440.0,240.0,10m,0.30000000000000004,-1.2999999999999998,30.0,970.0,40m,2.7,-1.0,200.0,410.0,56m,0.4,-2.5,30.0,890.0,51m,2.3000000000000003,-3.3,840.0,560.0,7m,3.3000000000000003,-3.2,670.0,510,54m,1.3,-1.4,800,430.0,47m,2.5,-2.7,800.0,750.0,22m,1.2000000000000002,-2.6,10.0,640,29m,2.6,-1.5999999999999999,1000,890.0,23m,1.0,-1.7999999999999998,640.0,290.0,22m,0.30000000000000004,-1.5999999999999999,740.0,800.0,23m,0.2,-3.3,950.0,550,53m,1.0,-1.5,770,5,COMPLETE
8,8,1.3884944618377295,2025-05-29 23:48:56.542510,2025-05-29 23:48:57.440037,0 days 00:00:00.897527,830.0,34m,1.1,-1.7,950.0,530.0,41m,2.8000000000000003,-0.6999999999999997,70.0,,,,,,1000.0,44m,3.0,-1.5999999999999999,580.0,60.0,58m,0.6000000000000001,-2.9,810.0,,,,,,,,,,,680,15m,0.4,-2.3,240,910.0,24m,1.1,-0.6999999999999997,640.0,840.0,8m,1.8,-0.5999999999999996,580.0,800,9m,0.30000000000000004,-1.2999999999999998,450,,,,,,,,,,,,,,,,840,37m,2.1,-0.09999999999999964,720,3,COMPLETE
9,9,-2.581924319459121,2025-05-29 23:48:57.450535,2025-05-29 23:48:58.364608,0 days 00:00:00.914073,260.0,27m,0.1,-0.3999999999999999,330.0,980.0,5m,2.6,-2.4,730.0,,,,,,690.0,31m,2.5,-1.2999999999999998,120.0,670.0,33m,0.2,-1.0,290.0,,,,,,,,,,,50,59m,1.3,-0.8999999999999999,150,110.0,30m,3.0,-2.9,570.0,310.0,24m,3.0,-2.0999999999999996,80.0,970,30m,1.5,-0.09999999999999964,510,,,,,,,,,,,,,,,,810,11m,2.0,-1.1999999999999997,20,3,COMPLETE
10,10,,2025-05-29 23:48:58.364608,2025-05-29 23:48:58.814150,0 days 00:00:00.449542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,49m,3.3000000000000003,0.0,1000,,,,,,,,,,,250,59m,0.0,-0.3999999999999999,680,,,,,,,,,,,,,,,,80,20m,3.4000000000000004,-2.2,430,1,FAIL
11,11,1.6028269437593188,2025-05-29 23:48:58.826461,2025-05-29 23:48:59.292177,0 days 00:00:00.465716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,49m,3.4000000000000004,0.0,1000,,,,,,,,,,,180,26m,0.1,-0.2999999999999998,640,,,,,,,,,,,,,,,,120,42m,3.5,-2.0999999999999996,420,1,COMPLETE
12,12,,2025-05-29 23:48:59.292177,2025-05-29 23:48:59.750544,0 days 00:00:00.458367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,49m,3.4000000000000004,0.0,1000,,,,,,,,,,,90,59m,0.0,-0.2999999999999998,640,,,,,,,,,,,,,,,,60,42m,3.5,-2.0999999999999996,410,1,FAIL
13,13,,2025-05-29 23:48:59.750544,2025-05-29 23:49:00.248130,0 days 00:00:00.497586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,49m,3.5,0.0,1000,,,,,,,,,,,140,59m,0.0,-0.19999999999999973,650,,,,,,,,,,,,,,,,10,47m,3.4000000000000004,-2.2,390,1,FAIL
14,14,-1.6268552358893633,2025-05-29 23:49:00.263778,2025-05-29 23:49:00.720699,0 days 00:00:00.456921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,49m,3.5,0.0,910,,,,,,,,,,,70,40m,0.0,-0.3999999999999999,650,,,,,,,,,,,,,,,,40,19m,3.4000000000000004,-2.0999999999999996,390,1,COMPLETE
15,15,-0.10601989245841001,2025-05-29 23:49:00.720699,2025-05-29 23:49:01.181809,0 days 00:00:00.461110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,49m,3.5,-3.2,730,,,,,,,,,,,290,59m,0.6000000000000001,-0.6999999999999997,650,,,,,,,,,,,,,,,,120,19m,2.8000000000000003,-2.0999999999999996,410,1,COMPLETE
16,16,-1.0378195955759986,2025-05-29 23:49:01.197903,2025-05-29 23:49:01.682822,0 days 00:00:00.484919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,5m,2.7,0.0,320,,,,,,,,,,,300,26m,0.0,-3.5,370,,,,,,,,,,,,,,,,210,6m,2.6,-2.7,490,1,COMPLETE
17,17,,2025-05-29 23:49:01.682822,2025-05-29 23:49:02.184423,0 days 00:00:00.501601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,45m,2.4000000000000004,-1.0999999999999996,630,,,,,,,,,,,50,54m,0.8,-0.7999999999999998,630,,,,,,,,,,,,,,,,560,42m,3.5,-1.9,270,1,FAIL
18,18,,2025-05-29 23:49:02.184423,2025-05-29 23:49:02.663368,0 days 00:00:00.478945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,33m,2.4000000000000004,-1.0999999999999996,1000,,,,,,,,,,,40,53m,0.9,-0.7999999999999998,650,,,,,,,,,,,,,,,,560,44m,2.6,-2.0,380,1,FAIL
19,19,1.5060988797415455,2025-05-29 23:49:02.663368,2025-05-29 23:49:03.148747,0 days 00:00:00.485379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,39m,2.4000000000000004,-1.0999999999999996,650,,,,,,,,,,,30,15m,0.9,-2.0,650,,,,,,,,,,,,,,,,650,56m,3.4000000000000004,-1.9,300,1,COMPLETE
20,20,0.5311794006994367,2025-05-29 23:49:03.148747,2025-05-29 23:49:03.897567,0 days 00:00:00.748820,520.0,38m,3.2,-3.5,500.0,650.0,24m,3.4000000000000004,-3.5,670.0,,,,,,820.0,21m,1.1,-2.7,330.0,,,,,,,,,,,,,,,,230,30m,3.2,-2.7,970,,,,,,,,,,,280,23m,0.6000000000000001,-0.7999999999999998,310,,,,,,,,,,,,,,,,320,32m,2.7,-0.5999999999999996,520,2,COMPLETE
21,21,1.9804733343737733,2025-05-29 23:49:03.897567,2025-05-29 23:49:04.347484,0 days 00:00:00.449917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,38m,2.3000000000000003,-0.6999999999999997,410,,,,,,,,,,,440,33m,2.2,-0.8999999999999999,830,,,,,,,,,,,,,,,,10,42m,2.4000000000000004,-3.5,570,1,COMPLETE
22,22,-0.3747588360266876,2025-05-29 23:49:04.363219,2025-05-29 23:49:05.724807,0 days 00:00:01.361588,480.0,31m,2.4000000000000004,-1.7999999999999998,970.0,30.0,14m,1.7000000000000002,-3.5,1000.0,970.0,56m,3.5,-3.5,1000.0,420.0,57m,1.4000000000000001,-2.3,1000.0,1000.0,3m,3.5,0.0,1000.0,,,,,,,,,,,580,38m,2.4000000000000004,-0.8999999999999999,10,700.0,3m,0.1,-1.9,90.0,30.0,56m,3.5,-3.5,910.0,430,33m,2.3000000000000003,-0.7999999999999998,800,940.0,17m,3.5,0.0,1000.0,930.0,2m,3.5,0.0,230.0,,,,,,580,41m,1.4000000000000001,-3.3,860,4,COMPLETE
23,23,-0.8006951209716408,2025-05-29 23:49:05.740690,2025-05-29 23:49:06.572039,0 days 00:00:00.831349,50.0,21m,3.4000000000000004,-1.9,700.0,180.0,21m,3.4000000000000004,0.0,20.0,,,,,,710.0,33m,1.9000000000000001,-3.5,320.0,,,,,,,,,,,,,,,,890,24m,2.3000000000000003,-1.7999999999999998,420,,,,,,,,,,,620,32m,2.3000000000000003,-2.0,50,,,,,,,,,,,,,,,,40,39m,2.4000000000000004,-2.9,580,2,COMPLETE
24,24,-2.228835196703893,2025-05-29 23:49:06.572039,2025-05-29 23:49:07.094037,0 days 00:00:00.521998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,6m,0.0,-0.5,300,,,,,,,,,,,420,20m,2.2,-2.5,820,,,,,,,,,,,,,,,,440,3m,2.3000000000000003,-0.6999999999999997,1000,1,COMPLETE
25,25,1.188292024344826,2025-05-29 23:49:07.094037,2025-05-29 23:49:08.555804,0 days 00:00:01.461767,1000.0,15m,2.4000000000000004,-3.4,320.0,680.0,20m,1.2000000000000002,-1.4,680.0,570.0,57m,0.7000000000000001,-3.2,790.0,40.0,53m,3.5,-2.8,390.0,980.0,48m,1.2000000000000002,-0.09999999999999964,630.0,,,,,,,,,,,590,20m,3.0,-1.2999999999999998,600,30.0,55m,3.5,-1.2999999999999998,60.0,590.0,42m,0.4,-3.5,250.0,700,6m,2.8000000000000003,-1.7,570,530.0,52m,0.0,-0.19999999999999973,40.0,20.0,3m,1.9000000000000001,0.0,460.0,,,,,,630,12m,1.0,-3.0,290,4,COMPLETE
26,26,,2025-05-29 23:49:08.565992,2025-05-29 23:49:09.082242,0 days 00:00:00.516250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,49m,3.2,-0.2999999999999998,420,,,,,,,,,,,160,26m,3.5,-0.09999999999999964,720,,,,,,,,,,,,,,,,150,25m,3.0,-2.4,470,1,FAIL
27,27,-1.0531196463306292,2025-05-29 23:49:09.082242,2025-05-29 23:49:09.591011,0 days 00:00:00.508769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,49m,3.3000000000000003,-0.2999999999999998,420,,,,,,,,,,,200,26m,1.1,0.0,710,,,,,,,,,,,,,,,,120,42m,3.0,-2.4,450,1,COMPLETE
28,28,,2025-05-29 23:49:09.597654,2025-05-29 23:49:10.071337,0 days 00:00:00.473683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,38m,3.2,-0.6999999999999997,850,,,,,,,,,,,130,59m,0.4,-1.0,880,,,,,,,,,,,,,,,,180,10m,3.1,-1.7,550,1,FAIL
29,29,-0.6249494493865453,2025-05-29 23:49:10.071337,2025-05-29 23:49:10.556900,0 days 00:00:00.485563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,38m,3.1,-0.7999999999999998,810,,,,,,,,,,,190,33m,0.4,-0.3999999999999999,890,,,,,,,,,,,,,,,,140,42m,3.5,-1.5,320,1,COMPLETE
30,30,0.8298401763282074,2025-05-29 23:49:10.567571,2025-05-29 23:49:11.352989,0 days 00:00:00.785418,370.0,57m,1.6,-2.3,810.0,550.0,49m,0.5,-2.6,260.0,,,,,,520.0,45m,1.0,0.0,20.0,,,,,,,,,,,,,,,,200,7m,2.6,-0.19999999999999973,280,,,,,,,,,,,360,2m,1.5,-1.0999999999999996,580,,,,,,,,,,,,,,,,310,15m,3.1,-2.3,570,2,COMPLETE
31,31,1.9804733343737733,2025-05-29 23:49:11.363475,2025-05-29 23:49:11.857088,0 days 00:00:00.493613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,23m,2.1,-0.6999999999999997,470,,,,,,,,,,,570,41m,0.30000000000000004,-0.2999999999999998,750,,,,,,,,,,,,,,,,10,42m,2.5,-1.7,580,1,COMPLETE
32,32,-0.13174042418394322,2025-05-29 23:49:11.857088,2025-05-29 23:49:12.652676,0 days 00:00:00.795588,650.0,3m,0.5,-1.4,560.0,280.0,23m,0.0,-1.5999999999999999,580.0,,,,,,240.0,20m,1.7000000000000002,-2.9,430.0,,,,,,,,,,,,,,,,830,23m,2.1,-1.1999999999999997,460,,,,,,,,,,,560,41m,3.5,-1.0,880,,,,,,,,,,,,,,,,20,18m,2.4000000000000004,-1.7,800,2,COMPLETE
33,33,-2.2104946682006226,2025-05-29 23:49:12.661768,2025-05-29 23:49:13.153112,0 days 00:00:00.491344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,45m,1.4000000000000001,-0.6999999999999997,580,,,,,,,,,,,690,48m,0.8,-0.5999999999999996,740,,,,,,,,,,,,,,,,210,14m,1.7000000000000002,-0.7999999999999998,610,1,COMPLETE
34,34,2.4154697994428407,2025-05-29 23:49:13.153112,2025-05-29 23:49:13.982435,0 days 00:00:00.829323,10.0,51m,1.5,-0.09999999999999964,370.0,700.0,27m,1.1,-2.9,830.0,,,,,,830.0,9m,1.0,-2.0999999999999996,210.0,,,,,,,,,,,,,,,,640,14m,1.0,-2.0999999999999996,350,,,,,,,,,,,550,41m,2.0,-2.3,960,,,,,,,,,,,,,,,,10,21m,2.8000000000000003,-3.5,510,2,COMPLETE
35,35,-1.5938387298077952,2025-05-29 23:49:13.990117,2025-05-29 23:49:14.822558,0 days 00:00:00.832441,30.0,30m,1.5,0.0,300.0,770.0,27m,1.3,-3.1,780.0,,,,,,840.0,28m,0.7000000000000001,-2.0999999999999996,220.0,,,,,,,,,,,,,,,,540,23m,0.9,-2.0,480,,,,,,,,,,,490,41m,2.0,-2.4,1000,,,,,,,,,,,,,,,,70,34m,2.2,-3.1,640,2,COMPLETE
36,36,-0.6920064539913231,2025-05-29 23:49:14.822558,2025-05-29 23:49:15.661298,0 days 00:00:00.838740,380.0,10m,2.3000000000000003,-0.5,380.0,640.0,37m,2.1,-3.0,590.0,,,,,,670.0,46m,1.4000000000000001,-2.4,260.0,,,,,,,,,,,,,,,,640,14m,1.7000000000000002,-2.8,370,,,,,,,,,,,540,5m,1.6,-1.4,840,,,,,,,,,,,,,,,,190,44m,2.9000000000000004,-3.5,660,2,COMPLETE
37,37,0.025303336420638062,2025-05-29 23:49:15.664060,2025-05-29 23:49:16.485130,0 days 00:00:00.821070,610.0,51m,2.9000000000000004,-1.1999999999999997,450.0,440.0,19m,0.5,-2.2,830.0,,,,,,840.0,9m,0.0,-1.5999999999999999,630.0,,,,,,,,,,,,,,,,450,16m,1.0,-2.2,520,,,,,,,,,,,570,22m,2.6,-0.19999999999999973,930,,,,,,,,,,,,,,,,10,21m,1.8,-3.2,480,2,COMPLETE
38,38,-1.5209264037581594,2025-05-29 23:49:16.492164,2025-05-29 23:49:16.993885,0 days 00:00:00.501721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,8m,2.0,-1.5999999999999999,230,,,,,,,,,,,630,49m,1.9000000000000001,-2.0999999999999996,770,,,,,,,,,,,,,,,,310,54m,2.6,-3.5,530,1,COMPLETE
39,39,-3.2495162924978214,2025-05-29 23:49:17.000529,2025-05-29 23:49:17.513400,0 days 00:00:00.512871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,19m,1.5,-1.0999999999999996,370,,,,,,,,,,,420,55m,1.3,-1.5999999999999999,390,,,,,,,,,,,,,,,,100,33m,2.5,-1.5,550,1,COMPLETE
40,40,0.5357327825062189,2025-05-29 23:49:17.519482,2025-05-29 23:49:18.389124,0 days 00:00:00.869642,10.0,51m,1.4000000000000001,-0.6999999999999997,630.0,810.0,27m,1.2000000000000002,-3.1,1000.0,,,,,,600.0,50m,0.9,-3.0,460.0,,,,,,,,,,,,,,,,700,56m,0.5,-1.5,200,,,,,,,,,,,500,13m,2.1,-2.8,930,,,,,,,,,,,,,,,,470,49m,3.1,-1.0999999999999996,360,2,COMPLETE
41,41,0.151656246161225,2025-05-29 23:49:18.398325,2025-05-29 23:49:18.879923,0 days 00:00:00.481598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860,57m,1.8,-2.0,350,,,,,,,,,,,710,11m,2.5,-2.2,700,,,,,,,,,,,,,,,,700,5m,2.8000000000000003,-2.9,710,1,COMPLETE
42,42,-0.5113670041717705,2025-05-29 23:49:18.895766,2025-05-29 23:49:19.717057,0 days 00:00:00.821291,350.0,8m,0.4,-0.3999999999999999,840.0,990.0,29m,0.8,-1.9,370.0,,,,,,770.0,9m,1.8,-0.7999999999999998,30.0,,,,,,,,,,,,,,,,730,28m,1.1,-2.6,440,,,,,,,,,,,360,50m,1.7000000000000002,-1.0,230,,,,,,,,,,,,,,,,930,25m,3.2,-1.7999999999999998,240,2,COMPLETE
43,43,1.3696846033417385,2025-05-29 23:49:19.717057,2025-05-29 23:49:20.914071,0 days 00:00:01.197014,150.0,26m,2.1,-1.4,230.0,710.0,48m,3.1,-1.2999999999999998,560.0,,,,,,900.0,56m,2.2,-2.5,170.0,280.0,40m,2.6,-1.7,740.0,,,,,,,,,,,970,31m,2.1,-0.5,510,660.0,31m,2.1,-3.5,330.0,1000.0,33m,0.9,-0.8999999999999999,720.0,600,1m,0.30000000000000004,-2.6,860,,,,,,,,,,,,,,,,170,23m,1.6,-2.5,610,3,COMPLETE
44,44,0.07189519999846018,2025-05-29 23:49:20.918986,2025-05-29 23:49:21.420947,0 days 00:00:00.501961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,37m,2.6,-1.7999999999999998,270,,,,,,,,,,,750,57m,1.2000000000000002,-1.7999999999999998,550,,,,,,,,,,,,,,,,360,20m,1.3,-1.2999999999999998,460,1,COMPLETE
45,45,0.32738942760880013,2025-05-29 23:49:21.435911,2025-05-29 23:49:22.607714,0 days 00:00:01.171803,860.0,24m,2.7,-2.4,430.0,370.0,2m,2.0,-2.5,910.0,,,,,,420.0,37m,1.4000000000000001,-1.9,310.0,770.0,55m,1.2000000000000002,-3.5,520.0,,,,,,,,,,,920,51m,1.8,-0.5999999999999996,190,240.0,45m,0.1,-2.0,310.0,220.0,4m,2.7,-2.6,290.0,530,10m,0.6000000000000001,-0.5,960,,,,,,,,,,,,,,,,260,47m,2.1,-3.3,790,3,COMPLETE
46,46,,2025-05-29 23:49:22.615746,2025-05-29 23:49:23.125748,0 days 00:00:00.510002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,48m,0.7000000000000001,-1.0,30,,,,,,,,,,,860,56m,2.9000000000000004,-3.2,440,,,,,,,,,,,,,,,,80,58m,1.9000000000000001,-1.0,680,1,FAIL
47,47,-0.5588164218067978,2025-05-29 23:49:23.134752,2025-05-29 23:49:23.579198,0 days 00:00:00.444446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,22m,0.6000000000000001,-2.0999999999999996,630,,,,,,,,,,,820,54m,2.9000000000000004,-3.0,470,,,,,,,,,,,,,,,,70,16m,1.9000000000000001,-0.3999999999999999,680,1,COMPLETE
48,48,-0.8284352186447442,2025-05-29 23:49:23.598611,2025-05-29 23:49:24.859488,0 days 00:00:01.260877,300.0,19m,1.3,-2.0,630.0,580.0,33m,1.5,-3.3,160.0,,,,,,500.0,7m,0.4,-3.2,750.0,220.0,59m,2.7,-2.2,950.0,,,,,,,,,,,780,29m,1.6,-0.2999999999999998,60,980.0,6m,1.5,-2.4,930.0,560.0,11m,1.0,-0.09999999999999964,1000.0,460,38m,1.8,-1.1999999999999997,790,,,,,,,,,,,,,,,,250,8m,0.5,-2.7,750,3,COMPLETE
49,49,-2.3921597751388552,2025-05-29 23:49:24.859488,2025-05-29 23:49:25.385508,0 days 00:00:00.526020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,1m,3.3000000000000003,-0.19999999999999973,550,,,,,,,,,,,150,3m,0.2,-0.2999999999999998,620,,,,,,,,,,,,,,,,90,42m,3.3000000000000003,-1.9,420,1,COMPLETE
50,50,0.027360724691965804,2025-05-29 23:49:25.401903,2025-05-29 23:49:25.854599,0 days 00:00:00.452696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,18m,3.0,-1.0999999999999996,690,,,,,,,,,,,670,31m,0.1,0.0,690,,,,,,,,,,,,,,,,150,52m,2.9000000000000004,-2.2,360,1,COMPLETE
51,51,,2025-05-29 23:49:25.854599,2025-05-29 23:49:26.319112,0 days 00:00:00.464513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,47m,2.8000000000000003,-2.4,340,,,,,,,,,,,370,59m,0.4,-2.2,760,,,,,,,,,,,,,,,,10,51m,2.6,-1.7,500,1,FAIL
52,52,0.7616075065276328,2025-05-29 23:49:26.335203,2025-05-29 23:49:26.808064,0 days 00:00:00.472861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,10m,3.5,-2.4,330,,,,,,,,,,,910,17m,0.4,-1.4,750,,,,,,,,,,,,,,,,10,4m,2.6,-2.0,500,1,COMPLETE
53,53,-1.7506212993088142,2025-05-29 23:49:26.810685,2025-05-29 23:49:27.576165,0 days 00:00:00.765480,120.0,56m,0.6000000000000001,-3.0,210.0,140.0,51m,0.30000000000000004,-2.9,670.0,,,,,,910.0,49m,1.2000000000000002,-1.2999999999999998,110.0,,,,,,,,,,,,,,,,470,52m,2.9000000000000004,-0.8999999999999999,410,,,,,,,,,,,610,45m,0.7000000000000001,-0.19999999999999973,410,,,,,,,,,,,,,,,,60,30m,2.3000000000000003,-1.7,600,2,COMPLETE
54,54,1.800100249670448,2025-05-29 23:49:27.592334,2025-05-29 23:49:28.069468,0 days 00:00:00.477134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,47m,0.30000000000000004,-1.5,780,,,,,,,,,,,100,18m,1.0,-2.3,520,,,,,,,,,,,,,,,,100,45m,2.8000000000000003,-1.2999999999999998,170,1,COMPLETE
