,number,value,datetime_start,datetime_complete,duration,params_ADI_VRSK_beta_win,params_ADI_VRSK_trade_freq,params_ADI_VRSK_z_entry,params_ADI_VRSK_z_exit,params_ADI_VRSK_z_win,params_ADP_EXPE_beta_win,params_ADP_EXPE_trade_freq,params_ADP_EXPE_z_entry,params_ADP_EXPE_z_exit,params_ADP_EXPE_z_win,params_AMAT_HOLX_beta_win,params_AMAT_HOLX_trade_freq,params_AMAT_HOLX_z_entry,params_AMAT_HOLX_z_exit,params_AMAT_HOLX_z_win,params_AMZN_IDXX_beta_win,params_AMZN_IDXX_trade_freq,params_AMZN_IDXX_z_entry,params_AMZN_IDXX_z_exit,params_AMZN_IDXX_z_win,params_ATVI_EA_beta_win,params_ATVI_EA_trade_freq,params_ATVI_EA_z_entry,params_ATVI_EA_z_exit,params_ATVI_EA_z_win,params_BIIB_MXIM_beta_win,params_BIIB_MXIM_trade_freq,params_BIIB_MXIM_z_entry,params_BIIB_MXIM_z_exit,params_BIIB_MXIM_z_win,params_CELG_HOLX_beta_win,params_CELG_HOLX_trade_freq,params_CELG_HOLX_z_entry,params_CELG_HOLX_z_exit,params_CELG_HOLX_z_win,params_HOLX_MELI_beta_win,params_HOLX_MELI_trade_freq,params_HOLX_MELI_z_entry,params_HOLX_MELI_z_exit,params_HOLX_MELI_z_win,params_NFLX_BMRN_beta_win,params_NFLX_BMRN_trade_freq,params_NFLX_BMRN_z_entry,params_NFLX_BMRN_z_exit,params_NFLX_BMRN_z_win,params_PAYX_EXPE_beta_win,params_PAYX_EXPE_trade_freq,params_PAYX_EXPE_z_entry,params_PAYX_EXPE_z_exit,params_PAYX_EXPE_z_win,params_TSLA_ATVI_beta_win,params_TSLA_ATVI_trade_freq,params_TSLA_ATVI_z_entry,params_TSLA_ATVI_z_exit,params_TSLA_ATVI_z_win,params_TSLA_EA_beta_win,params_TSLA_EA_trade_freq,params_TSLA_EA_z_entry,params_TSLA_EA_z_exit,params_TSLA_EA_z_win,params_TSLA_TTWO_beta_win,params_TSLA_TTWO_trade_freq,params_TSLA_TTWO_z_entry,params_TSLA_TTWO_z_exit,params_TSLA_TTWO_z_win,params_VOD_HOLX_beta_win,params_VOD_HOLX_trade_freq,params_VOD_HOLX_z_entry,params_VOD_HOLX_z_exit,params_VOD_HOLX_z_win,params_WDC_HSIC_beta_win,params_WDC_HSIC_trade_freq,params_WDC_HSIC_z_entry,params_WDC_HSIC_z_exit,params_WDC_HSIC_z_win,params_pairs_to_trade,state
10,10,0.43117442144056595,2025-05-29 23:25:04.141284,2025-05-29 23:25:04.608296,0 days 00:00:00.467012,,,,,,490.0,53m,1.7000000000000002,-0.7999999999999998,890.0,,,,,,,,,,,20.0,45m,2.6,-0.5999999999999996,90.0,,,,,,,,,,,180.0,43m,2.4000000000000004,-0.09999999999999964,120.0,260,22m,0.0,-3.5,550,550,22m,0.30000000000000004,-3.3,910,,,,,,,,,,,,,,,,650,39m,1.8,-3.2,640,,,,,,2,COMPLETE
11,11,-2.630347330895385,2025-05-29 23:25:04.612304,2025-05-29 23:25:04.897339,0 days 00:00:00.285035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,1m,3.3000000000000003,-0.09999999999999964,860,60,5m,2.5,0.0,470,,,,,,,,,,,,,,,,260,18m,1.8,-0.6999999999999997,830,,,,,,1,COMPLETE
12,12,-0.5484025821512122,2025-05-29 23:25:04.903334,2025-05-29 23:25:05.268059,0 days 00:00:00.364725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,22m,0.8,-2.3,390,250,21m,3.4000000000000004,-0.7999999999999998,720,,,,,,,,,,,,,,,,330,20m,3.0,0.0,1000,,,,,,1,COMPLETE
13,13,1.4552192065381881,2025-05-29 23:25:05.273060,2025-05-29 23:25:06.372458,0 days 00:00:01.099398,,,,,,10.0,44m,2.8000000000000003,-2.0999999999999996,50.0,20.0,11m,3.2,-3.2,790.0,110.0,51m,0.0,-0.19999999999999973,460.0,300.0,14m,3.5,-2.7,960.0,360.0,4m,3.2,-0.09999999999999964,910.0,,,,,,500.0,22m,3.4000000000000004,-1.7999999999999998,240.0,330,31m,0.0,-2.4,400,370,4m,1.0,-2.4,740,,,,,,990.0,14m,1.9000000000000001,0.0,570.0,960.0,50m,0.8,-3.5,30.0,950,36m,2.4000000000000004,-2.6,570,900.0,33m,0.2,-1.7,50.0,4,COMPLETE
14,14,-0.11475940041229278,2025-05-29 23:25:06.380461,2025-05-29 23:25:07.615129,0 days 00:00:01.234668,,,,,,310.0,35m,1.9000000000000001,-3.5,10.0,540.0,24m,1.1,-2.6,280.0,20.0,2m,0.0,-3.4,1000.0,260.0,29m,1.5,-2.5,400.0,540.0,6m,2.5,-3.4,370.0,,,,,,510.0,55m,1.7000000000000002,-3.4,290.0,380,30m,0.5,-2.3,970,400,3m,2.0,-2.5,790,,,,,,60.0,50m,3.0,-2.0,610.0,700.0,26m,3.5,-3.5,20.0,390,48m,3.5,-1.4,410,710.0,8m,0.1,-1.5999999999999999,270.0,4,COMPLETE
15,15,2.2565238086662514,2025-05-29 23:25:07.622132,2025-05-29 23:25:08.285504,0 days 00:00:00.663372,,,,,,300.0,35m,1.0,-1.5999999999999999,340.0,,,,,,,,,,,760.0,14m,3.5,-2.0999999999999996,990.0,,,,,,,,,,,760.0,15m,3.4000000000000004,-1.0999999999999996,610.0,90,33m,0.5,-0.7999999999999998,210,580,56m,0.9,-0.7999999999999998,880,,,,,,,,,,,,,,,,150,12m,2.3000000000000003,-2.7,390,,,,,,2,COMPLETE
16,16,0.41712147909379554,2025-05-29 23:25:08.292516,2025-05-29 23:25:08.967419,0 days 00:00:00.674903,,,,,,410.0,24m,0.8,-1.7,400.0,,,,,,,,,,,820.0,24m,1.7000000000000002,-3.5,730.0,,,,,,,,,,,650.0,15m,3.3000000000000003,-1.0999999999999996,650.0,30,6m,1.2000000000000002,-0.6999999999999997,500,630,56m,0.9,-0.7999999999999998,630,,,,,,,,,,,,,,,,60,12m,2.4000000000000004,-2.7,330,,,,,,2,COMPLETE
17,17,1.4598990973836812,2025-05-29 23:25:08.974422,2025-05-29 23:25:09.621305,0 days 00:00:00.646883,,,,,,630.0,35m,0.6000000000000001,-2.3,580.0,,,,,,,,,,,800.0,59m,3.5,-2.0999999999999996,470.0,,,,,,,,,,,320.0,25m,0.9,-1.1999999999999997,580.0,190,33m,0.5,-0.6999999999999997,230,230,48m,2.1,-0.7999999999999998,10,,,,,,,,,,,,,,,,240,31m,1.1,0.0,690,,,,,,2,COMPLETE
18,18,-3.3999742604228764,2025-05-29 23:25:09.625300,2025-05-29 23:25:10.025588,0 days 00:00:00.400288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,4m,2.7,-0.6999999999999997,370,640,55m,0.0,-0.3999999999999999,870,,,,,,,,,,,,,,,,490,52m,2.4000000000000004,-1.7999999999999998,10,,,,,,1,COMPLETE
19,19,-3.689727224706765,2025-05-29 23:25:10.031585,2025-05-29 23:25:10.697865,0 days 00:00:00.666280,,,,,,350.0,55m,1.3,-1.4,330.0,,,,,,,,,,,870.0,10m,2.0,-2.0999999999999996,1000.0,,,,,,,,,,,670.0,2m,1.9000000000000001,-1.1999999999999997,750.0,680,46m,0.6000000000000001,-1.7999999999999998,530,500,15m,1.4000000000000001,-1.0999999999999996,610,,,,,,,,,,,,,,,,180,2m,0.0,-2.9,450,,,,,,2,COMPLETE
