,number,value,datetime_start,datetime_complete,duration,params_ADI_VRSK_beta_win,params_ADI_VRSK_trade_freq,params_ADI_VRSK_z_entry,params_ADI_VRSK_z_exit,params_ADI_VRSK_z_win,params_ADP_EXPE_beta_win,params_ADP_EXPE_trade_freq,params_ADP_EXPE_z_entry,params_ADP_EXPE_z_exit,params_ADP_EXPE_z_win,params_AMAT_HOLX_beta_win,params_AMAT_HOLX_trade_freq,params_AMAT_HOLX_z_entry,params_AMAT_HOLX_z_exit,params_AMAT_HOLX_z_win,params_AMZN_IDXX_beta_win,params_AMZN_IDXX_trade_freq,params_AMZN_IDXX_z_entry,params_AMZN_IDXX_z_exit,params_AMZN_IDXX_z_win,params_ATVI_EA_beta_win,params_ATVI_EA_trade_freq,params_ATVI_EA_z_entry,params_ATVI_EA_z_exit,params_ATVI_EA_z_win,params_BIIB_MXIM_beta_win,params_BIIB_MXIM_trade_freq,params_BIIB_MXIM_z_entry,params_BIIB_MXIM_z_exit,params_BIIB_MXIM_z_win,params_CELG_HOLX_beta_win,params_CELG_HOLX_trade_freq,params_CELG_HOLX_z_entry,params_CELG_HOLX_z_exit,params_CELG_HOLX_z_win,params_HOLX_MELI_beta_win,params_HOLX_MELI_trade_freq,params_HOLX_MELI_z_entry,params_HOLX_MELI_z_exit,params_HOLX_MELI_z_win,params_NFLX_BMRN_beta_win,params_NFLX_BMRN_trade_freq,params_NFLX_BMRN_z_entry,params_NFLX_BMRN_z_exit,params_NFLX_BMRN_z_win,params_PAYX_EXPE_beta_win,params_PAYX_EXPE_trade_freq,params_PAYX_EXPE_z_entry,params_PAYX_EXPE_z_exit,params_PAYX_EXPE_z_win,params_TSLA_ATVI_beta_win,params_TSLA_ATVI_trade_freq,params_TSLA_ATVI_z_entry,params_TSLA_ATVI_z_exit,params_TSLA_ATVI_z_win,params_TSLA_EA_beta_win,params_TSLA_EA_trade_freq,params_TSLA_EA_z_entry,params_TSLA_EA_z_exit,params_TSLA_EA_z_win,params_TSLA_TTWO_beta_win,params_TSLA_TTWO_trade_freq,params_TSLA_TTWO_z_entry,params_TSLA_TTWO_z_exit,params_TSLA_TTWO_z_win,params_VOD_HOLX_beta_win,params_VOD_HOLX_trade_freq,params_VOD_HOLX_z_entry,params_VOD_HOLX_z_exit,params_VOD_HOLX_z_win,params_WDC_HSIC_beta_win,params_WDC_HSIC_trade_freq,params_WDC_HSIC_z_entry,params_WDC_HSIC_z_exit,params_WDC_HSIC_z_win,params_pairs_to_trade,state
37,37,-0.8429020200665847,2025-05-29 23:25:23.772598,2025-05-29 23:25:24.420709,0 days 00:00:00.648111,,,,,,420.0,36m,0.8,-1.5,80.0,,,,,,,,,,,860.0,5m,0.7000000000000001,-1.5,650.0,,,,,,,,,,,600.0,49m,2.2,-2.0,350.0,10,44m,0.30000000000000004,-1.2999999999999998,470,610,47m,1.6,-1.1999999999999997,670,,,,,,,,,,,,,,,,720,5m,2.6,-2.4,550,,,,,,2,COMPLETE
38,38,-2.554621060284883,2025-05-29 23:25:24.425751,2025-05-29 23:25:24.816809,0 days 00:00:00.391058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970,40m,0.8,0.0,560,700,8m,1.1,-0.8999999999999999,560,,,,,,,,,,,,,,,,890,16m,1.6,-2.9,410,,,,,,1,COMPLETE
39,39,-5.288051475798567,2025-05-29 23:25:24.822820,2025-05-29 23:25:26.213168,0 days 00:00:01.390348,990.0,2m,0.2,-0.09999999999999964,40.0,550.0,26m,1.5,-2.9,500.0,340.0,4m,2.5,-2.4,530.0,470.0,11m,2.4000000000000004,-3.1,370.0,500.0,7m,2.3000000000000003,-1.9,770.0,680.0,30m,0.0,-1.0,320.0,10.0,30m,3.5,0.0,100.0,240.0,45m,2.5,-2.4,810.0,220,32m,0.2,-0.2999999999999998,730,480,28m,0.6000000000000001,-1.4,410,100.0,44m,0.0,-0.09999999999999964,990.0,720.0,20m,1.3,-1.5999999999999999,450.0,10.0,55m,0.0,-2.0999999999999996,320.0,640,9m,2.1,-2.5,620,40.0,25m,3.5,-2.2,590.0,5,COMPLETE
40,40,-2.4562955624728344,2025-05-29 23:25:26.220191,2025-05-29 23:25:27.222364,0 days 00:00:01.002173,,,,,,60.0,25m,2.3000000000000003,-1.9,190.0,,,,,,700.0,34m,3.0,-0.8999999999999999,640.0,930.0,25m,2.3000000000000003,-2.3,530.0,,,,,,,,,,,470.0,44m,3.2,-1.4,970.0,120,56m,1.0,-2.0999999999999996,140,810,45m,2.7,-0.19999999999999973,300,,,,,,910.0,51m,1.4000000000000001,-2.2,890.0,,,,,,560,21m,3.0,-0.2999999999999998,180,610.0,2m,0.5,-3.2,130.0,3,COMPLETE
41,41,-4.286395376218303,2025-05-29 23:25:27.228361,2025-05-29 23:25:27.934542,0 days 00:00:00.706181,,,,,,460.0,20m,3.2,-1.0999999999999996,680.0,,,,,,,,,,,640.0,58m,0.4,-2.8,830.0,,,,,,,,,,,350.0,3m,0.0,-1.0,450.0,430,36m,0.4,-1.0999999999999996,660,750,10m,1.9000000000000001,-1.5999999999999999,950,,,,,,,,,,,,,,,,1000,58m,1.2000000000000002,-2.2,540,,,,,,2,COMPLETE
42,42,-0.10430341038260178,2025-05-29 23:25:27.941545,2025-05-29 23:25:28.655251,0 days 00:00:00.713706,,,,,,700.0,57m,0.30000000000000004,-0.5999999999999996,390.0,,,,,,,,,,,400.0,52m,1.8,-1.4,700.0,,,,,,,,,,,990.0,52m,2.8000000000000003,0.0,380.0,70,47m,0.0,-2.8,350,960,57m,1.4000000000000001,-0.5999999999999996,550,,,,,,,,,,,,,,,,670,10m,1.7000000000000002,-1.9,440,,,,,,2,COMPLETE
43,43,1.416090559842723,2025-05-29 23:25:28.659247,2025-05-29 23:25:29.611148,0 days 00:00:00.951901,,,,,,100.0,6m,1.0,-2.7,260.0,,,,,,990.0,26m,0.5,-2.3,150.0,740.0,50m,0.2,-1.0999999999999996,640.0,,,,,,,,,,,720.0,53m,1.9000000000000001,-0.6999999999999997,550.0,500,34m,1.9000000000000001,-1.5999999999999999,20,510,7m,0.7000000000000001,-0.2999999999999998,170,,,,,,190.0,53m,1.6,-1.1999999999999997,1000.0,,,,,,750,28m,1.9000000000000001,-3.1,720,170.0,15m,1.4000000000000001,-2.0,750.0,3,COMPLETE
44,44,1.778308785818928,2025-05-29 23:25:29.617168,2025-05-29 23:25:30.270037,0 days 00:00:00.652869,,,,,,320.0,13m,0.9,-1.5999999999999999,380.0,,,,,,,,,,,780.0,34m,3.2,-1.9,930.0,,,,,,,,,,,850.0,18m,3.5,-1.2999999999999998,650.0,90,33m,0.6000000000000001,-0.7999999999999998,220,550,49m,0.9,-0.7999999999999998,880,,,,,,,,,,,,,,,,360,57m,2.4000000000000004,-2.7,370,,,,,,2,COMPLETE
45,45,5.0309185703319095,2025-05-29 23:25:30.275034,2025-05-29 23:25:30.656819,0 days 00:00:00.381785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,35m,0.2,-0.19999999999999973,200,580,18m,0.0,-0.6999999999999997,750,,,,,,,,,,,,,,,,470,13m,2.2,-2.8,290,,,,,,1,COMPLETE
46,46,-0.9224252525175121,2025-05-29 23:25:30.659835,2025-05-29 23:25:31.035487,0 days 00:00:00.375652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,35m,0.1,-0.19999999999999973,270,670,18m,0.0,0.0,740,,,,,,,,,,,,,,,,490,13m,2.2,-2.5,190,,,,,,1,COMPLETE
47,47,-2.424604077566593,2025-05-29 23:25:31.039505,2025-05-29 23:25:31.438026,0 days 00:00:00.398521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,25m,2.2,0.0,170,600,1m,0.5,-1.0,790,,,,,,,,,,,,,,,,450,23m,1.8,-3.0,290,,,,,,1,COMPLETE
48,48,,2025-05-29 23:25:31.441026,2025-05-29 23:25:31.822053,0 days 00:00:00.381027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,55m,0.0,-0.3999999999999999,420,430,25m,0.1,-2.8,650,,,,,,,,,,,,,,,,590,25m,2.6,-2.7,90,,,,,,1,FAIL
49,49,,2025-05-29 23:25:31.827038,2025-05-29 23:25:32.218033,0 days 00:00:00.390995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,15m,3.5,-0.5999999999999996,410,450,41m,0.30000000000000004,-0.5999999999999996,510,,,,,,,,,,,,,,,,580,47m,2.6,-3.3,80,,,,,,1,FAIL
50,50,-2.819671492691647,2025-05-29 23:25:32.223032,2025-05-29 23:25:32.594606,0 days 00:00:00.371574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,42m,0.0,-0.5999999999999996,430,460,13m,0.2,-2.9,660,,,,,,,,,,,,,,,,590,45m,2.6,-3.3,450,,,,,,1,COMPLETE
51,51,,2025-05-29 23:25:32.598606,2025-05-29 23:25:32.966245,0 days 00:00:00.367639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,38m,0.9,-0.19999999999999973,340,400,58m,0.2,-0.6999999999999997,500,,,,,,,,,,,,,,,,700,26m,2.0,-0.7999999999999998,350,,,,,,1,FAIL
52,52,0.548153363114791,2025-05-29 23:25:32.972257,2025-05-29 23:25:33.370045,0 days 00:00:00.397788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,5m,0.9,-0.19999999999999973,320,350,40m,0.2,-0.6999999999999997,510,,,,,,,,,,,,,,,,700,50m,2.0,-2.6,80,,,,,,1,COMPLETE
53,53,-2.62177106367384,2025-05-29 23:25:33.374059,2025-05-29 23:25:34.633451,0 days 00:00:01.259392,,,,,,180.0,50m,2.5,-3.0,160.0,730.0,50m,1.0,0.0,980.0,370.0,1m,3.1,-1.7,790.0,600.0,33m,2.8000000000000003,-2.3,710.0,720.0,21m,2.4000000000000004,-3.4,780.0,,,,,,910.0,32m,1.5,-0.2999999999999998,210.0,220,24m,3.5,-0.3999999999999999,170,420,19m,0.2,-1.1999999999999997,750,,,,,,550.0,1m,0.8,-3.1,530.0,730.0,6m,1.6,-1.0,690.0,630,22m,2.9000000000000004,-2.8,530,360.0,16m,1.9000000000000001,-1.4,380.0,4,COMPLETE
54,54,1.1418933392313102,2025-05-29 23:25:34.638467,2025-05-29 23:25:35.355179,0 days 00:00:00.716712,,,,,,960.0,56m,0.2,-0.7999999999999998,810.0,,,,,,,,,,,1000.0,36m,0.6000000000000001,0.0,860.0,,,,,,,,,,,580.0,28m,1.0,-2.2,840.0,590,39m,0.4,-1.2999999999999998,90,650,37m,2.1,-0.19999999999999973,920,,,,,,,,,,,,,,,,280,19m,1.4000000000000001,-0.6999999999999997,360,,,,,,2,COMPLETE
55,55,-0.6889717516652214,2025-05-29 23:25:35.360191,2025-05-29 23:25:36.298560,0 days 00:00:00.938369,,,,,,880.0,30m,1.4000000000000001,-2.4,70.0,,,,,,190.0,3m,1.6,-3.2,320.0,690.0,3m,1.1,-0.7999999999999998,400.0,,,,,,,,,,,260.0,30m,2.3000000000000003,-1.5999999999999999,910.0,720,59m,2.9000000000000004,-0.8999999999999999,250,290,38m,1.5,-0.3999999999999999,830,,,,,,870.0,24m,3.5,-0.5,380.0,,,,,,410,1m,2.5,-2.3,590,1000.0,18m,3.0,-2.6,140.0,3,COMPLETE
56,56,-0.09962445846428705,2025-05-29 23:25:36.303555,2025-05-29 23:25:36.709060,0 days 00:00:00.405505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,58m,0.7000000000000001,-2.0,390,570,41m,1.1,-1.7999999999999998,450,,,,,,,,,,,,,,,,490,6m,2.2,-1.5999999999999999,810,,,,,,1,COMPLETE
57,57,4.154390082778287,2025-05-29 23:25:36.713060,2025-05-29 23:25:37.427448,0 days 00:00:00.714388,,,,,,270.0,54m,0.6000000000000001,-1.7999999999999998,320.0,,,,,,,,,,,850.0,6m,3.4000000000000004,-2.0,790.0,,,,,,,,,,,790.0,33m,3.3000000000000003,-0.8999999999999999,580.0,90,49m,0.5,-0.5999999999999996,230,600,12m,0.8,-0.8999999999999999,860,,,,,,,,,,,,,,,,20,7m,2.2,-2.7,380,,,,,,2,COMPLETE
58,58,0.4884934288191081,2025-05-29 23:25:37.432468,2025-05-29 23:25:38.128610,0 days 00:00:00.696142,,,,,,180.0,54m,0.6000000000000001,-1.9,280.0,,,,,,,,,,,950.0,26m,3.3000000000000003,-1.5999999999999999,810.0,,,,,,,,,,,830.0,14m,2.8000000000000003,-0.8999999999999999,460.0,130,45m,0.2,-0.5,190,520,12m,0.8,-2.0999999999999996,760,,,,,,,,,,,,,,,,570,37m,1.7000000000000002,-2.5,290,,,,,,2,COMPLETE
59,59,1.0799745178715623,2025-05-29 23:25:38.133619,2025-05-29 23:25:38.809414,0 days 00:00:00.675795,,,,,,260.0,19m,2.1,-1.4,170.0,,,,,,,,,,,850.0,6m,2.9000000000000004,-2.6,760.0,,,,,,,,,,,900.0,33m,2.6,-0.5999999999999996,690.0,190,49m,0.4,-0.19999999999999973,330,600,2m,0.0,-0.8999999999999999,860,,,,,,,,,,,,,,,,200,35m,2.3000000000000003,-2.8,220,,,,,,2,COMPLETE
60,60,1.2867391172634124,2025-05-29 23:25:38.813415,2025-05-29 23:25:39.489128,0 days 00:00:00.675713,,,,,,390.0,2m,0.5,-1.0,540.0,,,,,,,,,,,890.0,16m,2.5,-1.9,600.0,,,,,,,,,,,800.0,36m,3.2,-3.2,560.0,100,38m,0.6000000000000001,-0.5999999999999996,140,630,17m,0.4,-0.6999999999999997,660,,,,,,,,,,,,,,,,60,53m,2.0,-3.1,430,,,,,,2,COMPLETE
61,61,0.6595089535740717,2025-05-29 23:25:39.494136,2025-05-29 23:25:40.457407,0 days 00:00:00.963271,,,,,,520.0,33m,3.0,-0.09999999999999964,210.0,,,,,,810.0,25m,0.5,-2.5,50.0,820.0,51m,3.2,-1.2999999999999998,700.0,,,,,,,,,,,710.0,24m,3.0,-0.19999999999999973,760.0,60,12m,0.1,-0.7999999999999998,500,580,33m,2.5,-0.5,950,,,,,,380.0,48m,2.9000000000000004,-2.3,190.0,,,,,,360,42m,1.9000000000000001,-2.2,360,550.0,50m,2.7,-0.5999999999999996,870.0,3,COMPLETE
62,62,-0.6249555022311734,2025-05-29 23:25:40.463402,2025-05-29 23:25:40.880772,0 days 00:00:00.417370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,22m,0.4,-0.09999999999999964,410,400,6m,1.0,-1.0,820,,,,,,,,,,,,,,,,20,7m,2.3000000000000003,-2.7,940,,,,,,1,COMPLETE
63,63,1.8821364238327538,2025-05-29 23:25:40.884764,2025-05-29 23:25:41.588506,0 days 00:00:00.703742,,,,,,690.0,23m,1.7000000000000002,-2.0999999999999996,10.0,,,,,,,,,,,1000.0,49m,3.3000000000000003,-2.3,560.0,,,,,,,,,,,460.0,51m,2.4000000000000004,-2.7,660.0,300,14m,0.1,-1.0,570,510,25m,1.8,-1.1999999999999997,720,,,,,,,,,,,,,,,,110,34m,2.1,-1.9,480,,,,,,2,COMPLETE
64,64,-1.0303283242753634,2025-05-29 23:25:41.594177,2025-05-29 23:25:42.281832,0 days 00:00:00.687655,,,,,,270.0,5m,0.0,-1.7999999999999998,130.0,,,,,,,,,,,810.0,47m,3.5,-2.0,900.0,,,,,,,,,,,940.0,8m,3.3000000000000003,-1.9,590.0,20,26m,0.6000000000000001,-0.3999999999999999,70,780,58m,3.5,-0.6999999999999997,600,,,,,,,,,,,,,,,,520,55m,2.5,-3.5,510,,,,,,2,COMPLETE
65,65,3.2233356601842957,2025-05-29 23:25:42.287821,2025-05-29 23:25:43.290420,0 days 00:00:01.002599,,,,,,450.0,16m,1.1,-2.8,360.0,,,,,,560.0,48m,2.7,-0.6999999999999997,180.0,690.0,24m,2.6,-1.7,620.0,,,,,,,,,,,720.0,13m,1.8,-0.8999999999999999,470.0,240,9m,1.3,-0.5999999999999996,820,140,54m,3.1,-1.4,900,,,,,,710.0,7m,2.3000000000000003,-1.7999999999999998,660.0,,,,,,300,56m,2.8000000000000003,-1.2999999999999998,310,730.0,6m,1.0,-1.9,640.0,3,COMPLETE
66,66,3.7679898565709347,2025-05-29 23:25:43.294973,2025-05-29 23:25:44.300287,0 days 00:00:01.005314,,,,,,450.0,16m,1.1,-0.8999999999999999,440.0,,,,,,540.0,48m,2.7,-0.5999999999999996,230.0,660.0,24m,2.6,-1.7,490.0,,,,,,,,,,,810.0,39m,1.8,-0.8999999999999999,490.0,240,9m,1.5,-0.5999999999999996,290,150,46m,3.3000000000000003,-1.4,980,,,,,,670.0,7m,2.2,-1.7999999999999998,810.0,,,,,,270,56m,3.3000000000000003,-1.2999999999999998,110,750.0,6m,1.1,-1.9,650.0,3,COMPLETE
67,67,3.654603627077452,2025-05-29 23:25:44.305290,2025-05-29 23:25:45.289046,0 days 00:00:00.983756,,,,,,490.0,16m,1.0,-0.7999999999999998,450.0,,,,,,560.0,48m,2.7,-0.5,170.0,670.0,24m,2.4000000000000004,-1.1999999999999997,450.0,,,,,,,,,,,790.0,42m,1.7000000000000002,-0.8999999999999999,490.0,240,9m,1.5,-0.5999999999999996,250,130,54m,3.2,-1.4,990,,,,,,700.0,7m,2.3000000000000003,-1.7999999999999998,800.0,,,,,,290,14m,3.3000000000000003,-1.1999999999999997,90,740.0,6m,1.0,-1.7999999999999998,670.0,3,COMPLETE
68,68,3.2041466395579055,2025-05-29 23:25:45.293613,2025-05-29 23:25:46.268954,0 days 00:00:00.975341,,,,,,470.0,11m,1.1,-0.5999999999999996,470.0,,,,,,530.0,31m,2.7,-0.5,180.0,670.0,24m,2.5,-1.1999999999999997,480.0,,,,,,,,,,,730.0,13m,1.7000000000000002,-0.5999999999999996,460.0,230,9m,1.6,-0.6999999999999997,250,150,54m,3.1,-1.4,970,,,,,,710.0,7m,2.3000000000000003,-1.7999999999999998,810.0,,,,,,220,14m,3.4000000000000004,-1.1999999999999997,90,760.0,6m,1.0,-1.9,670.0,3,COMPLETE
69,69,5.060183337658525,2025-05-29 23:25:46.273960,2025-05-29 23:25:47.297448,0 days 00:00:01.023488,,,,,,560.0,16m,1.2000000000000002,-0.2999999999999998,380.0,,,,,,610.0,48m,2.3000000000000003,-0.5999999999999996,120.0,160.0,24m,2.1,-0.7999999999999998,440.0,,,,,,,,,,,870.0,39m,1.2000000000000002,-1.1999999999999997,410.0,180,9m,1.4000000000000001,-0.2999999999999998,360,70,50m,3.3000000000000003,-1.7,900,,,,,,640.0,7m,2.7,-1.5999999999999999,720.0,,,,,,290,56m,3.3000000000000003,-1.4,10,730.0,6m,1.3,-1.5999999999999999,550.0,3,COMPLETE
70,70,-2.5753826824985055,2025-05-29 23:25:47.306380,2025-05-29 23:25:48.581043,0 days 00:00:01.274663,,,,,,580.0,16m,1.3,-0.2999999999999998,310.0,360.0,14m,1.1,-2.3,40.0,640.0,48m,2.3000000000000003,-0.2999999999999998,90.0,20.0,27m,2.1,-0.7999999999999998,300.0,160.0,15m,2.5,-1.0,240.0,,,,,,880.0,39m,0.8,-1.1999999999999997,390.0,180,8m,1.5,-0.2999999999999998,360,40,50m,2.9000000000000004,-2.2,1000,,,,,,590.0,7m,2.8000000000000003,-1.5,860.0,380.0,9m,2.6,-2.5,1000.0,120,56m,3.2,-0.8999999999999999,10,820.0,42m,1.4000000000000001,-1.5,560.0,4,COMPLETE
71,71,-0.9590683084729699,2025-05-29 23:25:48.591061,2025-05-29 23:25:49.549459,0 days 00:00:00.958398,,,,,,530.0,16m,1.7000000000000002,-0.5,580.0,,,,,,450.0,48m,2.1,-0.8999999999999999,290.0,520.0,9m,1.9000000000000001,-0.19999999999999973,410.0,,,,,,,,,,,810.0,39m,1.2000000000000002,-1.7,420.0,140,9m,1.9000000000000001,-0.09999999999999964,240,100,46m,3.5,-1.7,930,,,,,,480.0,34m,1.7000000000000002,-2.0999999999999996,720.0,,,,,,160,3m,3.3000000000000003,-1.5,60,540.0,6m,0.5,-1.0999999999999996,500.0,3,COMPLETE
72,72,-0.4052309662280952,2025-05-29 23:25:49.556455,2025-05-29 23:25:50.536114,0 days 00:00:00.979659,,,,,,770.0,21m,0.9,-0.8999999999999999,490.0,,,,,,580.0,41m,3.2,-0.3999999999999999,10.0,100.0,4m,1.6,-0.8999999999999999,440.0,,,,,,,,,,,940.0,26m,1.6,-1.2999999999999998,300.0,270,15m,1.2000000000000002,0.0,200,210,31m,3.3000000000000003,-1.9,860,,,,,,640.0,11m,2.6,-1.5999999999999999,770.0,,,,,,250,25m,3.5,-1.0,120,690.0,31m,1.2000000000000002,-1.7,420.0,3,COMPLETE
73,73,4.206621210275194,2025-05-29 23:25:50.542119,2025-05-29 23:25:51.793750,0 days 00:00:01.251631,,,,,,670.0,7m,0.5,-0.19999999999999973,420.0,760.0,53m,2.7,-1.0999999999999996,720.0,390.0,29m,2.5,0.0,200.0,170.0,21m,2.2,-0.3999999999999999,310.0,270.0,17m,0.7000000000000001,-2.8,490.0,,,,,,620.0,17m,2.0,-1.0999999999999996,350.0,390,27m,1.4000000000000001,-0.2999999999999998,120,70,20m,3.3000000000000003,-1.5,890,,,,,,540.0,10m,3.1,-2.5,940.0,810.0,21m,1.6,-0.7999999999999998,240.0,350,43m,3.2,-1.2999999999999998,50,480.0,21m,0.8,-2.4,740.0,4,COMPLETE
74,74,-1.5252242738662463,2025-05-29 23:25:51.800296,2025-05-29 23:25:53.086019,0 days 00:00:01.285723,,,,,,640.0,32m,0.6000000000000001,0.0,430.0,780.0,53m,2.8000000000000003,-1.1999999999999997,750.0,380.0,42m,2.0,0.0,110.0,170.0,21m,2.3000000000000003,-0.5,330.0,260.0,17m,0.7000000000000001,-2.8,490.0,,,,,,630.0,34m,1.1,-1.0999999999999996,260.0,340,51m,1.7000000000000002,-0.2999999999999998,110,90,20m,3.3000000000000003,-1.5999999999999999,970,,,,,,560.0,10m,3.2,-2.6,850.0,810.0,21m,1.5,-0.6999999999999997,240.0,360,43m,3.2,-1.4,50,480.0,21m,0.8,-2.6,880.0,4,COMPLETE
75,75,,2025-05-29 23:25:53.093021,2025-05-29 23:25:54.406807,0 days 00:00:01.313786,,,,,,500.0,31m,0.4,-0.2999999999999998,530.0,560.0,57m,1.9000000000000001,-0.7999999999999998,780.0,420.0,29m,2.4000000000000004,-0.8999999999999999,430.0,330.0,18m,2.2,-0.3999999999999999,230.0,600.0,33m,1.7000000000000002,-1.7,750.0,,,,,,540.0,46m,0.5,-0.7999999999999998,340.0,390,54m,1.4000000000000001,-1.9,40,20,24m,3.3000000000000003,-1.2999999999999998,920,,,,,,500.0,19m,3.2,-1.1999999999999997,730.0,530.0,30m,0.9,-1.1999999999999997,220.0,320,40m,3.1,-1.7,140,790.0,34m,0.5,-2.4,720.0,4,FAIL
76,76,3.152008974201916,2025-05-29 23:25:54.412812,2025-05-29 23:25:55.681558,0 days 00:00:01.268746,,,,,,360.0,7m,0.4,-0.2999999999999998,540.0,560.0,36m,1.8,-0.8999999999999999,820.0,430.0,17m,2.3000000000000003,-0.7999999999999998,390.0,220.0,35m,2.2,-0.5999999999999996,230.0,480.0,53m,1.8,-1.9,760.0,,,,,,550.0,9m,0.8,-0.7999999999999998,370.0,380,18m,1.4000000000000001,-2.2,40,10,23m,3.3000000000000003,-1.5,900,,,,,,520.0,26m,3.2,-1.2999999999999998,940.0,550.0,45m,2.9000000000000004,-1.0,210.0,330,40m,3.1,-1.1999999999999997,130,800.0,20m,0.5,-2.3,720.0,4,COMPLETE
77,77,2.8454794327516018,2025-05-29 23:25:55.689599,2025-05-29 23:25:57.142711,0 days 00:00:01.453112,30.0,42m,3.2,-3.4,160.0,660.0,9m,0.7000000000000001,-0.2999999999999998,340.0,990.0,34m,3.0,-1.9,440.0,680.0,28m,2.5,-1.1999999999999997,450.0,290.0,15m,1.4000000000000001,-0.19999999999999973,250.0,260.0,17m,0.6000000000000001,-3.0,190.0,1000.0,17m,0.6000000000000001,-2.7,1000.0,940.0,42m,0.4,-0.5,340.0,300,27m,1.8,-0.6999999999999997,160,70,12m,2.9000000000000004,-1.7999999999999998,950,1000.0,22m,3.2,-1.0,250.0,420.0,39m,2.6,-2.4,700.0,850.0,21m,1.9000000000000001,-0.6999999999999997,580.0,270,47m,3.4000000000000004,-1.7,160,890.0,53m,0.8,-2.0,760.0,5,COMPLETE
78,78,3.7252805608263255,2025-05-29 23:25:57.151712,2025-05-29 23:25:58.071297,0 days 00:00:00.919585,,,,,,590.0,37m,1.2000000000000002,-0.6999999999999997,290.0,,,,,,520.0,29m,2.9000000000000004,0.0,200.0,570.0,42m,2.1,-0.6999999999999997,160.0,,,,,,,,,,,690.0,17m,2.1,-1.0,500.0,190,54m,1.5,-0.3999999999999999,270,190,24m,3.2,-1.2999999999999998,1000,,,,,,760.0,31m,2.1,-1.7999999999999998,950.0,,,,,,220,32m,3.0,-1.2999999999999998,100,660.0,11m,1.6,-1.5,550.0,3,COMPLETE
79,79,-0.030770641415167603,2025-05-29 23:25:58.077281,2025-05-29 23:25:59.002617,0 days 00:00:00.925336,,,,,,580.0,45m,1.2000000000000002,-0.6999999999999997,290.0,,,,,,390.0,45m,2.8000000000000003,0.0,300.0,360.0,1m,2.1,-0.3999999999999999,40.0,,,,,,,,,,,680.0,17m,2.0,-1.0,500.0,200,23m,1.5,-3.3,270,210,20m,3.4000000000000004,-1.5,1000,,,,,,610.0,31m,2.1,-2.8,850.0,,,,,,390,32m,3.0,-1.4,40,650.0,11m,1.5,-1.5999999999999999,530.0,3,COMPLETE
80,80,-4.233831804561752,2025-05-29 23:25:59.009147,2025-05-29 23:25:59.927744,0 days 00:00:00.918597,,,,,,510.0,37m,1.0,-0.09999999999999964,370.0,,,,,,500.0,29m,2.9000000000000004,-0.2999999999999998,170.0,590.0,11m,1.8,-0.6999999999999997,510.0,,,,,,,,,,,690.0,17m,1.4000000000000001,-0.6999999999999997,430.0,160,54m,1.2000000000000002,-0.19999999999999973,120,130,24m,3.2,-1.2999999999999998,890,,,,,,750.0,18m,2.0,-1.2999999999999998,940.0,,,,,,220,44m,3.3000000000000003,-1.0999999999999996,100,540.0,32m,1.0,-0.8999999999999999,670.0,3,COMPLETE
81,81,-3.5301728626040187,2025-05-29 23:25:59.935336,2025-05-29 23:26:01.172902,0 days 00:00:01.237566,,,,,,750.0,49m,1.5,-0.5,400.0,430.0,38m,2.3000000000000003,-0.2999999999999998,670.0,310.0,20m,2.0,-0.5999999999999996,50.0,550.0,42m,2.4000000000000004,-0.3999999999999999,110.0,560.0,37m,1.7000000000000002,-1.4,460.0,,,,,,640.0,40m,1.8,-1.0,610.0,130,10m,1.4000000000000001,-0.5,10,190,59m,3.0,-1.0999999999999996,850,,,,,,670.0,19m,3.2,-1.7999999999999998,780.0,460.0,30m,0.8,-2.7,180.0,300,54m,3.1,-1.2999999999999998,10,780.0,4m,0.7000000000000001,-2.5,820.0,4,COMPLETE
82,82,0.32609629431233705,2025-05-29 23:26:01.180254,2025-05-29 23:26:02.165331,0 days 00:00:00.985077,,,,,,820.0,41m,1.3,-0.3999999999999999,460.0,,,,,,770.0,29m,3.2,-0.19999999999999973,230.0,100.0,30m,2.0,-1.0999999999999996,160.0,,,,,,,,,,,750.0,27m,1.6,-1.1999999999999997,540.0,260,27m,2.2,-1.9,300,260,32m,2.7,-1.2999999999999998,920,,,,,,860.0,37m,2.4000000000000004,-2.5,830.0,,,,,,440,26m,2.8000000000000003,-0.8999999999999999,160,670.0,41m,1.2000000000000002,-2.9,610.0,3,COMPLETE
