,number,value,datetime_start,datetime_complete,duration,params_AAPL_CERN_beta_win,params_AAPL_CERN_trade_freq,params_AAPL_CERN_z_entry,params_AAPL_CERN_z_exit,params_AAPL_CERN_z_win,params_CDNS_CERN_beta_win,params_CDNS_CERN_trade_freq,params_CDNS_CERN_z_entry,params_CDNS_CERN_z_exit,params_CDNS_CERN_z_win,params_PDD_BIIB_beta_win,params_PDD_BIIB_trade_freq,params_PDD_BIIB_z_entry,params_PDD_BIIB_z_exit,params_PDD_BIIB_z_win,params_QCOM_BIIB_beta_win,params_QCOM_BIIB_trade_freq,params_QCOM_BIIB_z_entry,params_QCOM_BIIB_z_exit,params_QCOM_BIIB_z_win,params_QCOM_WBA_beta_win,params_QCOM_WBA_trade_freq,params_QCOM_WBA_z_entry,params_QCOM_WBA_z_exit,params_QCOM_WBA_z_win,params_pairs_to_trade,state
163,163,,2025-05-29 23:55:02.265461,2025-05-29 23:55:02.548104,0 days 00:00:00.282643,,,,,,,,,,,60,57m,0.1,-2.3,550,,,,,,,,,,,1,FAIL
164,164,,2025-05-29 23:55:02.554135,2025-05-29 23:55:02.813180,0 days 00:00:00.259045,,,,,,,,,,,140,57m,0.1,-2.3,370,,,,,,,,,,,1,FAIL
165,165,,2025-05-29 23:55:02.820047,2025-05-29 23:55:03.103999,0 days 00:00:00.283952,,,,,,,,,,,140,57m,0.1,-2.3,370,,,,,,,,,,,1,FAIL
166,166,5.51914887905343,2025-05-29 23:55:03.108007,2025-05-29 23:55:03.379843,0 days 00:00:00.271836,,,,,,,,,,,60,50m,0.1,-2.3,360,,,,,,,,,,,1,COMPLETE
167,167,-0.18459392964112847,2025-05-29 23:55:03.385856,2025-05-29 23:55:03.654647,0 days 00:00:00.268791,,,,,,,,,,,140,52m,0.2,-2.4,260,,,,,,,,,,,1,COMPLETE
168,168,3.885924864989902,2025-05-29 23:55:03.654647,2025-05-29 23:55:03.948199,0 days 00:00:00.293552,,,,,,,,,,,60,55m,0.0,-2.2,360,,,,,,,,,,,1,COMPLETE
169,169,,2025-05-29 23:55:03.952556,2025-05-29 23:55:04.250184,0 days 00:00:00.297628,,,,,,,,,,,100,50m,0.1,-2.0999999999999996,590,,,,,,,,,,,1,FAIL
170,170,,2025-05-29 23:55:04.254824,2025-05-29 23:55:04.551323,0 days 00:00:00.296499,,,,,,,,,,,180,50m,0.1,-2.0999999999999996,680,,,,,,,,,,,1,FAIL
171,171,3.108165549001231,2025-05-29 23:55:04.557034,2025-05-29 23:55:04.857667,0 days 00:00:00.300633,,,,,,,,,,,100,57m,0.1,-2.0999999999999996,320,,,,,,,,,,,1,COMPLETE
172,172,2.2276906885138525,2025-05-29 23:55:04.861069,2025-05-29 23:55:05.165267,0 days 00:00:00.304198,,,,,,,,,,,170,20m,0.5,-2.5,550,,,,,,,,,,,1,COMPLETE
173,173,,2025-05-29 23:55:05.171189,2025-05-29 23:55:05.461617,0 days 00:00:00.290428,,,,,,,,,,,230,50m,0.30000000000000004,-2.3,590,,,,,,,,,,,1,FAIL
174,174,0.14251022845729716,2025-05-29 23:55:05.468454,2025-05-29 23:55:05.785160,0 days 00:00:00.316706,,,,,,,,,,,140,1m,2.1,-2.3,590,,,,,,,,,,,1,COMPLETE
175,175,-1.0371434484509425,2025-05-29 23:55:05.789702,2025-05-29 23:55:06.094771,0 days 00:00:00.305069,,,,,,,,,,,30,35m,0.2,-1.9,370,,,,,,,,,,,1,COMPLETE
176,176,5.2123550346959835,2025-05-29 23:55:06.098874,2025-05-29 23:55:06.437294,0 days 00:00:00.338420,,,,,,,,,,,60,50m,0.30000000000000004,-2.0,420,,,,,,,,,,,1,COMPLETE
177,177,,2025-05-29 23:55:06.444333,2025-05-29 23:55:06.777813,0 days 00:00:00.333480,,,,,,,,,,,80,50m,0.4,-2.0,420,,,,,,,,,,,1,FAIL
178,178,,2025-05-29 23:55:06.777813,2025-05-29 23:55:07.071036,0 days 00:00:00.293223,,,,,,,,,,,90,51m,0.4,-2.0,420,,,,,,,,,,,1,FAIL
179,179,,2025-05-29 23:55:07.081410,2025-05-29 23:55:07.380339,0 days 00:00:00.298929,,,,,,,,,,,90,50m,0.30000000000000004,-2.0,420,,,,,,,,,,,1,FAIL
180,180,,2025-05-29 23:55:07.384432,2025-05-29 23:55:07.669242,0 days 00:00:00.284810,,,,,,,,,,,90,50m,0.4,-2.0999999999999996,420,,,,,,,,,,,1,FAIL
181,181,,2025-05-29 23:55:07.679982,2025-05-29 23:55:07.974036,0 days 00:00:00.294054,,,,,,,,,,,90,54m,0.4,-2.0,430,,,,,,,,,,,1,FAIL
182,182,,2025-05-29 23:55:07.980597,2025-05-29 23:55:08.272938,0 days 00:00:00.292341,,,,,,,,,,,90,58m,3.5,-2.0999999999999996,420,,,,,,,,,,,1,FAIL
183,183,,2025-05-29 23:55:08.282199,2025-05-29 23:55:08.596364,0 days 00:00:00.314165,,,,,,,,,,,90,58m,0.4,-2.0,420,,,,,,,,,,,1,FAIL
184,184,,2025-05-29 23:55:08.606107,2025-05-29 23:55:08.912134,0 days 00:00:00.306027,,,,,,,,,,,80,50m,0.4,-2.0,420,,,,,,,,,,,1,FAIL
185,185,,2025-05-29 23:55:08.916000,2025-05-29 23:55:09.207839,0 days 00:00:00.291839,,,,,,,,,,,90,50m,0.4,-2.0,430,,,,,,,,,,,1,FAIL
186,186,,2025-05-29 23:55:09.212075,2025-05-29 23:55:09.516695,0 days 00:00:00.304620,,,,,,,,,,,90,51m,0.4,-2.0,420,,,,,,,,,,,1,FAIL
187,187,,2025-05-29 23:55:09.516695,2025-05-29 23:55:09.814909,0 days 00:00:00.298214,,,,,,,,,,,90,54m,0.4,-2.0,420,,,,,,,,,,,1,FAIL
188,188,,2025-05-29 23:55:09.824497,2025-05-29 23:55:10.130052,0 days 00:00:00.305555,,,,,,,,,,,90,50m,0.4,-1.5999999999999999,420,,,,,,,,,,,1,FAIL
189,189,,2025-05-29 23:55:10.130052,2025-05-29 23:55:10.439488,0 days 00:00:00.309436,,,,,,,,,,,90,50m,0.4,-2.0,420,,,,,,,,,,,1,FAIL
190,190,,2025-05-29 23:55:10.450573,2025-05-29 23:55:10.747398,0 days 00:00:00.296825,,,,,,,,,,,90,58m,0.30000000000000004,-2.0,420,,,,,,,,,,,1,FAIL
191,191,,2025-05-29 23:55:10.753214,2025-05-29 23:55:11.046667,0 days 00:00:00.293453,,,,,,,,,,,90,51m,0.4,-2.0,420,,,,,,,,,,,1,FAIL
192,192,0.07035167706017495,2025-05-29 23:55:11.047746,2025-05-29 23:55:11.350085,0 days 00:00:00.302339,,,,,,,,,,,80,54m,0.4,-2.0,410,,,,,,,,,,,1,COMPLETE
193,193,,2025-05-29 23:55:11.361472,2025-05-29 23:55:11.652110,0 days 00:00:00.290638,,,,,,,,,,,50,50m,0.30000000000000004,-1.7999999999999998,500,,,,,,,,,,,1,FAIL
194,194,,2025-05-29 23:55:11.653178,2025-05-29 23:55:11.940629,0 days 00:00:00.287451,,,,,,,,,,,110,51m,0.30000000000000004,-1.7999999999999998,500,,,,,,,,,,,1,FAIL
195,195,,2025-05-29 23:55:11.952548,2025-05-29 23:55:12.231032,0 days 00:00:00.278484,,,,,,,,,,,200,37m,0.30000000000000004,-1.7999999999999998,500,,,,,,,,,,,1,FAIL
196,196,,2025-05-29 23:55:12.241278,2025-05-29 23:55:12.549902,0 days 00:00:00.308624,,,,,,,,,,,60,50m,0.30000000000000004,-2.2,510,,,,,,,,,,,1,FAIL
197,197,,2025-05-29 23:55:12.554264,2025-05-29 23:55:12.833413,0 days 00:00:00.279149,,,,,,,,,,,50,50m,0.30000000000000004,-1.7999999999999998,500,,,,,,,,,,,1,FAIL
198,198,,2025-05-29 23:55:12.844153,2025-05-29 23:55:13.130112,0 days 00:00:00.285959,,,,,,,,,,,50,50m,3.5,-1.7999999999999998,510,,,,,,,,,,,1,FAIL
199,199,,2025-05-29 23:55:13.131427,2025-05-29 23:55:13.426545,0 days 00:00:00.295118,,,,,,,,,,,50,57m,0.30000000000000004,-1.5999999999999999,510,,,,,,,,,,,1,FAIL
