,number,value,datetime_start,datetime_complete,duration,params_buffer_capital,params_pairs_to_trade,params_synprice_QQQ_beta_win,params_synprice_QQQ_stop_loss,params_synprice_QQQ_trade_freq,params_synprice_QQQ_z_entry,params_synprice_QQQ_z_exit,params_synprice_QQQ_z_stop_scaler,params_synprice_QQQ_z_win,state
0,0,0.2656837064518798,2025-06-20 21:14:21.618583,2025-06-20 21:14:21.871140,0 days 00:00:00.252557,0.15000000000000002,3,344,0.05,5m,1.3,0.9,1.1,504,COMPLETE
1,1,-0.6263648190597711,2025-06-20 21:14:21.890663,2025-06-20 21:14:22.083756,0 days 00:00:00.193093,0.45,3,1000,0.025,8m,1.0,0.8,1.9000000000000001,464,COMPLETE
2,2,0.45829833336347636,2025-06-20 21:14:22.099096,2025-06-20 21:14:22.291029,0 days 00:00:00.191933,0.3,2,96,0.05,10m,1.0,0.9,1.9000000000000001,560,COMPLETE
3,3,-10.248483253079794,2025-06-20 21:14:22.312237,2025-06-20 21:14:22.515694,0 days 00:00:00.203457,0.2,7,544,0.05,2m,1.2000000000000002,0.8,1.6,16,COMPLETE
4,4,0.18008988133344814,2025-06-20 21:14:22.527943,2025-06-20 21:14:22.727382,0 days 00:00:00.199439,0.1,9,792,0.025,3m,1.2000000000000002,0.7,2.0,984,COMPLETE
5,5,-7.524165391431674,2025-06-20 21:14:22.746488,2025-06-20 21:14:22.943912,0 days 00:00:00.197424,0.2,5,792,0.025,9m,0.7,1.2000000000000002,1.8000000000000003,32,COMPLETE
6,6,0.8829409374519444,2025-06-20 21:14:22.962365,2025-06-20 21:14:23.159297,0 days 00:00:00.196932,0.3,5,240,0.05,3m,0.8,1.1,1.1,920,COMPLETE
7,7,-0.09939313007879466,2025-06-20 21:14:23.174412,2025-06-20 21:14:23.395505,0 days 00:00:00.221093,0.35000000000000003,9,544,0.025,4m,1.3,1.1,1.3,656,COMPLETE
8,8,-68.37463842824877,2025-06-20 21:14:23.411504,2025-06-20 21:14:23.617895,0 days 00:00:00.206391,0.45,2,32,0.05,1m,0.6,1.5,1.3,64,COMPLETE
9,9,-0.17590789820540217,2025-06-20 21:14:23.632976,2025-06-20 21:14:23.821755,0 days 00:00:00.188779,0.1,2,488,0.05,7m,1.4,1.4,1.6,512,COMPLETE
10,10,0.8613372777251874,2025-06-20 21:14:23.841439,2025-06-20 21:14:24.059163,0 days 00:00:00.217724,0.35000000000000003,6,232,0.05,3m,0.8,0.5,1.1,1024,COMPLETE
11,11,0.8511027118343746,2025-06-20 21:14:24.077146,2025-06-20 21:14:24.294864,0 days 00:00:00.217718,0.35000000000000003,6,224,0.05,3m,0.8,0.5,1.1,992,COMPLETE
12,12,0.9852152147106239,2025-06-20 21:14:24.313103,2025-06-20 21:14:24.537736,0 days 00:00:00.224633,0.35000000000000003,5,264,0.05,3m,0.5,0.5,1.3,808,COMPLETE
13,13,-0.9789197785377494,2025-06-20 21:14:24.556067,2025-06-20 21:14:24.762394,0 days 00:00:00.206327,0.25,4,344,0.05,6m,0.5,1.2000000000000002,1.3,792,COMPLETE
14,14,1.1033120041031543,2025-06-20 21:14:24.786643,2025-06-20 21:14:24.995417,0 days 00:00:00.208774,0.5,7,168,0.05,3m,0.5,1.3,1.4000000000000001,792,COMPLETE
15,15,-3.1676480575852066,2025-06-20 21:14:25.012774,2025-06-20 21:14:25.224493,0 days 00:00:00.211719,0.5,8,128,0.05,3m,0.5,1.3,1.4000000000000001,776,COMPLETE
16,16,-2.188328075308292,2025-06-20 21:14:25.240515,2025-06-20 21:14:25.449153,0 days 00:00:00.208638,0.5,10,376,0.05,8m,0.6,0.6,1.5,344,COMPLETE
17,17,-1.6411551323342988,2025-06-20 21:14:25.451153,2025-06-20 21:14:25.679890,0 days 00:00:00.228737,0.4,7,16,0.025,7m,0.5,1.5,1.5,800,COMPLETE
18,18,-0.3768796883378516,2025-06-20 21:14:25.697473,2025-06-20 21:14:25.935221,0 days 00:00:00.237748,0.45,7,448,0.05,5m,0.7,1.0,1.4000000000000001,688,COMPLETE
19,19,-2.1362733966307754,2025-06-20 21:14:25.953218,2025-06-20 21:14:26.186562,0 days 00:00:00.233344,0.4,4,648,0.05,10m,0.9,1.3,1.7000000000000002,256,COMPLETE
20,20,-71.95826262164323,2025-06-20 21:14:26.206482,2025-06-20 21:14:26.434443,0 days 00:00:00.227961,0.05,8,168,0.025,1m,0.6,0.7,1.2000000000000002,872,COMPLETE
21,21,0.9608791789931063,2025-06-20 21:14:26.453983,2025-06-20 21:14:26.678155,0 days 00:00:00.224172,0.3,5,240,0.05,3m,0.7,1.1,1.2000000000000002,920,COMPLETE
22,22,0.27917237631755143,2025-06-20 21:14:26.705513,2025-06-20 21:14:26.923934,0 days 00:00:00.218421,0.25,4,336,0.05,3m,0.7,1.1,1.4000000000000001,648,COMPLETE
23,23,1.3551533712880628,2025-06-20 21:14:26.945388,2025-06-20 21:14:27.186963,0 days 00:00:00.241575,0.4,6,248,0.05,3m,0.5,1.3,1.2000000000000002,872,COMPLETE
24,24,-0.5883626644884332,2025-06-20 21:14:27.204792,2025-06-20 21:14:27.433152,0 days 00:00:00.228360,0.4,6,128,0.05,4m,0.5,1.4,1.2000000000000002,712,COMPLETE
25,25,0.4392768118534481,2025-06-20 21:14:27.451388,2025-06-20 21:14:27.670824,0 days 00:00:00.219436,0.5,8,288,0.05,2m,0.6,1.3,1.3,880,COMPLETE
26,26,-0.6996142299571976,2025-06-20 21:14:27.690225,2025-06-20 21:14:27.912586,0 days 00:00:00.222361,0.45,7,448,0.05,6m,0.5,1.4,1.4000000000000001,816,COMPLETE
27,27,-0.16493387877816865,2025-06-20 21:14:27.944528,2025-06-20 21:14:28.175004,0 days 00:00:00.230476,0.4,1,168,0.05,9m,0.9,1.2000000000000002,1.2000000000000002,728,COMPLETE
28,28,-0.4828741627899414,2025-06-20 21:14:28.197149,2025-06-20 21:14:28.414637,0 days 00:00:00.217488,0.35000000000000003,6,608,0.05,3m,1.5,1.0,1.5,872,COMPLETE
29,29,-0.5178302061029835,2025-06-20 21:14:28.436174,2025-06-20 21:14:28.659935,0 days 00:00:00.223761,0.5,5,376,0.05,5m,0.6,0.9,1.3,600,COMPLETE
30,30,-1.2435910860595427,2025-06-20 21:14:28.675776,2025-06-20 21:14:28.923950,0 days 00:00:00.248174,0.45,4,64,0.05,3m,0.9,1.5,1.2000000000000002,448,COMPLETE
31,31,1.0418970837191217,2025-06-20 21:14:28.943093,2025-06-20 21:14:29.197631,0 days 00:00:00.254538,0.3,5,296,0.05,3m,0.7,1.2000000000000002,1.2000000000000002,936,COMPLETE
32,32,0.41863240588954453,2025-06-20 21:14:29.222376,2025-06-20 21:14:29.469970,0 days 00:00:00.247594,0.25,3,312,0.05,3m,0.5,1.3,1.4000000000000001,976,COMPLETE
33,33,0.2239982968520282,2025-06-20 21:14:29.492974,2025-06-20 21:14:29.712862,0 days 00:00:00.219888,0.3,6,176,0.05,3m,0.6,1.2000000000000002,1.1,928,COMPLETE
34,34,-0.33162180498459454,2025-06-20 21:14:29.731500,2025-06-20 21:14:29.946845,0 days 00:00:00.215345,0.35000000000000003,5,424,0.05,8m,1.1,1.4,1.3,848,COMPLETE
35,35,-0.24130077904615804,2025-06-20 21:14:29.962491,2025-06-20 21:14:30.199093,0 days 00:00:00.236602,0.2,7,272,0.05,10m,0.7,0.8,1.2000000000000002,608,COMPLETE
36,36,-4.611916954220858,2025-06-20 21:14:30.212919,2025-06-20 21:14:30.470310,0 days 00:00:00.257391,0.4,3,96,0.025,2m,0.5,1.2000000000000002,1.3,760,COMPLETE
37,37,-0.6367153250414106,2025-06-20 21:14:30.489584,2025-06-20 21:14:30.742482,0 days 00:00:00.252898,0.3,4,896,0.05,3m,0.6,0.9,1.1,944,COMPLETE
