,number,value,datetime_start,datetime_complete,duration,params_buffer_capital,params_pairs_to_trade,params_synprice_QQQ_beta_win,params_synprice_QQQ_stop_loss,params_synprice_QQQ_trade_freq,params_synprice_QQQ_z_entry,params_synprice_QQQ_z_exit,params_synprice_QQQ_z_stop_scaler,params_synprice_QQQ_z_win,state
0,0,-0.167052499537404,2025-06-20 21:11:01.440682,2025-06-20 21:11:01.665764,0 days 00:00:00.225082,0.15000000000000002,3,344,0.05,5m,1.3,0.9,1.1,504,COMPLETE
1,1,-0.8515755593688384,2025-06-20 21:11:01.684275,2025-06-20 21:11:01.876015,0 days 00:00:00.191740,0.45,3,1000,0.025,8m,1.0,0.8,1.9000000000000001,464,COMPLETE
2,2,-0.8879688650169348,2025-06-20 21:11:01.892869,2025-06-20 21:11:02.101888,0 days 00:00:00.209019,0.3,2,96,0.05,10m,1.0,0.9,1.9000000000000001,560,COMPLETE
3,3,-7.49431192719502,2025-06-20 21:11:02.119406,2025-06-20 21:11:02.329953,0 days 00:00:00.210547,0.2,7,544,0.05,2m,1.2000000000000002,0.8,1.6,16,COMPLETE
4,4,0.06909653719559392,2025-06-20 21:11:02.346327,2025-06-20 21:11:02.556069,0 days 00:00:00.209742,0.1,9,792,0.025,3m,1.2000000000000002,0.7,2.0,984,COMPLETE
5,5,-11.474352502818178,2025-06-20 21:11:02.574672,2025-06-20 21:11:02.769582,0 days 00:00:00.194910,0.2,5,792,0.025,9m,0.7,1.2000000000000002,1.8000000000000003,32,COMPLETE
6,6,-1.3580707373832728,2025-06-20 21:11:02.798236,2025-06-20 21:11:03.010063,0 days 00:00:00.211827,0.3,5,240,0.05,3m,0.8,1.1,1.1,920,COMPLETE
7,7,-0.17469004027902152,2025-06-20 21:11:03.025814,2025-06-20 21:11:03.232368,0 days 00:00:00.206554,0.35000000000000003,9,544,0.025,4m,1.3,1.1,1.3,656,COMPLETE
8,8,-70.18702435228522,2025-06-20 21:11:03.240716,2025-06-20 21:11:03.454462,0 days 00:00:00.213746,0.45,2,32,0.05,1m,0.6,1.5,1.3,64,COMPLETE
9,9,-0.02252568299397266,2025-06-20 21:11:03.470549,2025-06-20 21:11:03.677930,0 days 00:00:00.207381,0.1,2,488,0.05,7m,1.4,1.4,1.6,512,COMPLETE
