,number,value,datetime_start,datetime_complete,duration,params_buffer_capital,params_pairs_to_trade,params_synprice_QQQ_beta_win,params_synprice_QQQ_stop_loss,params_synprice_QQQ_trade_freq,params_synprice_QQQ_z_entry,params_synprice_QQQ_z_exit,params_synprice_QQQ_z_stop_scaler,params_synprice_QQQ_z_win,state
0,0,0.026287744022096993,2025-06-20 21:18:41.142678,2025-06-20 21:18:41.354741,0 days 00:00:00.212063,0.15000000000000002,3,344,0.05,5m,1.3,0.9,1.1,504,COMPLETE
1,1,-0.07486099669816199,2025-06-20 21:18:41.374613,2025-06-20 21:18:41.569896,0 days 00:00:00.195283,0.45,3,1000,0.025,8m,1.0,0.8,1.9000000000000001,464,COMPLETE
2,2,0.011088484321209914,2025-06-20 21:18:41.591734,2025-06-20 21:18:41.837978,0 days 00:00:00.246244,0.3,2,96,0.05,10m,1.0,0.9,1.9000000000000001,560,COMPLETE
3,3,-2.1841424911579588,2025-06-20 21:18:41.856275,2025-06-20 21:18:42.080756,0 days 00:00:00.224481,0.2,7,544,0.05,2m,1.2000000000000002,0.8,1.6,16,COMPLETE
4,4,-0.14569847305556002,2025-06-20 21:18:42.102421,2025-06-20 21:18:42.306106,0 days 00:00:00.203685,0.1,9,792,0.025,3m,1.2000000000000002,0.7,2.0,984,COMPLETE
5,5,-7.916587054788646,2025-06-20 21:18:42.332743,2025-06-20 21:18:42.526733,0 days 00:00:00.193990,0.2,5,792,0.025,9m,0.7,1.2000000000000002,1.8000000000000003,32,COMPLETE
6,6,-0.8423408631339989,2025-06-20 21:18:42.742672,2025-06-20 21:18:42.948600,0 days 00:00:00.205928,0.3,5,240,0.05,3m,0.8,1.1,1.1,920,COMPLETE
7,7,0.3002968546588512,2025-06-20 21:18:42.967815,2025-06-20 21:18:43.168017,0 days 00:00:00.200202,0.35000000000000003,9,544,0.025,4m,1.3,1.1,1.3,656,COMPLETE
8,8,-55.53587412632694,2025-06-20 21:18:43.195059,2025-06-20 21:18:43.413499,0 days 00:00:00.218440,0.45,2,32,0.05,1m,0.6,1.5,1.3,64,COMPLETE
9,9,-0.04779194082888774,2025-06-20 21:18:43.430713,2025-06-20 21:18:43.623087,0 days 00:00:00.192374,0.1,2,488,0.05,7m,1.4,1.4,1.6,512,COMPLETE
10,10,-0.17167150303469592,2025-06-20 21:18:43.646116,2025-06-20 21:18:43.859765,0 days 00:00:00.213649,0.35000000000000003,10,640,0.025,4m,1.5,0.5,1.4000000000000001,744,COMPLETE
11,11,-0.34113496496714435,2025-06-20 21:18:43.876132,2025-06-20 21:18:44.088051,0 days 00:00:00.211919,0.2,7,336,0.025,5m,1.3,1.2000000000000002,1.1,312,COMPLETE
12,12,-0.0583950038805558,2025-06-20 21:18:44.104048,2025-06-20 21:18:44.321471,0 days 00:00:00.217423,0.05,4,344,0.025,5m,1.2000000000000002,1.0,1.3,680,COMPLETE
13,13,-0.08691393869698229,2025-06-20 21:18:44.343744,2025-06-20 21:18:44.552930,0 days 00:00:00.209186,0.4,7,440,0.05,4m,1.5,1.3,1.2000000000000002,336,COMPLETE
14,14,-0.5795570662367593,2025-06-20 21:18:44.584594,2025-06-20 21:18:44.806992,0 days 00:00:00.222398,0.25,9,672,0.025,6m,1.1,1.0,1.4000000000000001,728,COMPLETE
15,15,-0.017569756243756594,2025-06-20 21:18:44.833170,2025-06-20 21:18:45.043934,0 days 00:00:00.210764,0.5,1,224,0.05,5m,1.4,0.6,1.2000000000000002,312,COMPLETE
16,16,1.3323741360283172,2025-06-20 21:18:45.059026,2025-06-20 21:18:45.262543,0 days 00:00:00.203517,0.15000000000000002,6,376,0.025,4m,0.9,1.1,1.5,624,COMPLETE
17,17,0.038095048126696174,2025-06-20 21:18:45.297205,2025-06-20 21:18:45.512072,0 days 00:00:00.214867,0.35000000000000003,8,600,0.025,4m,0.9,1.2000000000000002,1.5,856,COMPLETE
18,18,-3.182171660445797,2025-06-20 21:18:45.532475,2025-06-20 21:18:45.731571,0 days 00:00:00.199096,0.25,6,784,0.025,4m,0.5,1.1,1.7000000000000002,632,COMPLETE
19,19,0.8679840413814988,2025-06-20 21:18:45.747308,2025-06-20 21:18:45.982407,0 days 00:00:00.235099,0.05,10,424,0.025,4m,0.8,1.4,1.5,800,COMPLETE
20,20,-16.850259113292086,2025-06-20 21:18:45.999940,2025-06-20 21:18:46.240943,0 days 00:00:00.241003,0.05,10,192,0.025,1m,0.8,1.5,1.5,848,COMPLETE
21,21,0.5247302079440986,2025-06-20 21:18:46.255759,2025-06-20 21:18:46.517300,0 days 00:00:00.261541,0.1,9,416,0.025,4m,0.9,1.3,1.4000000000000001,816,COMPLETE
22,22,0.40549959016230175,2025-06-20 21:18:46.544213,2025-06-20 21:18:46.774482,0 days 00:00:00.230269,0.1,8,424,0.025,4m,0.9,1.4,1.4000000000000001,808,COMPLETE
23,23,0.7729902753533923,2025-06-20 21:18:46.798819,2025-06-20 21:18:47.035619,0 days 00:00:00.236800,0.15000000000000002,10,392,0.025,4m,0.8,1.3,1.7000000000000002,984,COMPLETE
24,24,-0.023541810497865034,2025-06-20 21:18:47.062935,2025-06-20 21:18:47.293768,0 days 00:00:00.230833,0.15000000000000002,10,304,0.025,7m,0.7,1.4,1.7000000000000002,1008,COMPLETE
25,25,-0.18347515398932965,2025-06-20 21:18:47.311775,2025-06-20 21:18:47.544240,0 days 00:00:00.232465,0.15000000000000002,8,168,0.025,2m,0.7,1.3,1.7000000000000002,928,COMPLETE
26,26,0.3980701652183397,2025-06-20 21:18:47.563237,2025-06-20 21:18:47.775543,0 days 00:00:00.212306,0.05,6,272,0.025,8m,0.8,1.5,1.6,920,COMPLETE
27,27,-2.04179601018874,2025-06-20 21:18:47.807493,2025-06-20 21:18:48.037504,0 days 00:00:00.230011,0.15000000000000002,10,392,0.025,10m,0.5,1.3,1.5,760,COMPLETE
28,28,-1.710738960086314,2025-06-20 21:18:48.053257,2025-06-20 21:18:48.287292,0 days 00:00:00.234035,0.05,8,488,0.025,6m,0.6,1.2000000000000002,1.8000000000000003,592,COMPLETE
29,29,0.11244235520911938,2025-06-20 21:18:48.304676,2025-06-20 21:18:48.528783,0 days 00:00:00.224107,0.2,4,112,0.025,9m,1.1,1.4,1.6,440,COMPLETE
30,30,0.8981667716707901,2025-06-20 21:18:48.548968,2025-06-20 21:18:48.772169,0 days 00:00:00.223201,0.1,9,352,0.025,4m,0.9,0.9,1.8000000000000003,1016,COMPLETE
31,31,0.8636086607706732,2025-06-20 21:18:48.788683,2025-06-20 21:18:49.001952,0 days 00:00:00.213269,0.1,10,368,0.025,4m,0.9,0.9,1.8000000000000003,1024,COMPLETE
32,32,0.7882321642386988,2025-06-20 21:18:49.009000,2025-06-20 21:18:49.221634,0 days 00:00:00.212634,0.1,9,296,0.025,4m,1.0,0.9,1.8000000000000003,1016,COMPLETE
33,33,0.5635411986989276,2025-06-20 21:18:49.250227,2025-06-20 21:18:49.466904,0 days 00:00:00.216677,0.05,10,472,0.025,4m,0.9,0.8,2.0,896,COMPLETE
34,34,-1.824866379424015,2025-06-20 21:18:49.489890,2025-06-20 21:18:49.729524,0 days 00:00:00.239634,0.1,9,544,0.025,8m,1.0,0.9,1.9000000000000001,432,COMPLETE
35,35,0.35549935383040676,2025-06-20 21:18:49.747432,2025-06-20 21:18:49.969373,0 days 00:00:00.221941,0.15000000000000002,7,368,0.025,4m,1.1,0.7,1.9000000000000001,1024,COMPLETE
36,36,0.0037733769083642364,2025-06-20 21:18:49.987038,2025-06-20 21:18:50.211139,0 days 00:00:00.224101,0.1,8,160,0.025,10m,1.0,1.0,1.8000000000000003,784,COMPLETE
37,37,0.17830569617402076,2025-06-20 21:18:50.240214,2025-06-20 21:18:50.457264,0 days 00:00:00.217050,0.2,4,896,0.025,3m,0.9,0.8,1.5,960,COMPLETE
38,38,0.009993477581711601,2025-06-20 21:18:50.466321,2025-06-20 21:18:50.695597,0 days 00:00:00.229276,0.05,9,600,0.025,4m,0.7,0.9,2.0,704,COMPLETE
39,39,-0.5226453029729032,2025-06-20 21:18:50.714333,2025-06-20 21:18:50.925547,0 days 00:00:00.211214,0.1,6,248,0.025,2m,0.8,0.7,1.9000000000000001,568,COMPLETE
40,40,-1.6217078167125174,2025-06-20 21:18:50.933991,2025-06-20 21:18:51.175959,0 days 00:00:00.241968,0.25,3,312,0.05,9m,0.6,1.0,1.6,880,COMPLETE
41,41,0.4427372209875202,2025-06-20 21:18:51.193539,2025-06-20 21:18:51.414921,0 days 00:00:00.221382,0.1,9,272,0.025,4m,1.0,0.9,1.8000000000000003,1024,COMPLETE
42,42,0.09149945793750092,2025-06-20 21:18:51.421398,2025-06-20 21:18:51.652831,0 days 00:00:00.231433,0.1,10,456,0.025,4m,1.0,0.8,1.8000000000000003,968,COMPLETE
43,43,0.47010311859882914,2025-06-20 21:18:51.668804,2025-06-20 21:18:51.904049,0 days 00:00:00.235245,0.05,9,360,0.025,4m,1.0,0.9,1.7000000000000002,944,COMPLETE
44,44,-6.054798491727816,2025-06-20 21:18:51.922670,2025-06-20 21:18:52.168086,0 days 00:00:00.245416,0.15000000000000002,10,304,0.025,1m,0.9,1.1,1.8000000000000003,856,COMPLETE
45,45,0.3806356542911864,2025-06-20 21:18:52.191157,2025-06-20 21:18:52.425704,0 days 00:00:00.234547,0.15000000000000002,9,536,0.025,4m,1.1,0.8,1.9000000000000001,632,COMPLETE
46,46,0.05411447906467098,2025-06-20 21:18:52.442055,2025-06-20 21:18:52.672903,0 days 00:00:00.230848,0.1,7,112,0.025,7m,0.8,1.0,1.5,904,COMPLETE
47,47,-0.22189726530807982,2025-06-20 21:18:52.691046,2025-06-20 21:18:52.929409,0 days 00:00:00.238363,0.2,5,32,0.025,4m,0.9,0.7,1.6,200,COMPLETE
48,48,-0.23185184630256506,2025-06-20 21:18:52.946397,2025-06-20 21:18:53.176450,0 days 00:00:00.230053,0.05,8,208,0.05,6m,0.7,0.6,1.7000000000000002,480,COMPLETE
49,49,-0.1152494131607631,2025-06-20 21:18:53.193923,2025-06-20 21:18:53.423351,0 days 00:00:00.229428,0.3,9,504,0.025,3m,1.2000000000000002,0.9,1.4000000000000001,984,COMPLETE
50,50,-1.522181202586436,2025-06-20 21:18:53.440356,2025-06-20 21:18:53.667282,0 days 00:00:00.226926,0.1,10,1008,0.025,4m,1.1,1.1,2.0,824,COMPLETE
51,51,0.8795051426030146,2025-06-20 21:18:53.684257,2025-06-20 21:18:53.916193,0 days 00:00:00.231936,0.15000000000000002,10,376,0.025,4m,0.8,1.2000000000000002,1.7000000000000002,984,COMPLETE
52,52,0.9762004128161335,2025-06-20 21:18:53.934193,2025-06-20 21:18:54.161694,0 days 00:00:00.227501,0.2,10,336,0.025,4m,0.8,1.0,1.8000000000000003,1024,COMPLETE
53,53,0.9479389577303169,2025-06-20 21:18:54.189658,2025-06-20 21:18:54.419262,0 days 00:00:00.229604,0.2,10,360,0.025,4m,0.8,1.2000000000000002,1.7000000000000002,952,COMPLETE
