,number,value,datetime_start,datetime_complete,duration,params_buffer_capital,params_pairs_to_trade,params_synprice_QQQ_beta_win,params_synprice_QQQ_stop_loss,params_synprice_QQQ_trade_freq,params_synprice_QQQ_z_entry,params_synprice_QQQ_z_exit,params_synprice_QQQ_z_stop_scaler,params_synprice_QQQ_z_win,state
0,0,-0.04698044704203312,2025-06-20 21:09:47.638706,2025-06-20 21:09:47.862557,0 days 00:00:00.223851,0.15000000000000002,3,344,0.05,5m,1.3,0.9,1.1,504,COMPLETE
1,1,-0.6595703726033731,2025-06-20 21:09:47.884246,2025-06-20 21:09:48.087610,0 days 00:00:00.203364,0.45,3,1000,0.025,8m,1.0,0.8,1.9000000000000001,464,COMPLETE
2,2,-0.28618014715930556,2025-06-20 21:09:48.106048,2025-06-20 21:09:48.295696,0 days 00:00:00.189648,0.3,2,96,0.05,10m,1.0,0.9,1.9000000000000001,560,COMPLETE
3,3,-8.463919930867004,2025-06-20 21:09:48.326418,2025-06-20 21:09:48.535413,0 days 00:00:00.208995,0.2,7,544,0.05,2m,1.2000000000000002,0.8,1.6,16,COMPLETE
4,4,0.030223971412989947,2025-06-20 21:09:48.554923,2025-06-20 21:09:48.743515,0 days 00:00:00.188592,0.1,9,792,0.025,3m,1.2000000000000002,0.7,2.0,984,COMPLETE
5,5,-12.05306069322709,2025-06-20 21:09:48.764515,2025-06-20 21:09:48.971455,0 days 00:00:00.206940,0.2,5,792,0.025,9m,0.7,1.2000000000000002,1.8000000000000003,32,COMPLETE
6,6,0.7510266212359555,2025-06-20 21:09:48.990775,2025-06-20 21:09:49.181641,0 days 00:00:00.190866,0.3,5,240,0.05,3m,0.8,1.1,1.1,920,COMPLETE
7,7,-0.03271110027528461,2025-06-20 21:09:49.191264,2025-06-20 21:09:49.373874,0 days 00:00:00.182610,0.35000000000000003,9,544,0.025,4m,1.3,1.1,1.3,656,COMPLETE
8,8,-65.4936946235115,2025-06-20 21:09:49.402796,2025-06-20 21:09:49.591544,0 days 00:00:00.188748,0.45,2,32,0.05,1m,0.6,1.5,1.3,64,COMPLETE
9,9,-0.32081841802287003,2025-06-20 21:09:49.618556,2025-06-20 21:09:49.839941,0 days 00:00:00.221385,0.1,2,488,0.05,7m,1.4,1.4,1.6,512,COMPLETE
