,number,value,datetime_start,datetime_complete,duration,params_buffer_capital,params_pairs_to_trade,params_synprice_QQQ_beta_win,params_synprice_QQQ_stop_loss,params_synprice_QQQ_trade_freq,params_synprice_QQQ_z_entry,params_synprice_QQQ_z_exit,params_synprice_QQQ_z_stop_scaler,params_synprice_QQQ_z_win,state
0,0,-0.11070785530223058,2025-06-20 21:20:51.732222,2025-06-20 21:20:51.951809,0 days 00:00:00.219587,0.15000000000000002,3,344,0.05,5m,1.3,0.9,1.1,504,COMPLETE
1,1,-0.8719402147305952,2025-06-20 21:20:51.977783,2025-06-20 21:20:52.179874,0 days 00:00:00.202091,0.45,3,1000,0.025,8m,1.0,0.8,1.9000000000000001,464,COMPLETE
2,2,-0.0203196384117664,2025-06-20 21:20:52.199977,2025-06-20 21:20:52.411442,0 days 00:00:00.211465,0.3,2,96,0.05,10m,1.0,0.9,1.9000000000000001,560,COMPLETE
3,3,-5.6514608595369875,2025-06-20 21:20:52.442975,2025-06-20 21:20:52.660628,0 days 00:00:00.217653,0.2,7,544,0.05,2m,1.2000000000000002,0.8,1.6,16,COMPLETE
4,4,-0.36437361452823575,2025-06-20 21:20:52.685797,2025-06-20 21:20:52.893088,0 days 00:00:00.207291,0.1,9,792,0.025,3m,1.2000000000000002,0.7,2.0,984,COMPLETE
5,5,-7.4891822865388145,2025-06-20 21:20:52.917079,2025-06-20 21:20:53.135571,0 days 00:00:00.218492,0.2,5,792,0.025,9m,0.7,1.2000000000000002,1.8000000000000003,32,COMPLETE
6,6,-1.1817257307725795,2025-06-20 21:20:53.155651,2025-06-20 21:20:53.370850,0 days 00:00:00.215199,0.3,5,240,0.05,3m,0.8,1.1,1.1,920,COMPLETE
7,7,-0.18839892454709894,2025-06-20 21:20:53.388855,2025-06-20 21:20:53.589500,0 days 00:00:00.200645,0.35000000000000003,9,544,0.025,4m,1.3,1.1,1.3,656,COMPLETE
8,8,-49.2066771320655,2025-06-20 21:20:53.606496,2025-06-20 21:20:53.818316,0 days 00:00:00.211820,0.45,2,32,0.05,1m,0.6,1.5,1.3,64,COMPLETE
9,9,-0.07750089784185453,2025-06-20 21:20:53.838694,2025-06-20 21:20:54.046591,0 days 00:00:00.207897,0.1,2,488,0.05,7m,1.4,1.4,1.6,512,COMPLETE
10,10,-1.3567111862627825,2025-06-20 21:20:54.065251,2025-06-20 21:20:54.301818,0 days 00:00:00.236567,0.35000000000000003,1,24,0.05,10m,0.9,0.5,1.8000000000000003,304,COMPLETE
11,11,-0.09288114027240511,2025-06-20 21:20:54.319632,2025-06-20 21:20:54.562629,0 days 00:00:00.242997,0.05,1,248,0.05,7m,1.5,1.4,1.6,704,COMPLETE
12,12,-0.09783189473196294,2025-06-20 21:20:54.577470,2025-06-20 21:20:54.820246,0 days 00:00:00.242776,0.25,4,376,0.05,7m,1.5,1.3,1.7000000000000002,320,COMPLETE
13,13,-0.05891395889244174,2025-06-20 21:20:54.841741,2025-06-20 21:20:55.076270,0 days 00:00:00.234529,0.05,7,688,0.05,10m,1.1,1.0,1.4000000000000001,720,COMPLETE
14,14,-0.5724107552402115,2025-06-20 21:20:55.096965,2025-06-20 21:20:55.338927,0 days 00:00:00.241962,0.35000000000000003,7,672,0.05,10m,1.1,1.0,1.4000000000000001,768,COMPLETE
15,15,-1.6659797066899993,2025-06-20 21:20:55.357536,2025-06-20 21:20:55.558353,0 days 00:00:00.200817,0.5,7,968,0.05,10m,1.0,0.6,1.4000000000000001,816,COMPLETE
16,16,-1.5632027973626532,2025-06-20 21:20:55.591162,2025-06-20 21:20:55.797841,0 days 00:00:00.206679,0.25,10,768,0.05,6m,0.5,1.0,2.0,624,COMPLETE
17,17,-0.3010418079346936,2025-06-20 21:20:55.821341,2025-06-20 21:20:56.025706,0 days 00:00:00.204365,0.3,8,168,0.025,10m,0.9,0.9,1.4000000000000001,392,COMPLETE
18,18,-0.7620868400202165,2025-06-20 21:20:56.047501,2025-06-20 21:20:56.247295,0 days 00:00:00.199794,0.05,6,656,0.05,10m,1.1,0.8,1.5,184,COMPLETE
19,19,-1.5279131989266037,2025-06-20 21:20:56.263011,2025-06-20 21:20:56.483208,0 days 00:00:00.220197,0.4,4,880,0.05,8m,0.8,1.2000000000000002,1.2000000000000002,864,COMPLETE
20,20,0.6567410692936972,2025-06-20 21:20:56.507568,2025-06-20 21:20:56.735386,0 days 00:00:00.227818,0.2,6,424,0.025,6m,1.0,0.6,1.8000000000000003,624,COMPLETE
21,21,0.7601420130690265,2025-06-20 21:20:56.753423,2025-06-20 21:20:56.978060,0 days 00:00:00.224637,0.15000000000000002,6,440,0.025,6m,1.0,0.5,1.8000000000000003,664,COMPLETE
22,22,0.6871891574716731,2025-06-20 21:20:56.995394,2025-06-20 21:20:57.213844,0 days 00:00:00.218450,0.2,6,408,0.025,6m,0.9,0.5,1.8000000000000003,600,COMPLETE
23,23,0.5441184331077622,2025-06-20 21:20:57.231100,2025-06-20 21:20:57.444517,0 days 00:00:00.213417,0.15000000000000002,6,408,0.025,6m,0.8,0.5,1.8000000000000003,600,COMPLETE
24,24,-1.5806188663291707,2025-06-20 21:20:57.461829,2025-06-20 21:20:57.672274,0 days 00:00:00.210445,0.2,6,464,0.025,6m,0.9,0.6,1.7000000000000002,408,COMPLETE
25,25,0.2490053102225392,2025-06-20 21:20:57.690511,2025-06-20 21:20:57.908782,0 days 00:00:00.218271,0.15000000000000002,5,296,0.025,6m,0.7,0.6,1.9000000000000001,672,COMPLETE
26,26,0.2571082345911543,2025-06-20 21:20:57.924771,2025-06-20 21:20:58.133404,0 days 00:00:00.208633,0.2,8,592,0.025,6m,1.0,0.5,1.7000000000000002,784,COMPLETE
27,27,0.5944721761329573,2025-06-20 21:20:58.151914,2025-06-20 21:20:58.371471,0 days 00:00:00.219557,0.1,4,440,0.025,6m,0.9,0.7,1.8000000000000003,568,COMPLETE
28,28,0.31596343444835034,2025-06-20 21:20:58.397884,2025-06-20 21:20:58.612445,0 days 00:00:00.214561,0.25,8,336,0.025,6m,1.2000000000000002,0.7,1.9000000000000001,864,COMPLETE
29,29,-0.7898833390371424,2025-06-20 21:20:58.627630,2025-06-20 21:20:58.841060,0 days 00:00:00.213430,0.15000000000000002,6,312,0.025,5m,0.7,0.5,1.7000000000000002,488,COMPLETE
30,30,-0.7039473259925607,2025-06-20 21:20:58.860257,2025-06-20 21:20:59.077515,0 days 00:00:00.217258,0.1,5,192,0.025,2m,1.1,0.6,2.0,720,COMPLETE
31,31,0.6930621261382902,2025-06-20 21:20:59.098181,2025-06-20 21:20:59.309062,0 days 00:00:00.210881,0.1,4,416,0.025,6m,0.9,0.7,1.8000000000000003,584,COMPLETE
32,32,-1.008625523648696,2025-06-20 21:20:59.325097,2025-06-20 21:20:59.527464,0 days 00:00:00.202367,0.15000000000000002,4,384,0.025,6m,0.9,0.7,1.8000000000000003,424,COMPLETE
