,number,value,datetime_start,datetime_complete,duration,params_buffer_capital,params_pairs_to_trade,params_synprice_QQQ_beta_win,params_synprice_QQQ_stop_loss,params_synprice_QQQ_trade_freq,params_synprice_QQQ_z_entry,params_synprice_QQQ_z_exit,params_synprice_QQQ_z_stop_scaler,params_synprice_QQQ_z_win,state
0,0,0.03809775521192154,2025-06-20 21:19:57.532090,2025-06-20 21:19:57.858709,0 days 00:00:00.326619,0.15000000000000002,3,344,0.05,5m,1.3,0.9,1.1,504,COMPLETE
1,1,-0.5557740438944759,2025-06-20 21:19:57.920354,2025-06-20 21:19:58.235391,0 days 00:00:00.315037,0.45,3,1000,0.025,8m,1.0,0.8,1.9000000000000001,464,COMPLETE
2,2,0.15711307433164076,2025-06-20 21:19:58.285918,2025-06-20 21:19:58.596899,0 days 00:00:00.310981,0.3,2,96,0.05,10m,1.0,0.9,1.9000000000000001,560,COMPLETE
3,3,-7.225547399639614,2025-06-20 21:19:58.649449,2025-06-20 21:19:58.978480,0 days 00:00:00.329031,0.2,7,544,0.05,2m,1.2000000000000002,0.8,1.6,16,COMPLETE
4,4,-0.5773046020938642,2025-06-20 21:19:59.020393,2025-06-20 21:19:59.330801,0 days 00:00:00.310408,0.1,9,792,0.025,3m,1.2000000000000002,0.7,2.0,984,COMPLETE
5,5,-9.541296291358963,2025-06-20 21:19:59.373407,2025-06-20 21:19:59.671550,0 days 00:00:00.298143,0.2,5,792,0.025,9m,0.7,1.2000000000000002,1.8000000000000003,32,COMPLETE
6,6,-1.1245387996392562,2025-06-20 21:19:59.725025,2025-06-20 21:20:00.012351,0 days 00:00:00.287326,0.3,5,240,0.05,3m,0.8,1.1,1.1,920,COMPLETE
7,7,0.034609633749213525,2025-06-20 21:20:00.053144,2025-06-20 21:20:00.352247,0 days 00:00:00.299103,0.35000000000000003,9,544,0.025,4m,1.3,1.1,1.3,656,COMPLETE
8,8,-66.69931373480604,2025-06-20 21:20:00.387101,2025-06-20 21:20:00.712475,0 days 00:00:00.325374,0.45,2,32,0.05,1m,0.6,1.5,1.3,64,COMPLETE
9,9,-0.0258180129553618,2025-06-20 21:20:00.760212,2025-06-20 21:20:01.036844,0 days 00:00:00.276632,0.1,2,488,0.05,7m,1.4,1.4,1.6,512,COMPLETE
10,10,-1.1978087295718811,2025-06-20 21:20:01.084769,2025-06-20 21:20:01.420224,0 days 00:00:00.335455,0.35000000000000003,1,24,0.05,10m,0.9,0.5,1.8000000000000003,304,COMPLETE
11,11,-0.06423559198318814,2025-06-20 21:20:01.473484,2025-06-20 21:20:01.831732,0 days 00:00:00.358248,0.2,4,256,0.05,5m,1.5,0.9,1.1,672,COMPLETE
12,12,-0.5896626849515162,2025-06-20 21:20:01.887973,2025-06-20 21:20:02.247156,0 days 00:00:00.359183,0.05,1,240,0.05,10m,1.1,0.6,1.4000000000000001,312,COMPLETE
13,13,-0.6274234626917984,2025-06-20 21:20:02.305838,2025-06-20 21:20:02.600656,0 days 00:00:00.294818,0.25,3,392,0.05,5m,1.0,1.0,1.5,720,COMPLETE
14,14,-4.129141895283955,2025-06-20 21:20:02.623618,2025-06-20 21:20:02.868153,0 days 00:00:00.244535,0.15000000000000002,7,184,0.05,5m,0.5,1.3,1.7000000000000002,360,COMPLETE
