,number,value,datetime_start,datetime_complete,duration,params_buffer_capital,params_pairs_to_trade,params_synprice_QQQ_beta_win,params_synprice_QQQ_stop_loss,params_synprice_QQQ_trade_freq,params_synprice_QQQ_z_entry,params_synprice_QQQ_z_exit,params_synprice_QQQ_z_stop_scaler,params_synprice_QQQ_z_win,state
0,0,0.04550641245392965,2025-06-20 21:05:25.376964,2025-06-20 21:05:25.600372,0 days 00:00:00.223408,0.15000000000000002,3,344,0.05,5m,1.3,0.9,1.1,504,COMPLETE
1,1,-2.193811995264599,2025-06-20 21:05:25.624580,2025-06-20 21:05:25.827180,0 days 00:00:00.202600,0.45,3,1000,0.025,8m,1.0,0.8,1.9000000000000001,464,COMPLETE
2,2,0.34957213148084665,2025-06-20 21:05:25.843247,2025-06-20 21:05:26.056258,0 days 00:00:00.213011,0.3,2,96,0.05,10m,1.0,0.9,1.9000000000000001,560,COMPLETE
3,3,-6.948735800479066,2025-06-20 21:05:26.074258,2025-06-20 21:05:26.298305,0 days 00:00:00.224047,0.2,7,544,0.05,2m,1.2000000000000002,0.8,1.6,16,COMPLETE
4,4,0.2695203628437577,2025-06-20 21:05:26.319974,2025-06-20 21:05:26.538162,0 days 00:00:00.218188,0.1,9,792,0.025,3m,1.2000000000000002,0.7,2.0,984,COMPLETE
5,5,-11.714301816601356,2025-06-20 21:05:26.564454,2025-06-20 21:05:26.766332,0 days 00:00:00.201878,0.2,5,792,0.025,9m,0.7,1.2000000000000002,1.8000000000000003,32,COMPLETE
6,6,0.018029714769968275,2025-06-20 21:05:26.770762,2025-06-20 21:05:26.997102,0 days 00:00:00.226340,0.3,5,240,0.05,3m,0.8,1.1,1.1,920,COMPLETE
7,7,-0.08109368125755452,2025-06-20 21:05:27.016618,2025-06-20 21:05:27.215637,0 days 00:00:00.199019,0.35000000000000003,9,544,0.025,4m,1.3,1.1,1.3,656,COMPLETE
8,8,-64.21760980014695,2025-06-20 21:05:27.231772,2025-06-20 21:05:27.440333,0 days 00:00:00.208561,0.45,2,32,0.05,1m,0.6,1.5,1.3,64,COMPLETE
9,9,-100.0,2025-06-20 21:05:27.469370,2025-06-20 21:05:27.660067,0 days 00:00:00.190697,0.1,2,488,0.05,7m,1.4,1.4,1.6,512,COMPLETE
10,10,0.17952797857236677,2025-06-20 21:05:27.690417,2025-06-20 21:05:27.922754,0 days 00:00:00.232337,0.35000000000000003,1,24,0.05,10m,0.9,0.5,1.8000000000000003,304,COMPLETE
11,11,-0.6764995332358847,2025-06-20 21:05:27.940754,2025-06-20 21:05:28.173194,0 days 00:00:00.232440,0.05,9,808,0.025,6m,1.1,0.6,2.0,984,COMPLETE
12,12,0.11025735179055361,2025-06-20 21:05:28.191193,2025-06-20 21:05:28.424261,0 days 00:00:00.233068,0.25,7,728,0.025,3m,1.5,0.7,2.0,728,COMPLETE
13,13,-1.3812482085089266,2025-06-20 21:05:28.443261,2025-06-20 21:05:28.675289,0 days 00:00:00.232028,0.05,10,1024,0.025,10m,1.0,1.0,1.8000000000000003,808,COMPLETE
14,14,-2.2296243723722085,2025-06-20 21:05:28.691293,2025-06-20 21:05:28.939372,0 days 00:00:00.248079,0.35000000000000003,7,256,0.025,3m,0.5,0.5,2.0,296,COMPLETE
15,15,-1.333581643821202,2025-06-20 21:05:28.958372,2025-06-20 21:05:29.194950,0 days 00:00:00.236578,0.5,4,664,0.05,10m,1.1,0.7,1.7000000000000002,848,COMPLETE
16,16,-0.5403617660820105,2025-06-20 21:05:29.211956,2025-06-20 21:05:29.454718,0 days 00:00:00.242762,0.25,8,168,0.025,8m,0.8,0.9,1.4000000000000001,1024,COMPLETE
17,17,-0.6207641533666735,2025-06-20 21:05:29.473714,2025-06-20 21:05:29.720274,0 days 00:00:00.246560,0.15000000000000002,6,896,0.05,7m,1.2000000000000002,1.3,1.9000000000000001,632,COMPLETE
18,18,-2.0756147758749437,2025-06-20 21:05:29.737275,2025-06-20 21:05:29.982835,0 days 00:00:00.245560,0.3,10,448,0.05,2m,1.0,0.9,1.5,296,COMPLETE
19,19,-0.8895117805815655,2025-06-20 21:05:30.008842,2025-06-20 21:05:30.247387,0 days 00:00:00.238545,0.4,1,640,0.025,4m,1.2000000000000002,0.7,1.9000000000000001,392,COMPLETE
20,20,-0.41576917866652197,2025-06-20 21:05:30.267392,2025-06-20 21:05:30.521201,0 days 00:00:00.253809,0.15000000000000002,4,352,0.025,6m,1.5,1.0,1.7000000000000002,176,COMPLETE
21,21,-0.40396482121328975,2025-06-20 21:05:30.539205,2025-06-20 21:05:30.777233,0 days 00:00:00.238028,0.35000000000000003,1,40,0.05,10m,0.9,0.5,1.8000000000000003,328,COMPLETE
22,22,-0.4896142182285001,2025-06-20 21:05:30.797232,2025-06-20 21:05:31.043983,0 days 00:00:00.246751,0.4,2,112,0.05,10m,0.9,0.6,1.9000000000000001,192,COMPLETE
23,23,0.29309767192078306,2025-06-20 21:05:31.060984,2025-06-20 21:05:31.292753,0 days 00:00:00.231769,0.3,1,136,0.05,10m,0.9,0.6,1.7000000000000002,624,COMPLETE
24,24,-3.2506026360684714,2025-06-20 21:05:31.311758,2025-06-20 21:05:31.574059,0 days 00:00:00.262301,0.25,3,176,0.05,1m,1.1,0.8,1.7000000000000002,624,COMPLETE
25,25,0.2922633359577063,2025-06-20 21:05:31.594063,2025-06-20 21:05:31.834626,0 days 00:00:00.240563,0.2,4,424,0.05,5m,0.8,0.6,2.0,760,COMPLETE
26,26,-0.6478509008974126,2025-06-20 21:05:31.852630,2025-06-20 21:05:32.083011,0 days 00:00:00.230381,0.2,4,360,0.05,5m,0.7,0.6,1.7000000000000002,728,COMPLETE
27,27,0.2801403883269127,2025-06-20 21:05:32.104015,2025-06-20 21:05:32.354580,0 days 00:00:00.250565,0.3,2,272,0.05,5m,0.8,0.6,1.9000000000000001,584,COMPLETE
28,28,-0.7357757091699696,2025-06-20 21:05:32.386094,2025-06-20 21:05:32.660317,0 days 00:00:00.274223,0.25,3,120,0.05,9m,0.7,0.8,1.5,736,COMPLETE
29,29,-1.7717045722136637,2025-06-20 21:05:32.688318,2025-06-20 21:05:32.939398,0 days 00:00:00.251080,0.2,1,416,0.05,5m,0.6,0.9,1.8000000000000003,448,COMPLETE
30,30,0.2865548501812271,2025-06-20 21:05:32.958398,2025-06-20 21:05:33.210446,0 days 00:00:00.252048,0.3,4,280,0.05,5m,0.9,1.1,2.0,560,COMPLETE
31,31,0.28411029853407066,2025-06-20 21:05:33.227964,2025-06-20 21:05:33.469516,0 days 00:00:00.241552,0.3,4,288,0.05,5m,0.9,1.1,2.0,592,COMPLETE
32,32,0.37823733208665244,2025-06-20 21:05:33.488520,2025-06-20 21:05:33.731076,0 days 00:00:00.242556,0.4,3,176,0.05,5m,0.8,1.2000000000000002,1.9000000000000001,528,COMPLETE
33,33,0.39289420652834667,2025-06-20 21:05:33.750077,2025-06-20 21:05:33.994651,0 days 00:00:00.244574,0.4,3,112,0.05,10m,0.8,1.3,1.9000000000000001,472,COMPLETE
34,34,0.1165745238277973,2025-06-20 21:05:34.013654,2025-06-20 21:05:34.254211,0 days 00:00:00.240557,0.4,3,88,0.05,10m,1.0,1.3,1.9000000000000001,456,COMPLETE
35,35,-0.57138934299598,2025-06-20 21:05:34.272213,2025-06-20 21:05:34.512768,0 days 00:00:00.240555,0.45,3,168,0.05,10m,0.6,1.3,1.8000000000000003,392,COMPLETE
36,36,0.1056942763013636,2025-06-20 21:05:34.531902,2025-06-20 21:05:34.770576,0 days 00:00:00.238674,0.5,2,208,0.05,10m,0.7,1.4,1.6,520,COMPLETE
37,37,-0.4901988474521743,2025-06-20 21:05:34.787746,2025-06-20 21:05:35.020270,0 days 00:00:00.232524,0.4,5,80,0.05,8m,0.8,1.2000000000000002,1.9000000000000001,680,COMPLETE
38,38,0.3079693151042798,2025-06-20 21:05:35.037206,2025-06-20 21:05:35.268515,0 days 00:00:00.231309,0.45,2,144,0.05,10m,1.0,1.2000000000000002,1.7000000000000002,408,COMPLETE
39,39,-0.5420138533436493,2025-06-20 21:05:35.293462,2025-06-20 21:05:35.536265,0 days 00:00:00.242803,0.45,2,216,0.05,2m,1.1,1.2000000000000002,1.6,392,COMPLETE
40,40,-0.20692089511502595,2025-06-20 21:05:35.554937,2025-06-20 21:05:35.791740,0 days 00:00:00.236803,0.45,3,320,0.05,4m,1.3,1.2000000000000002,1.8000000000000003,496,COMPLETE
41,41,0.2906184943887745,2025-06-20 21:05:35.806745,2025-06-20 21:05:36.040364,0 days 00:00:00.233619,0.35000000000000003,1,136,0.05,10m,1.0,1.4,1.7000000000000002,528,COMPLETE
42,42,-0.46680623827836787,2025-06-20 21:05:36.058893,2025-06-20 21:05:36.295979,0 days 00:00:00.237086,0.5,2,16,0.05,10m,0.9,1.3,1.5,432,COMPLETE
