,number,value,datetime_start,datetime_complete,duration,params_buffer_capital,params_pairs_to_trade,params_synprice_QQQ_beta_win,params_synprice_QQQ_stop_loss,params_synprice_QQQ_trade_freq,params_synprice_QQQ_z_entry,params_synprice_QQQ_z_exit,params_synprice_QQQ_z_stop_scaler,params_synprice_QQQ_z_win,state
0,0,0.0730904853459121,2025-06-20 21:21:28.462910,2025-06-20 21:21:28.687904,0 days 00:00:00.224994,0.15000000000000002,3,344,0.05,5m,1.3,0.9,1.1,504,COMPLETE
1,1,-0.015478627709892865,2025-06-20 21:21:28.703700,2025-06-20 21:21:28.885111,0 days 00:00:00.181411,0.45,3,1000,0.025,8m,1.0,0.8,1.9000000000000001,464,COMPLETE
2,2,-0.5358286585008053,2025-06-20 21:21:28.915752,2025-06-20 21:21:29.126013,0 days 00:00:00.210261,0.3,2,96,0.05,10m,1.0,0.9,1.9000000000000001,560,COMPLETE
3,3,-2.1582239714234195,2025-06-20 21:21:29.145345,2025-06-20 21:21:29.350423,0 days 00:00:00.205078,0.2,7,544,0.05,2m,1.2000000000000002,0.8,1.6,16,COMPLETE
4,4,-100.0,2025-06-20 21:21:29.372889,2025-06-20 21:21:29.566723,0 days 00:00:00.193834,0.1,9,792,0.025,3m,1.2000000000000002,0.7,2.0,984,COMPLETE
5,5,-11.382273994747747,2025-06-20 21:21:29.590724,2025-06-20 21:21:29.793540,0 days 00:00:00.202816,0.2,5,792,0.025,9m,0.7,1.2000000000000002,1.8000000000000003,32,COMPLETE
6,6,0.08853293952032891,2025-06-20 21:21:29.805415,2025-06-20 21:21:30.008940,0 days 00:00:00.203525,0.3,5,240,0.05,3m,0.8,1.1,1.1,920,COMPLETE
7,7,-100.0,2025-06-20 21:21:30.023650,2025-06-20 21:21:30.220184,0 days 00:00:00.196534,0.35000000000000003,9,544,0.025,4m,1.3,1.1,1.3,656,COMPLETE
8,8,-62.29572279799937,2025-06-20 21:21:30.248292,2025-06-20 21:21:30.458207,0 days 00:00:00.209915,0.45,2,32,0.05,1m,0.6,1.5,1.3,64,COMPLETE
9,9,-0.1381028972729324,2025-06-20 21:21:30.482803,2025-06-20 21:21:30.675342,0 days 00:00:00.192539,0.1,2,488,0.05,7m,1.4,1.4,1.6,512,COMPLETE
10,10,-0.45402579336168764,2025-06-20 21:21:30.681803,2025-06-20 21:21:30.918332,0 days 00:00:00.236529,0.35000000000000003,6,232,0.05,3m,0.8,0.5,1.1,1024,COMPLETE
11,11,-0.0995495796836522,2025-06-20 21:21:30.934342,2025-06-20 21:21:31.150643,0 days 00:00:00.216301,0.2,4,256,0.05,5m,1.5,1.2000000000000002,1.1,792,COMPLETE
12,12,-0.5128942390633621,2025-06-20 21:21:31.176030,2025-06-20 21:21:31.387158,0 days 00:00:00.211128,0.05,4,328,0.05,5m,0.9,1.0,1.3,312,COMPLETE
13,13,-1.6317932833916688,2025-06-20 21:21:31.416981,2025-06-20 21:21:31.639914,0 days 00:00:00.222933,0.25,7,392,0.05,6m,0.5,1.3,1.1,776,COMPLETE
14,14,-0.5149879924686446,2025-06-20 21:21:31.657916,2025-06-20 21:21:31.876630,0 days 00:00:00.218714,0.15000000000000002,1,216,0.05,5m,1.1,1.0,1.4000000000000001,296,COMPLETE
15,15,0.08566461940341542,2025-06-20 21:21:31.892299,2025-06-20 21:21:32.112512,0 days 00:00:00.220213,0.35000000000000003,5,424,0.05,3m,0.9,0.6,1.2000000000000002,840,COMPLETE
16,16,-2.1030120750870127,2025-06-20 21:21:32.135741,2025-06-20 21:21:32.357560,0 days 00:00:00.221819,0.5,6,736,0.05,3m,0.8,0.5,1.4000000000000001,832,COMPLETE
17,17,-2.947495940201311,2025-06-20 21:21:32.379655,2025-06-20 21:21:32.604303,0 days 00:00:00.224648,0.35000000000000003,8,640,0.025,3m,0.8,0.5,1.2000000000000002,904,COMPLETE
18,18,-0.09179180581370526,2025-06-20 21:21:32.620436,2025-06-20 21:21:32.843387,0 days 00:00:00.222951,0.4,5,432,0.05,3m,0.6,0.6,1.5,680,COMPLETE
19,19,-0.4303860536171928,2025-06-20 21:21:32.857976,2025-06-20 21:21:33.077822,0 days 00:00:00.219846,0.3,7,136,0.05,10m,0.9,0.7,1.2000000000000002,904,COMPLETE
20,20,-24.439101234468936,2025-06-20 21:21:33.096170,2025-06-20 21:21:33.338990,0 days 00:00:00.242820,0.25,4,632,0.025,1m,0.7,1.2000000000000002,1.7000000000000002,704,COMPLETE
21,21,-1.401088445573823,2025-06-20 21:21:33.359623,2025-06-20 21:21:33.588432,0 days 00:00:00.228809,0.3,3,336,0.05,2m,1.0,1.0,1.2000000000000002,376,COMPLETE
22,22,-0.37834856949940043,2025-06-20 21:21:33.605518,2025-06-20 21:21:33.814854,0 days 00:00:00.209336,0.4,5,288,0.05,9m,1.1,0.9,1.1,592,COMPLETE
23,23,-0.21235320309487443,2025-06-20 21:21:33.846847,2025-06-20 21:21:34.076088,0 days 00:00:00.229241,0.15000000000000002,3,168,0.05,6m,1.5,1.1,1.2000000000000002,896,COMPLETE
24,24,-2.036684778448488,2025-06-20 21:21:34.094316,2025-06-20 21:21:34.330831,0 days 00:00:00.236515,0.25,4,400,0.05,7m,0.9,0.7,1.4000000000000001,424,COMPLETE
25,25,0.03644585493679382,2025-06-20 21:21:34.349130,2025-06-20 21:21:34.575870,0 days 00:00:00.226740,0.35000000000000003,6,16,0.05,8m,1.3,0.9,1.1,248,COMPLETE
26,26,-0.03858260436982909,2025-06-20 21:21:34.597868,2025-06-20 21:21:34.828888,0 days 00:00:00.231020,0.4,1,344,0.05,4m,1.1,0.6,1.3,736,COMPLETE
27,27,-0.7134819745002048,2025-06-20 21:21:34.847111,2025-06-20 21:21:35.084028,0 days 00:00:00.236917,0.15000000000000002,5,464,0.05,5m,0.7,1.1,1.2000000000000002,856,COMPLETE
28,28,0.06538064318872527,2025-06-20 21:21:35.102209,2025-06-20 21:21:35.331642,0 days 00:00:00.229433,0.05,3,600,0.05,3m,1.3,0.8,1.5,624,COMPLETE
29,29,-0.03227210310168698,2025-06-20 21:21:35.336904,2025-06-20 21:21:35.564068,0 days 00:00:00.227164,0.45,10,168,0.025,8m,0.9,0.8,1.1,488,COMPLETE
30,30,-1.2562881078411587,2025-06-20 21:21:35.593371,2025-06-20 21:21:35.822528,0 days 00:00:00.229157,0.5,4,952,0.05,3m,1.0,1.3,1.2000000000000002,952,COMPLETE
