,number,value,datetime_start,datetime_complete,duration,params_buffer_capital,params_pairs_to_trade,params_synprice_QQQ_beta_win,params_synprice_QQQ_stop_loss,params_synprice_QQQ_trade_freq,params_synprice_QQQ_z_entry,params_synprice_QQQ_z_exit,params_synprice_QQQ_z_stop_scaler,params_synprice_QQQ_z_win,state
0,0,-0.18886290696361266,2025-06-20 21:13:05.711709,2025-06-20 21:13:06.042781,0 days 00:00:00.331072,0.15000000000000002,3,344,0.05,5m,1.3,0.9,1.1,504,COMPLETE
1,1,-3.086410230729755,2025-06-20 21:13:06.085438,2025-06-20 21:13:06.402893,0 days 00:00:00.317455,0.45,3,1000,0.025,8m,1.0,0.8,1.9000000000000001,464,COMPLETE
2,2,-0.6290196099343682,2025-06-20 21:13:06.435215,2025-06-20 21:13:06.729613,0 days 00:00:00.294398,0.3,2,96,0.05,10m,1.0,0.9,1.9000000000000001,560,COMPLETE
3,3,-3.691451232844211,2025-06-20 21:13:06.776394,2025-06-20 21:13:07.094624,0 days 00:00:00.318230,0.2,7,544,0.05,2m,1.2000000000000002,0.8,1.6,16,COMPLETE
4,4,-0.4415914635920579,2025-06-20 21:13:07.128131,2025-06-20 21:13:07.434592,0 days 00:00:00.306461,0.1,9,792,0.025,3m,1.2000000000000002,0.7,2.0,984,COMPLETE
5,5,-6.395194501381704,2025-06-20 21:13:07.466245,2025-06-20 21:13:07.785901,0 days 00:00:00.319656,0.2,5,792,0.025,9m,0.7,1.2000000000000002,1.8000000000000003,32,COMPLETE
6,6,-0.751929579826362,2025-06-20 21:13:07.822595,2025-06-20 21:13:08.132337,0 days 00:00:00.309742,0.3,5,240,0.05,3m,0.8,1.1,1.1,920,COMPLETE
7,7,-0.13124631818245408,2025-06-20 21:13:08.187574,2025-06-20 21:13:08.484868,0 days 00:00:00.297294,0.35000000000000003,9,544,0.025,4m,1.3,1.1,1.3,656,COMPLETE
8,8,-74.07346381897756,2025-06-20 21:13:08.519486,2025-06-20 21:13:08.845827,0 days 00:00:00.326341,0.45,2,32,0.05,1m,0.6,1.5,1.3,64,COMPLETE
9,9,-0.8953168014262585,2025-06-20 21:13:08.889962,2025-06-20 21:13:09.195129,0 days 00:00:00.305167,0.1,2,488,0.05,7m,1.4,1.4,1.6,512,COMPLETE
10,10,-0.03482824810479092,2025-06-20 21:13:09.233055,2025-06-20 21:13:09.604276,0 days 00:00:00.371221,0.35000000000000003,10,640,0.025,4m,1.5,0.5,1.4000000000000001,744,COMPLETE
11,11,-0.04473982129259664,2025-06-20 21:13:09.666734,2025-06-20 21:13:10.027985,0 days 00:00:00.361251,0.35000000000000003,10,632,0.025,4m,1.5,0.5,1.4000000000000001,760,COMPLETE
12,12,0.17327157071969088,2025-06-20 21:13:10.066370,2025-06-20 21:13:10.405281,0 days 00:00:00.338911,0.4,10,736,0.025,4m,1.5,0.5,1.4000000000000001,776,COMPLETE
13,13,0.0747183782971352,2025-06-20 21:13:10.443868,2025-06-20 21:13:10.779507,0 days 00:00:00.335639,0.5,7,824,0.025,4m,1.5,0.5,1.4000000000000001,760,COMPLETE
14,14,-0.239962729423728,2025-06-20 21:13:10.816262,2025-06-20 21:13:11.137911,0 days 00:00:00.321649,0.5,7,928,0.025,6m,1.5,0.6,1.5,856,COMPLETE
15,15,-1.2759417163108664,2025-06-20 21:13:11.186599,2025-06-20 21:13:11.517475,0 days 00:00:00.330876,0.5,7,864,0.025,4m,1.1,0.6,1.7000000000000002,312,COMPLETE
16,16,-1.3013550395672886,2025-06-20 21:13:11.549312,2025-06-20 21:13:11.911365,0 days 00:00:00.362053,0.4,8,728,0.025,4m,0.9,0.5,1.2000000000000002,792,COMPLETE
