,number,value,datetime_start,datetime_complete,duration,params_buffer_capital,params_pairs_to_trade,params_synprice_QQQ_beta_win,params_synprice_QQQ_stop_loss,params_synprice_QQQ_trade_freq,params_synprice_QQQ_z_entry,params_synprice_QQQ_z_exit,params_synprice_QQQ_z_stop_scaler,params_synprice_QQQ_z_win,state
0,0,-0.0516410444658847,2025-06-20 21:07:57.896910,2025-06-20 21:07:58.113715,0 days 00:00:00.216805,0.15000000000000002,3,344,0.05,5m,1.3,0.9,1.1,504,COMPLETE
1,1,-2.0608611564832455,2025-06-20 21:07:58.129463,2025-06-20 21:07:58.355596,0 days 00:00:00.226133,0.45,3,1000,0.025,8m,1.0,0.8,1.9000000000000001,464,COMPLETE
2,2,-0.30747394263314975,2025-06-20 21:07:58.377955,2025-06-20 21:07:58.593600,0 days 00:00:00.215645,0.3,2,96,0.05,10m,1.0,0.9,1.9000000000000001,560,COMPLETE
3,3,-5.733247609346153,2025-06-20 21:07:58.609537,2025-06-20 21:07:58.842521,0 days 00:00:00.232984,0.2,7,544,0.05,2m,1.2000000000000002,0.8,1.6,16,COMPLETE
4,4,-0.1951908954055687,2025-06-20 21:07:58.860836,2025-06-20 21:07:59.062262,0 days 00:00:00.201426,0.1,9,792,0.025,3m,1.2000000000000002,0.7,2.0,984,COMPLETE
5,5,-9.879533491297787,2025-06-20 21:07:59.080260,2025-06-20 21:07:59.300050,0 days 00:00:00.219790,0.2,5,792,0.025,9m,0.7,1.2000000000000002,1.8000000000000003,32,COMPLETE
6,6,-0.21539670829539437,2025-06-20 21:07:59.318223,2025-06-20 21:07:59.526377,0 days 00:00:00.208154,0.3,5,240,0.05,3m,0.8,1.1,1.1,920,COMPLETE
7,7,-0.19774720794571274,2025-06-20 21:07:59.554228,2025-06-20 21:07:59.778185,0 days 00:00:00.223957,0.35000000000000003,9,544,0.025,4m,1.3,1.1,1.3,656,COMPLETE
8,8,-76.81940098645461,2025-06-20 21:07:59.795267,2025-06-20 21:07:59.999067,0 days 00:00:00.203800,0.45,2,32,0.05,1m,0.6,1.5,1.3,64,COMPLETE
9,9,-0.3542165469684784,2025-06-20 21:08:00.026647,2025-06-20 21:08:00.222459,0 days 00:00:00.195812,0.1,2,488,0.05,7m,1.4,1.4,1.6,512,COMPLETE
10,10,-0.3091644671268106,2025-06-20 21:08:00.253668,2025-06-20 21:08:00.483239,0 days 00:00:00.229571,0.05,4,288,0.05,5m,1.5,0.5,1.1,272,COMPLETE
11,11,-0.2977584134166924,2025-06-20 21:08:00.498930,2025-06-20 21:08:00.715887,0 days 00:00:00.216957,0.15000000000000002,9,808,0.025,6m,1.2000000000000002,0.6,1.4000000000000001,984,COMPLETE
12,12,-1.1768228101615272,2025-06-20 21:08:00.731072,2025-06-20 21:08:00.939095,0 days 00:00:00.208023,0.05,7,728,0.025,5m,1.1,0.7,2.0,760,COMPLETE
