,number,value,datetime_start,datetime_complete,duration,params_buffer_capital,params_pairs_to_trade,params_synprice_QQQ_beta_win,params_synprice_QQQ_stop_loss,params_synprice_QQQ_trade_freq,params_synprice_QQQ_z_entry,params_synprice_QQQ_z_exit,params_synprice_QQQ_z_stop_scaler,params_synprice_QQQ_z_win,state
0,0,-0.1685719658841391,2025-06-20 21:10:24.948008,2025-06-20 21:10:25.153436,0 days 00:00:00.205428,0.15000000000000002,3,344,0.05,5m,1.3,0.9,1.1,504,COMPLETE
1,1,-1.9275871034578809,2025-06-20 21:10:25.181450,2025-06-20 21:10:25.373684,0 days 00:00:00.192234,0.45,3,1000,0.025,8m,1.0,0.8,1.9000000000000001,464,COMPLETE
2,2,-0.2697482771775968,2025-06-20 21:10:25.392334,2025-06-20 21:10:25.605768,0 days 00:00:00.213434,0.3,2,96,0.05,10m,1.0,0.9,1.9000000000000001,560,COMPLETE
3,3,-10.606498953423221,2025-06-20 21:10:25.621387,2025-06-20 21:10:25.833584,0 days 00:00:00.212197,0.2,7,544,0.05,2m,1.2000000000000002,0.8,1.6,16,COMPLETE
4,4,-0.348099093703738,2025-06-20 21:10:25.854816,2025-06-20 21:10:26.048402,0 days 00:00:00.193586,0.1,9,792,0.025,3m,1.2000000000000002,0.7,2.0,984,COMPLETE
5,5,-11.821530380089882,2025-06-20 21:10:26.055123,2025-06-20 21:10:26.270738,0 days 00:00:00.215615,0.2,5,792,0.025,9m,0.7,1.2000000000000002,1.8000000000000003,32,COMPLETE
6,6,-1.2504647770018344,2025-06-20 21:10:26.288618,2025-06-20 21:10:26.474117,0 days 00:00:00.185499,0.3,5,240,0.05,3m,0.8,1.1,1.1,920,COMPLETE
7,7,-0.20043531532900263,2025-06-20 21:10:26.490166,2025-06-20 21:10:26.692565,0 days 00:00:00.202399,0.35000000000000003,9,544,0.025,4m,1.3,1.1,1.3,656,COMPLETE
8,8,-70.57066004192173,2025-06-20 21:10:26.711807,2025-06-20 21:10:26.922387,0 days 00:00:00.210580,0.45,2,32,0.05,1m,0.6,1.5,1.3,64,COMPLETE
9,9,-0.42528938447492026,2025-06-20 21:10:26.948713,2025-06-20 21:10:27.136839,0 days 00:00:00.188126,0.1,2,488,0.05,7m,1.4,1.4,1.6,512,COMPLETE
10,10,-0.278415910266212,2025-06-20 21:10:27.159204,2025-06-20 21:10:27.369175,0 days 00:00:00.209971,0.05,4,288,0.05,5m,1.5,0.5,1.1,272,COMPLETE
11,11,-0.2518068381610571,2025-06-20 21:10:27.387253,2025-06-20 21:10:27.585802,0 days 00:00:00.198549,0.35000000000000003,9,480,0.025,4m,1.3,1.2000000000000002,1.3,704,COMPLETE
12,12,-0.5051659213685009,2025-06-20 21:10:27.601936,2025-06-20 21:10:27.816537,0 days 00:00:00.214601,0.2,7,344,0.025,5m,1.2000000000000002,1.0,1.3,760,COMPLETE
13,13,-0.05879231991630471,2025-06-20 21:10:27.837274,2025-06-20 21:10:28.050204,0 days 00:00:00.212930,0.4,10,640,0.025,4m,1.5,1.3,1.4000000000000001,336,COMPLETE
14,14,-0.547701710286231,2025-06-20 21:10:28.073274,2025-06-20 21:10:28.304679,0 days 00:00:00.231405,0.5,7,672,0.025,6m,1.5,1.3,1.5,336,COMPLETE
15,15,-0.2676111489636335,2025-06-20 21:10:28.324663,2025-06-20 21:10:28.544740,0 days 00:00:00.220077,0.4,10,400,0.05,5m,1.5,0.6,1.5,288,COMPLETE
16,16,-2.5233461802252264,2025-06-20 21:10:28.550842,2025-06-20 21:10:28.769436,0 days 00:00:00.218594,0.15000000000000002,1,192,0.05,4m,1.1,1.5,1.2000000000000002,184,COMPLETE
17,17,-100.0,2025-06-20 21:10:28.788437,2025-06-20 21:10:28.994332,0 days 00:00:00.205895,0.25,4,688,0.025,7m,1.4,1.0,1.4000000000000001,416,COMPLETE
18,18,-3.8995536816512595,2025-06-20 21:10:29.016315,2025-06-20 21:10:29.232342,0 days 00:00:00.216027,0.4,6,992,0.05,2m,0.9,1.3,1.7000000000000002,600,COMPLETE
19,19,-100.0,2025-06-20 21:10:29.246865,2025-06-20 21:10:29.475878,0 days 00:00:00.229013,0.25,4,648,0.025,10m,1.4,0.9,1.1,832,COMPLETE
20,20,-12.590902504524907,2025-06-20 21:10:29.495779,2025-06-20 21:10:29.747021,0 days 00:00:00.251242,0.05,8,872,0.025,1m,1.3,1.3,1.4000000000000001,392,COMPLETE
21,21,-0.33820339291803664,2025-06-20 21:10:29.762080,2025-06-20 21:10:29.980608,0 days 00:00:00.218528,0.35000000000000003,10,608,0.025,4m,1.3,1.2000000000000002,1.2000000000000002,632,COMPLETE
22,22,-1.6375769894473073,2025-06-20 21:10:30.002929,2025-06-20 21:10:30.218420,0 days 00:00:00.215491,0.35000000000000003,9,408,0.025,4m,1.1,1.1,1.2000000000000002,176,COMPLETE
23,23,-0.23270199519722973,2025-06-20 21:10:30.234440,2025-06-20 21:10:30.469581,0 days 00:00:00.235141,0.4,10,544,0.025,4m,1.4,1.1,1.3,680,COMPLETE
24,24,-1.3541131834141542,2025-06-20 21:10:30.485829,2025-06-20 21:10:30.706327,0 days 00:00:00.220498,0.5,8,760,0.025,9m,0.5,0.9,1.4000000000000001,792,COMPLETE
25,25,-0.10806221865524578,2025-06-20 21:10:30.726651,2025-06-20 21:10:30.945122,0 days 00:00:00.218471,0.3,8,416,0.025,8m,1.3,1.4,1.2000000000000002,512,COMPLETE
26,26,-100.0,2025-06-20 21:10:30.955382,2025-06-20 21:10:31.172453,0 days 00:00:00.217071,0.25,8,416,0.05,8m,1.5,1.4,1.2000000000000002,496,COMPLETE
27,27,-0.3415732481329615,2025-06-20 21:10:31.186581,2025-06-20 21:10:31.403492,0 days 00:00:00.216911,0.15000000000000002,6,168,0.025,8m,1.2000000000000002,1.4,1.1,392,COMPLETE
28,28,-3.484893689301281,2025-06-20 21:10:31.416904,2025-06-20 21:10:31.632302,0 days 00:00:00.215398,0.3,10,320,0.05,6m,1.1,1.5,1.2000000000000002,176,COMPLETE
29,29,-1.2359591312636273,2025-06-20 21:10:31.648600,2025-06-20 21:10:31.860978,0 days 00:00:00.212378,0.45,3,432,0.025,8m,1.0,0.7,1.4000000000000001,448,COMPLETE
30,30,-0.2724229630468504,2025-06-20 21:10:31.877084,2025-06-20 21:10:32.131227,0 days 00:00:00.254143,0.15000000000000002,1,600,0.025,5m,1.4,0.8,1.5,544,COMPLETE
31,31,-100.0,2025-06-20 21:10:32.148621,2025-06-20 21:10:32.367841,0 days 00:00:00.219220,0.35000000000000003,9,552,0.025,8m,1.3,1.0,1.3,616,COMPLETE
32,32,-0.0866421486856915,2025-06-20 21:10:32.385416,2025-06-20 21:10:32.597692,0 days 00:00:00.212276,0.4,8,344,0.025,4m,1.3,1.3,1.2000000000000002,472,COMPLETE
33,33,-1.1214659449887212,2025-06-20 21:10:32.615513,2025-06-20 21:10:32.836121,0 days 00:00:00.220608,0.4,7,360,0.025,10m,1.2000000000000002,1.4,1.1,320,COMPLETE
34,34,-2.192866185708681,2025-06-20 21:10:32.853126,2025-06-20 21:10:33.068374,0 days 00:00:00.215248,0.45,8,256,0.025,4m,0.9,1.3,1.2000000000000002,480,COMPLETE
35,35,-1.6446548700040107,2025-06-20 21:10:33.085086,2025-06-20 21:10:33.307758,0 days 00:00:00.222672,0.3,6,144,0.025,2m,1.1,1.2000000000000002,1.1,552,COMPLETE
36,36,-0.8418992592357128,2025-06-20 21:10:33.323506,2025-06-20 21:10:33.536023,0 days 00:00:00.212517,0.2,3,216,0.025,3m,1.4,0.8,2.0,248,COMPLETE
37,37,-0.10463523243634804,2025-06-20 21:10:33.558108,2025-06-20 21:10:33.770590,0 days 00:00:00.212482,0.3,5,104,0.05,9m,1.5,1.3,1.7000000000000002,368,COMPLETE
38,38,-0.16566936973978358,2025-06-20 21:10:33.786694,2025-06-20 21:10:33.998119,0 days 00:00:00.211425,0.3,5,64,0.05,9m,1.5,1.3,1.8000000000000003,352,COMPLETE
39,39,-0.29771353162281206,2025-06-20 21:10:34.014898,2025-06-20 21:10:34.241336,0 days 00:00:00.226438,0.45,7,104,0.025,9m,1.5,1.4,1.7000000000000002,224,COMPLETE
40,40,-0.3089021208229002,2025-06-20 21:10:34.260303,2025-06-20 21:10:34.491387,0 days 00:00:00.231084,0.4,5,728,0.05,9m,1.3,1.2000000000000002,1.7000000000000002,448,COMPLETE
41,41,-0.7056617620520506,2025-06-20 21:10:34.524737,2025-06-20 21:10:34.745474,0 days 00:00:00.220737,0.3,5,16,0.05,9m,1.5,1.3,1.8000000000000003,344,COMPLETE
