date,time,PRICE_synprice_synprice_ON_QQQ,PRICE_QQQ_synprice_ON_QQQ,synprice,QQQ,BETA_synprice_ON_QQQ,SPREAD_synprice_ON_QQQ,Z_synprice_ON_QQQ,Z_VOL_synprice_ON_QQQ,market_close,SIGNAL_synprice_ON_QQQ,POS_synprice_ON_QQQ,POS_BETA_synprice_ON_QQQ,PAIR_BASE_synprice_ON_QQQ,PAIR_RET_synprice_ON_QQQ,SL_synprice_ON_QQQ,LOSS_synprice_ON_QQQ,COOLDOWN_synprice_ON_QQQ,CAPITAL_synprice_ON_QQQ,REMAINING_CAPITAL,CAPITAL,PORT_RET
2022-08-19,13:30:00.000000000,202.5204127021904,326.18,202.5204127021904,326.18,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:31:00.000000000,202.72376979774285,326.65,202.72376979774285,326.65,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:32:00.000000000,202.54890596568262,326.32,202.54890596568262,326.32,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:33:00.000000000,202.4298211487238,326.2962,202.4298211487238,326.2962,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:34:00.000000000,202.43432062825087,326.1369,202.43432062825087,326.1369,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:35:00.000000000,202.59555794377872,326.31,202.59555794377872,326.31,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:36:00.000000000,202.4950517206956,326.34,202.4950517206956,326.34,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:37:00.000000000,202.36884198953746,325.94,202.36884198953746,325.94,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:38:00.000000000,201.99575960298995,325.5201,201.99575960298995,325.5201,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:39:00.000000000,202.18231412350352,325.74,202.18231412350352,325.74,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:40:00.000000000,202.02685601120012,325.5399,202.02685601120012,325.5399,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:41:00.000000000,201.73100228907091,325.17,201.73100228907091,325.17,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:42:00.000000000,201.6549577529918,325.08,201.6549577529918,325.08,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:43:00.000000000,201.67819164064358,325.03,201.67819164064358,325.03,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:44:00.000000000,201.6383110583764,324.87,201.6383110583764,324.87,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:45:00.000000000,201.51638102316653,324.93,201.51638102316653,324.93,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:46:00.000000000,201.36583264327825,324.62,201.36583264327825,324.62,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:47:00.000000000,201.5766587427294,324.89,201.5766587427294,324.89,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:48:00.000000000,201.3949351108805,324.5886,201.3949351108805,324.5886,0.673424575254119,-17.191004976448625,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:49:00.000000000,201.2982418170472,324.47,201.2982418170472,324.47,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:50:00.000000000,201.23374937857392,324.2999,201.23374937857392,324.2999,0.6642936007801451,-14.196598925067036,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:51:00.000000000,201.2370644473626,324.4,201.2370644473626,324.4,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:52:00.000000000,201.14542493848583,324.17,201.14542493848583,324.17,0.6593799630071983,-12.605777669557625,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:53:00.000000000,201.08415253048432,324.21,201.08415253048432,324.21,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:54:00.000000000,201.0167738634876,324.01,201.0167738634876,324.01,0.6594131309443862,-12.639674693802988,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-08-19,13:55:00.000000000,200.98120229826677,323.95,200.98120229826677,323.95,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
