date,time,PRICE_synprice_synprice_ON_QQQ,PRICE_QQQ_synprice_ON_QQQ,synprice,QQQ,BETA_synprice_ON_QQQ,SPREAD_synprice_ON_QQQ,Z_synprice_ON_QQQ,Z_VOL_synprice_ON_QQQ,market_close,SIGNAL_synprice_ON_QQQ,POS_synprice_ON_QQQ,POS_BETA_synprice_ON_QQQ,PAIR_BASE_synprice_ON_QQQ,PAIR_RET_synprice_ON_QQQ,SL_synprice_ON_QQQ,LOSS_synprice_ON_QQQ,COOLDOWN_synprice_ON_QQQ,CAPITAL_synprice_ON_QQQ,REMAINING_CAPITAL,CAPITAL,PORT_RET
2024-03-11,13:30:00.000000000,292.14826876342346,437.71,292.14826876342346,437.71,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:31:00.000000000,291.5078467066875,436.6,291.5078467066875,436.6,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:32:00.000000000,291.53375748234885,436.515,291.53375748234885,436.515,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:33:00.000000000,291.0485694118327,435.92,291.0485694118327,435.92,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:34:00.000000000,290.95674335655235,435.99,290.95674335655235,435.99,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:35:00.000000000,291.1770673550593,436.44,291.1770673550593,436.44,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:36:00.000000000,291.357380343178,437.11,291.357380343178,437.11,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:37:00.000000000,291.5042450000496,437.58,291.5042450000496,437.58,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:38:00.000000000,291.45606277676364,437.54,291.45606277676364,437.54,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:39:00.000000000,291.4808018315954,437.69,291.4808018315954,437.69,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:40:00.000000000,291.5272938242748,437.65,291.5272938242748,437.65,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:41:00.000000000,291.75492482131756,437.75,291.75492482131756,437.75,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:42:00.000000000,291.56427631825443,437.76,291.56427631825443,437.76,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:43:00.000000000,291.47953320001704,437.62,291.47953320001704,437.62,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:44:00.000000000,291.5037382388369,437.61,291.5037382388369,437.61,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:45:00.000000000,291.6679447366289,437.89,291.6679447366289,437.89,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:46:00.000000000,291.58127605199616,437.78,291.58127605199616,437.78,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:47:00.000000000,291.3933532917325,437.41,291.3933532917325,437.41,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:48:00.000000000,291.37763566601836,437.115,291.37763566601836,437.115,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:49:00.000000000,291.60605434726614,437.2616,291.60605434726614,437.2616,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:50:00.000000000,291.7582338240625,437.58,291.7582338240625,437.58,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:51:00.000000000,291.4764862084183,437.12,291.4764862084183,437.12,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:52:00.000000000,291.3134875171191,437.0301,291.3134875171191,437.0301,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:53:00.000000000,291.1734917450424,436.759,291.1734917450424,436.759,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:54:00.000000000,291.07134249385496,436.35,291.07134249385496,436.35,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:55:00.000000000,291.16269650461214,436.1595,291.16269650461214,436.1595,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:56:00.000000000,291.4485929578863,436.79,291.4485929578863,436.79,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:57:00.000000000,291.5343586131668,436.77,291.5343586131668,436.77,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:58:00.000000000,290.930438111868,436.0699,290.930438111868,436.0699,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,13:59:00.000000000,290.8087542344338,435.69,290.8087542344338,435.69,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-03-11,14:00:00.000000000,290.87235094270653,435.95,290.87235094270653,435.95,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
