date,time,PRICE_synprice_synprice_ON_QQQ,PRICE_QQQ_synprice_ON_QQQ,synprice,QQQ,BETA_synprice_ON_QQQ,SPREAD_synprice_ON_QQQ,Z_synprice_ON_QQQ,Z_VOL_synprice_ON_QQQ,market_close,SIGNAL_synprice_ON_QQQ,POS_synprice_ON_QQQ,POS_BETA_synprice_ON_QQQ,PAIR_BASE_synprice_ON_QQQ,PAIR_RET_synprice_ON_QQQ,SL_synprice_ON_QQQ,LOSS_synprice_ON_QQQ,COOLDOWN_synprice_ON_QQQ,CAPITAL_synprice_ON_QQQ,REMAINING_CAPITAL,CAPITAL,PORT_RET
2022-12-28,14:30:00.000000000,170.992518176777,262.83,170.992518176777,262.83,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:31:00.000000000,170.8779093848523,262.9997,170.8779093848523,262.9997,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:32:00.000000000,171.38026333613715,264.16,171.38026333613715,264.16,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:33:00.000000000,171.83344438225743,264.48,171.83344438225743,264.48,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:34:00.000000000,172.05717543808274,264.98,172.05717543808274,264.98,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:35:00.000000000,172.2828440783536,265.2181,172.2828440783536,265.2181,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:36:00.000000000,172.33680738926586,265.1903,172.33680738926586,265.1903,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:37:00.000000000,172.11467986703903,264.88,172.11467986703903,264.88,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:38:00.000000000,172.00641994741466,264.68,172.00641994741466,264.68,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:39:00.000000000,171.97844367430275,264.735,171.97844367430275,264.735,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:40:00.000000000,172.0076495068401,264.71,172.0076495068401,264.71,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:41:00.000000000,172.08636108032601,264.9,172.08636108032601,264.9,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:42:00.000000000,172.0578282629124,264.945,172.0578282629124,264.945,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:43:00.000000000,172.02071407980452,264.76,172.02071407980452,264.76,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:44:00.000000000,171.9160355622285,264.54,171.9160355622285,264.54,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:45:00.000000000,172.0308447531048,264.8,172.0308447531048,264.8,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:46:00.000000000,172.0461438984542,264.77,172.0461438984542,264.77,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:47:00.000000000,172.16440102265796,264.77,172.16440102265796,264.77,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:48:00.000000000,172.1519359905863,264.99,172.1519359905863,264.99,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:49:00.000000000,172.16578662945778,265.05,172.16578662945778,265.05,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:50:00.000000000,171.8217850212918,264.39,171.8217850212918,264.39,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:51:00.000000000,171.76695125997236,264.36,171.76695125997236,264.36,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:52:00.000000000,171.61233136993044,264.22,171.61233136993044,264.22,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:53:00.000000000,171.5302040523583,263.815,171.5302040523583,263.815,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:54:00.000000000,171.67300705978798,264.09,171.67300705978798,264.09,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:55:00.000000000,171.88145413918292,264.38,171.88145413918292,264.38,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:56:00.000000000,171.84809660197413,264.52,171.84809660197413,264.52,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:57:00.000000000,171.82800620973669,264.34,171.82800620973669,264.34,0.538499810549912,29.48096628897295,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:58:00.000000000,171.88506493980856,264.32,171.88506493980856,264.32,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,14:59:00.000000000,171.8882407035758,264.33,171.8882407035758,264.33,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,15:00:00.000000000,172.02688836204058,264.6799,172.02688836204058,264.6799,0.5408592631429197,28.872312679298943,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,15:01:00.000000000,172.3131441095542,265.09,172.3131441095542,265.09,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,15:02:00.000000000,171.95131205188682,264.51,171.95131205188682,264.51,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,15:03:00.000000000,171.9386014281865,264.51,171.9386014281865,264.51,0.5410339636069225,28.829707714519458,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,15:04:00.000000000,171.89120575142363,264.4699,171.89120575142363,264.4699,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,15:05:00.000000000,171.86954056053742,264.38,171.86954056053742,264.38,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,15:06:00.000000000,171.9227175952377,264.51,171.9227175952377,264.51,0.5411311078076994,28.78812826902316,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,15:07:00.000000000,171.8444305183288,264.32,171.8444305183288,264.32,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,15:08:00.000000000,171.87745169566168,264.31,171.87745169566168,264.31,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,15:09:00.000000000,171.8098804314021,264.16,171.8098804314021,264.16,0.5333344872261772,30.92424228573512,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,15:10:00.000000000,171.85373850465743,264.31,171.85373850465743,264.31,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,15:11:00.000000000,171.72117501045224,263.98,171.72117501045224,263.98,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,15:12:00.000000000,171.74972603424217,264.07,171.74972603424217,264.07,0.5261975085062263,32.79674996300301,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,15:13:00.000000000,171.7184498260311,264.06,171.7184498260311,264.06,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,15:14:00.000000000,171.7758899772914,264.25,171.7758899772914,264.25,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,15:15:00.000000000,171.89857438826525,264.45,171.89857438826525,264.45,0.5262175221275605,32.74035066163188,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-28,15:16:00.000000000,171.99398931200875,264.58,171.99398931200875,264.58,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
